PointDistanceFollower   Jan 31 2020   mode =  Single Point 
Fol_.29_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist   43   CS6Dist  1   LMDist   594
PointDistanceFollower  Jan 31 2020  mode = Single Point
Fol_.29_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
0    -32.09284 -37.84514 -13.73170 -27.23886  21.90635 -25.12958     (-15.744,-5.616) (-6.163,-2.940) (-43.686,-2.012)      0  0  0  
1    -31.92770 -37.52512 -14.03427 -27.02044  21.65538 -24.89606     (-16.685,-6.877) (-4.970,-1.729) (-45.450,-2.651)      2.98057  2.98057  2.98057  
2    -31.76255 -37.20510 -14.33684 -26.80203  21.40441 -24.66255     (-17.627,-8.137) (-3.777,-0.519) (-47.214,-3.291)      5.96114  5.96114  5.96114  
3    -31.59741 -36.88507 -14.63941 -26.58362  21.15344 -24.42904     (-48.286,-8.706) (-3.276,-0.692) (-17.878,-3.238)      7.63461  8.02251  8.94171  
4    -31.43227 -36.56505 -14.94197 -26.36521  20.90247 -24.19553     (-48.840,-8.756) (-3.293,-1.902) (-17.609,-2.667)      8.4855  9.46528  9.67109     glitch
5    -31.26712 -36.24502 -15.24454 -26.14680  20.65150 -23.96201     (-49.393,-8.806) (-3.311,-3.112) (-17.341,-2.096)      9.49023  10.0914  10.0914  
6    -31.10198 -35.92500 -15.54711 -25.92839  20.40053 -23.72850     (-49.947,-8.856) (-3.328,-4.323) (-17.073,-1.525)      10.6052  10.6998  10.6998  
7    -30.93683 -35.60498 -15.84968 -25.70998  20.14956 -23.49499     (-50.500,-8.906) (-3.345,-5.533) (-16.804,-0.954)      11.4665  11.4665  11.4665  
8    -30.77169 -35.28495 -16.15224 -25.49157  19.89860 -23.26148     (-51.054,-8.956) (-3.363,-6.743) (-16.536,-0.383)      12.3621  12.3621  12.3621  
9    -30.60654 -34.96493 -16.45481 -25.27316  19.64763 -23.02796     (-3.193,-8.818) (-51.420,-7.766) (-16.455,-0.188)      12.895  12.895  12.895  
10    -30.44140 -34.64491 -16.75738 -25.05475  19.39666 -22.79445     (-2.639,-8.297) (-51.402,-8.405) (-16.757,-0.759)      12.8906  12.8906  12.8906  
11    -30.27626 -34.32488 -17.05995 -24.83634  19.14569 -22.56094     (-2.086,-7.776) (-51.385,-9.045) (-17.060,-1.330)      12.9947  12.9947  12.9947  
12    -30.11111 -34.00486 -17.36251 -24.61793  18.89472 -22.32743     (-1.532,-7.255) (-51.367,-9.684) (-17.363,-1.900)      13.2048  13.2048  13.2048  
13    -29.94597 -33.68483 -17.66508 -24.39951  18.64375 -22.09392     (-0.979,-6.734) (-51.350,-10.324) (-17.665,-2.471)      13.5159  13.5159  13.5159  
14    -29.78082 -33.36481 -17.96765 -24.18110  18.39278 -21.86040     (-0.425,-6.213) (-51.332,-10.963) (-17.968,-3.042)      13.9212  13.9212  13.9212  
15    -29.61568 -33.04479 -18.27022 -23.96269  18.14181 -21.62689     (-0.128,-5.821) (-51.187,-18.142) (-11.474,-3.485)      14.2816  14.3539  14.4129  
16    -29.45053 -32.72476 -18.57278 -23.74428  17.89085 -21.39338     (-0.682,-5.853) (-50.616,-17.891) (-11.560,-3.503)      14.2689  14.6366  14.9824  
