PointDistanceFollower   Jan 31 2020   mode =  Single Point 
Fol_.50_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist   42   CS6Dist  2   LMDist   2598
PointDistanceFollower  Jan 31 2020  mode = Single Point
Fol_.50_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
0    -24.06746 -43.87364 -56.88687 -25.29043  -0.06123  13.00800     (-16.651,-0.061) (-57.009,-11.679) (-23.945,-0.603)      0  0  0  
1    -23.99255 -44.00633 -56.55413 -25.03559  -0.17858  12.87051     (-17.569,-0.179) (-56.911,-11.817) (-23.635,-0.348)      1.02206  1.02206  1.02206  
2    -23.91764 -44.13901 -56.22138 -24.78075  -0.29594  12.73303     (-18.486,-0.296) (-56.813,-11.954) (-23.326,-0.093)      2.04411  2.04411  2.04411  
3    -23.84273 -44.27170 -55.88864 -24.52591  -0.41329  12.59554     (-56.554,-0.252) (-19.242,-11.930) (-23.178,-0.161)      2.86208  2.98467  2.694  
4    -23.76782 -44.40438 -55.55589 -24.27107  -0.53065  12.45806     (-56.201,-0.114) (-19.905,-11.813) (-23.123,-0.416)      3.55989  3.92291  3.03718  
5    -23.69291 -44.53706 -55.22314 -24.01623  -0.64800  12.32057     (-55.871,-0.023) (-23.045,-11.673) (-20.544,-0.648)      4.25401  4.30546  3.42774  
6    -23.61800 -44.66975 -54.89040 -23.76139  -0.76535  12.18308     (-55.656,-0.161) (-22.853,-11.418) (-21.069,-0.765)      4.84637  4.89753  3.85128     glitch
7    -23.54309 -44.80243 -54.55765 -23.50655  -0.88271  12.04560     (-55.440,-0.298) (-22.660,-11.163) (-21.594,-0.883)      5.45813  5.5091  4.29807  
8    -23.46818 -44.93511 -54.22490 -23.25171  -1.00006  11.90811     (-55.225,-0.436) (-22.468,-10.908) (-22.119,-1.000)      6.08344  6.13429  4.76156  
9    -23.39327 -45.06780 -53.89216 -22.99687  -1.11742  11.77063     (-55.010,-0.573) (-22.276,-10.653) (-22.644,-1.117)      6.41493  6.76928  5.18478  
10    -23.31836 -45.20048 -53.55941 -22.74203  -1.23477  11.63314     (-54.794,-0.711) (-22.084,-10.398) (-23.169,-1.235)      6.32958  6.81637  5.33181  
11    -23.24345 -45.33316 -53.22667 -22.48719  -1.35213  11.49565     (-54.579,-0.848) (-21.891,-10.144) (-23.694,-1.352)      6.31578  6.78639  5.66248  
12    -23.16855 -45.46585 -52.89392 -22.23235  -1.46948  11.35817     (-54.363,-0.985) (-21.699,-9.889) (-24.219,-1.469)      6.37399  6.83004  6.14722  
13    -23.09364 -45.59853 -52.56117 -21.97751  -1.58684  11.22068     (-54.148,-1.123) (-21.507,-9.634) (-24.744,-1.587)      6.50228  6.94579  6.75293  
14    -23.01873 -45.73122 -52.22843 -21.72267  -1.70419  11.08320     (-53.933,-1.260) (-21.315,-9.379) (-25.269,-1.704)      6.69663  7.1298  7.45018  
15    -22.94382 -45.86390 -51.89568 -21.46783  -1.82155  10.94571     (-53.717,-1.398) (-21.122,-9.124) (-25.794,-1.822)      6.95149  7.37651  7.62557  
16    -22.86891 -45.99658 -51.56294 -21.21299  -1.93890  10.80822     (-53.502,-1.535) (-20.930,-8.869) (-26.319,-1.939)      7.2605  7.67937  7.75737  
17    -22.79400 -46.12927 -51.23019 -20.95815  -2.05625  10.67074     (-53.286,-1.673) (-20.738,-8.614) (-26.844,-2.056)      7.61706  8.03152  7.92228  
18    -22.71909 -46.26195 -50.89744 -20.70331  -2.17361  10.53325     (-53.071,-1.810) (-20.545,-8.360) (-27.369,-2.174)      8.01173  8.4263  8.11826  
19    -22.64418 -46.39463 -50.56470 -20.44847  -2.29096  10.39577     (-52.856,-1.948) (-20.353,-8.105) (-27.894,-2.291)      8.44178  8.8576  8.34313  
20    -22.56927 -46.52732 -50.23195 -20.19363  -2.40832  10.25828     (-52.640,-2.085) (-20.161,-7.850) (-28.419,-2.408)      8.9024  9.31999  8.59463  
21    -22.49436 -46.66000 -49.89920 -19.93878  -2.52567  10.12079     (-52.425,-2.223) (-19.969,-7.595) (-28.944,-2.526)      9.38909  9.8088  8.87048  
22    -22.41945 -46.79269 -49.56646 -19.68394  -2.64303   9.98331     (-52.209,-2.360) (-19.776,-7.340) (-29.469,-2.643)      9.898  10.32  9.16849  
23    -22.34454 -46.92537 -49.23371 -19.42910  -2.76038   9.84582     (-51.994,-2.498) (-19.584,-7.085) (-29.994,-2.760)      10.4259  10.8503  9.48658  
24    -22.26963 -47.05805 -48.90097 -19.17426  -2.87774   9.70834     (-51.779,-2.635) (-19.392,-6.831) (-30.519,-2.878)      10.97  11.3969  9.82278  
25    -22.19472 -47.19074 -48.56822 -18.91942  -2.99509   9.57085     (-51.563,-2.773) (-19.200,-6.576) (-31.044,-2.995)      11.5281  11.9574  10.1753  
26    -22.11981 -47.32342 -48.23547 -18.66458  -3.11245   9.43336     (-51.348,-2.910) (-19.007,-6.321) (-31.569,-3.112)      12.0981  12.5298  10.5425  
27    -22.04490 -47.45610 -47.90273 -18.40974  -3.22980   9.29588     (-51.133,-3.048) (-18.815,-6.066) (-32.094,-3.230)      12.6786  13.1126  10.923  
28    -21.96999 -47.58879 -47.56998 -18.15490  -3.34715   9.15839     (-50.917,-3.185) (-18.623,-5.811) (-32.619,-3.347)      13.268  13.7042  11.3153  
29    -21.89509 -47.72147 -47.23724 -17.90006  -3.46451   9.02091     (-50.702,-3.323) (-18.431,-5.556) (-33.144,-3.465)      13.8654  14.3037  11.7183  
30    -21.82018 -47.85415 -46.90449 -17.64522  -3.58186   8.88342     (-50.486,-3.460) (-18.238,-5.302) (-33.669,-3.582)      14.4696  14.91  12.1309  
31    -21.74527 -47.98684 -46.57174 -17.39038  -3.69922   8.74593     (-50.271,-3.598) (-18.046,-5.047) (-34.194,-3.699)      15.0799  15.5222  12.5521  
32    -21.67036 -48.11952 -46.23900 -17.13554  -3.81657   8.60845     (-50.056,-3.735) (-17.854,-4.792) (-34.719,-3.817)      15.6956  16.1397  12.9812  
33    -21.59545 -48.25221 -45.90625 -16.88070  -3.93393   8.47096     (-49.840,-3.873) (-17.662,-4.537) (-35.244,-3.934)      16.316  16.4973  13.4174  
34    -21.52054 -48.38489 -45.57350 -16.62586  -4.05128   8.33348     (-49.625,-4.010) (-17.469,-4.282) (-35.769,-4.051)      16.8385  16.8385  13.86  
35    -21.44563 -48.51757 -45.24076 -16.37102  -4.16864   8.19599     (-49.409,-4.148) (-17.277,-4.027) (-36.294,-4.169)      17.1995  17.1995  14.3084  
36    -21.37072 -48.65026 -44.90801 -16.11618  -4.28599   8.05851     (-49.194,-4.285) (-17.085,-3.773) (-36.819,-4.286)      17.5791  17.5791  14.7621  
37    -21.29581 -48.78294 -44.57527 -15.86134  -4.40335   7.92102     (-48.979,-4.423) (-16.892,-3.518) (-37.344,-4.403)      17.9761  17.9761  15.2205  
38    -21.22090 -48.91562 -44.24252 -15.60650  -4.52070   7.78353     (-48.763,-4.560) (-16.700,-3.263) (-37.869,-4.521)      18.3893  18.3893  15.6834  
39    -21.14599 -49.04831 -43.90977 -15.35166  -4.63805   7.64605     (-48.548,-4.698) (-16.508,-3.008) (-38.394,-4.638)      18.8177  18.8177  16.1503  
40    -21.07108 -49.18099 -43.57703 -15.09682  -4.75541   7.50856     (-48.332,-4.835) (-16.316,-2.753) (-38.919,-4.755)      19.2604  19.2604  16.6209  
