Fol_2018-05-06.16_52_49.1_9.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      9.84093 -49.02335 -51.24860   7.26282  -3.05012 -12.45796     (-3.050,-27.016) (-4.033,-37.667) (-3.741,-1.163) 0  0  0  9.53674e-07  
1      9.71072 -48.56890 -50.76872   6.91657  -3.39978 -12.34387     (-3.400,-28.913) (-5.310,-38.147) (-2.911,-0.117) 2.71398  1.93997  4.87845  2.71398  
2      9.58051 -48.11444 -50.28884   6.57031  -3.74945 -12.22977     (-5.659,-29.882) (-2.821,-37.698) (-3.010,-0.929) 3.39131  3.88301  7.50566  4.13261  
3      9.45029 -47.65999 -49.80896   6.22406  -4.09911 -12.11568     (-5.892,-30.734) (-2.125,-37.132) (-3.226,-1.974) 4.39763  5.69475  9.6147  5.17109  
4      9.32008 -47.20554 -49.32909   5.87781  -4.44878 -12.00158     (-6.124,-31.585) (-1.429,-36.567) (-3.442,-3.020) 5.71173  7.11865  12.0059  6.46904  
5      9.18987 -46.75109 -48.84921   5.53155  -4.79844 -11.88749     (-6.356,-32.437) (-0.733,-36.001) (-3.658,-4.065) 7.16625  8.66599  14.5406  7.89958  
6      9.05965 -46.29663 -48.36933   5.18530  -5.14811 -11.77339     (-6.588,-33.288) (-0.037,-35.435) (-3.874,-5.111) 8.69098  10.098  17.1555  9.40238  
7      8.92944 -45.84218 -47.88945   4.83905  -5.49777 -11.65930     (-5.498,-33.481) (-0.659,-35.528) (-3.432,-6.162) 8.90603  9.70584  17.5654  9.42472  
8      8.79923 -45.38773 -47.40957   4.49279  -5.84744 -11.54520     (-5.847,-33.637) (-1.355,-35.659) (-2.952,-5.698) 8.67306  9.69972  17.659  9.16787  
9      8.66902 -44.93328 -46.92970   4.14654  -6.19710 -11.43111     (-6.197,-33.792) (-2.051,-35.789) (-2.472,-5.234) 8.5623  10.0804  17.8917  9.02554  
10      8.53880 -44.47882 -46.44982   3.80028  -6.54677 -11.31702     (-6.547,-33.948) (-2.746,-35.919) (-1.992,-4.770) 8.57846  10.7177  18.2581  9.00317  
11      8.40859 -44.02437 -45.96994   3.45403  -6.89643 -11.20292     (-6.896,-34.104) (-3.442,-36.049) (-1.512,-4.306) 8.72086  11.547  18.7505  9.10165  
12      8.27838 -43.56992 -45.49006   3.10778  -7.24610 -11.08883     (-7.246,-34.259) (-4.138,-36.179) (-1.032,-3.843) 8.98348  12.4089  19.3591  9.31715  
13      8.14817 -43.11547 -45.01019   2.76152  -7.59577 -10.97473     (-7.596,-34.415) (-4.834,-36.310) (-0.552,-3.379) 9.35621  13.3943  20.0734  9.64182  
14      8.01795 -42.66101 -44.53031   2.41527  -7.94543 -10.86064     (-7.945,-34.571) (-5.530,-36.440) (-0.073,-2.915) 9.82652  14.47  20.8826  10.0651  
15      7.88774 -42.20656 -44.05043   2.06901  -8.29510 -10.74654     (-7.888,-5.819) (-34.319,-36.163) (-0.407,-2.859) 8.91433  15.9121  21.1675  35.9783  
16      7.75753 -41.75211 -43.57055   1.72276  -8.64476 -10.63245     (-7.758,-6.035) (-33.995,-35.813) (-0.887,-2.875) 8.70301  17.1256  21.3941  35.8022  
17      7.62732 -41.29766 -43.09067   1.37651  -8.99443 -10.51835     (-7.627,-6.251) (-33.670,-35.463) (-1.367,-2.891) 8.54766  18.4158  21.6702  35.6398  
18      7.49710 -40.84320 -42.61080   1.03025  -9.34409 -10.40426     (-7.497,-6.467) (-33.346,-35.114) (-1.847,-2.907) 8.45138  19.7667  21.9971  35.4914  
19      7.36689 -40.38875 -42.13092   0.68400  -9.69376 -10.29016     (-7.367,-6.683) (-33.022,-34.764) (-2.327,-2.923) 8.41619  21.1231  22.376  35.3571  
20      7.23668 -39.93430 -41.65104   0.33774 -10.04342 -10.17607     (-7.237,-6.899) (-32.698,-34.414) (-2.807,-2.939) 8.44286  22.5098  22.8079  35.2372  
21      7.10647 -39.47985 -41.17116  -0.00851 -10.39309 -10.06197     (-7.106,-7.115) (-32.373,-34.065) (-3.287,-2.956) 8.5308  23.7099  22.8963  35.1015  
22      6.97625 -39.02539 -40.69128  -0.35476 -10.74275  -9.94788     (-6.976,-7.331) (-32.049,-33.715) (-3.766,-2.972) 8.67816  24.1369  22.9477  34.7382  
23      6.84604 -38.57094 -40.21141  -0.70102 -11.09242  -9.83378     (-6.846,-7.547) (-31.725,-33.365) (-4.246,-2.988) 8.88197  24.5928  22.9248  34.3863  
24      6.71583 -38.11649 -39.73153  -1.04727 -11.44208  -9.71969     (-6.716,-7.763) (-31.401,-33.016) (-4.726,-3.004) 9.13847  25.0785  23.0334  34.046  
25      6.58562 -37.66204 -39.25165  -1.39352 -11.79175  -9.60559     (-6.586,-7.979) (-31.076,-32.666) (-5.206,-3.020) 9.44335  25.5926  23.2556  33.7178  
26      6.45540 -37.20758 -38.77177  -1.73978 -12.14141  -9.49150     (-6.455,-8.195) (-30.752,-32.316) (-5.686,-3.036) 9.79211  26.1252  23.5764  33.402  
27      6.32519 -36.75313 -38.29190  -2.08603 -12.49108  -9.37741     (-6.325,-8.411) (-30.428,-31.967) (-6.166,-3.052) 10.1802  26.6649  23.9833  33.0989  
28      6.19498 -36.29868 -37.81202  -2.43229 -12.84074  -9.26331     (-6.195,-8.627) (-30.104,-31.617) (-6.646,-3.068) 10.6034  27.2309  24.4658  32.8089  
29      6.06476 -35.84423 -37.33214  -2.77854 -13.19041  -9.14922     (-6.065,-8.843) (-29.779,-31.267) (-7.126,-3.084) 11.0576  27.8217  24.3434  32.5324  
30      5.93455 -35.38977 -36.85226  -3.12479 -13.54007  -9.03512     (-5.935,-9.059) (-29.455,-30.918) (-7.606,-3.101) 11.5391  28.4357  24.2997  32.2696  
31      5.80434 -34.93532 -36.37238  -3.47105 -13.88974  -8.92103     (-5.804,-9.275) (-29.131,-30.568) (-8.085,-3.117) 12.0447  28.9814  24.5367  32.021  
32      5.67413 -34.48087 -35.89251  -3.81730 -14.23940  -8.80693     (-5.674,-9.491) (-28.807,-30.218) (-8.565,-3.133) 12.5715  29.5283  25.0468  31.7869  
33      5.54391 -34.02642 -35.41263  -4.16356 -14.58907  -8.69284     (-5.544,-9.707) (-28.483,-29.869) (-9.045,-3.149) 13.1169  30.0923  25.796  31.5676  
34      5.41370 -33.57196 -34.93275  -4.50981 -14.93873  -8.57874     (-5.414,-9.924) (-28.158,-29.519) (-9.525,-3.165) 13.6787  30.6724  26.7397  31.3633  
35      5.28349 -33.11751 -34.45287  -4.85606 -15.28840  -8.46465     (-5.283,-10.140) (-27.834,-29.169) (-10.005,-3.181) 14.2549  31.2678  27.8362  31.1745  
36      5.15328 -32.66306 -33.97300  -5.20232 -15.63806  -8.35055     (-5.153,-10.356) (-27.510,-28.820) (-10.485,-3.197) 14.8439  31.8776  28.8348  31.0013  
37      5.02306 -32.20861 -33.49312  -5.54857 -15.98773  -8.23646     (-5.023,-10.572) (-27.186,-28.470) (-10.965,-3.213) 15.4443  32.2582  29.3532  30.6576  
38      4.89285 -31.75415 -33.01324  -5.89483 -16.33739  -8.12236     (-4.893,-10.788) (-26.861,-28.120) (-11.445,-3.230) 16.0546  31.636  29.911  30.3047  
39      4.76264 -31.29970 -32.53336  -6.24108 -16.68706  -8.00827     (-4.763,-11.004) (-26.537,-27.771) (-11.924,-3.246) 16.6739  31.033  30.5051  29.965  
40      4.63243 -30.84525 -32.05348  -6.58733 -17.03673  -7.89417     (-4.632,-11.220) (-26.213,-27.421) (-12.404,-3.262) 17.3012  30.449  31.1326  29.6391  
41      4.50221 -30.39080 -31.57361  -6.93359 -17.38639  -7.78008     (-4.502,-11.436) (-25.889,-27.071) (-12.884,-3.278) 17.9357  29.8837  31.7877  29.3273  
42      4.37200 -29.93634 -31.09373  -7.27984 -17.73606  -7.66598     (-4.372,-11.652) (-25.564,-26.722) (-13.364,-3.294) 18.5765  29.3367  32.3709  29.0301  
43      4.24179 -29.48189 -30.61385  -7.62609 -18.08572  -7.55189     (-4.242,-11.868) (-25.240,-26.372) (-13.844,-3.310) 19.2231  28.9102  32.9871  28.748  
44      4.11158 -29.02744 -30.13397  -7.97235 -18.43539  -7.43780     (-4.112,-12.084) (-24.916,-26.022) (-14.324,-3.326) 19.8749  28.6327  33.6342  28.4814  
45      3.98136 -28.57299 -29.65410  -8.31860 -18.78505  -7.32370     (-3.981,-12.300) (-24.592,-25.673) (-14.804,-3.342) 20.5315  28.3905  34.31  28.2308  
46      3.85115 -28.11853 -29.17422  -8.66486 -19.13472  -7.20961     (-3.851,-12.516) (-24.267,-25.323) (-15.284,-3.358) 21.1923  28.1843  34.9438  27.9966  
