PointDistanceFollower  May 27 2018  mode = Single Point
POINT_2018-05-27.17_34_20.2_14.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0    -20.52389  -6.58058  15.04844 -29.47229 -27.65154  -5.56766     (-13.943,-8.468) (-6.581,-4.135) (-5.956,-12.148)      0  0  1.3487e-06  0  
1    -20.45742  -6.58058  14.83628 -29.26012 -27.41400  -5.63413     (-13.877,-8.256) (-6.581,-4.322) (-6.168,-12.215)      0.365728  0.782253  0.580773  0.365728  
2    -20.39095  -6.58058  14.62411 -29.04795 -27.17646  -5.70060     (-13.810,-8.044) (-6.581,-4.509) (-6.380,-12.281)      0.731456  1.56451  1.16155  0.731456  
3    -20.32448  -6.58058  14.41194 -28.83579 -26.93893  -5.76707     (-13.744,-7.831) (-6.581,-4.696) (-6.592,-12.348)      1.09718  2.34676  1.74232  1.09718  
4    -20.25801  -6.58058  14.19978 -28.62362 -26.70139  -5.83354     (-13.677,-7.619) (-6.581,-4.882) (-6.805,-12.414)      1.46291  3.12901  2.32309  1.46291  
5    -20.19154  -6.58058  13.98761 -28.41146 -26.46385  -5.90001     (-13.611,-7.407) (-6.581,-5.069) (-7.017,-12.481)      1.82864  3.91126  2.90387  1.82864  
6    -20.12507  -6.58058  13.77545 -28.19929 -26.22631  -5.96648     (-13.544,-7.195) (-6.581,-5.256) (-7.229,-12.547)      2.19437  4.45701  3.48464  2.19437  
7    -20.05860  -6.58058  13.56328 -27.98712 -25.98877  -6.03295     (-13.478,-6.983) (-6.581,-5.443) (-7.441,-12.614)      2.5601  4.34456  4.06541  2.5601  
8    -19.99213  -6.58058  13.35112 -27.77496 -25.75123  -6.09942     (-13.412,-6.771) (-6.581,-5.630) (-7.653,-12.680)      2.59847  4.37141  4.23913  2.59847  
9    -19.92566  -6.58058  13.13895 -27.56279 -25.51369  -6.16589     (-13.345,-6.558) (-6.581,-5.816) (-7.865,-12.746)      2.53316  4.5351  4.29956  2.53316  
10    -19.85919  -6.58058  12.92678 -27.35063 -25.27616  -6.23236     (-13.279,-6.346) (-6.581,-6.003) (-8.078,-12.813)      2.51977  4.82171  4.43586  2.51977  
