Fol_2018-05-05.11_53_46.6_5.txt     Output is probe cell, reduced cell, NCDist distance between
0    -59.09471  18.03816 -21.98560  -3.75696  -8.25613  -3.51135     (-1.311,-0.437) (-3.764,-0.166) (-0.641,-2.629) 0
1    -58.51104  17.81794 -21.77001  -3.72343  -8.17442  -3.50245     (-3.505,-1.159) (-5.067,-0.840) (-0.142,-1.627) 1.73049
2    -57.92737  17.59772 -21.55441  -3.68990  -8.09270  -3.49354     (-5.008,-5.342) (-0.520,-0.652) (-1.194,-1.652) 3.12456
3    -57.34370  17.37750 -21.33881  -3.65637  -8.01098  -3.48463     (-1.559,-5.215) (-0.260,-0.583) (-2.269,-6.109) 3.91763
4    -56.76003  17.15727 -21.12321  -3.62284  -7.92927  -3.47572     (-0.945,-4.568) (-1.041,-1.035) (-2.825,-6.690) 4.27156
5    -56.17635  16.93705 -20.90761  -3.58931  -7.84755  -3.46681     (-0.332,-3.921) (-1.821,-1.486) (-3.380,-7.271) 4.73424
6    -55.59268  16.71683 -20.69201  -3.55577  -7.76583  -3.45790     (-0.282,-3.556) (-2.320,-3.654) (-1.655,-7.570) 4.98894
7    -55.00901  16.49661 -20.47641  -3.52224  -7.68412  -3.44899     (-0.895,-3.522) (-2.487,-3.595) (-1.493,-7.538) 5.01158
8    -54.42534  16.27639 -20.26081  -3.48871  -7.60240  -3.44008     (-1.509,-3.489) (-2.654,-3.537) (-1.330,-7.505) 5.11056
9    -53.84167  16.05617 -20.04521  -3.45518  -7.52068  -3.43117     (-2.122,-3.455) (-2.821,-3.479) (-1.168,-7.473) 5.26004
10    -53.25800  15.83594 -19.82962  -3.42165  -7.43896  -3.42226     (-2.988,-3.421) (-1.005,-7.440) (-2.735,-3.422) 5.48549
11    -52.67433  15.61572 -19.61402  -3.38812  -7.35725  -3.41335     (-3.155,-3.363) (-0.843,-7.408) (-3.349,-3.388) 5.76541
12    -52.09066  15.39550 -19.39842  -3.35459  -7.27553  -3.40444     (-3.322,-3.305) (-0.680,-7.375) (-3.962,-3.355) 5.89174
13    -51.50699  15.17528 -19.18282  -3.32105  -7.19381  -3.39554     (-3.489,-3.247) (-0.518,-7.343) (-4.576,-3.321) 6.04475
14    -50.92331  14.95506 -18.96722  -3.28752  -7.11210  -3.38663     (-3.656,-3.188) (-0.356,-7.310) (-5.189,-3.288) 6.26401
15    -50.33964  14.73484 -18.75162  -3.25399  -7.03038  -3.37772     (-3.824,-3.130) (-0.193,-7.278) (-5.803,-3.254) 6.54285
16    -49.75597  14.51461 -18.53602  -3.22046  -6.94866  -3.36881     (-3.991,-3.072) (-0.031,-7.245) (-6.416,-3.220) 6.87403
17    -49.17230  14.29439 -18.32042  -3.18693  -6.86695  -3.35990     (-3.055,-2.882) (-0.132,-7.344) (-6.898,-4.026) 7.09282
18    -48.58863  14.07417 -18.10483  -3.15340  -6.78523  -3.35099     (-2.859,-2.662) (-0.294,-7.474) (-7.349,-4.031) 7.31576
19    -48.00496  13.85395 -17.88923  -3.11987  -6.70351  -3.34208     (-2.664,-2.441) (-0.456,-7.604) (-7.800,-4.035) 7.5763
20    -47.42129  13.63373 -17.67363  -3.08634  -6.62180  -3.33317     (-2.468,-2.221) (-0.619,-7.734) (-8.251,-4.040) 7.87068
21    -46.83762  13.41350 -17.45803  -3.05280  -6.54008  -3.32426     (-2.272,-2.000) (-0.781,-7.864) (-8.702,-4.045) 8.19527
22    -46.25394  13.19328 -17.24243  -3.01927  -6.45836  -3.31535     (-2.076,-1.780) (-0.944,-7.994) (-9.153,-4.049) 8.54663
23    -45.67027  12.97306 -17.02683  -2.98574  -6.37665  -3.30644     (-1.880,-1.559) (-1.106,-8.124) (-9.604,-4.054) 8.88253
24    -45.08660  12.75284 -16.81123  -2.95221  -6.29493  -3.29754     (-1.684,-1.339) (-1.268,-8.254) (-10.055,-4.058) 9.23813
25    -44.50293  12.53262 -16.59563  -2.91868  -6.21321  -3.28863     (-1.488,-1.118) (-1.431,-8.384) (-10.507,-4.063) 9.61531
26    -43.91926  12.31240 -16.38003  -2.88515  -6.13150  -3.27972     (-1.292,-0.897) (-1.593,-8.514) (-10.958,-4.068) 9.99802
27    -43.33559  12.09217 -16.16444  -2.85162  -6.04978  -3.27081     (-1.096,-0.677) (-1.756,-8.644) (-11.409,-4.072) 10.3847
28    -42.75192  11.87195 -15.94884  -2.81808  -5.96806  -3.26190     (-0.900,-0.456) (-1.918,-8.774) (-11.860,-4.077) 10.7884
29    -42.16825  11.65173 -15.73324  -2.78455  -5.88635  -3.25299     (-0.704,-0.236) (-2.080,-8.904) (-12.311,-4.082) 11.2074
30    -41.58457  11.43151 -15.51764  -2.75102  -5.80463  -3.24408     (-0.508,-0.015) (-2.243,-9.034) (-12.762,-4.086) 11.64
31    -41.00090  11.21129 -15.30204  -2.71749  -5.72291  -3.23517     (-0.518,-0.205) (-13.007,-8.958) (-2.200,-3.885) 11.7438
32    -40.41723  10.99107 -15.08644  -2.68396  -5.64119  -3.22626     (-0.542,-0.426) (-13.238,-8.867) (-2.142,-3.669) 11.816
33    -39.83356  10.77084 -14.87084  -2.65043  -5.55948  -3.21735     (-0.567,-0.647) (-13.468,-8.777) (-2.084,-3.453) 11.9012
34    -39.24989  10.55062 -14.65524  -2.61690  -5.47776  -3.20844     (-0.592,-0.867) (-13.699,-8.686) (-2.025,-3.238) 11.9992
35    -38.66622  10.33040 -14.43965  -2.58337  -5.39604  -3.19954     (-0.616,-1.088) (-13.929,-8.596) (-1.967,-3.022) 12.1096
36    -38.08255  10.11018 -14.22405  -2.54983  -5.31433  -3.19063     (-0.641,-1.308) (-14.160,-8.505) (-1.909,-2.806) 12.2322
37    -37.49888   9.88996 -14.00845  -2.51630  -5.23261  -3.18172     (-0.665,-1.529) (-14.390,-8.414) (-1.851,-2.590) 12.3662
38    -36.91520   9.66973 -13.79285  -2.48277  -5.15089  -3.17281     (-0.690,-1.749) (-14.621,-8.324) (-1.793,-2.374) 12.4926
39    -36.33153   9.44951 -13.57725  -2.44924  -5.06918  -3.16390     (-0.715,-1.970) (-14.851,-8.233) (-1.735,-2.158) 12.6304
40    -35.74786   9.22929 -13.36165  -2.41571  -4.98746  -3.15499     (-0.739,-2.190) (-15.082,-8.142) (-1.676,-1.942) 12.7793
41    -35.16419   9.00907 -13.14605  -2.38218  -4.90574  -3.14608     (-0.764,-2.411) (-15.312,-8.052) (-1.618,-1.726) 12.939
42    -34.58052   8.78885 -12.93045  -2.34865  -4.82403  -3.13717     (-0.789,-2.632) (-15.543,-7.961) (-1.560,-1.510) 13.1089
43    -33.99685   8.56863 -12.71485  -2.31511  -4.74231  -3.12826     (-0.813,-2.852) (-15.773,-7.871) (-1.502,-1.294) 13.2888
44    -33.41318   8.34840 -12.49926  -2.28158  -4.66059  -3.11935     (-0.838,-3.073) (-16.004,-7.780) (-1.444,-1.078) 13.4781
45    -32.82951   8.12818 -12.28366  -2.24805  -4.57888  -3.11044     (-0.862,-3.293) (-16.234,-7.689) (-1.386,-0.862) 13.6766
46    -32.24583   7.90796 -12.06806  -2.21452  -4.49716  -3.10153     (-0.887,-3.514) (-16.465,-7.599) (-1.328,-0.646) 13.8839
47    -31.66216   7.68774 -11.85246  -2.18099  -4.41544  -3.09263     (-0.912,-3.734) (-16.695,-7.508) (-1.269,-0.430) 14.0994
48    -31.07849   7.46752 -11.63686  -2.14746  -4.33373  -3.08372     (-0.936,-3.955) (-16.926,-7.417) (-1.211,-0.214) 14.323
49    -30.49482   7.24729 -11.42126  -2.11393  -4.25201  -3.07481     (-17.155,-4.174) (-0.959,-7.325) (-1.155,-0.001) 14.5832
50    -29.91115   7.02707 -11.20566  -2.08039  -4.17029  -3.06590     (-17.169,-4.179) (-0.768,-7.019) (-1.312,-0.217) 14.4897
51    -29.32748   6.80685 -10.99006  -2.04686  -4.08858  -3.05699     (-17.184,-4.183) (-0.577,-6.712) (-1.470,-0.433) 14.4096
52    -28.74381   6.58663 -10.77447  -2.01333  -4.00686  -3.04808     (-17.198,-4.188) (-0.385,-6.406) (-1.628,-0.649) 14.3433
53    -28.16014   6.36641 -10.55887  -1.97980  -3.92514  -3.03917     (-17.213,-4.192) (-0.194,-6.099) (-1.786,-0.865) 14.2907
54    -27.57647   6.14619 -10.34327  -1.94627  -3.84342  -3.03026     (-17.228,-4.197) (-0.003,-5.793) (-1.943,-1.081) 14.2522
55    -26.99279   5.92596 -10.12767  -1.91274  -3.76171  -3.02135     (-1.109,-4.013) (-0.188,-5.674) (-1.913,-17.054) 14.0165
56    -26.40912   5.70574  -9.91207  -1.87921  -3.67999  -3.01244     (-1.133,-3.827) (-0.380,-5.559) (-1.879,-16.877) 13.7821
57    -25.82545   5.48552  -9.69647  -1.84568  -3.59827  -3.00353     (-1.158,-3.640) (-0.571,-5.444) (-1.846,-16.700) 13.5523
58    -25.24178   5.26530  -9.48087  -1.81214  -3.51656  -2.99463     (-1.182,-3.453) (-0.762,-5.329) (-1.812,-16.523) 13.3273
59    -24.65811   5.04508  -9.26527  -1.77861  -3.43484  -2.98572     (-1.207,-3.266) (-0.954,-5.213) (-1.779,-16.347) 13.1075
60    -24.07444   4.82486  -9.04967  -1.74508  -3.35312  -2.97681     (-1.232,-3.080) (-1.145,-5.098) (-1.745,-16.170) 12.8931
61    -23.49077   4.60463  -8.83408  -1.71155  -3.27141  -2.96790     (-1.256,-2.893) (-1.336,-4.983) (-1.712,-15.993) 12.6843
62    -22.90710   4.38441  -8.61848  -1.67802  -3.18969  -2.95899     (-1.281,-2.706) (-1.528,-4.868) (-1.678,-15.816) 12.4815
63    -22.32342   4.16419  -8.40288  -1.64449  -3.10797  -2.95008     (-1.306,-2.520) (-1.719,-4.752) (-1.644,-15.640) 12.2849
64    -21.73975   3.94397  -8.18728  -1.61096  -3.02626  -2.94117     (-1.330,-2.333) (-1.910,-4.637) (-1.611,-15.463) 12.0948
65    -21.15608   3.72375  -7.97168  -1.57742  -2.94454  -2.93226     (-1.355,-2.146) (-2.102,-4.522) (-1.577,-15.286) 11.9116
66    -20.57241   3.50352  -7.75608  -1.54389  -2.86282  -2.92335     (-1.379,-1.960) (-2.293,-4.407) (-1.544,-15.109) 11.7356
67    -19.98874   3.28330  -7.54048  -1.51036  -2.78111  -2.91444     (-1.404,-1.773) (-2.484,-4.291) (-1.510,-14.932) 11.567
68    -19.40507   3.06308  -7.32488  -1.47683  -2.69939  -2.90553     (-1.429,-1.586) (-2.676,-4.176) (-1.477,-14.756) 11.3865
69    -18.82140   2.84286  -7.10929  -1.44330  -2.61767  -2.89662     (-1.453,-1.400) (-2.867,-4.061) (-1.443,-14.579) 11.2087
70    -18.23773   2.62264  -6.89369  -1.40977  -2.53596  -2.88772     (-1.478,-1.213) (-3.058,-3.946) (-1.410,-14.402) 11.0387
71    -17.65405   2.40242  -6.67809  -1.37624  -2.45424  -2.87881     (-1.503,-1.026) (-3.249,-3.830) (-1.376,-14.225) 10.8769
72    -17.07038   2.18219  -6.46249  -1.34270  -2.37252  -2.86990     (-1.527,-0.839) (-3.441,-3.715) (-1.343,-14.049) 10.7237
73    -16.48671   1.96197  -6.24689  -1.30917  -2.29081  -2.86099     (-1.552,-0.653) (-3.632,-3.600) (-1.309,-13.872) 10.558
74    -15.90304   1.74175  -6.03129  -1.27564  -2.20909  -2.85208     (-1.576,-0.466) (-3.823,-3.485) (-1.276,-13.695) 10.3796
75    -15.31937   1.52153  -5.81569  -1.24211  -2.12737  -2.84317     (-1.601,-0.279) (-4.015,-3.369) (-1.242,-13.518) 10.2097
76    -14.73570   1.30131  -5.60009  -1.20858  -2.04565  -2.83426     (-1.626,-0.093) (-4.206,-3.254) (-1.209,-13.342) 10.0486
77    -14.15203   1.08109  -5.38449  -1.17505  -1.96394  -2.82535     (-1.744,-0.094) (-1.081,-3.045) (-4.303,-13.071) 9.76327
78    -13.56836   0.86086  -5.16890  -1.14152  -1.88222  -2.81644     (-1.956,-0.281) (-0.861,-2.743) (-4.308,-12.707) 9.36293
79    -12.98468   0.64064  -4.95330  -1.10799  -1.80050  -2.80753     (-2.167,-0.467) (-0.641,-2.441) (-4.313,-12.344) 8.98388
80    -12.40101   0.42042  -4.73770  -1.07445  -1.71879  -2.79862     (-2.378,-0.654) (-0.420,-2.139) (-4.317,-11.981) 8.6267
81    -11.81734   0.20020  -4.52210  -1.04092  -1.63707  -2.78972     (-2.590,-0.841) (-0.200,-1.837) (-4.322,-11.617) 8.28699
82    -11.23367  -0.02002  -4.30650  -1.00739  -1.55535  -2.78081     (-11.234,-1.007) (-0.020,-1.555) (-4.307,-2.781) 7.94722
83    -10.65000  -0.24025  -4.09090  -0.97386  -1.47364  -2.77190     (-10.650,-0.974) (-0.240,-1.474) (-4.091,-2.772) 7.32944
84    -10.06633  -0.46047  -3.87530  -0.94033  -1.39192  -2.76299     (-10.066,-0.940) (-0.460,-1.392) (-3.875,-2.763) 6.72087
85     -9.48266  -0.68069  -3.65970  -0.90680  -1.31020  -2.75408     (-9.483,-0.907) (-0.681,-1.310) (-3.660,-2.754) 6.12427
86     -8.89899  -0.90091  -3.44411  -0.87327  -1.22849  -2.74517     (-8.899,-0.873) (-0.901,-1.228) (-3.444,-2.745) 5.54348
87     -8.31531  -1.12113  -3.22851  -0.83973  -1.14677  -2.73626     (-8.315,-0.840) (-1.121,-1.147) (-3.229,-2.736) 4.98406
88     -7.73164  -1.34135  -3.01291  -0.80620  -1.06505  -2.72735     (-7.732,-0.806) (-1.341,-1.065) (-3.013,-2.727) 4.45405
89     -7.14797  -1.56158  -2.79731  -0.77267  -0.98334  -2.71844     (-7.148,-0.773) (-1.562,-0.983) (-2.797,-2.718) 3.96173
90     -6.56430  -1.78180  -2.58171  -0.73914  -0.90162  -2.70953     (-6.564,-0.739) (-1.782,-0.902) (-2.582,-2.710) 3.43499
91     -5.98063  -2.00202  -2.36611  -0.70561  -0.81990  -2.70062     (-5.981,-0.706) (-2.002,-0.820) (-2.366,-2.701) 2.96479
92     -5.39696  -2.22224  -2.15051  -0.67208  -0.73819  -2.69172     (-5.397,-0.672) (-2.222,-0.738) (-2.151,-2.692) 2.4749
93     -4.81329  -2.44246  -1.93491  -0.63855  -0.65647  -2.68281     (-4.813,-0.639) (-2.442,-0.656) (-1.935,-2.683) 2.08049
94     -4.22962  -2.66268  -1.71931  -0.60501  -0.57475  -2.67390     (-4.230,-0.605) (-2.663,-0.575) (-1.719,-2.674) 1.84457
95     -3.64595  -2.88291  -1.50372  -0.57148  -0.49304  -2.66499     (-3.646,-0.571) (-2.883,-0.493) (-1.504,-2.665) 1.77753
96     -3.06227  -3.10313  -1.28812  -0.53795  -0.41132  -2.65608     (-3.062,-0.538) (-3.103,-0.411) (-1.288,-2.656) 1.79639
97     -2.47860  -3.32335  -1.07252  -0.50442  -0.32960  -2.64717     (-2.479,-0.504) (-3.323,-0.330) (-1.073,-2.647) 1.33197
98     -1.89493  -3.54357  -0.85692  -0.47089  -0.24788  -2.63826     (-1.895,-0.471) (-3.544,-0.248) (-0.857,-2.638) 0.665983
99     -1.31126  -3.76379  -0.64132  -0.43736  -0.16617  -2.62935     (-1.311,-0.437) (-3.764,-0.166) (-0.641,-2.629) 0
