Fol_2018-05-14.12_51_48.7_6.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0     13.05386 -43.97906 -10.56356   9.62406 -16.47751 -20.78197     (-0.933,-0.940) (-33.416,-2.490) (-10.564,-5.238) 26.7903  27.3952  
1     13.03986 -43.96849 -10.56356   9.61348 -16.46350 -20.76641     (-0.947,-0.950) (-33.405,-2.476) (-10.564,-5.250) 26.7991  27.3933  
2     13.02586 -43.95792 -10.56356   9.60291 -16.44950 -20.75085     (-0.961,-0.961) (-33.394,-2.462) (-10.564,-5.263) 26.808  27.3914  
3     13.01186 -43.94734 -10.56356   9.59234 -16.43550 -20.73529     (-0.975,-0.971) (-33.384,-2.448) (-10.564,-5.275) 26.817  27.3895  
4     12.99786 -43.93677 -10.56356   9.58176 -16.42150 -20.71973     (-0.989,-0.982) (-33.373,-2.434) (-10.564,-5.288) 26.826  27.3878  
5     12.98386 -43.92619 -10.56356   9.57119 -16.40750 -20.70417     (-1.003,-0.992) (-33.363,-2.420) (-10.564,-5.300) 26.8351  27.3861  
6     12.96986 -43.91562 -10.56356   9.56061 -16.39350 -20.68861     (-1.017,-1.003) (-33.352,-2.406) (-10.564,-5.312) 26.8443  27.3845  
7     12.95585 -43.90504 -10.56356   9.55004 -16.37950 -20.67305     (-1.031,-1.014) (-33.341,-2.392) (-10.564,-5.325) 26.8535  27.3829  
8     12.94185 -43.89447 -10.56356   9.53947 -16.36550 -20.65749     (-1.045,-1.024) (-33.331,-2.378) (-10.564,-5.337) 26.8629  27.3815  
9     12.92785 -43.88390 -10.56356   9.52889 -16.35149 -20.64194     (-1.059,-1.035) (-33.320,-2.364) (-10.564,-5.350) 26.8723  27.3801  
10     12.91385 -43.87332 -10.56356   9.51832 -16.33749 -20.62638     (-1.073,-1.045) (-33.310,-2.350) (-10.564,-5.362) 26.8817  27.3788  
11     12.89985 -43.86275 -10.56356   9.50774 -16.32349 -20.61082     (-1.087,-1.056) (-33.299,-2.336) (-10.564,-5.375) 26.8913  27.3775  
12     12.88585 -43.85217 -10.56356   9.49717 -16.30949 -20.59526     (-1.101,-1.066) (-33.289,-2.322) (-10.564,-5.387) 26.9009  27.3764  
13     12.87185 -43.84160 -10.56356   9.48660 -16.29549 -20.57970     (-1.115,-1.077) (-33.278,-2.308) (-10.564,-5.400) 26.9105  27.3752  
14     12.85785 -43.83103 -10.56356   9.47602 -16.28149 -20.56414     (-1.129,-1.088) (-33.267,-2.294) (-10.564,-5.412) 26.9203  27.3742  
15     12.84384 -43.82045 -10.56356   9.46545 -16.26749 -20.54858     (-1.143,-1.098) (-33.257,-2.280) (-10.564,-5.424) 26.9301  27.3733  
16     12.82984 -43.80988 -10.56356   9.45487 -16.25349 -20.53302     (-1.157,-1.109) (-33.246,-2.266) (-10.564,-5.437) 26.94  27.3724  
