Fol_2018-05-14.09_01_40.1_7.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0      5.12903 -41.33696 -50.58360   0.16284   2.37241 -12.47292     (-2.372,-23.636) (-5.030,-7.501) (-33.208,-2.535) 0  6.7435e-07  
1      5.05325 -40.97022 -50.40809  -0.07755   2.27268 -12.37254     (-2.273,-24.201) (-5.710,-7.326) (-33.484,-2.195) 1.00651  1.00651  
2      4.97748 -40.60348 -50.23258  -0.31794   2.17294 -12.27216     (-2.173,-24.766) (-6.389,-7.150) (-33.759,-1.855) 2.01302  2.01302  
3      4.90171 -40.23675 -50.05707  -0.55833   2.07320 -12.17178     (-2.073,-25.330) (-7.069,-6.975) (-34.034,-1.515) 3.01954  3.01954  
4      4.82594 -39.87001 -49.88157  -0.79872   1.97347 -12.07139     (-1.973,-25.895) (-7.748,-6.799) (-34.309,-1.175) 4.02605  4.02605  
5      4.75016 -39.50327 -49.70606  -1.03912   1.87373 -11.97101     (-1.874,-26.460) (-8.428,-6.624) (-34.585,-0.835) 5.03256  5.03256  
6      4.67439 -39.13653 -49.53055  -1.27951   1.77400 -11.87063     (-1.774,-27.025) (-9.108,-6.448) (-34.860,-0.494) 6.03907  6.03907  
7      4.59862 -38.76980 -49.35504  -1.51990   1.67426 -11.77025     (-1.674,-27.590) (-9.787,-6.273) (-35.135,-0.154) 7.04558  7.04558  
8      4.52285 -38.40306 -49.17953  -1.76029   1.57452 -11.66987     (-10.281,-27.969) (-1.389,-5.912) (-35.596,-0.186) 7.93387  10.408     glitch
9      4.44708 -38.03632 -49.00403  -2.00069   1.47479 -11.56949     (-10.621,-28.193) (-0.949,-5.396) (-36.211,-0.526) 8.76769  11.0881  
10      4.37130 -37.66959 -48.82852  -2.24108   1.37505 -11.46911     (-10.960,-28.418) (-0.509,-4.880) (-36.827,-0.866) 9.6456  11.8239  
11      4.29553 -37.30285 -48.65301  -2.48147   1.27532 -11.36873     (-11.300,-28.643) (-0.069,-4.365) (-37.442,-1.206) 10.5566  12.6056  
12      4.21976 -36.93611 -48.47750  -2.72186   1.17558 -11.26835     (-1.176,-28.497) (-0.371,-4.220) (-37.687,-11.268) 10.5187  12.404  
13      4.14399 -36.56938 -48.30200  -2.96225   1.07585 -11.16797     (-1.076,-28.281) (-0.811,-4.144) (-37.862,-11.168) 10.3466  12.1869  
14      4.06822 -36.20264 -48.12649  -3.20265   0.97611 -11.06759     (-0.976,-28.066) (-1.250,-4.068) (-38.038,-11.068) 10.2007  11.9906  
15      3.99244 -35.83590 -47.95098  -3.44304   0.87637 -10.96721     (-0.876,-27.851) (-1.690,-3.992) (-38.213,-10.967) 10.0821  11.8161  
16      3.91667 -35.46916 -47.77547  -3.68343   0.77664 -10.86683     (-0.777,-27.636) (-2.130,-3.917) (-38.389,-10.867) 9.99182  11.6644  
17      3.84090 -35.10243 -47.59996  -3.92382   0.67690 -10.76645     (-0.677,-27.421) (-2.570,-3.841) (-38.564,-10.766) 9.93059  11.5364  
18      3.76513 -34.73569 -47.42446  -4.16422   0.57717 -10.66607     (-0.577,-27.205) (-3.010,-3.765) (-38.740,-10.666) 9.89897  11.433  
