Fol_2018-05-14.13_01_10.42_41.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0    -42.41575   6.63611 -19.93949 -19.78742  18.23578 -37.89805     (-1.704,-1.552) (-11.600,-18.236) (-24.180,-19.662) 21.9606  22.7476  
1    -42.37499   6.61785 -19.94374 -19.76917  18.19927 -37.87980     (-1.744,-1.570) (-11.581,-18.199) (-24.176,-19.681) 21.9512  22.7523  
2    -42.33424   6.59960 -19.94798 -19.75092  18.16276 -37.86154     (-1.785,-1.588) (-11.563,-18.163) (-24.171,-19.699) 21.9419  22.7571  
3    -42.29349   6.58135 -19.95223 -19.73266  18.12625 -37.84329     (-1.826,-1.606) (-11.545,-18.126) (-24.167,-19.717) 21.9327  22.762  
4    -42.25273   6.56309 -19.95647 -19.71441  18.08975 -37.82503     (-1.867,-1.625) (-11.527,-18.090) (-24.163,-19.735) 21.9236  22.767  
5    -42.21198   6.54484 -19.96072 -19.69615  18.05324 -37.80678     (-1.907,-1.643) (-11.508,-18.053) (-24.159,-19.754) 21.9146  22.7721  
6    -42.17123   6.52658 -19.96496 -19.67790  18.01673 -37.78853     (-1.948,-1.661) (-11.490,-18.017) (-24.154,-19.772) 21.9058  22.7773  
7    -42.13048   6.50833 -19.96921 -19.65964  17.98022 -37.77027     (-1.989,-1.679) (-11.472,-17.980) (-24.150,-19.790) 21.897  22.7827  
8    -42.08972   6.49008 -19.97345 -19.64139  17.94371 -37.75202     (-2.030,-1.698) (-11.454,-17.944) (-24.146,-19.808) 21.8884  22.7881  
9    -42.04897   6.47182 -19.97770 -19.62314  17.90721 -37.73376     (-2.070,-1.716) (-11.435,-17.907) (-24.142,-19.827) 21.8799  22.7936  
10    -42.00822   6.45357 -19.98194 -19.60488  17.87070 -37.71551     (-2.111,-1.734) (-11.417,-17.871) (-24.138,-19.845) 21.8715  22.7993  
11    -41.96747   6.43531 -19.98619 -19.58663  17.83419 -37.69726     (-2.152,-1.752) (-11.399,-17.834) (-24.133,-19.863) 21.8631  22.805  
12    -41.92671   6.41706 -19.99043 -19.56837  17.79768 -37.67900     (-2.193,-1.771) (-11.381,-17.798) (-24.129,-19.881) 21.8549  22.8109  
13    -41.88596   6.39881 -19.99467 -19.55012  17.76117 -37.66075     (-2.234,-1.789) (-11.362,-17.761) (-24.125,-19.900) 21.8469  22.8169  
