Fol_2018-05-06.17_15_18.1_13.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      8.70351 -45.33152 -47.37046   0.93374  -2.68084  -5.94501     (-2.681,-30.605) (-1.747,-32.644) (-6.023,-3.264) 0  0  1.90735e-06  0  
1      8.58851 -44.89128 -46.95280   0.61516  -2.98350  -5.91793     (-2.984,-30.698) (-2.368,-32.759) (-5.605,-2.934) 0.884571  1.746  1.3637  0.884571  
2      8.47352 -44.45103 -46.53515   0.29659  -3.28617  -5.89085     (-3.286,-30.790) (-2.990,-32.874) (-5.187,-2.605) 1.76914  3.49201  2.72741  1.76914  
3      8.35853 -44.01078 -46.11749  -0.02199  -3.58883  -5.86377     (-3.589,-30.883) (-3.611,-32.989) (-4.770,-2.275) 2.64596  5.23801  4.09111  2.65371  
4      8.24353 -43.57054 -45.69984  -0.34057  -3.89149  -5.83669     (-3.891,-30.975) (-4.232,-33.104) (-4.352,-1.945) 3.44724  6.98402  5.45481  3.53828  
5      8.12854 -43.13029 -45.28218  -0.65914  -4.19415  -5.80961     (-4.194,-31.067) (-4.853,-33.219) (-3.934,-1.615) 4.28144  8.65428  6.81852  4.42285  
6      8.01355 -42.69004 -44.86453  -0.97772  -4.49681  -5.78253     (-4.497,-31.160) (-5.475,-33.334) (-3.517,-1.286) 5.13253  9.4562  8.18222  5.30743  
7      7.89855 -42.24980 -44.44688  -1.29630  -4.79947  -5.75545     (-4.799,-31.252) (-6.096,-33.449) (-3.099,-0.956) 5.99333  10.3907  9.54593  6.192  
8      7.78356 -41.80955 -44.02922  -1.61487  -5.10213  -5.72837     (-5.102,-31.345) (-6.717,-33.564) (-2.681,-0.626) 6.86018  11.0361  10.9096  7.07657  
9      7.66856 -41.36930 -43.61157  -1.93345  -5.40479  -5.70129     (-5.405,-31.437) (-7.338,-33.679) (-2.264,-0.297) 7.73104  11.5024  12.2733  7.96114  
10      7.55357 -40.92906 -43.19391  -2.25203  -5.70745  -5.67421     (-31.496,-7.926) (-5.674,-33.761) (-0.033,-1.879) 8.51955  12.0256  13.1959  8.51955  
11      7.43858 -40.48881 -42.77626  -2.57060  -6.01012  -5.64714     (-31.259,-8.218) (-5.647,-33.546) (-0.363,-1.791) 8.56902  12.5986  13.2911  8.56902  
12      7.32358 -40.04856 -42.35860  -2.88918  -6.31278  -5.62006     (-31.021,-8.509) (-5.620,-33.331) (-0.693,-1.704) 8.65347  13.2149  13.4315  8.65347  
13      7.20859 -39.60832 -41.94095  -3.20776  -6.61544  -5.59298     (-30.784,-8.801) (-5.593,-33.117) (-1.022,-1.616) 8.7719  13.8687  13.6157  8.7719  
14      7.09360 -39.16807 -41.52329  -3.52633  -6.91810  -5.56590     (-30.547,-9.092) (-5.566,-32.902) (-1.352,-1.528) 8.92296  14.5549  13.8419  8.92296  
15      6.97860 -38.72782 -41.10564  -3.84491  -7.22076  -5.53882     (-30.309,-9.384) (-5.539,-32.687) (-1.682,-1.440) 9.10502  15.2692  14.1081  9.10502  
16      6.86361 -38.28758 -40.68798  -4.16349  -7.52342  -5.51174     (-30.072,-9.675) (-5.512,-32.473) (-2.012,-1.352) 9.31626  16.0079  14.4122  9.31626  
17      6.74862 -37.84733 -40.27033  -4.48206  -7.82608  -5.48466     (-29.835,-9.967) (-5.485,-32.258) (-2.341,-1.264) 9.55475  16.7676  14.7517  9.55475  
18      6.63362 -37.40708 -39.85268  -4.80064  -8.12874  -5.45758     (-29.597,-10.258) (-5.458,-32.043) (-2.671,-1.176) 9.81851  17.5458  15.1243  9.81851  
19      6.51863 -36.96684 -39.43502  -5.11922  -8.43140  -5.43050     (-29.360,-10.550) (-5.431,-31.828) (-3.001,-1.088) 10.1056  18.34  15.5276  10.1056  
20      6.40364 -36.52659 -39.01737  -5.43779  -8.73407  -5.40342     (-29.123,-10.841) (-5.403,-31.614) (-3.331,-1.000) 10.414  19.1482  15.9593  10.414  
21      6.28864 -36.08634 -38.59971  -5.75637  -9.03673  -5.37634     (-28.885,-11.133) (-5.376,-31.399) (-3.660,-0.912) 10.7419  19.9687  16.4171  10.7419  
22      6.17365 -35.64610 -38.18206  -6.07495  -9.33939  -5.34926     (-28.648,-11.424) (-5.349,-31.184) (-3.990,-0.824) 11.0876  20.8001  16.899  11.0876  
23      6.05866 -35.20585 -37.76440  -6.39352  -9.64205  -5.32218     (-28.411,-11.716) (-5.322,-30.969) (-4.320,-0.736) 11.4495  21.6412  17.4028  11.4495  
24      5.94366 -34.76560 -37.34675  -6.71210  -9.94471  -5.29511     (-28.173,-12.007) (-5.295,-30.755) (-4.650,-0.649) 11.8261  22.4907  17.9268  11.8261  
25      5.82867 -34.32536 -36.92909  -7.03068 -10.24737  -5.26803     (-27.936,-12.299) (-5.268,-30.540) (-4.979,-0.561) 12.216  23.3479  18.4693  12.216  
26      5.71368 -33.88511 -36.51144  -7.34925 -10.55003  -5.24095     (-27.699,-12.590) (-5.241,-30.325) (-5.309,-0.473) 12.618  24.2119  19.0286  12.618  
27      5.59868 -33.44486 -36.09379  -7.66783 -10.85269  -5.21387     (-27.461,-12.882) (-5.214,-30.110) (-5.639,-0.385) 13.031  25.082  19.6033  13.031  
28      5.48369 -33.00462 -35.67613  -7.98641 -11.15535  -5.18679     (-27.224,-13.173) (-5.187,-29.896) (-5.969,-0.297) 13.4539  25.9576  20.1922  13.4539  
29      5.36870 -32.56437 -35.25848  -8.30498 -11.45801  -5.15971     (-26.987,-13.465) (-5.160,-29.681) (-6.298,-0.209) 13.8859  26.8381  20.7939  13.8859  
30      5.25370 -32.12412 -34.84082  -8.62356 -11.76068  -5.13263     (-26.749,-13.756) (-5.133,-29.466) (-6.628,-0.121) 14.3262  27.7231  21.4075  14.3262  
31      5.13871 -31.68388 -34.42317  -8.94214 -12.06334  -5.10555     (-26.512,-14.048) (-5.106,-29.251) (-6.958,-0.033) 14.7739  28.6121  22.0319  14.7739  
32      5.02372 -31.24363 -34.00551  -9.26071 -12.36600  -5.07847     (-5.024,-14.284) (-26.220,-28.982) (-7.342,-0.055) 15.1747  29.5049  22.6839  29.9372  
33      4.90872 -30.80338 -33.58786  -9.57929 -12.66866  -5.05139     (-4.909,-14.488) (-25.895,-28.679) (-7.760,-0.143) 15.5597  29.1973  23.3682  29.6027  
34      4.79373 -30.36314 -33.17020  -9.89787 -12.97132  -5.02431     (-4.794,-14.692) (-25.569,-28.376) (-8.178,-0.231) 15.9626  28.6506  24.0753  29.2793  
35      4.67874 -29.92289 -32.75255 -10.21644 -13.27398  -4.99723     (-4.679,-14.895) (-25.244,-28.074) (-8.595,-0.318) 16.3821  28.1227  24.8038  28.9672  
36      4.56374 -29.48264 -32.33489 -10.53502 -13.57664  -4.97015     (-4.564,-15.099) (-24.919,-27.771) (-9.013,-0.406) 16.817  27.6133  25.2831  28.6668  
37      4.44875 -29.04240 -31.91724 -10.85360 -13.87930  -4.94308     (-4.449,-15.302) (-24.594,-27.468) (-9.431,-0.494) 17.2661  27.1362  25.8629  28.3786  
38      4.33376 -28.60215 -31.49959 -11.17217 -14.18196  -4.91600     (-4.334,-15.506) (-24.268,-27.166) (-9.848,-0.582) 17.7283  26.7658  26.6091  28.1029  
39      4.21876 -28.16190 -31.08193 -11.49075 -14.48463  -4.88892     (-4.219,-15.710) (-23.943,-26.863) (-10.266,-0.670) 18.2026  26.4268  27.4531  27.8401  
40      4.10377 -27.72166 -30.66428 -11.80933 -14.78729  -4.86184     (-4.104,-15.913) (-23.618,-26.561) (-10.684,-0.758) 18.6881  26.1205  28.3192  27.5905  
41      3.98877 -27.28141 -30.24662 -12.12791 -15.08995  -4.83476     (-3.989,-16.117) (-23.293,-26.258) (-11.101,-0.846) 19.184  25.8481  29.3225  27.3545  
42      3.87378 -26.84116 -29.82897 -12.44648 -15.39261  -4.80768     (-3.874,-16.320) (-22.967,-25.955) (-11.519,-0.934) 19.6894  25.6106  30.3826  27.1324  
43      3.75879 -26.40092 -29.41131 -12.76506 -15.69527  -4.78060     (-3.759,-16.524) (-22.642,-25.653) (-11.936,-1.022) 20.2037  25.409  31.2342  26.9247  
44      3.64379 -25.96067 -28.99366 -13.08364 -15.99793  -4.75352     (-3.644,-16.727) (-22.317,-25.350) (-12.354,-1.110) 20.7262  25.2441  32.0966  26.7316  
45      3.52880 -25.52042 -28.57600 -13.40221 -16.30059  -4.72644     (-3.529,-16.931) (-21.992,-25.047) (-12.772,-1.198) 21.2563  25.1167  32.9692  26.5274  
46      3.41381 -25.08018 -28.15835 -13.72079 -16.60325  -4.69936     (-3.414,-17.135) (-21.666,-24.745) (-13.189,-1.286) 21.7934  25.0274  33.851  26.3326  
47      3.29881 -24.63993 -27.74070 -14.03937 -16.90591  -4.67228     (-3.299,-17.338) (-21.341,-24.442) (-13.607,-1.373) 22.337  24.9765  34.7416  26.153  
48      3.18382 -24.19968 -27.32304 -14.35794 -17.20858  -4.64520     (-3.184,-17.542) (-21.016,-24.139) (-14.025,-1.461) 22.8867  24.9643  35.6403  25.9888  
49      3.06883 -23.75944 -26.90539 -14.67652 -17.51124  -4.61812     (-3.069,-17.745) (-20.691,-23.837) (-14.442,-1.549) 23.442  24.9909  36.5413  25.8404  
50      2.95383 -23.31919 -26.48773 -14.99510 -17.81390  -4.59105     (-2.954,-17.949) (-20.365,-23.534) (-14.860,-1.637) 24.0026  25.0562  36.7026  25.7081  
51      2.83884 -22.87894 -26.07008 -15.31367 -18.11656  -4.56397     (-2.839,-18.153) (-20.040,-23.231) (-15.278,-1.725) 24.568  25.1597  36.5694  25.592  
52      2.72385 -22.43870 -25.65242 -15.63225 -18.41922  -4.53689     (-2.724,-18.356) (-19.715,-22.929) (-15.695,-1.813) 25.0872  25.3011  36.4597  25.4924  
53      2.60885 -21.99845 -25.23477 -15.95083 -18.72188  -4.50981     (-2.609,-18.560) (-19.390,-22.626) (-16.113,-1.901) 25.0378  25.4797  36.3735  25.4096  
54      2.49386 -21.55820 -24.81711 -16.26940 -19.02454  -4.48273     (-2.494,-18.763) (-19.064,-22.323) (-16.531,-1.989) 25.0058  25.6948  36.3109  25.3436  
55      2.37887 -21.11796 -24.39946 -16.58798 -19.32720  -4.45565     (-2.379,-18.967) (-18.739,-22.021) (-16.948,-2.077) 24.991  25.9455  36.2539  25.2946  
56      2.26387 -20.67771 -23.98181 -16.90656 -19.62986  -4.42857     (-2.264,-19.170) (-18.414,-21.718) (-17.366,-2.165) 24.9936  26.2306  36.2017  25.2627  
57      2.14888 -20.23746 -23.56415 -17.22513 -19.93252  -4.40149     (-2.149,-19.374) (-18.089,-21.415) (-17.784,-2.253) 25.0136  26.6864  36.1662  25.248  
58      2.03389 -19.79722 -23.14650 -17.54371 -20.23519  -4.37441     (-2.034,-19.578) (-17.763,-21.113) (-18.201,-2.341) 25.0509  27.3628  36.1486  25.2505  
59      1.91889 -19.35697 -22.72884 -17.86229 -20.53785  -4.34733     (-1.919,-19.781) (-17.438,-20.810) (-18.619,-2.428) 25.1055  27.872  36.155  25.2701  
60      1.80390 -18.91672 -22.31119 -18.18086 -20.84051  -4.32025     (-1.804,-19.985) (-17.113,-20.507) (-19.037,-2.516) 25.1771  27.3051  36.1855  25.307  
61      1.68891 -18.47648 -21.89353 -18.49944 -21.14317  -4.29317     (-1.689,-20.188) (-16.788,-20.205) (-19.454,-2.604) 25.2658  27.3642  36.24  25.3608  
