Fol_2018-05-06.17_17_45.1_17.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      5.11377 -49.37767 -46.18451   3.46968  -4.47213  -7.30522     (-4.472,-43.622) (-1.002,-40.429) (-0.642,-2.833) 0  0  0  0  
1      5.01694 -48.88903 -45.72448   2.99400  -4.83533  -7.26004     (-4.835,-43.690) (-1.841,-40.526) (-0.182,-2.425) 1.10818  2.22815  1.71859  1.10818  
2      4.92011 -48.40039 -45.26445   2.51832  -5.19853  -7.21487     (-4.920,-2.402) (-43.480,-40.344) (-0.278,-2.295) 1.82277  4.45631  3.03447  50.4986  
3      4.82328 -47.91175 -44.80442   2.04265  -5.56173  -7.16970     (-4.823,-2.781) (-43.088,-39.981) (-0.738,-2.346) 2.43153  6.68446  4.1684  50.3225  
4      4.72646 -47.42311 -44.34439   1.56697  -5.92493  -7.12453     (-4.726,-3.159) (-42.697,-39.618) (-1.198,-2.398) 3.13169  8.69836  5.10487  50.1589  
5      4.62963 -46.93448 -43.88436   1.09130  -6.28814  -7.07935     (-4.630,-3.538) (-42.305,-39.255) (-1.659,-2.450) 3.874  10.696  6.12517  50.0078  
6      4.53280 -46.44584 -43.42433   0.61562  -6.65134  -7.03418     (-4.533,-3.917) (-41.913,-38.892) (-2.119,-2.501) 4.63827  12.7774  7.18838  49.8693  
7      4.43598 -45.95720 -42.96430   0.13994  -7.01454  -6.98901     (-4.436,-4.296) (-41.521,-38.528) (-2.579,-2.553) 4.85444  14.8696  8.27586  49.7436  
8      4.33915 -45.46856 -42.50428  -0.33573  -7.37774  -6.94383     (-4.339,-4.675) (-41.129,-38.165) (-3.039,-2.605) 5.1391  15.5185  8.77859  49.344  
9      4.24232 -44.97992 -42.04425  -0.81141  -7.74094  -6.89866     (-4.242,-5.054) (-40.738,-37.802) (-3.499,-2.656) 5.52814  16.1313  9.26314  48.8427  
