Fol_2018-05-09.10_20_17.1_23.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      8.19980 -52.65063 -51.13049   7.21827  -4.92014  -9.08887     (-1.871,-38.873) (-2.298,-41.949) (-0.982,-2.622) 0  0  2.6974e-06  9.53674e-07  
1      8.09808 -52.14201 -50.62393   6.75270  -5.29417  -9.02355     (-2.271,-39.782) (-1.459,-41.180) (-1.345,-3.836) 1.97144  2.18559  3.32254  1.97144  
2      7.99636 -51.63340 -50.11738   6.28713  -5.66820  -8.95823     (-2.671,-40.690) (-0.619,-40.412) (-1.709,-5.049) 3.47567  4.37118  6.10122  3.47567  
3      7.89463 -51.12479 -49.61082   5.82156  -6.04223  -8.89291     (-6.042,-41.378) (-0.221,-39.864) (-1.852,-2.851) 4.29455  6.22999  7.97413  4.34274  
4      7.79291 -50.61618 -49.10427   5.35599  -6.41626  -8.82758     (-6.416,-41.447) (-1.060,-39.935) (-1.377,-2.411) 4.38131  6.65671  8.43911  4.38131  
5      7.69119 -50.10757 -48.59771   4.89042  -6.79029  -8.76226     (-6.790,-41.515) (-1.900,-40.006) (-0.901,-1.972) 4.69897  6.9234  9.191  4.69897  
6      7.58947 -49.59896 -48.09116   4.42485  -7.16432  -8.69694     (-7.164,-41.584) (-2.739,-40.077) (-0.425,-1.533) 5.24525  7.76863  10.1782  5.24525  
7      7.48775 -49.09035 -47.58460   3.95928  -7.53835  -8.63162     (-7.488,-3.528) (-41.603,-40.097) (-0.051,-1.144) 5.87782  9.21943  11.2739  49.1905  
8      7.38603 -48.58174 -47.07805   3.49372  -7.91238  -8.56630     (-7.386,-3.892) (-41.196,-39.692) (-0.526,-1.180) 5.96362  10.9272  11.9269  48.9559  
9      7.28431 -48.07313 -46.57149   3.02815  -8.28641  -8.50098     (-7.284,-4.256) (-40.789,-39.287) (-1.002,-1.217) 6.16284  12.7814  12.6322  48.7345  
10      7.18259 -47.56451 -46.06494   2.56258  -8.66044  -8.43565     (-7.183,-4.620) (-40.382,-38.882) (-1.478,-1.253) 6.46499  14.6146  12.8661  48.5266  
11      7.08086 -47.05590 -45.55838   2.09701  -9.03448  -8.37033     (-7.081,-4.984) (-39.975,-38.478) (-1.954,-1.289) 6.63459  16.4318  13.0519  48.3322  
12      6.97914 -46.54729 -45.05183   1.63144  -9.40851  -8.30501     (-6.979,-5.348) (-39.568,-38.073) (-2.429,-1.326) 6.86062  18.3297  13.2741  48.1516  
13      6.87742 -46.03868 -44.54527   1.16587  -9.78254  -8.23969     (-6.877,-5.712) (-39.161,-37.668) (-2.905,-1.362) 7.17761  19.6283  13.6079  47.9849  
14      6.77570 -45.53007 -44.03872   0.70030 -10.15657  -8.17437     (-6.776,-6.075) (-38.754,-37.263) (-3.381,-1.399) 7.57415  20.3726  14.0445  47.8322  
15      6.67398 -45.02146 -43.53216   0.23473 -10.53060  -8.10904     (-6.674,-6.439) (-38.347,-36.858) (-3.857,-1.435) 8.03848  21.0718  14.5737  47.6938  
16      6.57226 -44.51285 -43.02561  -0.23083 -10.90463  -8.04372     (-6.572,-6.803) (-37.941,-36.453) (-4.332,-1.471) 8.55957  21.8168  15.1848  47.2906  
17      6.47054 -44.00424 -42.51905  -0.69640 -11.27866  -7.97840     (-6.471,-7.167) (-37.534,-36.049) (-4.808,-1.508) 9.12771  22.603  15.7657  46.7983  
18      6.36882 -43.49563 -42.01250  -1.16197 -11.65269  -7.91308     (-6.369,-7.531) (-37.127,-35.644) (-5.284,-1.544) 9.73466  23.4263  16.4064  46.3158  
19      6.26709 -42.98701 -41.50594  -1.62754 -12.02672  -7.84776     (-6.267,-7.895) (-36.720,-35.239) (-5.760,-1.581) 10.3736  24.3782  17.1143  45.8435  
