Fol_2018-05-14.12_59_04.34_33.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0      8.71123   2.39531 -36.12085 -30.86976 -34.20770 -20.02349     (-0.206,-23.890) (-2.190,-38.310) (-14.596,-6.522) 6.83802  6.83802  
1      8.70231   2.39072 -36.09930 -30.86277 -34.21180 -20.00998     (-0.215,-23.905) (-2.176,-38.275) (-14.631,-6.526) 6.84392  6.84392  
2      8.69338   2.38613 -36.07776 -30.85579 -34.21591 -19.99646     (-0.224,-23.921) (-2.163,-38.240) (-14.667,-6.531) 6.84987  6.84987  
3      8.68446   2.38154 -36.05621 -30.84880 -34.22002 -19.98295     (-0.232,-23.937) (-2.149,-38.205) (-14.702,-6.535) 6.85589  6.85589  
4      8.67553   2.37695 -36.03466 -30.84181 -34.22413 -19.96943     (-0.241,-23.952) (-2.136,-38.170) (-14.738,-6.540) 6.86195  6.86195  
5      8.66660   2.37236 -36.01312 -30.83482 -34.22823 -19.95592     (-0.250,-23.968) (-2.122,-38.135) (-14.773,-6.545) 6.86808  6.86808  
6      8.65768   2.36778 -35.99157 -30.82784 -34.23234 -19.94240     (-0.259,-23.984) (-2.109,-38.100) (-14.808,-6.549) 6.87426  6.87426  
7      8.64875   2.36319 -35.97002 -30.82085 -34.23645 -19.92889     (-0.268,-23.999) (-2.095,-38.065) (-14.844,-6.554) 6.8805  6.8805  
8      8.63983   2.35860 -35.94848 -30.81386 -34.24055 -19.91537     (-0.277,-24.015) (-2.081,-38.030) (-14.879,-6.558) 6.88679  6.88679  
9      8.63090   2.35401 -35.92693 -30.80688 -34.24466 -19.90186     (-0.286,-24.031) (-2.068,-37.995) (-14.915,-6.563) 6.89314  6.89314  
10      8.62198   2.34942 -35.90538 -30.79989 -34.24877 -19.88834     (-0.295,-24.047) (-2.054,-37.960) (-14.950,-6.568) 6.89954  6.89954  
11      8.61305   2.34483 -35.88384 -30.79290 -34.25287 -19.87483     (-0.304,-24.062) (-2.041,-37.925) (-14.986,-6.572) 6.906  6.906  
12      8.60412   2.34024 -35.86229 -30.78591 -34.25698 -19.86131     (-0.313,-24.078) (-2.027,-37.890) (-15.021,-6.577) 6.91252  6.91252  
