Fol_2018-05-05.12_27_50.2_17.txt     Output is probe cell, reduced cell, NCDist distance between
0    -1000.02844 419.45430 -1791.98508 -1892.12979 547.33757 -836.30510     (-1244.648,-1344.792) (-127.883,-547.338) (-452.691,-288.968) 0
1    -1002.49934 413.92563 -1778.45686 -1886.60113 536.28025 -830.77643     (-1242.177,-1350.321) (-122.355,-536.280) (-466.219,-294.496) 20.0769
2    -1004.97024 408.39697 -1764.92863 -1881.07247 525.22292 -825.24777     (-1239.706,-1355.850) (-116.826,-525.223) (-479.747,-300.025) 40.1538
3    -1007.44114 402.86831 -1751.40041 -1875.54381 514.16560 -819.71911     (-1237.235,-1361.378) (-111.297,-514.166) (-493.276,-305.554) 60.2306
4    -1009.91204 397.33965 -1737.87218 -1870.01514 503.10827 -814.19045     (-1234.764,-1366.907) (-105.769,-503.108) (-506.804,-311.082) 80.3075
5    -1012.38294 391.81099 -1724.34396 -1864.48648 492.05095 -808.66179     (-1232.293,-1372.436) (-100.240,-492.051) (-520.332,-316.611) 100.384
6    -1014.85384 386.28232 -1710.81573 -1858.95782 480.99362 -803.13312     (-1229.822,-1377.964) (-94.711,-480.994) (-533.860,-322.139) 120.461
7    -1017.32474 380.75366 -1697.28751 -1853.42916 469.93630 -797.60446     (-1227.351,-1383.493) (-89.183,-469.936) (-547.388,-327.668) 140.538
8    -1019.79564 375.22500 -1683.75929 -1847.90049 458.87898 -792.07580     (-1224.880,-1389.022) (-83.654,-458.879) (-560.917,-333.197) 160.615
9    -1022.26654 369.69634 -1670.23106 -1842.37183 447.82165 -786.54714     (-1222.409,-1394.550) (-78.125,-447.822) (-574.445,-338.725) 180.692
10    -1024.73744 364.16767 -1656.70284 -1836.84317 436.76433 -781.01847     (-1219.939,-1400.079) (-72.597,-436.764) (-587.973,-344.254) 200.769
11    -1027.20833 358.63901 -1643.17461 -1831.31451 425.70700 -775.48981     (-1217.468,-1405.608) (-67.068,-425.707) (-601.501,-349.783) 220.846
12    -1029.67923 353.11035 -1629.64639 -1825.78584 414.64968 -769.96115     (-1214.997,-1411.136) (-61.539,-414.650) (-615.030,-355.311) 227.14
13    -1032.15013 347.58169 -1616.11816 -1820.25718 403.59235 -764.43249     (-1212.526,-1416.665) (-56.011,-403.592) (-628.558,-360.840) 232.782
14    -1034.62103 342.05302 -1602.58994 -1814.72852 392.53503 -758.90382     (-1210.055,-1422.193) (-50.482,-392.535) (-642.086,-366.369) 239.977
15    -1037.09193 336.52436 -1589.06171 -1809.19986 381.47770 -753.37516     (-1207.584,-1427.722) (-44.953,-381.478) (-655.614,-371.897) 248.588
16    -1039.56283 330.99570 -1575.53349 -1803.67120 370.42038 -747.84650     (-1205.113,-1433.251) (-39.425,-370.420) (-669.142,-377.426) 258.476
17    -1042.03373 325.46704 -1562.00527 -1798.14253 359.36305 -742.31784     (-1202.642,-1438.779) (-33.896,-359.363) (-682.671,-382.955) 269.498
18    -1044.50463 319.93837 -1548.47704 -1792.61387 348.30573 -736.78917     (-1200.171,-1444.308) (-28.367,-348.306) (-696.199,-388.483) 281.523
19    -1046.97553 314.40971 -1534.94882 -1787.08521 337.24840 -731.26051     (-1197.700,-1449.837) (-22.839,-337.248) (-709.727,-394.012) 294.427
20    -1049.44643 308.88105 -1521.42059 -1781.55655 326.19108 -725.73185     (-1195.230,-1455.365) (-17.310,-326.191) (-723.255,-399.541) 308.1
21    -1051.91733 303.35239 -1507.89237 -1776.02788 315.13375 -720.20319     (-1192.759,-1460.894) (-11.781,-315.134) (-736.784,-405.069) 322.443
22    -1054.38823 297.82373 -1494.36414 -1770.49922 304.07643 -714.67453     (-1190.288,-1466.423) (-6.253,-304.076) (-750.312,-410.598) 337.373
23    -1056.85913 292.29506 -1480.83592 -1764.97056 293.01910 -709.14586     (-1187.817,-1471.951) (-0.724,-293.019) (-763.840,-416.127) 352.813
24    -1059.33003 286.76640 -1467.30769 -1759.44190 281.96178 -703.61720     (-416.851,-1472.675) (-286.766,-4.805) (-1180.541,-772.564) 396.762
25    -1061.80093 281.23774 -1453.77947 -1753.91323 270.90446 -698.08854     (-416.851,-1472.675) (-281.238,-10.333) (-1172.542,-780.563) 406.502
26    -1064.27183 275.70908 -1440.25125 -1748.38457 259.84713 -692.55988     (-416.851,-1472.675) (-275.709,-15.862) (-1164.542,-788.563) 416.469
27    -1066.74273 270.18041 -1426.72302 -1742.85591 248.78981 -687.03121     (-416.851,-1472.675) (-270.180,-21.391) (-1156.543,-796.562) 426.646
28    -1069.21363 264.65175 -1413.19480 -1737.32725 237.73248 -681.50255     (-416.851,-1472.675) (-264.652,-26.919) (-1148.543,-804.562) 437.019
29    -1071.68453 259.12309 -1399.66657 -1731.79858 226.67516 -675.97389     (-416.851,-1472.675) (-259.123,-32.448) (-1140.543,-812.561) 447.574
30    -1074.15543 253.59443 -1386.13835 -1726.26992 215.61783 -670.44523     (-416.851,-1472.675) (-253.594,-37.977) (-1132.544,-820.561) 458.298
31    -1076.62633 248.06576 -1372.61012 -1720.74126 204.56051 -664.91656     (-416.851,-1472.675) (-248.066,-43.505) (-1124.544,-828.561) 469.181
32    -1079.09723 242.53710 -1359.08190 -1715.21260 193.50318 -659.38790     (-416.851,-1472.675) (-242.537,-49.034) (-1116.545,-836.560) 480.211
