Fol_2018-05-06.17_17_10.1_16.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      8.13006 -44.68865 -48.20254   2.46531   0.78102  -7.94107     (-0.781,-21.155) (-0.667,-8.911) (-29.599,-3.246) 0  0  1.90735e-06  0  
1      8.04005 -44.24399 -48.01463   2.22673   0.68312  -7.89365     (-0.683,-21.661) (-1.391,-8.723) (-29.885,-2.910) 0.926611  1.70435  1.90645  1.00969  
2      7.95004 -43.79933 -47.82672   1.98814   0.58522  -7.84623     (-0.585,-22.167) (-2.114,-8.535) (-30.171,-2.573) 1.9314  3.10992  3.8129  2.01937  
3      7.86003 -43.35467 -47.63881   1.74955   0.48732  -7.79881     (-0.487,-22.674) (-2.838,-8.347) (-30.457,-2.237) 2.64183  3.43622  5.67314  3.02906  
4      7.77002 -42.91001 -47.45090   1.51096   0.38942  -7.75138     (-0.389,-23.180) (-3.561,-8.159) (-30.743,-1.900) 2.9054  3.92127  6.98021  4.03875  
5      7.68001 -42.46535 -47.26299   1.27238   0.29152  -7.70396     (-0.292,-23.686) (-4.285,-7.972) (-31.028,-1.564) 3.45577  4.51419  8.34135  5.04844  
6      7.59000 -42.02070 -47.07508   1.03379   0.19362  -7.65654     (-0.194,-24.192) (-5.008,-7.784) (-31.314,-1.227) 4.18118  4.94218  9.85167  6.05812  
7      7.49999 -41.57604 -46.88717   0.79520   0.09572  -7.60912     (-0.096,-24.698) (-5.732,-7.596) (-31.600,-0.891) 5.00611  5.36502  11.4492  7.06781  
8      7.40998 -41.13138 -46.69926   0.55661  -0.00218  -7.56170     (-0.002,-25.207) (-6.453,-31.884) (-7.406,-0.552) 5.88899  5.88  13.1022  5.8996  
9      7.31996 -40.68672 -46.51134   0.31803  -0.10008  -7.51428     (-0.100,-25.811) (-7.078,-32.072) (-7.120,-0.118) 6.81521  6.46515  14.797  6.8155  
10      7.22995 -40.24206 -46.32343   0.07944  -0.19798  -7.46685     (-0.198,-25.980) (-0.119,-32.062) (-7.032,-7.269) 7.07214  7.08389  15.6292  9.30482  
11      7.13994 -39.79740 -46.13552  -0.15915  -0.29588  -7.41943     (-0.296,-25.813) (-0.455,-32.152) (-6.844,-7.124) 6.96816  7.32777  15.6575  9.06628  
12      7.04993 -39.35274 -45.94761  -0.39773  -0.39378  -7.37201     (-0.394,-25.647) (-0.792,-32.242) (-6.656,-6.978) 6.87717  7.65792  15.7192  8.84564  
13      6.95992 -38.90808 -45.75970  -0.63632  -0.49168  -7.32459     (-0.492,-25.480) (-1.128,-32.332) (-6.468,-6.833) 6.8166  7.80775  15.8013  8.64428  
14      6.86991 -38.46342 -45.57179  -0.87491  -0.58958  -7.27717     (-0.590,-25.313) (-1.464,-32.422) (-6.280,-6.688) 6.78726  7.99019  15.9117  8.46358  
15      6.77990 -38.01876 -45.38388  -1.11350  -0.68748  -7.22975     (-0.687,-25.146) (-1.801,-32.512) (-6.092,-6.542) 6.78954  8.24259  16.0509  8.30488  
16      6.68989 -37.57410 -45.19597  -1.35208  -0.78538  -7.18233     (-0.785,-24.980) (-2.137,-32.602) (-5.905,-6.397) 6.82344  8.55877  16.2187  8.16946  
17      6.59988 -37.12944 -45.00806  -1.59067  -0.88328  -7.13490     (-0.883,-24.813) (-2.474,-32.692) (-5.717,-6.252) 6.88846  8.93196  16.4146  8.05851  
18      6.50987 -36.68478 -44.82014  -1.82926  -0.98118  -7.08748     (-0.981,-24.646) (-2.810,-32.782) (-5.529,-6.106) 6.98376  9.35533  16.4757  7.97303  
19      6.41985 -36.24012 -44.63223  -2.06785  -1.07908  -7.04006     (-1.079,-24.479) (-3.147,-32.872) (-5.341,-5.961) 7.1081  9.82241  16.4439  7.91386  
20      6.32984 -35.79546 -44.44432  -2.30643  -1.17698  -6.99264     (-1.177,-24.313) (-3.483,-32.962) (-5.153,-5.816) 7.25999  10.3273  16.4048  7.88159  
21      6.23983 -35.35080 -44.25641  -2.54502  -1.27488  -6.94522     (-1.275,-24.146) (-3.820,-33.052) (-4.965,-5.670) 7.43776  10.8209  16.4141  7.87654  
22      6.14982 -34.90615 -44.06850  -2.78361  -1.37278  -6.89780     (-1.373,-23.979) (-4.156,-33.142) (-4.777,-5.525) 7.63959  11.2912  16.5055  7.89878  
23      6.05981 -34.46149 -43.88059  -3.02219  -1.47068  -6.85037     (-1.471,-23.813) (-4.493,-33.232) (-4.589,-5.380) 7.86363  11.799  16.5781  7.94807  
24      5.96980 -34.01683 -43.69268  -3.26078  -1.56858  -6.80295     (-1.569,-23.646) (-4.829,-33.322) (-4.401,-5.234) 7.97182  12.3397  16.6763  8.02391  
25      5.87979 -33.57217 -43.50477  -3.49937  -1.66648  -6.75553     (-1.666,-23.479) (-5.166,-33.412) (-4.213,-5.089) 8.07755  12.9091  16.7997  8.12556  
26      5.78978 -33.12751 -43.31686  -3.73796  -1.76438  -6.70811     (-1.764,-23.312) (-5.502,-33.502) (-4.025,-4.944) 8.20817  13.5038  16.9476  8.25207  
27      5.69977 -32.68285 -43.12895  -3.97654  -1.86228  -6.66069     (-1.862,-23.146) (-5.839,-33.592) (-3.837,-4.798) 8.36251  14.1203  17.1194  8.40231  
28      5.60976 -32.23819 -42.94103  -4.21513  -1.96018  -6.61327     (-1.960,-22.979) (-6.175,-33.682) (-3.650,-4.653) 8.53928  14.7561  17.3145  8.57504  
29      5.51974 -31.79353 -42.75312  -4.45372  -2.05808  -6.56585     (-2.058,-22.812) (-6.512,-33.772) (-3.462,-4.508) 8.73712  15.4087  17.5321  8.76893  
30      5.42973 -31.34887 -42.56521  -4.69231  -2.15598  -6.51842     (-2.156,-22.645) (-6.848,-33.862) (-3.274,-4.362) 8.95464  15.8156  17.7712  8.9826  
31      5.33972 -30.90421 -42.37730  -4.93089  -2.25388  -6.47100     (-2.254,-22.479) (-7.185,-33.952) (-3.086,-4.217) 9.19044  16.1977  18.0312  9.21469  
32      5.24971 -30.45955 -42.18939  -5.16948  -2.35178  -6.42358     (-2.352,-22.312) (-7.521,-34.042) (-2.898,-4.072) 9.44315  16.5347  18.311  9.46383  
33      5.15970 -30.01489 -42.00148  -5.40807  -2.44968  -6.37616     (-2.450,-22.145) (-7.858,-34.132) (-2.710,-3.926) 9.71145  16.7784  18.6098  9.72872  
34      5.06969 -29.57023 -41.81357  -5.64666  -2.54758  -6.32874     (-2.548,-21.978) (-8.194,-34.222) (-2.522,-3.781) 9.99409  17.0377  18.9267  10.0081  
35      4.97968 -29.12557 -41.62566  -5.88524  -2.64548  -6.28132     (-2.645,-21.812) (-8.531,-34.312) (-2.334,-3.636) 10.2899  17.3119  19.2608  10.3008  
36      4.88967 -28.68091 -41.43775  -6.12383  -2.74338  -6.23389     (-2.743,-21.645) (-8.867,-34.402) (-2.146,-3.491) 10.5977  17.6003  19.6112  10.6057  
37      4.79966 -28.23626 -41.24983  -6.36242  -2.84128  -6.18647     (-2.841,-21.478) (-9.204,-34.492) (-1.958,-3.345) 10.9166  17.9022  19.9771  10.9218  
38      4.70965 -27.79160 -41.06192  -6.60100  -2.93918  -6.13905     (-2.939,-21.311) (-9.540,-34.582) (-1.770,-3.200) 11.2456  18.217  20.3576  11.2482  
39      4.61963 -27.34694 -40.87401  -6.83959  -3.03708  -6.09163     (-3.037,-21.145) (-9.877,-34.672) (-1.583,-3.055) 11.5837  18.5439  20.7519  11.5839  
40      4.52962 -26.90228 -40.68610  -7.07818  -3.13498  -6.04421     (-3.135,-20.978) (-10.213,-34.762) (-1.395,-2.909) 11.9282  18.8824  21.1593  11.9282  
41      4.43961 -26.45762 -40.49819  -7.31677  -3.23288  -5.99679     (-3.233,-20.811) (-10.550,-34.852) (-1.207,-2.764) 12.2804  19.2318  21.5789  12.2804  
42      4.34960 -26.01296 -40.31028  -7.55535  -3.33078  -5.94936     (-3.331,-20.645) (-10.886,-34.942) (-1.019,-2.619) 12.6398  19.5916  22.0102  12.6398  
43      4.25959 -25.56830 -40.12237  -7.79394  -3.42868  -5.90194     (-3.429,-20.478) (-11.223,-35.032) (-0.831,-2.473) 13.0059  19.9612  22.4524  13.0059  
44      4.16958 -25.12364 -39.93446  -8.03253  -3.52658  -5.85452     (-3.527,-20.311) (-11.559,-35.122) (-0.643,-2.328) 13.3779  20.34  22.9049  13.3779  
45      4.07957 -24.67898 -39.74655  -8.27112  -3.62448  -5.80710     (-3.624,-20.144) (-11.896,-35.212) (-0.455,-2.183) 13.7556  20.7276  23.3672  13.7556  
46      3.98956 -24.23432 -39.55864  -8.50970  -3.72238  -5.75968     (-3.722,-19.978) (-12.232,-35.302) (-0.267,-2.037) 14.1384  21.1235  23.8385  14.1384  
47      3.89955 -23.78966 -39.37072  -8.74829  -3.82028  -5.71226     (-3.820,-19.811) (-12.569,-35.392) (-0.079,-1.892) 14.5259  21.5272  24.3185  14.5259  
48      3.80954 -23.34500 -39.18281  -8.98688  -3.91818  -5.66484     (-3.810,-12.796) (-19.535,-35.373) (-0.109,-1.855) 13.6647  21.9382  24.6695  21.3683  
49      3.71953 -22.90034 -38.99490  -9.22546  -4.01608  -5.61741     (-3.720,-12.945) (-19.181,-35.275) (-0.297,-1.898) 13.7451  22.3563  24.9366  20.9257  
50      3.62951 -22.45568 -38.80699  -9.46405  -4.11398  -5.56999     (-3.630,-13.094) (-18.826,-35.177) (-0.484,-1.940) 13.8397  22.7809  25.2218  20.4835  
51      3.53950 -22.01102 -38.61908  -9.70264  -4.21188  -5.52257     (-3.540,-13.242) (-18.472,-35.080) (-0.672,-1.983) 13.9481  23.2118  25.5248  20.0416  
