Fol_2018-05-05.09_55_20.1_25.txt     Output is probe cell, reduced cell, NCDist distance between
0    -41.38767  81.58055 -34.80788 -319.04355 -253.88348 -245.83575     (-117.483,-34.808) (-190.690,-288.691) (-46.773,-6.580) 0
1    -42.15631  78.83034 -34.92874 -316.17248 -254.23507 -243.41902     (-120.687,-34.929) (-193.441,-289.164) (-43.902,-7.228) 5.17042
2    -42.92494  76.08013 -35.04960 -313.30141 -254.58667 -241.00229     (-123.892,-35.050) (-196.191,-289.636) (-41.031,-7.875) 10.3408
3    -43.69358  73.32992 -35.17045 -310.43035 -254.93826 -238.58557     (-127.096,-35.170) (-198.941,-290.109) (-38.159,-8.523) 15.5113
4    -44.46221  70.57971 -35.29131 -307.55928 -255.28986 -236.16884     (-130.301,-35.291) (-201.691,-290.581) (-35.288,-9.171) 20.6817
5    -45.23085  67.82950 -35.41217 -304.68821 -255.64145 -233.75211     (-133.505,-35.412) (-204.441,-291.054) (-32.417,-9.819) 25.8521
6    -45.99948  65.07929 -35.53302 -301.81714 -255.99305 -231.33539     (-136.710,-35.533) (-207.192,-291.526) (-29.546,-10.466) 31.0225
7    -46.76812  62.32908 -35.65388 -298.94608 -256.34464 -228.91866     (-139.914,-35.654) (-209.942,-291.999) (-26.675,-11.114) 36.193
8    -47.53675  59.57887 -35.77474 -296.07501 -256.69624 -226.50193     (-143.119,-35.775) (-212.692,-292.471) (-23.804,-11.762) 41.3634
9    -48.30539  56.82865 -35.89559 -293.20394 -257.04783 -224.08521     (-146.323,-35.896) (-215.442,-292.943) (-20.933,-12.410) 46.5338
10    -49.07402  54.07844 -36.01645 -290.33288 -257.39943 -221.66848     (-149.528,-36.016) (-218.192,-293.416) (-18.062,-13.058) 51.7042
11    -49.84266  51.32823 -36.13730 -287.46181 -257.75102 -219.25175     (-152.733,-36.137) (-220.943,-293.888) (-15.191,-13.705) 56.8746
12    -50.61129  48.57802 -36.25816 -284.59074 -258.10262 -216.83503     (-155.937,-36.258) (-223.693,-294.361) (-12.320,-14.353) 62.0451
13    -51.37993  45.82781 -36.37902 -281.71967 -258.45421 -214.41830     (-159.142,-36.379) (-226.443,-294.833) (-9.449,-15.001) 67.2155
14    -52.14856  43.07760 -36.49987 -278.84861 -258.80581 -212.00157     (-162.346,-36.500) (-229.193,-295.306) (-6.578,-15.649) 72.3859
15    -52.91720  40.32739 -36.62073 -275.97754 -259.15740 -209.58485     (-165.551,-36.621) (-231.943,-295.778) (-3.707,-16.296) 77.5563
16    -53.68583  37.57718 -36.74159 -273.10647 -259.50900 -207.16812     (-168.755,-36.742) (-234.694,-296.251) (-0.836,-16.944) 82.7268
17    -54.45447  34.82697 -36.86244 -270.23540 -259.86059 -204.75139     (-169.924,-235.408) (-34.827,-294.688) (-2.035,-19.628) 74.8124
18    -55.22310  32.07676 -36.98330 -267.36434 -260.21219 -202.33466     (-170.258,-235.288) (-32.077,-292.289) (-4.907,-23.146) 74.0587
19    -55.99174  29.32655 -37.10416 -264.49327 -260.56378 -199.91794     (-170.591,-235.167) (-29.327,-289.890) (-7.778,-26.665) 73.7606
20    -56.76037  26.57633 -37.22501 -261.62220 -260.91538 -197.50121     (-170.925,-235.046) (-26.576,-287.492) (-10.649,-30.184) 73.9236
21    -57.52901  23.82612 -37.34587 -258.75113 -261.26697 -195.08448     (-171.258,-234.925) (-23.826,-285.093) (-13.520,-33.703) 74.5446
22    -58.29764  21.07591 -37.46673 -255.88007 -261.61857 -192.66776     (-171.592,-234.804) (-21.076,-282.694) (-16.391,-37.222) 75.6125
23    -59.06628  18.32570 -37.58758 -253.00900 -261.97016 -190.25103     (-171.925,-234.683) (-18.326,-280.296) (-19.262,-40.741) 77.1085
24    -59.83491  15.57549 -37.70844 -250.13793 -262.32176 -187.83430     (-172.259,-234.562) (-15.575,-277.897) (-22.133,-44.259) 79.0085
25    -60.60355  12.82528 -37.82929 -247.26687 -262.67335 -185.41758     (-172.592,-234.442) (-12.825,-275.499) (-25.004,-47.778) 81.284
26    -61.37218  10.07507 -37.95015 -244.39580 -263.02494 -183.00085     (-172.926,-234.321) (-10.075,-273.100) (-27.875,-51.297) 83.9046
27    -62.14082   7.32486 -38.07101 -241.52473 -263.37654 -180.58412     (-173.259,-234.200) (-7.325,-270.701) (-30.746,-54.816) 86.8389
28    -62.90945   4.57465 -38.19186 -238.65366 -263.72813 -178.16740     (-173.593,-234.079) (-4.575,-268.303) (-33.617,-58.335) 90.0564
29    -63.67809   1.82444 -38.31272 -235.78260 -264.07973 -175.75067     (-173.926,-233.958) (-1.824,-265.904) (-36.488,-61.854) 93.5278
30    -64.44672  -0.92577 -38.43358 -232.91153 -264.43132 -173.33394     (-64.447,-232.912) (-0.926,-264.431) (-38.434,-173.334) 105.826
31    -65.21536  -3.67599 -38.55443 -230.04046 -264.78292 -170.91722     (-65.215,-230.040) (-3.676,-264.783) (-38.554,-170.917) 103.469
32    -65.98399  -6.42620 -38.67529 -227.16939 -265.13451 -168.50049     (-65.984,-227.169) (-6.426,-265.135) (-38.675,-168.500) 101.279
33    -66.75263  -9.17641 -38.79615 -224.29833 -265.48611 -166.08376     (-66.753,-224.298) (-9.176,-265.486) (-38.796,-166.084) 99.2651
