Fol_2018-05-14.17_24_24.1_57.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0      6.22192 -44.80222 -43.81601   2.55936  -2.81748  -5.50095     (-2.817,-35.176) (-0.258,-34.190) (-3.404,-2.683) 0  0  
1      6.13061 -44.35228 -43.40781   2.17820  -3.13437  -5.47249     (-3.134,-35.225) (-0.956,-34.281) (-2.996,-2.338) 0.940418  0.940418  
2      6.03930 -43.90234 -42.99961   1.79703  -3.45126  -5.44403     (-3.451,-35.275) (-1.654,-34.372) (-2.588,-1.993) 1.88084  1.88084  
3      5.94799 -43.45240 -42.59142   1.41587  -3.76815  -5.41557     (-3.768,-35.325) (-2.352,-34.464) (-2.180,-1.647) 2.82125  2.82125  
4      5.85669 -43.00246 -42.18322   1.03470  -4.08504  -5.38711     (-4.085,-35.374) (-3.050,-34.555) (-1.772,-1.302) 3.76167  3.76167  
5      5.76538 -42.55252 -41.77502   0.65354  -4.40194  -5.35866     (-4.402,-35.424) (-3.748,-34.646) (-1.363,-0.957) 4.70209  4.70209  
6      5.67407 -42.10258 -41.36682   0.27238  -4.71883  -5.33020     (-4.719,-35.473) (-4.446,-34.738) (-0.955,-0.611) 5.64251  5.64251  
7      5.58277 -41.65264 -40.95863  -0.10879  -5.03572  -5.30174     (-5.036,-35.523) (-5.145,-34.829) (-0.547,-0.266) 6.58292  6.58292  
8      5.49146 -41.20270 -40.55043  -0.48995  -5.35261  -5.27328     (-35.493,-5.763) (-5.273,-34.841) (-0.079,-0.218) 7.16153  7.16153  
9      5.40015 -40.75276 -40.14223  -0.87112  -5.66950  -5.24482     (-35.197,-6.116) (-5.245,-34.587) (-0.425,-0.155) 7.1808  7.1808  
10      5.30885 -40.30282 -39.73403  -1.25228  -5.98639  -5.21636     (-34.901,-6.469) (-5.216,-34.333) (-0.770,-0.092) 7.25541  7.25541  
11      5.21754 -39.85287 -39.32583  -1.63344  -6.30328  -5.18790     (-34.606,-6.821) (-5.188,-34.079) (-1.115,-0.030) 7.38371  7.38371  
12      5.12623 -39.40293 -38.91764  -2.01461  -6.62017  -5.15944     (-5.126,-7.141) (-34.277,-33.791) (-1.494,-0.033) 7.52259  41.5729     glitch
13      5.03492 -38.95299 -38.50944  -2.39577  -6.93706  -5.13098     (-5.035,-7.431) (-33.918,-33.475) (-1.902,-0.096) 7.68485  41.1321  
14      4.94362 -38.50305 -38.10124  -2.77694  -7.25395  -5.10252     (-4.944,-7.721) (-33.559,-33.158) (-2.310,-0.159) 7.90623  40.6986  
15      4.85231 -38.05311 -37.69304  -3.15810  -7.57084  -5.07406     (-4.852,-8.010) (-33.201,-32.841) (-2.719,-0.222) 8.18193  40.2727  
