Fol_2018-05-05.12_21_52.1_5.txt     Output is probe cell, reduced cell, NCDist distance between
0    -2783.80950 -1965.80718 423.41902 -2022.25844 -1625.37169 1214.30428     (-751.503,-807.954) (-1569.505,-411.067) (-790.885,-1214.304) 0
1    -2763.28115 -1961.80413 411.15332 -2009.99274 -1613.10599 1189.77288     (-772.031,-820.220) (-1573.508,-423.333) (-778.620,-1189.773) 38.6079
2    -2742.75280 -1957.80108 398.88762 -1997.72704 -1600.84030 1165.24148     (-792.560,-832.486) (-1577.511,-435.599) (-766.354,-1165.241) 77.2158
3    -2722.22445 -1953.79803 386.62192 -1985.46134 -1588.57460 1140.71008     (-813.088,-844.751) (-1581.514,-447.865) (-754.088,-1140.710) 115.824
4    -2701.69610 -1949.79498 374.35622 -1973.19564 -1576.30890 1116.17868     (-833.616,-857.017) (-1585.517,-460.130) (-741.822,-1116.179) 154.432
5    -2681.16775 -1945.79193 362.09052 -1960.92994 -1564.04320 1091.64728     (-854.145,-869.283) (-1589.520,-472.396) (-729.557,-1091.647) 193.039
6    -2660.63940 -1941.78888 349.82482 -1948.66424 -1551.77750 1067.11588     (-874.673,-881.548) (-1593.524,-484.662) (-717.291,-1067.116) 231.647
7    -2640.11105 -1937.78583 337.55912 -1936.39854 -1539.51180 1042.58448     (-895.201,-893.814) (-1597.527,-496.927) (-705.025,-1042.584) 270.255
8    -2619.58270 -1933.78278 325.29342 -1924.13284 -1527.24610 1018.05308     (-915.730,-906.080) (-1601.530,-509.193) (-692.760,-1018.053) 308.863
9    -2599.05435 -1929.77973 313.02772 -1911.86714 -1514.98040 993.52168     (-936.258,-918.345) (-1605.533,-521.459) (-680.494,-993.522) 347.471
10    -2578.52600 -1925.77668 300.76202 -1899.60144 -1502.71470 968.99028     (-956.786,-930.611) (-1609.536,-533.724) (-668.228,-968.990) 386.079
11    -2557.99765 -1921.77363 288.49632 -1887.33574 -1490.44900 944.45888     (-977.315,-942.877) (-1613.539,-545.990) (-655.963,-944.459) 395.39
12    -2537.46931 -1917.77058 276.23062 -1875.07004 -1478.18330 919.92748     (-997.843,-955.143) (-1617.542,-558.256) (-643.697,-919.927) 391.35
13    -2516.94096 -1913.76753 263.96492 -1862.80434 -1465.91760 895.39608     (-1018.371,-967.408) (-1621.545,-570.522) (-631.431,-895.396) 386.716
14    -2496.41261 -1909.76448 251.69922 -1850.53864 -1453.65190 870.86468     (-1038.900,-979.674) (-1625.548,-582.787) (-619.165,-870.865) 385.908
15    -2475.88426 -1905.76143 239.43352 -1838.27294 -1441.38620 846.33328     (-1059.428,-991.940) (-1629.551,-595.053) (-606.900,-846.333) 388.949
16    -2455.35591 -1901.75838 227.16782 -1826.00724 -1429.12050 821.80188     (-1079.956,-1004.205) (-1633.554,-607.319) (-594.634,-821.802) 382.819
17    -2434.82756 -1897.75533 214.90212 -1813.74154 -1416.85480 797.27048     (-1100.485,-1016.471) (-1637.557,-619.584) (-582.368,-797.270) 367.963
18    -2414.29921 -1893.75228 202.63642 -1801.47584 -1404.58910 772.73908     (-1121.013,-1028.737) (-1641.560,-631.850) (-570.103,-772.739) 356.685
19    -2393.77086 -1889.74923 190.37072 -1789.21014 -1392.32340 748.20769     (-1141.542,-1041.002) (-1645.563,-644.116) (-557.837,-748.208) 349.332
20    -2373.24251 -1885.74618 178.10502 -1776.94444 -1380.05770 723.67629     (-1162.070,-1053.268) (-1649.566,-656.381) (-545.571,-723.676) 346.154
21    -2352.71416 -1881.74313 165.83932 -1764.67874 -1367.79200 699.14489     (-1182.598,-1065.534) (-1653.569,-668.647) (-533.306,-699.145) 347.266
22    -2332.18581 -1877.74008 153.57362 -1752.41304 -1355.52630 674.61349     (-1203.127,-1077.800) (-1657.572,-680.913) (-521.040,-674.613) 352.627
23    -2311.65746 -1873.73703 141.30792 -1740.14734 -1343.26060 650.08209     (-1223.655,-1090.065) (-1661.575,-693.179) (-508.774,-650.082) 362.049
24    -2291.12911 -1869.73398 129.04222 -1727.88164 -1330.99490 625.55069     (-1244.183,-1102.331) (-1665.578,-705.444) (-496.508,-625.551) 375.225
25    -2270.60076 -1865.73093 116.77652 -1715.61594 -1318.72920 601.01929     (-1264.712,-1114.597) (-1669.581,-717.710) (-484.243,-601.019) 391.777
26    -2250.07241 -1861.72788 104.51082 -1703.35024 -1306.46350 576.48789     (-1285.240,-1126.862) (-1673.585,-729.976) (-471.977,-576.488) 411.298
27    -2229.54406 -1857.72483  92.24512 -1691.08454 -1294.19780 551.95649     (-1305.768,-1139.128) (-1677.588,-742.241) (-459.711,-551.956) 433.386
28    -2209.01571 -1853.72178  79.97942 -1678.81884 -1281.93210 527.42509     (-1326.297,-1151.394) (-1681.591,-754.507) (-447.446,-527.425) 457.671
29    -2188.48736 -1849.71873  67.71372 -1666.55314 -1269.66640 502.89369     (-1346.825,-1163.659) (-1685.594,-766.773) (-435.180,-502.894) 483.821
30    -2167.95901 -1845.71568  55.44802 -1654.28744 -1257.40070 478.36229     (-1367.353,-1175.925) (-1689.597,-779.038) (-422.914,-478.362) 511.551
31    -2147.43067 -1841.71263  43.18232 -1642.02174 -1245.13500 453.83089     (-1387.882,-1188.191) (-1693.600,-791.304) (-410.649,-453.831) 540.617
32    -2126.90232 -1837.70958  30.91662 -1629.75604 -1232.86930 429.29949     (-1408.410,-1200.457) (-1697.603,-803.570) (-398.383,-429.299) 570.815
33    -2106.37397 -1833.70653  18.65092 -1617.49034 -1220.60360 404.76809     (-1428.938,-1212.722) (-1701.606,-815.836) (-386.117,-404.768) 601.976
34    -2085.84562 -1829.70348   6.38522 -1605.22464 -1208.33790 380.23669     (-1449.467,-1224.988) (-1705.609,-828.101) (-373.851,-380.237) 633.956
35    -2065.31727 -1825.70043  -5.88048 -1592.95894 -1196.07220 355.70529     (-1469.995,-1237.254) (-1709.612,-840.367) (-361.586,-355.705) 666.639
36    -2044.78892 -1821.69738 -18.14618 -1580.69324 -1183.80650 331.17389     (-1490.523,-1249.519) (-1713.615,-852.633) (-349.320,-331.174) 699.925
37    -2024.26057 -1817.69433 -30.41188 -1568.42754 -1171.54080 306.64249     (-1511.052,-1261.785) (-1717.618,-864.898) (-337.054,-306.642) 733.733
38    -2003.73222 -1813.69128 -42.67758 -1556.16185 -1159.27510 282.11109     (-1531.580,-1274.051) (-1721.621,-877.164) (-324.789,-282.111) 767.994
39    -1983.20387 -1809.68823 -54.94328 -1543.89615 -1147.00940 257.57969     (-1552.109,-1286.316) (-1725.624,-889.430) (-312.523,-257.580) 802.65
40    -1962.67552 -1805.68518 -67.20897 -1531.63045 -1134.74370 233.04830     (-1572.637,-1298.582) (-1729.627,-901.695) (-300.257,-233.048) 837.651
41    -1942.14717 -1801.68212 -79.47467 -1519.36475 -1122.47800 208.51690     (-1593.165,-1310.848) (-1733.630,-913.961) (-287.992,-208.517) 872.956
42    -1921.61882 -1797.67907 -91.74037 -1507.09905 -1110.21231 183.98550     (-1613.694,-1323.114) (-1737.633,-926.227) (-275.726,-183.985) 908.53
43    -1901.09047 -1793.67602 -104.00607 -1494.83335 -1097.94661 159.45410     (-1634.222,-1335.379) (-1741.636,-938.493) (-263.460,-159.454) 944.343
44    -1880.56212 -1789.67297 -116.27177 -1482.56765 -1085.68091 134.92270     (-1654.750,-1347.645) (-1745.639,-950.758) (-251.194,-134.923) 980.368
45    -1860.03377 -1785.66992 -128.53747 -1470.30195 -1073.41521 110.39130     (-1675.279,-1359.911) (-1749.642,-963.024) (-238.929,-110.391) 1016.58
46    -1839.50542 -1781.66687 -140.80317 -1458.03625 -1061.14951  85.85990     (-1695.807,-1372.176) (-1753.646,-975.290) (-226.663,-85.860) 1052.97
47    -1818.97707 -1777.66382 -153.06887 -1445.77055 -1048.88381  61.32850     (-1716.335,-1384.442) (-1757.649,-987.555) (-214.397,-61.328) 1089.5
48    -1798.44872 -1773.66077 -165.33457 -1433.50485 -1036.61811  36.79710     (-1736.864,-1396.708) (-1761.652,-999.821) (-202.132,-36.797) 1126.18
49    -1777.92037 -1769.65772 -177.60027 -1421.23915 -1024.35241  12.26570     (-1757.392,-1408.973) (-1765.655,-1012.087) (-189.866,-12.266) 1159.67
50    -1757.39203 -1765.65467 -189.86597 -1408.97345 -1012.08671 -12.26570     (-1757.392,-1408.973) (-1765.655,-1012.087) (-189.866,-12.266) 1159.67
51    -1736.86368 -1761.65162 -202.13167 -1396.70775 -999.82101 -36.79710     (-1736.864,-1396.708) (-1761.652,-999.821) (-202.132,-36.797) 1126.18
52    -1716.33533 -1757.64857 -214.39737 -1384.44205 -987.55531 -61.32850     (-1716.335,-1384.442) (-1757.649,-987.555) (-214.397,-61.328) 1089.5
53    -1695.80698 -1753.64552 -226.66307 -1372.17635 -975.28961 -85.85990     (-1695.807,-1372.176) (-1753.646,-975.290) (-226.663,-85.860) 1052.97
54    -1675.27863 -1749.64247 -238.92877 -1359.91065 -963.02391 -110.39130     (-1675.279,-1359.911) (-1749.642,-963.024) (-238.929,-110.391) 1016.58
55    -1654.75028 -1745.63942 -251.19447 -1347.64495 -950.75821 -134.92270     (-1654.750,-1347.645) (-1745.639,-950.758) (-251.194,-134.923) 980.368
56    -1634.22193 -1741.63637 -263.46017 -1335.37925 -938.49251 -159.45410     (-1634.222,-1335.379) (-1741.636,-938.493) (-263.460,-159.454) 944.343
57    -1613.69358 -1737.63332 -275.72587 -1323.11355 -926.22681 -183.98550     (-1613.694,-1323.114) (-1737.633,-926.227) (-275.726,-183.985) 908.53
58    -1593.16523 -1733.63027 -287.99157 -1310.84785 -913.96111 -208.51690     (-1593.165,-1310.848) (-1733.630,-913.961) (-287.992,-208.517) 872.956
59    -1572.63688 -1729.62722 -300.25727 -1298.58215 -901.69541 -233.04830     (-1572.637,-1298.582) (-1729.627,-901.695) (-300.257,-233.048) 837.651
60    -1552.10853 -1725.62417 -312.52297 -1286.31645 -889.42971 -257.57969     (-1552.109,-1286.316) (-1725.624,-889.430) (-312.523,-257.580) 802.65
61    -1531.58018 -1721.62112 -324.78867 -1274.05075 -877.16401 -282.11109     (-1531.580,-1274.051) (-1721.621,-877.164) (-324.789,-282.111) 767.994
62    -1511.05183 -1717.61807 -337.05437 -1261.78505 -864.89831 -306.64249     (-1511.052,-1261.785) (-1717.618,-864.898) (-337.054,-306.642) 733.733
