Fol_2018-05-06.16_57_52.2_18.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      5.81351 -51.13176  -0.20730 -18.48415 -56.33797 -13.99726     (-44.918,-18.691) (-50.924,-5.606) (-0.207,-2.578) 0  0  0  0  
1      5.30106 -51.12966  -0.20730 -18.48624 -55.82553 -13.88191     (-45.431,-18.694) (-50.922,-5.094) (-0.207,-3.487) 1.16295  1.74553  2.08792  1.16295  
2      4.78862 -51.12757  -0.20730 -18.48834 -55.31309 -13.76656     (-45.943,-18.696) (-50.920,-4.581) (-0.207,-4.397) 2.3259  3.49106  4.17584  2.3259  
3      4.27618 -51.12547  -0.20730 -18.49043 -54.80065 -13.65121     (-46.456,-18.698) (-50.918,-4.069) (-0.207,-5.306) 3.48885  5.23659  6.26376  3.48885  
4      3.76374 -51.12338  -0.20730 -18.49252 -54.28820 -13.53586     (-46.968,-18.700) (-50.916,-3.556) (-0.207,-6.216) 4.6518  6.98212  8.35168  4.6518  
5      3.25130 -51.12129  -0.20730 -18.49462 -53.77576 -13.42051     (-47.480,-18.702) (-50.914,-3.044) (-0.207,-7.125) 5.81475  8.72765  10.4396  5.81475  
6      2.73885 -51.11919  -0.20730 -18.49671 -53.26332 -13.30516     (-47.993,-18.704) (-50.912,-2.532) (-0.207,-8.035) 6.9777  10.4732  12.5275  6.9777  
7      2.22641 -51.11710  -0.20730 -18.49881 -52.75088 -13.18981     (-48.505,-18.706) (-50.910,-2.019) (-0.207,-8.944) 8.14065  12.2187  14.6154  8.14065  
8      1.71397 -51.11500  -0.20730 -18.50090 -52.23843 -13.07445     (-49.018,-18.708) (-50.908,-1.507) (-0.207,-9.854) 9.3036  13.9642  16.7034  9.3036  
9      1.20153 -51.11291  -0.20730 -18.50299 -51.72599 -12.95910     (-49.530,-18.710) (-50.906,-0.994) (-0.207,-10.763) 10.4666  15.7098  18.7913  10.4666  
10      0.68909 -51.11082  -0.20730 -18.50509 -51.21355 -12.84375     (-50.043,-18.712) (-50.904,-0.482) (-0.207,-11.673) 11.6295  17.4553  20.8792  11.6295  
11      0.17664 -51.10872  -0.20730 -18.50718 -50.70111 -12.72840     (-0.177,-18.684) (-50.932,-0.031) (-50.524,-12.552) 9.29914  19.1922  22.9301  18.9638  
