Fol_2018-05-09.12_15_07.1_4.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      3.82421 -47.76324 -44.84520  -0.66070   0.79842  -7.24113     (-0.798,-39.041) (-6.167,-4.623) (-34.802,-0.138) 0  0  2.6974e-06  0  
1      3.81958 -47.72160 -44.83515  -0.69912   0.79299  -7.23402     (-0.793,-39.102) (-6.253,-4.613) (-34.817,-0.094) 0.115664  0.0980196  0.218932  0.115664  
2      3.81495 -47.67996 -44.82510  -0.73754   0.78757  -7.22691     (-0.788,-39.162) (-6.339,-4.603) (-34.832,-0.050) 0.231328  0.196039  0.437863  0.231328  
3      3.81032 -47.63833 -44.81504  -0.77595   0.78214  -7.21980     (-0.782,-39.223) (-6.425,-4.592) (-34.848,-0.006) 0.346993  0.294059  0.656795  0.346993  
4      3.80570 -47.59669 -44.80499  -0.81437   0.77671  -7.21269     (-6.474,-39.246) (-0.739,-4.545) (-34.901,-0.038) 0.43158  0.392078  0.849782  7.85759  
5      3.80107 -47.55505 -44.79493  -0.85279   0.77129  -7.20558     (-6.516,-39.263) (-0.690,-4.491) (-34.960,-0.082) 0.522785  0.490098  1.05046  7.92379  
6      3.79644 -47.51341 -44.78488  -0.89121   0.76586  -7.19847     (-6.558,-39.280) (-0.641,-4.437) (-35.020,-0.125) 0.621308  0.588117  1.25234  7.99104  
7      3.79182 -47.47178 -44.77483  -0.92963   0.76043  -7.19135     (-6.600,-39.297) (-0.591,-4.383) (-35.079,-0.169) 0.724166  0.686137  1.44007  8.05933  
8      3.78719 -47.43014 -44.76477  -0.96805   0.75501  -7.18424     (-6.642,-39.314) (-0.542,-4.329) (-35.138,-0.213) 0.82975  0.784157  1.60833  8.12862  
9      3.78256 -47.38850 -44.75472  -1.00647   0.74958  -7.17713     (-6.684,-39.331) (-0.493,-4.275) (-35.198,-0.257) 0.937139  0.882176  1.77934  8.19889  
10      3.77793 -47.34686 -44.74467  -1.04488   0.74415  -7.17002     (-6.727,-39.348) (-0.443,-4.221) (-35.257,-0.301) 1.04578  0.980196  1.9523  8.27012  
