PointDistanceFollower   Sep  9 2018   mode =  Single Point 
Fol_2018-09-13.17_19_45.0_10.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist NCDist  distance between 
Compute times (msec)     S6Dist   200   NCDist   1102
PointDistanceFollower  Sep  9 2018  mode = Single Point
Fol_2018-09-13.17_19_45.0_10.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist distance between
0     -1.00142  -0.91580   6.31783 -26.13072 -22.89139 -18.61503     (-0.086,-5.402) (-0.916,-11.172) (-14.411,-19.531)      0  0  
1     -0.99217  -0.91580   6.10845 -25.92134 -22.77301 -18.62428     (-0.076,-5.193) (-0.916,-11.472) (-14.620,-19.540)      0.421994  0.427067  
2     -0.98292  -0.91580   5.89907 -25.71196 -22.65462 -18.63353     (-0.067,-4.983) (-0.916,-11.772) (-14.830,-19.549)      0.843988  0.854133  
3     -0.97367  -0.91580   5.68969 -25.50258 -22.53624 -18.64278     (-0.058,-4.774) (-0.916,-12.073) (-15.039,-19.559)      1.26598  1.2812  
4     -0.96442  -0.91580   5.48031 -25.29319 -22.41786 -18.65203     (-0.049,-4.565) (-0.916,-12.373) (-15.248,-19.568)      1.68798  1.70827  
5     -0.95517  -0.91580   5.27093 -25.08381 -22.29948 -18.66128     (-0.039,-4.355) (-0.916,-12.673) (-15.458,-19.577)      2.10997  2.13533  
6     -0.94592  -0.91580   5.06155 -24.87443 -22.18109 -18.67053     (-0.030,-4.146) (-0.916,-12.974) (-15.667,-19.586)      2.53197  2.5624  
7     -0.93667  -0.91580   4.85217 -24.66505 -22.06271 -18.67978     (-0.021,-3.936) (-0.916,-13.274) (-15.877,-19.596)      2.95396  2.98947  
8     -0.92742  -0.91580   4.64279 -24.45567 -21.94433 -18.68903     (-0.012,-3.727) (-0.916,-13.575) (-16.086,-19.605)      3.37595  3.41653  
9     -0.91817  -0.91580   4.43341 -24.24629 -21.82595 -18.69828     (-0.002,-3.518) (-0.916,-13.875) (-16.295,-19.614)      3.79795  3.8436  
10     -0.90891  -0.91580   4.22403 -24.03691 -21.70756 -18.70753     (-3.315,-0.007) (-16.498,-0.909) (-14.168,-19.616)      4.20807  4.27067  
11     -0.89966  -0.91580   4.01465 -23.82753 -21.58918 -18.71678     (-3.115,-0.016) (-16.698,-0.900) (-14.460,-19.616)      4.61414  4.69773  
12     -0.89041  -0.91580   3.80526 -23.61815 -21.47080 -18.72603     (-2.915,-0.025) (-16.898,-0.890) (-14.751,-19.616)      5.02024  5.1248  
13     -0.88116  -0.91580   3.59588 -23.40877 -21.35242 -18.73528     (-2.715,-0.035) (-17.098,-0.881) (-15.042,-19.616)      5.42636  5.55187  
14     -0.87191  -0.91580   3.38650 -23.19939 -21.23403 -18.74453     (-2.515,-0.044) (-17.298,-0.872) (-15.333,-19.616)      5.8325  5.97893  
15     -0.86266  -0.91580   3.17712 -22.99001 -21.11565 -18.75378     (-2.314,-0.053) (-17.498,-0.863) (-15.624,-19.616)      6.23865  6.406  
16     -0.85341  -0.91580   2.96774 -22.78063 -20.99727 -18.76303     (-2.114,-0.062) (-17.699,-0.853) (-15.915,-19.616)      6.64481  6.83307  
17     -0.84416  -0.91580   2.75836 -22.57125 -20.87889 -18.77228     (-1.914,-0.072) (-17.899,-0.844) (-16.206,-19.616)      7.05098  7.26013  
18     -0.83491  -0.91580   2.54898 -22.36187 -20.76050 -18.78154     (-1.714,-0.081) (-18.099,-0.835) (-16.497,-19.616)      7.45716  7.6872  
19     -0.82566  -0.91580   2.33960 -22.15248 -20.64212 -18.79079     (-1.514,-0.090) (-18.299,-0.826) (-16.789,-19.616)      7.86335  8.11427  
20     -0.81641  -0.91580   2.13022 -21.94310 -20.52374 -18.80004     (-1.314,-0.099) (-18.499,-0.816) (-17.080,-19.616)      8.26954  8.54133  
21     -0.80716  -0.91580   1.92084 -21.73372 -20.40536 -18.80929     (-1.114,-0.109) (-18.699,-0.807) (-17.371,-19.616)      8.67573  8.9684  
22     -0.79791  -0.91580   1.71146 -21.52434 -20.28697 -18.81854     (-0.914,-0.118) (-18.899,-0.798) (-17.662,-19.616)      9.08193  9.39547  
23     -0.78866  -0.91580   1.50208 -21.31496 -20.16859 -18.82779     (-0.713,-0.127) (-19.099,-0.789) (-17.953,-19.616)      9.48813  9.82253  
24     -0.77941  -0.91580   1.29270 -21.10558 -20.05021 -18.83704     (-0.513,-0.136) (-19.300,-0.779) (-18.244,-19.616)      9.89434  10.2496  
25     -0.77016  -0.91580   1.08332 -20.89620 -19.93183 -18.84629     (-0.313,-0.146) (-19.500,-0.770) (-18.535,-19.616)      10.3005  10.6767  
26     -0.76091  -0.91580   0.87394 -20.68682 -19.81344 -18.85554     (-0.113,-0.155) (-19.700,-0.761) (-18.826,-19.616)      10.7068  11.1037  
27     -0.75166  -0.91580   0.66455 -20.47744 -19.69506 -18.86479     (-0.087,-0.251) (-19.813,-19.031) (-0.665,-19.529)      10.792  11.2489  
28     -0.74241  -0.91580   0.45517 -20.26806 -19.57668 -18.87404     (-0.287,-0.461) (-19.813,-19.122) (-0.455,-19.329)      10.6838  11.2711  
29     -0.73316  -0.91580   0.24579 -20.05868 -19.45830 -18.88329     (-0.487,-0.670) (-19.813,-19.213) (-0.246,-19.129)      10.5547  11.3093  
30     -0.72390  -0.91580   0.03641 -19.84930 -19.33991 -18.89254     (-0.687,-0.879) (-19.813,-19.304) (-0.036,-18.929)      10.3839  11.3635  
31     -0.71465  -0.91580  -0.17297 -19.63992 -19.22153 -18.90179     (-0.715,-19.640) (-0.916,-19.222) (-0.173,-18.902)      10.3324  11.4467  
32     -0.70540  -0.91580  -0.38235 -19.43054 -19.10315 -18.91104     (-0.705,-19.431) (-0.916,-19.103) (-0.382,-18.911)      10.3131  11.5312  
33     -0.69615  -0.91580  -0.59173 -19.22116 -18.98477 -18.92029     (-0.696,-19.221) (-0.916,-18.985) (-0.592,-18.920)      10.3037  11.6312  
34     -0.68690  -0.91580  -0.80111 -19.01177 -18.86638 -18.92954     (-0.687,-19.012) (-0.916,-18.866) (-0.801,-18.930)      10.2583  11.7462  
35     -0.67765  -0.91580  -1.01049 -18.80239 -18.74800 -18.93879     (-0.678,-18.802) (-0.916,-18.748) (-1.010,-18.939)      9.99334  11.8765  
36     -0.66840  -0.91580  -1.21987 -18.59301 -18.62962 -18.94804     (-0.668,-18.593) (-0.916,-18.630) (-1.220,-18.948)      9.69049  11.5726  
37     -0.65915  -0.91580  -1.42925 -18.38363 -18.51124 -18.95729     (-0.659,-18.384) (-0.916,-18.511) (-1.429,-18.957)      9.38665  10.9301  
38     -0.64990  -0.91580  -1.63863 -18.17425 -18.39285 -18.96655     (-0.650,-18.174) (-0.916,-18.393) (-1.639,-18.967)      9.08387  10.6264  
39     -0.64065  -0.91580  -1.84801 -17.96487 -18.27447 -18.97580     (-0.641,-17.965) (-0.916,-18.274) (-1.848,-18.976)      8.78225  10.0879  
40     -0.63140  -0.91580  -2.05739 -17.75549 -18.15609 -18.98505     (-0.631,-17.755) (-0.916,-18.156) (-2.057,-18.985)      8.48192  9.70808  
41     -0.62215  -0.91580  -2.26677 -17.54611 -18.03771 -18.99430     (-0.622,-17.546) (-0.916,-18.038) (-2.267,-18.994)      8.18301  9.33236  
42     -0.61290  -0.91580  -2.47616 -17.33673 -17.91932 -19.00355     (-0.613,-17.337) (-0.916,-17.919) (-2.476,-19.004)      7.88569  8.96131  
43     -0.60365  -0.91580  -2.68554 -17.12735 -17.80094 -19.01280     (-0.604,-17.127) (-0.916,-17.801) (-2.686,-19.013)      7.59014  8.59555  
44     -0.59440  -0.91580  -2.89492 -16.91797 -17.68256 -19.02205     (-0.594,-16.918) (-0.916,-17.683) (-2.895,-19.022)      7.29658  8.23579  
45     -0.58515  -0.91580  -3.10430 -16.70859 -17.56418 -19.03130     (-0.585,-16.709) (-0.916,-17.564) (-3.104,-19.031)      7.00526  7.88288  
46     -0.57590  -0.91580  -3.31368 -16.49921 -17.44579 -19.04055     (-0.576,-16.499) (-0.916,-17.446) (-3.314,-19.041)      6.71648  7.53779  
47     -0.56665  -0.91580  -3.52306 -16.28983 -17.32741 -19.04980     (-0.567,-16.290) (-0.916,-17.327) (-3.523,-19.050)      6.43056  7.20166  
48     -0.55740  -0.91580  -3.73244 -16.08045 -17.20903 -19.05905     (-0.557,-16.080) (-0.916,-17.209) (-3.732,-19.059)      6.14792  6.87585  
49     -0.54815  -0.91580  -3.94182 -15.87107 -17.09065 -19.06830     (-0.548,-15.871) (-0.916,-17.091) (-3.942,-19.068)      5.86903  6.56191  
50     -0.53889  -0.91580  -4.15120 -15.66168 -16.97226 -19.07755     (-0.539,-15.662) (-0.916,-16.972) (-4.151,-19.078)      5.59444  6.26168  
51     -0.52964  -0.91580  -4.36058 -15.45230 -16.85388 -19.08680     (-0.530,-15.452) (-0.916,-16.854) (-4.361,-19.087)      5.32483  5.97728  
52     -0.52039  -0.91580  -4.56996 -15.24292 -16.73550 -19.09605     (-0.520,-15.243) (-0.916,-16.735) (-4.570,-19.096)      5.06098  5.71112  
53     -0.51114  -0.91580  -4.77934 -15.03354 -16.61712 -19.10530     (-0.511,-15.034) (-0.916,-16.617) (-4.779,-19.105)      4.80385  5.46594  
54     -0.50189  -0.91580  -4.98872 -14.82416 -16.49873 -19.11455     (-0.502,-14.824) (-0.916,-16.499) (-4.989,-19.115)      4.55458  5.24476  
55     -0.49264  -0.91580  -5.19810 -14.61478 -16.38035 -19.12380     (-0.493,-14.615) (-0.916,-16.380) (-5.198,-19.124)      4.31452  5.05083  
56     -0.48339  -0.91580  -5.40748 -14.40540 -16.26197 -19.13305     (-0.483,-14.405) (-0.916,-16.262) (-5.407,-19.133)      4.08531  4.88749  
57     -0.47414  -0.91580  -5.61686 -14.19602 -16.14359 -19.14230     (-0.474,-14.196) (-0.916,-16.144) (-5.617,-19.142)      3.86887  4.75798  
58     -0.46489  -0.91580  -5.82625 -13.98664 -16.02520 -19.15156     (-0.465,-13.987) (-0.916,-16.025) (-5.826,-19.152)      3.66747  4.66521  
59     -0.45564  -0.91580  -6.03563 -13.77726 -15.90682 -19.16081     (-0.456,-13.777) (-0.916,-15.907) (-6.036,-19.161)      3.4837  4.61147  
60     -0.44639  -0.91580  -6.24501 -13.56788 -15.78844 -19.17006     (-0.446,-13.568) (-0.916,-15.788) (-6.245,-19.170)      3.32051  4.59816  
61     -0.43714  -0.91580  -6.45439 -13.35850 -15.67006 -19.17931     (-0.437,-13.358) (-0.916,-15.670) (-6.454,-19.179)      3.18106  4.62565  
62     -0.42789  -0.91580  -6.66377 -13.14912 -15.55167 -19.18856     (-0.428,-13.149) (-0.916,-15.552) (-6.664,-19.189)      3.06858  4.69319  
63     -0.41864  -0.91580  -6.87315 -12.93974 -15.43329 -19.19781     (-0.419,-12.940) (-0.916,-15.433) (-6.873,-19.198)      2.98613  4.79905  
64     -0.40939  -0.91580  -7.08253 -12.73036 -15.31491 -19.20706     (-0.409,-12.730) (-0.916,-15.315) (-7.083,-19.207)      2.93624  4.94069  
65     -0.40014  -0.91580  -7.29191 -12.52097 -15.19653 -19.21631     (-0.400,-12.521) (-0.916,-15.197) (-7.292,-19.216)      2.92057  5.11506  
66     -0.39089  -0.91580  -7.50129 -12.31159 -15.07814 -19.22556     (-0.391,-12.312) (-0.916,-15.078) (-7.501,-19.226)      2.93968  5.31886  
67     -0.38164  -0.91580  -7.71067 -12.10221 -14.95976 -19.23481     (-0.382,-12.102) (-0.916,-14.960) (-7.711,-19.235)      2.9929  5.54875  
68     -0.37239  -0.91580  -7.92005 -11.89283 -14.84138 -19.24406     (-0.372,-11.893) (-0.916,-14.841) (-7.920,-19.244)      3.07846  5.80157  
69     -0.36314  -0.91580  -8.12943 -11.68345 -14.72300 -19.25331     (-0.363,-11.683) (-0.916,-14.723) (-8.129,-19.253)      3.19376  6.07438  
70     -0.35388  -0.91580  -8.33881 -11.47407 -14.60461 -19.26256     (-0.354,-11.474) (-0.916,-14.605) (-8.339,-19.263)      3.33572  6.36455  
71     -0.34463  -0.91580  -8.54819 -11.26469 -14.48623 -19.27181     (-0.345,-11.265) (-0.916,-14.486) (-8.548,-19.272)      3.5011  6.66978  
72     -0.33538  -0.91580  -8.75757 -11.05531 -14.36785 -19.28106     (-0.335,-11.055) (-0.916,-14.368) (-8.758,-19.281)      3.68674  6.98804  
73     -0.32613  -0.91580  -8.96696 -10.84593 -14.24947 -19.29031     (-0.326,-10.846) (-0.916,-14.249) (-8.967,-19.290)      3.88975  7.31761  
74     -0.31688  -0.91580  -9.17634 -10.63655 -14.13108 -19.29956     (-0.317,-10.637) (-0.916,-14.131) (-9.176,-19.300)      4.10756  7.657  
75     -0.30763  -0.91580  -9.38572 -10.42717 -14.01270 -19.30881     (-0.308,-10.427) (-0.916,-14.013) (-9.386,-19.309)      4.33792  8.00494  
76     -0.29838  -0.91580  -9.59510 -10.21779 -13.89432 -19.31806     (-0.298,-10.218) (-0.916,-13.894) (-9.595,-19.318)      4.57896  8.36034  
