Fol_2018-05-05.11_55_07.8_7.txt     Output is probe cell, reduced cell, NCDist distance between
0     -8.77724 -33.32642  -1.29201 -50.95943   8.49860 -27.97435     (-0.001,-19.138) (-4.932,-0.924) (-0.645,-1.510) 0
1     -8.68859 -33.03960  -1.28548 -50.63801   8.40342 -27.70703     (-0.185,-18.487) (-6.137,-0.835) (-0.550,-2.494) 1.7019
2     -8.59995 -32.75279  -1.27895 -50.31658   8.30824 -27.43971     (-0.369,-17.835) (-7.342,-0.747) (-0.455,-3.478) 3.40379
3     -8.51130 -32.46597  -1.27242 -49.99516   8.21306 -27.17239     (-0.553,-17.183) (-8.547,-0.658) (-0.360,-4.462) 5.10569
4     -8.42266 -32.17916  -1.26588 -49.67373   8.11789 -26.90507     (-0.737,-16.531) (-9.753,-0.569) (-0.265,-5.446) 6.80759
5     -8.33401 -31.89235  -1.25935 -49.35231   8.02271 -26.63775     (-0.920,-15.879) (-10.958,-0.481) (-0.169,-6.430) 8.48748
6     -8.24537 -31.60553  -1.25282 -49.03089   7.92753 -26.37042     (-1.104,-15.228) (-12.163,-0.392) (-0.074,-7.414) 10.1563
7     -8.15672 -31.31872  -1.24629 -48.70946   7.83235 -26.10310     (-1.267,-13.347) (-14.555,-0.283) (-0.021,-8.419) 11.8387
8     -8.06808 -31.03191  -1.23976 -48.38804   7.73718 -25.83578     (-1.356,-14.457) (-13.808,-0.099) (-0.116,-9.499) 12.8569
9     -7.97943 -30.74509  -1.23322 -48.06661   7.64200 -25.56846     (-0.126,-15.482) (-13.146,-0.085) (-1.359,-10.493) 12.7303
10     -7.89079 -30.45828  -1.22669 -47.74519   7.54682 -25.30114     (-0.038,-16.408) (-12.583,-0.269) (-1.264,-11.388) 12.8
11     -7.80214 -30.17147  -1.22016 -47.42376   7.45165 -25.03382     (-0.051,-17.386) (-11.969,-1.118) (-0.402,-12.233) 12.8789
