Fol_2018-05-05.09_55_55.1_26.txt     Output is probe cell, reduced cell, NCDist distance between
0    -89.11557 -53.86364 149.32554 -315.79332 -346.89779 -163.48155     (-35.252,-95.462) (-53.864,-102.110) (-71.006,-217.345) 0
1    -88.57149 -53.86364 147.09997 -313.56775 -344.42519 -164.02563     (-34.708,-93.236) (-53.864,-104.089) (-73.231,-217.889) 3.79644
2    -88.02741 -53.86364 144.87440 -311.34218 -341.95259 -164.56971     (-34.164,-91.011) (-53.864,-106.067) (-75.457,-218.433) 7.59289
3    -87.48334 -53.86364 142.64883 -309.11661 -339.47999 -165.11378     (-33.620,-88.785) (-53.864,-108.046) (-77.683,-218.977) 11.3893
4    -86.93926 -53.86364 140.42326 -306.89104 -337.00739 -165.65786     (-33.076,-86.560) (-53.864,-110.025) (-79.908,-219.522) 15.1858
5    -86.39518 -53.86364 138.19769 -304.66547 -334.53479 -166.20194     (-32.532,-84.334) (-53.864,-112.003) (-82.134,-220.066) 18.9822
6    -85.85111 -53.86364 135.97212 -302.43990 -332.06219 -166.74602     (-31.987,-82.108) (-53.864,-113.982) (-84.359,-220.610) 22.7787
7    -85.30703 -53.86364 133.74655 -300.21433 -329.58959 -167.29009     (-31.443,-79.883) (-53.864,-115.960) (-86.585,-221.154) 26.5751
8    -84.76295 -53.86364 131.52098 -297.98877 -327.11699 -167.83417     (-30.899,-77.657) (-53.864,-117.939) (-88.810,-221.698) 30.3715
9    -84.21887 -53.86364 129.29541 -295.76320 -324.64439 -168.37825     (-30.355,-75.432) (-53.864,-119.917) (-91.036,-222.242) 34.168
10    -83.67480 -53.86364 127.06984 -293.53763 -322.17179 -168.92232     (-29.811,-73.206) (-53.864,-121.896) (-93.262,-222.786) 37.9644
11    -83.13072 -53.86364 124.84427 -291.31206 -319.69918 -169.46640     (-29.267,-70.981) (-53.864,-123.874) (-95.487,-223.330) 41.7609
12    -82.58664 -53.86364 122.61870 -289.08649 -317.22658 -170.01048     (-28.723,-68.755) (-53.864,-125.853) (-97.713,-223.874) 45.5573
13    -82.04257 -53.86364 120.39313 -286.86092 -314.75398 -170.55456     (-28.179,-66.529) (-53.864,-127.831) (-99.938,-224.418) 49.3538
14    -81.49849 -53.86364 118.16756 -284.63535 -312.28138 -171.09863     (-27.635,-64.304) (-53.864,-129.810) (-102.164,-224.962) 53.1502
15    -80.95441 -53.86364 115.94199 -282.40978 -309.80878 -171.64271     (-27.091,-62.078) (-53.864,-131.788) (-104.389,-225.506) 56.9466
16    -80.41033 -53.86364 113.71642 -280.18421 -307.33618 -172.18679     (-26.547,-59.853) (-53.864,-133.767) (-106.615,-226.050) 60.7431
17    -79.86626 -53.86364 111.49085 -277.95864 -304.86358 -172.73086     (-26.003,-57.627) (-53.864,-135.746) (-108.841,-226.595) 64.5395
18    -79.32218 -53.86364 109.26528 -275.73307 -302.39098 -173.27494     (-25.459,-55.402) (-53.864,-137.724) (-111.066,-227.139) 68.336
19    -78.77810 -53.86364 107.03971 -273.50750 -299.91838 -173.81902     (-24.914,-53.176) (-53.864,-139.703) (-113.292,-227.683) 72.1324
20    -78.23403 -53.86364 104.81414 -271.28193 -297.44578 -174.36310     (-24.370,-50.950) (-53.864,-141.681) (-115.517,-228.227) 75.9289
21    -77.68995 -53.86364 102.58857 -269.05636 -294.97318 -174.90717     (-23.826,-48.725) (-53.864,-143.660) (-117.743,-228.771) 79.6242
22    -77.14587 -53.86364 100.36300 -266.83079 -292.50058 -175.45125     (-23.282,-46.499) (-53.864,-145.638) (-119.968,-229.315) 81.6415
23    -76.60179 -53.86364  98.13743 -264.60522 -290.02798 -175.99533     (-22.738,-44.274) (-53.864,-147.617) (-122.194,-229.859) 83.7824
24    -76.05772 -53.86364  95.91186 -262.37965 -287.55538 -176.53940     (-22.194,-42.048) (-53.864,-149.595) (-124.420,-230.403) 86.0376
25    -75.51364 -53.86364  93.68629 -260.15408 -285.08278 -177.08348     (-21.650,-39.823) (-53.864,-151.574) (-126.645,-230.947) 88.3983
26    -74.96956 -53.86364  91.46072 -257.92851 -282.61018 -177.62756     (-21.106,-37.597) (-53.864,-153.552) (-128.871,-231.491) 90.8565
27    -74.42549 -53.86364  89.23515 -255.70294 -280.13758 -178.17164     (-20.562,-35.372) (-53.864,-155.531) (-131.096,-232.035) 93.4042
28    -73.88141 -53.86364  87.00958 -253.47737 -277.66498 -178.71571     (-20.018,-33.146) (-53.864,-157.509) (-133.322,-232.579) 96.0345
29    -73.33733 -53.86364  84.78401 -251.25180 -275.19238 -179.25979     (-19.474,-30.920) (-53.864,-159.488) (-135.547,-233.123) 98.7408
30    -72.79325 -53.86364  82.55844 -249.02623 -272.71978 -179.80387     (-18.930,-28.695) (-53.864,-161.467) (-137.773,-233.668) 101.517
31    -72.24918 -53.86364  80.33287 -246.80066 -270.24718 -180.34794     (-18.386,-26.469) (-53.864,-163.445) (-139.999,-234.212) 104.357
32    -71.70510 -53.86364  78.10730 -244.57509 -267.77458 -180.89202     (-17.841,-24.244) (-53.864,-165.424) (-142.224,-234.756) 107.257
33    -71.16102 -53.86364  75.88173 -242.34952 -265.30198 -181.43610     (-17.297,-22.018) (-53.864,-167.402) (-144.450,-235.300) 110.211
34    -70.61695 -53.86364  73.65616 -240.12395 -262.82938 -181.98018     (-16.753,-19.793) (-53.864,-169.381) (-146.675,-235.844) 113.215
35    -70.07287 -53.86364  71.43059 -237.89838 -260.35678 -182.52425     (-16.209,-17.567) (-53.864,-171.359) (-148.901,-236.388) 116.266
36    -69.52879 -53.86364  69.20502 -235.67281 -257.88418 -183.06833     (-15.665,-15.341) (-53.864,-173.338) (-151.126,-236.932) 119.359
37    -68.98471 -53.86364  66.97945 -233.44724 -255.41157 -183.61241     (-15.121,-13.116) (-53.864,-175.316) (-153.352,-237.476) 122.492
38    -68.44064 -53.86364  64.75388 -231.22167 -252.93897 -184.15648     (-14.577,-10.890) (-53.864,-177.295) (-155.578,-238.020) 125.662
39    -67.89656 -53.86364  62.52831 -228.99610 -250.46637 -184.70056     (-14.033,-8.665) (-53.864,-179.273) (-157.803,-238.564) 128.865
40    -67.35248 -53.86364  60.30274 -226.77053 -247.99377 -185.24464     (-13.489,-6.439) (-53.864,-181.252) (-160.029,-239.108) 132.1
41    -66.80841 -53.86364  58.07717 -224.54496 -245.52117 -185.78872     (-12.945,-4.214) (-53.864,-183.230) (-162.254,-239.652) 135.364
42    -66.26433 -53.86364  55.85160 -222.31939 -243.04857 -186.33279     (-12.401,-1.988) (-53.864,-185.209) (-164.480,-240.196) 138.655
43    -65.72025 -53.86364  53.62603 -220.09382 -240.57597 -186.87687     (-12.094,-0.238) (-166.468,-186.950) (-53.626,-240.503) 162.916
44    -65.17617 -53.86364  51.40046 -217.86825 -238.10337 -187.42095     (-13.776,-2.463) (-166.468,-186.703) (-51.400,-238.821) 163.666
45    -64.63210 -53.86364  49.17489 -215.64268 -235.63077 -187.96502     (-15.457,-4.689) (-166.468,-186.456) (-49.175,-237.140) 164.508
46    -64.08802 -53.86364  46.94932 -213.41711 -233.15817 -188.50910     (-17.139,-6.914) (-166.468,-186.209) (-46.949,-235.458) 165.44
47    -63.54394 -53.86364  44.72375 -211.19154 -230.68557 -189.05318     (-18.820,-9.140) (-166.468,-185.962) (-44.724,-233.777) 166.271
48    -62.99987 -53.86364  42.49818 -208.96597 -228.21297 -189.59726     (-20.502,-11.365) (-166.468,-185.715) (-42.498,-232.095) 163.756
49    -62.45579 -53.86364  40.27261 -206.74040 -225.74037 -190.14133     (-22.183,-13.591) (-166.468,-185.468) (-40.273,-230.414) 161.297
50    -61.91171 -53.86364  38.04704 -204.51483 -223.26777 -190.68541     (-23.865,-15.817) (-166.468,-185.221) (-38.047,-228.732) 158.9
51    -61.36763 -53.86364  35.82147 -202.28926 -220.79517 -191.22949     (-25.546,-18.042) (-166.468,-184.974) (-35.821,-227.051) 156.565
52    -60.82356 -53.86364  33.59590 -200.06369 -218.32257 -191.77356     (-27.228,-20.268) (-166.468,-184.727) (-33.596,-225.369) 154.296
53    -60.27948 -53.86364  31.37033 -197.83812 -215.84997 -192.31764     (-28.909,-22.493) (-166.468,-184.480) (-31.370,-223.688) 152.096
54    -59.73540 -53.86364  29.14476 -195.61255 -213.37737 -192.86172     (-30.591,-24.719) (-166.468,-184.233) (-29.145,-222.006) 149.968
55    -59.19133 -53.86364  26.91919 -193.38698 -210.90477 -193.40580     (-32.272,-26.944) (-166.468,-183.986) (-26.919,-220.325) 147.915
56    -58.64725 -53.86364  24.69362 -191.16141 -208.43217 -193.94987     (-33.954,-29.170) (-166.468,-183.739) (-24.694,-218.643) 145.94
57    -58.10317 -53.86364  22.46805 -188.93584 -205.95957 -194.49395     (-35.635,-31.396) (-166.468,-183.492) (-22.468,-216.962) 144.047
58    -57.55909 -53.86364  20.24248 -186.71027 -203.48697 -195.03803     (-37.317,-33.621) (-166.468,-183.244) (-20.242,-215.281) 142.238
59    -57.01502 -53.86364  18.01691 -184.48470 -201.01437 -195.58210     (-38.998,-35.847) (-166.468,-182.997) (-18.017,-213.599) 140.517
60    -56.47094 -53.86364  15.79134 -182.25913 -198.54177 -196.12618     (-40.680,-38.072) (-166.468,-182.750) (-15.791,-211.918) 138.887
61    -55.92686 -53.86364  13.56577 -180.03356 -196.06917 -196.67026     (-42.361,-40.298) (-166.468,-182.503) (-13.566,-210.236) 137.352
62    -55.38278 -53.86364  11.34020 -177.80799 -193.59657 -197.21434     (-44.043,-42.523) (-166.468,-182.256) (-11.340,-208.555) 135.914
63    -54.83871 -53.86364   9.11463 -175.58242 -191.12397 -197.75841     (-45.724,-44.749) (-166.468,-182.009) (-9.115,-206.873) 134.577
64    -54.29463 -53.86364   6.88906 -173.35685 -188.65136 -198.30249     (-47.406,-46.975) (-166.468,-181.762) (-6.889,-205.192) 133.344
65    -53.75055 -53.86364   4.66349 -171.13128 -186.17876 -198.84657     (-49.087,-49.200) (-166.468,-181.515) (-4.663,-203.510) 132.202
66    -53.20648 -53.86364   2.43792 -168.90571 -183.70616 -199.39065     (-50.769,-51.426) (-166.468,-181.268) (-2.438,-201.829) 131.108
67    -52.66240 -53.86364   0.21235 -166.68014 -181.23356 -199.93472     (-52.450,-53.651) (-166.468,-181.021) (-0.212,-200.147) 130.125
68    -52.11832 -53.86364  -2.01322 -164.45457 -178.76096 -200.47880     (-52.118,-164.455) (-53.864,-178.761) (-2.013,-200.479) 126.35
69    -51.57424 -53.86364  -4.23879 -162.22900 -176.28836 -201.02288     (-51.574,-162.229) (-53.864,-176.288) (-4.239,-201.023) 122.274
70    -51.03017 -53.86364  -6.46436 -160.00343 -173.81576 -201.56695     (-51.030,-160.003) (-53.864,-173.816) (-6.464,-201.567) 118.198
71    -50.48609 -53.86364  -8.68993 -157.77786 -171.34316 -202.11103     (-50.486,-157.778) (-53.864,-171.343) (-8.690,-202.111) 114.122
72    -49.94201 -53.86364 -10.91550 -155.55229 -168.87056 -202.65511     (-49.942,-155.552) (-53.864,-168.871) (-10.915,-202.655) 110.047
73    -49.39794 -53.86364 -13.14107 -153.32672 -166.39796 -203.19919     (-49.398,-153.327) (-53.864,-166.398) (-13.141,-203.199) 105.971
74    -48.85386 -53.86364 -15.36664 -151.10115 -163.92536 -203.74326     (-48.854,-151.101) (-53.864,-163.925) (-15.367,-203.743) 101.895
75    -48.30978 -53.86364 -17.59221 -148.87558 -161.45276 -204.28734     (-48.310,-148.876) (-53.864,-161.453) (-17.592,-204.287) 97.8191
76    -47.76570 -53.86364 -19.81778 -146.65001 -158.98016 -204.83142     (-47.766,-146.650) (-53.864,-158.980) (-19.818,-204.831) 93.7433
77    -47.22163 -53.86364 -22.04335 -144.42444 -156.50756 -205.37549     (-47.222,-144.424) (-53.864,-156.508) (-22.043,-205.375) 89.6675
78    -46.67755 -53.86364 -24.26892 -142.19887 -154.03496 -205.91957     (-46.678,-142.199) (-53.864,-154.035) (-24.269,-205.920) 85.5917
79    -46.13347 -53.86364 -26.49449 -139.97330 -151.56236 -206.46365     (-46.133,-139.973) (-53.864,-151.562) (-26.494,-206.464) 81.5159
80    -45.58940 -53.86364 -28.72006 -137.74773 -149.08976 -207.00773     (-45.589,-137.748) (-53.864,-149.090) (-28.720,-207.008) 77.4401
81    -45.04532 -53.86364 -30.94563 -135.52216 -146.61716 -207.55180     (-45.045,-135.522) (-53.864,-146.617) (-30.946,-207.552) 73.3643
82    -44.50124 -53.86364 -33.17120 -133.29659 -144.14456 -208.09588     (-44.501,-133.297) (-53.864,-144.145) (-33.171,-208.096) 69.2885
83    -43.95716 -53.86364 -35.39677 -131.07102 -141.67196 -208.63996     (-43.957,-131.071) (-53.864,-141.672) (-35.397,-208.640) 65.2127
84    -43.41309 -53.86364 -37.62234 -128.84545 -139.19936 -209.18403     (-43.413,-128.845) (-53.864,-139.199) (-37.622,-209.184) 61.1369
85    -42.86901 -53.86364 -39.84791 -126.61988 -136.72676 -209.72811     (-42.869,-126.620) (-53.864,-136.727) (-39.848,-209.728) 57.0611
86    -42.32493 -53.86364 -42.07348 -124.39431 -134.25416 -210.27219     (-42.325,-124.394) (-53.864,-134.254) (-42.073,-210.272) 52.9854
87    -41.78086 -53.86364 -44.29905 -122.16874 -131.78156 -210.81627     (-41.781,-122.169) (-53.864,-131.782) (-44.299,-210.816) 48.9096
88    -41.23678 -53.86364 -46.52462 -119.94317 -129.30896 -211.36034     (-41.237,-119.943) (-53.864,-129.309) (-46.525,-211.360) 44.8338
