Fol_2018-05-05.09_50_14.1_16.txt     Output is probe cell, reduced cell, NCDist distance between
0     26.38783  -5.15610 -48.36421 -159.55992 -253.21207 -332.99356     (-285.374,-164.716) (-21.232,-43.208) (-205.593,-5.156) 0
1     23.23872  -5.31848 -49.95237 -159.61200 -251.09082 -329.68207     (-288.523,-164.930) (-17.920,-44.634) (-209.932,-5.318) 6.46668
2     20.08961  -5.48086 -51.54054 -159.66409 -248.96957 -326.37058     (-291.672,-165.145) (-14.609,-46.060) (-214.271,-5.481) 12.9334
3     16.94050  -5.64324 -53.12870 -159.71617 -246.84832 -323.05909     (-294.821,-165.359) (-11.297,-47.485) (-218.611,-5.643) 19.4001
4     13.79139  -5.80562 -54.71687 -159.76825 -244.72706 -319.74760     (-297.970,-165.574) (-7.986,-48.911) (-222.950,-5.806) 25.8667
5     10.64228  -5.96800 -56.30503 -159.82033 -242.60581 -316.43611     (-301.120,-165.788) (-4.674,-50.337) (-227.289,-5.968) 32.3334
6      7.49317  -6.13038 -57.89320 -159.87241 -240.48456 -313.12462     (-304.269,-166.003) (-1.363,-51.763) (-231.629,-6.130) 38.8001
7      4.34406  -6.29276 -59.48136 -159.92450 -238.36331 -309.81313     (-4.344,-164.269) (-1.949,-55.137) (-234.019,-305.469) 43.5016
8      1.19495  -6.45514 -61.06953 -159.97658 -236.24206 -306.50164     (-1.195,-161.172) (-5.260,-59.875) (-235.047,-305.307) 45.3672
9     -1.95416  -6.61752 -62.65769 -160.02866 -234.12080 -303.19016     (-1.954,-160.029) (-6.618,-234.121) (-62.658,-303.190) 42.3753
10     -5.10327  -6.77990 -64.24586 -160.08074 -231.99955 -299.87867     (-5.103,-160.081) (-6.780,-232.000) (-64.246,-299.879) 40.4296
11     -8.25237  -6.94228 -65.83402 -160.13282 -229.87830 -296.56718     (-8.252,-160.133) (-6.942,-229.878) (-65.834,-296.567) 37.6786
12    -11.40148  -7.10466 -67.42218 -160.18491 -227.75705 -293.25569     (-11.401,-160.185) (-7.105,-227.757) (-67.422,-293.256) 35.5059
13    -14.55059  -7.26704 -69.01035 -160.23699 -225.63579 -289.94420     (-14.551,-160.237) (-7.267,-225.636) (-69.010,-289.944) 34.0225
14    -17.69970  -7.42942 -70.59851 -160.28907 -223.51454 -286.63271     (-17.700,-160.289) (-7.429,-223.515) (-70.599,-286.633) 33.3205
15    -20.84881  -7.59180 -72.18668 -160.34115 -221.39329 -283.32122     (-20.849,-160.341) (-7.592,-221.393) (-72.187,-283.321) 33.4493
16    -23.99792  -7.75418 -73.77484 -160.39323 -219.27204 -280.00973     (-23.998,-160.393) (-7.754,-219.272) (-73.775,-280.010) 34.3994
17    -27.14703  -7.91656 -75.36301 -160.44531 -217.15079 -276.69824     (-27.147,-160.445) (-7.917,-217.151) (-75.363,-276.698) 36.1061
18    -30.29614  -8.07894 -76.95117 -160.49740 -215.02953 -273.38675     (-30.296,-160.497) (-8.079,-215.030) (-76.951,-273.387) 38.4688
19    -33.44525  -8.24132 -78.53934 -160.54948 -212.90828 -270.07526     (-33.445,-160.549) (-8.241,-212.908) (-78.539,-270.075) 41.3753
20    -36.59436  -8.40370 -80.12750 -160.60156 -210.78703 -266.76377     (-36.594,-160.602) (-8.404,-210.787) (-80.128,-266.764) 44.7197
21    -39.74347  -8.56608 -81.71567 -160.65364 -208.66578 -263.45228     (-39.743,-160.654) (-8.566,-208.666) (-81.716,-263.452) 48.4113
22    -42.89258  -8.72846 -83.30383 -160.70572 -206.54452 -260.14079     (-42.893,-160.706) (-8.728,-206.545) (-83.304,-260.141) 52.3768
23    -46.04169  -8.89084 -84.89200 -160.75781 -204.42327 -256.82930     (-46.042,-160.758) (-8.891,-204.423) (-84.892,-256.829) 56.5585
24    -49.19080  -9.05322 -86.48016 -160.80989 -202.30202 -253.51781     (-49.191,-160.810) (-9.053,-202.302) (-86.480,-253.518) 60.912
25    -52.33991  -9.21560 -88.06833 -160.86197 -200.18077 -250.20632     (-52.340,-160.862) (-9.216,-200.181) (-88.068,-250.206) 65.4029
26    -55.48902  -9.37798 -89.65649 -160.91405 -198.05952 -246.89483     (-55.489,-160.914) (-9.378,-198.060) (-89.656,-246.895) 70.0049
27    -58.63813  -9.54036 -91.24466 -160.96613 -195.93826 -243.58334     (-58.638,-160.966) (-9.540,-195.938) (-91.245,-243.583) 74.6974
28    -61.78723  -9.70274 -92.83282 -161.01821 -193.81701 -240.27186     (-61.787,-161.018) (-9.703,-193.817) (-92.833,-240.272) 79.4643
29    -64.93634  -9.86512 -94.42099 -161.07030 -191.69576 -236.96037     (-64.936,-161.070) (-9.865,-191.696) (-94.421,-236.960) 84.2931
30    -68.08545 -10.02750 -96.00915 -161.12238 -189.57451 -233.64888     (-68.085,-161.122) (-10.028,-189.575) (-96.009,-233.649) 89.1736
31    -71.23456 -10.18988 -97.59731 -161.17446 -187.45326 -230.33739     (-71.235,-161.174) (-10.190,-187.453) (-97.597,-230.337) 94.0979
32    -74.38367 -10.35226 -99.18548 -161.22654 -185.33200 -227.02590     (-74.384,-161.227) (-10.352,-185.332) (-99.185,-227.026) 99.0594
33    -77.53278 -10.51464 -100.77364 -161.27862 -183.21075 -223.71441     (-77.533,-161.279) (-10.515,-183.211) (-100.774,-223.714) 104.053
34    -80.68189 -10.67702 -102.36181 -161.33071 -181.08950 -220.40292     (-80.682,-161.331) (-10.677,-181.089) (-102.362,-220.403) 109.074
35    -83.83100 -10.83940 -103.94997 -161.38279 -178.96825 -217.09143     (-83.831,-161.383) (-10.839,-178.968) (-103.950,-217.091) 114.118
36    -86.98011 -11.00178 -105.53814 -161.43487 -176.84699 -213.77994     (-86.980,-161.435) (-11.002,-176.847) (-105.538,-213.780) 119.184
37    -90.12922 -11.16416 -107.12630 -161.48695 -174.72574 -210.46845     (-90.129,-161.487) (-11.164,-174.726) (-107.126,-210.468) 124.268
38    -93.27833 -11.32654 -108.71447 -161.53903 -172.60449 -207.15696     (-93.278,-161.539) (-11.327,-172.604) (-108.714,-207.157) 129.368
39    -96.42744 -11.48892 -110.30263 -161.59111 -170.48324 -203.84547     (-96.427,-161.591) (-11.489,-170.483) (-110.303,-203.845) 134.482
