Fol_2018-05-05.11_52_36.4_3.txt     Output is probe cell, reduced cell, NCDist distance between
0      2.54669  20.48017   3.57501 -38.79061 -20.94492 -52.14143     (-0.959,-2.282) (-1.896,-0.998) (-3.599,-0.035) 0
1      2.51127  20.25415   3.50254 -38.42183 -20.74344 -51.61510     (-0.143,-0.726) (-2.439,-3.185) (-6.801,-0.424) 3.50929
2      2.47586  20.02813   3.43008 -38.05306 -20.54196 -51.08877     (-4.525,-0.141) (-0.813,-9.157) (-2.169,-0.017) 6.18332
3      2.44045  19.80211   3.35761 -37.68429 -20.34048 -50.56244     (-4.275,-0.286) (-2.037,-9.350) (-0.917,-0.898) 6.27761
4      2.40503  19.57609   3.28515 -37.31552 -20.13900 -50.03610     (-4.165,-0.712) (-1.765,-9.403) (-0.880,-1.638) 6.41651
5      2.36962  19.35007   3.21268 -36.94674 -19.93752 -49.50977     (-4.056,-1.139) (-1.492,-9.456) (-0.843,-2.378) 6.48602
6      2.33421  19.12405   3.14021 -36.57797 -19.73604 -48.98344     (-3.946,-1.565) (-1.220,-9.509) (-0.806,-3.118) 6.61293
7      2.29879  18.89803   3.06775 -36.20920 -19.53456 -48.45711     (-3.837,-1.992) (-0.947,-9.562) (-0.769,-3.858) 6.85408
8      2.26338  18.67201   2.99528 -35.84042 -19.33308 -47.93077     (-3.727,-2.418) (-0.674,-9.615) (-0.732,-4.598) 7.05267
9      2.22797  18.44599   2.92282 -35.47165 -19.13160 -47.40444     (-3.618,-2.845) (-0.402,-9.668) (-0.695,-5.338) 7.35815
10      2.19255  18.21997   2.85035 -35.10288 -18.93012 -46.87811     (-3.508,-3.271) (-0.129,-9.721) (-0.658,-6.079) 7.7579
11      2.15714  17.99395   2.77789 -34.73410 -18.72864 -46.35178     (-6.675,-3.554) (-0.143,-9.918) (-0.477,-3.255) 8.20444
12      2.12173  17.76793   2.70542 -34.36533 -18.52716 -45.82545     (-7.143,-3.708) (-0.416,-10.243) (-0.168,-2.873) 8.68004
13      2.08631  17.54190   2.63295 -33.99656 -18.32568 -45.29911     (-0.547,-7.469) (-3.720,-10.427) (-2.633,-0.142) 8.97345
14      2.05090  17.31588   2.56049 -33.62778 -18.12420 -44.77278     (-0.510,-7.626) (-3.564,-10.443) (-2.560,-0.452) 9.00976
15      2.01549  17.08986   2.48802 -33.25901 -17.92272 -44.24645     (-0.473,-7.784) (-3.409,-10.459) (-2.488,-0.761) 9.06271
16      1.98007  16.86384   2.41556 -32.89024 -17.72124 -43.72012     (-0.435,-7.942) (-3.253,-10.475) (-2.416,-1.071) 9.13201
17      1.94466  16.63782   2.34309 -32.52147 -17.51976 -43.19379     (-0.398,-8.100) (-3.097,-10.490) (-2.343,-1.381) 9.21728
18      1.90925  16.41180   2.27063 -32.15269 -17.31828 -42.66745     (-0.361,-8.258) (-2.942,-10.506) (-2.271,-1.690) 9.31809
19      1.87383  16.18578   2.19816 -31.78392 -17.11680 -42.14112     (-0.324,-8.416) (-2.786,-10.522) (-2.198,-2.000) 9.43394
20      1.83842  15.95976   2.12569 -31.41515 -16.91532 -41.61479     (-0.287,-8.574) (-2.630,-10.538) (-2.126,-2.309) 9.56429
21      1.80301  15.73374   2.05323 -31.04637 -16.71384 -41.08846     (-0.250,-8.732) (-2.474,-10.554) (-2.053,-2.619) 9.69279
