Fol_2018-05-05.12_26_10.2_13.txt     Output is probe cell, reduced cell, NCDist distance between
0    -5521.34562 -2027.97757 -2250.90717 170.38737 1776.62313 -4190.67077     (-1687.203,-1776.623) (-1968.099,-170.387) (-2250.907,-296.650) 0
1    -5482.61690 -2027.37274 -2250.90717 150.72060 1756.95636 -4151.33722     (-1725.932,-1756.956) (-1968.704,-150.721) (-2250.907,-335.983) 61.814
2    -5443.88819 -2026.76791 -2250.90717 131.05383 1737.28959 -4112.00368     (-1764.660,-1737.290) (-1969.309,-131.054) (-2250.907,-375.317) 123.628
3    -5405.15947 -2026.16308 -2250.90717 111.38706 1717.62282 -4072.67013     (-1803.389,-1717.623) (-1969.914,-111.387) (-2250.907,-414.650) 185.442
4    -5366.43076 -2025.55825 -2250.90717  91.72028 1697.95604 -4033.33659     (-1842.118,-1697.956) (-1970.519,-91.720) (-2250.907,-453.984) 247.256
5    -5327.70204 -2024.95342 -2250.90717  72.05351 1678.28927 -3994.00304     (-1880.846,-1678.289) (-1971.124,-72.054) (-2250.907,-493.317) 309.07
6    -5288.97333 -2024.34859 -2250.90717  52.38674 1658.62250 -3954.66950     (-1919.575,-1658.622) (-1971.728,-52.387) (-2250.907,-532.651) 370.884
7    -5250.24461 -2023.74376 -2250.90717  32.71996 1638.95572 -3915.33595     (-1958.304,-1638.956) (-1972.333,-32.720) (-2250.907,-571.985) 432.698
8    -5211.51590 -2023.13893 -2250.90717  13.05319 1619.28895 -3876.00240     (-1997.033,-1619.289) (-1972.938,-13.053) (-2250.907,-611.318) 480.631
9    -5172.78718 -2022.53410 -2250.90717  -6.61358 1599.62218 -3836.66886     (-2244.294,-1593.009) (-1980.156,-6.614) (-2029.148,-644.038) 524.704
10    -5134.05847 -2021.92926 -2250.90717 -26.28035 1579.95541 -3797.33531     (-2224.627,-1553.675) (-2000.428,-26.280) (-2048.210,-663.705) 573.002
11    -5095.32975 -2021.32443 -2250.90717 -45.94713 1560.28863 -3758.00177     (-2204.960,-1514.342) (-2020.700,-45.947) (-2067.272,-683.372) 623.147
12    -5056.60104 -2020.71960 -2250.90717 -65.61390 1540.62186 -3718.66822     (-2185.293,-1475.008) (-2040.971,-65.614) (-2086.334,-703.038) 674.727
13    -5017.87232 -2020.11477 -2250.90717 -85.28067 1520.95509 -3679.33468     (-2165.626,-1435.674) (-2061.243,-85.281) (-2105.395,-722.705) 710.71
14    -4979.14361 -2019.50994 -2250.90717 -104.94745 1501.28832 -3640.00113     (-2145.960,-1396.341) (-2081.514,-104.947) (-2124.457,-742.372) 742.072
15    -4940.41489 -2018.90511 -2250.90717 -124.61422 1481.62154 -3600.66759     (-2126.293,-1357.007) (-2101.786,-124.614) (-2143.519,-762.039) 776.657
16    -4901.68618 -2018.30028 -2250.90717 -144.28099 1461.95477 -3561.33404     (-2106.626,-1317.674) (-2122.058,-144.281) (-2162.581,-781.705) 808.712
17    -4862.95746 -2017.69545 -2250.90717 -163.94776 1442.28800 -3522.00049     (-2086.959,-1278.340) (-2142.329,-163.948) (-2181.643,-801.372) 835.482
18    -4824.22875 -2017.09062 -2250.90717 -183.61454 1422.62122 -3482.66695     (-2067.293,-1239.007) (-2162.601,-183.615) (-2200.705,-821.039) 865.454
19    -4785.50003 -2016.48579 -2250.90717 -203.28131 1402.95445 -3443.33340     (-2047.626,-1199.673) (-2182.872,-203.281) (-2219.767,-840.706) 898.305
20    -4746.77132 -2015.88096 -2250.90717 -222.94808 1383.28768 -3403.99986     (-2027.959,-1160.340) (-2203.144,-222.948) (-2238.829,-860.373) 933.733
21    -4708.04260 -2015.27613 -2250.90717 -242.61486 1363.62091 -3364.66631     (-2008.292,-1121.006) (-2223.416,-242.615) (-2257.891,-880.039) 971.456
22    -4669.31388 -2014.67130 -2250.90717 -262.28163 1343.95413 -3325.33277     (-1988.626,-1081.673) (-2243.687,-262.282) (-2276.953,-899.706) 1011.22
23    -4630.58517 -2014.06647 -2250.90717 -281.94840 1324.28736 -3285.99922     (-1968.959,-1042.339) (-2263.959,-281.948) (-2296.015,-919.373) 1052.79
24    -4591.85645 -2013.46164 -2250.90717 -301.61517 1304.62059 -3246.66567     (-1949.292,-1003.005) (-2284.230,-301.615) (-2315.077,-939.040) 1095.95
25    -4553.12774 -2012.85681 -2250.90717 -321.28195 1284.95381 -3207.33213     (-1929.625,-963.672) (-2304.502,-321.282) (-2334.139,-958.706) 1140.54
26    -4514.39902 -2012.25198 -2250.90717 -340.94872 1265.28704 -3167.99858     (-1909.958,-924.338) (-2324.774,-340.949) (-2353.201,-978.373) 1186.39
27    -4475.67031 -2011.64715 -2250.90717 -360.61549 1245.62027 -3128.66504     (-1890.292,-885.005) (-2345.045,-360.615) (-2372.263,-998.040) 1155.17
28    -4436.94159 -2011.04232 -2250.90717 -380.28226 1225.95350 -3089.33149     (-1870.625,-845.671) (-2365.317,-380.282) (-2391.325,-1017.707) 1124.64
29    -4398.21288 -2010.43748 -2250.90717 -399.94904 1206.28672 -3049.99795     (-1850.958,-806.338) (-2385.588,-399.949) (-2410.387,-1037.374) 1096.43
30    -4359.48416 -2009.83265 -2250.90717 -419.61581 1186.61995 -3010.66440     (-1831.291,-767.004) (-2405.860,-419.616) (-2429.448,-1057.040) 1070.74
31    -4320.75545 -2009.22782 -2250.90717 -439.28258 1166.95318 -2971.33086     (-1811.625,-727.671) (-2426.132,-439.283) (-2448.510,-1076.707) 1047.75
32    -4282.02673 -2008.62299 -2250.90717 -458.94936 1147.28640 -2931.99731     (-1791.958,-688.337) (-2446.403,-458.949) (-2467.572,-1096.374) 1027.63
33    -4243.29802 -2008.01816 -2250.90717 -478.61613 1127.61963 -2892.66376     (-1772.291,-649.004) (-2466.675,-478.616) (-2486.634,-1116.041) 1010.56
34    -4204.56930 -2007.41333 -2250.90717 -498.28290 1107.95286 -2853.33022     (-1752.624,-609.670) (-2486.946,-498.283) (-2505.696,-1135.707) 996.696
35    -4165.84059 -2006.80850 -2250.90717 -517.94967 1088.28609 -2813.99667     (-1732.957,-570.336) (-2507.218,-517.950) (-2524.758,-1155.374) 986.175
36    -4127.11187 -2006.20367 -2250.90717 -537.61645 1068.61931 -2774.66313     (-1713.291,-531.003) (-2527.490,-537.616) (-2543.820,-1175.041) 979.103
37    -4088.38316 -2005.59884 -2250.90717 -557.28322 1048.95254 -2735.32958     (-1693.624,-491.669) (-2547.761,-557.283) (-2562.882,-1194.708) 975.555
38    -4049.65444 -2004.99401 -2250.90717 -576.94999 1029.28577 -2695.99604     (-1673.957,-452.336) (-2568.033,-576.950) (-2581.944,-1214.374) 975.57
39    -4010.92573 -2004.38918 -2250.90717 -596.61677 1009.61899 -2656.66249     (-1654.290,-413.002) (-2588.305,-596.617) (-2601.006,-1234.041) 979.147
40    -3972.19701 -2003.78435 -2250.90717 -616.28354 989.95222 -2617.32894     (-1634.624,-373.669) (-2608.576,-616.284) (-2620.068,-1253.708) 986.247
41    -3933.46830 -2003.17952 -2250.90717 -635.95031 970.28545 -2577.99540     (-1614.957,-334.335) (-2628.848,-635.950) (-2639.130,-1273.375) 996.796
42    -3894.73958 -2002.57469 -2250.90717 -655.61708 950.61868 -2538.66185     (-1595.290,-295.002) (-2649.119,-655.617) (-2658.192,-1293.042) 1010.69
43    -3856.01087 -2001.96986 -2250.90717 -675.28386 930.95190 -2499.32831     (-1575.623,-255.668) (-2669.391,-675.284) (-2677.254,-1312.708) 1027.78
44    -3817.28215 -2001.36503 -2250.90717 -694.95063 911.28513 -2459.99476     (-1555.957,-216.335) (-2689.663,-694.951) (-2696.316,-1332.375) 1047.92
45    -3778.55344 -2000.76020 -2250.90717 -714.61740 891.61836 -2420.66122     (-1536.290,-177.001) (-2709.934,-714.617) (-2715.378,-1352.042) 1070.94
46    -3739.82472 -2000.15537 -2250.90717 -734.28418 871.95159 -2381.32767     (-1516.623,-137.667) (-2730.206,-734.284) (-2734.440,-1371.709) 1096.65
47    -3701.09601 -1999.55054 -2250.90717 -753.95095 852.28481 -2341.99413     (-1496.956,-98.334) (-2750.477,-753.951) (-2753.501,-1391.375) 1124.88
48    -3662.36729 -1998.94570 -2250.90717 -773.61772 832.61804 -2302.66058     (-1477.289,-59.000) (-2770.749,-773.618) (-2772.563,-1411.042) 1155.43
49    -3623.63858 -1998.34087 -2250.90717 -793.28449 812.95127 -2263.32703     (-1457.623,-19.667) (-2791.021,-793.284) (-2791.625,-1430.709) 1188.13
50    -3584.90986 -1997.73604 -2250.90717 -812.95127 793.28449 -2223.99349     (-1457.623,-19.667) (-2791.021,-793.284) (-2791.625,-1430.709) 1188.13
51    -3546.18115 -1997.13121 -2250.90717 -832.61804 773.61772 -2184.65994     (-1477.289,-59.000) (-2770.749,-773.618) (-2772.563,-1411.042) 1155.43
52    -3507.45243 -1996.52638 -2250.90717 -852.28481 753.95095 -2145.32640     (-1496.956,-98.334) (-2750.477,-753.951) (-2753.501,-1391.375) 1124.88
53    -3468.72372 -1995.92155 -2250.90717 -871.95159 734.28418 -2105.99285     (-1516.623,-137.667) (-2730.206,-734.284) (-2734.440,-1371.709) 1096.65
54    -3429.99500 -1995.31672 -2250.90717 -891.61836 714.61740 -2066.65931     (-1536.290,-177.001) (-2709.934,-714.617) (-2715.378,-1352.042) 1070.94
