Fol_2018-05-05.11_42_16.1_10.txt     Output is probe cell, reduced cell, NCDist distance between
0     -7.70904 -37.88318 -50.53340   0.83990   2.43589 -15.52370     (-36.203,-2.436) (-2.837,-0.840) (-50.533,-8.972) 0
1     -7.99687 -37.52918 -50.53340   0.80681   2.40280 -15.45752     (-35.916,-2.403) (-3.191,-0.807) (-50.533,-9.038) 0.463385
2     -8.28469 -37.17518 -50.53340   0.77372   2.36971 -15.39134     (-35.628,-2.370) (-3.545,-0.774) (-50.533,-9.104) 0.92677
3     -8.57251 -36.82118 -50.53340   0.74063   2.33662 -15.32517     (-35.340,-2.337) (-3.899,-0.741) (-50.533,-9.171) 1.39016
4     -8.86033 -36.46718 -50.53340   0.70754   2.30353 -15.25899     (-35.052,-2.304) (-4.253,-0.708) (-50.533,-9.237) 1.85354
5     -9.14815 -36.11318 -50.53340   0.67445   2.27045 -15.19281     (-34.764,-2.270) (-4.607,-0.674) (-50.533,-9.303) 2.31693
6     -9.43597 -35.75918 -50.53340   0.64136   2.23736 -15.12663     (-34.476,-2.237) (-4.961,-0.641) (-50.533,-9.369) 2.78031
7     -9.72379 -35.40518 -50.53340   0.60828   2.20427 -15.06046     (-34.189,-2.204) (-5.315,-0.608) (-50.533,-9.435) 3.2437
8    -10.01162 -35.05118 -50.53340   0.57519   2.17118 -14.99428     (-33.901,-2.171) (-5.669,-0.575) (-50.533,-9.502) 3.70708
9    -10.29944 -34.69718 -50.53340   0.54210   2.13809 -14.92810     (-33.613,-2.138) (-6.023,-0.542) (-50.533,-9.568) 4.17047
10    -10.58726 -34.34319 -50.53340   0.50901   2.10500 -14.86192     (-33.325,-2.105) (-6.377,-0.509) (-50.533,-9.634) 4.63385
11    -10.87508 -33.98919 -50.53340   0.47592   2.07191 -14.79575     (-33.037,-2.072) (-6.731,-0.476) (-50.533,-9.700) 5.09724
12    -11.16290 -33.63519 -50.53340   0.44283   2.03882 -14.72957     (-32.750,-2.039) (-7.085,-0.443) (-50.533,-9.766) 5.56062
13    -11.45072 -33.28119 -50.53340   0.40974   2.00574 -14.66339     (-32.462,-2.006) (-7.439,-0.410) (-50.533,-9.832) 6.02401
14    -11.73855 -32.92719 -50.53340   0.37665   1.97265 -14.59721     (-32.174,-1.973) (-7.793,-0.377) (-50.533,-9.899) 6.48739
15    -12.02637 -32.57319 -50.53340   0.34357   1.93956 -14.53104     (-31.886,-1.940) (-8.147,-0.344) (-50.533,-9.965) 6.95078
16    -12.31419 -32.21919 -50.53340   0.31048   1.90647 -14.46486     (-31.598,-1.906) (-8.501,-0.310) (-50.533,-10.031) 7.41416
17    -12.60201 -31.86519 -50.53340   0.27739   1.87338 -14.39868     (-31.310,-1.873) (-8.855,-0.277) (-50.533,-10.097) 7.87755
18    -12.88983 -31.51119 -50.53340   0.24430   1.84029 -14.33250     (-31.023,-1.840) (-9.209,-0.244) (-50.533,-10.163) 8.34093
19    -13.17765 -31.15719 -50.53340   0.21121   1.80720 -14.26633     (-30.735,-1.807) (-9.563,-0.211) (-50.533,-10.229) 8.80432
20    -13.46548 -30.80319 -50.53340   0.17812   1.77411 -14.20015     (-30.447,-1.774) (-9.917,-0.178) (-50.533,-10.296) 9.2677
21    -13.75330 -30.44920 -50.53340   0.14503   1.74103 -14.13397     (-30.159,-1.741) (-10.271,-0.145) (-50.533,-10.362) 9.73109
22    -14.04112 -30.09520 -50.53340   0.11194   1.70794 -14.06779     (-29.871,-1.708) (-10.625,-0.112) (-50.533,-10.428) 10.1945
23    -14.32894 -29.74120 -50.53340   0.07886   1.67485 -14.00162     (-29.583,-1.675) (-10.979,-0.079) (-50.533,-10.494) 10.6579
24    -14.61676 -29.38720 -50.53340   0.04577   1.64176 -13.93544     (-29.296,-1.642) (-11.333,-0.046) (-50.533,-10.560) 11.1212
25    -14.90458 -29.03320 -50.53340   0.01268   1.60867 -13.86926     (-29.008,-1.609) (-11.687,-0.013) (-50.533,-10.627) 11.5846
26    -15.19241 -28.67920 -50.53340  -0.02041   1.57558 -13.80308     (-50.513,-1.555) (-12.062,-0.020) (-28.700,-10.672) 12.0749
27    -15.48023 -28.32520 -50.53340  -0.05350   1.54249 -13.73691     (-50.480,-1.489) (-12.449,-0.053) (-28.379,-10.705) 12.5821
28    -15.76805 -27.97120 -50.53340  -0.08659   1.50940 -13.67073     (-50.447,-1.423) (-12.836,-0.087) (-28.058,-10.739) 13.0895
29    -16.05587 -27.61720 -50.53340  -0.11968   1.47632 -13.60455     (-50.414,-1.357) (-13.223,-0.120) (-27.737,-10.772) 13.5971
