Fol_2018-05-05.09_49_04.1_14.txt     Output is probe cell, reduced cell, NCDist distance between
0     54.08032  14.62600  -2.16834 -209.62859 -262.29133 -246.98935     (-54.080,-180.377) (-109.577,-2.168) (-154.131,-14.626) 0
1     52.98779  13.37142  -3.70331 -209.33312 -259.66382 -244.64224     (-52.988,-182.590) (-111.924,-3.703) (-153.688,-13.371) 3.96594
2     51.89526  12.11685  -5.23829 -209.03764 -257.03632 -242.29514     (-51.895,-184.804) (-114.271,-5.238) (-153.246,-12.117) 7.93189
3     50.80273  10.86228  -6.77326 -208.74217 -254.40881 -239.94804     (-50.803,-187.018) (-116.618,-6.773) (-152.803,-10.862) 11.8978
4     49.71020   9.60770  -8.30823 -208.44669 -251.78131 -237.60093     (-49.710,-189.231) (-118.965,-8.308) (-152.361,-9.608) 15.8638
5     48.61767   8.35313  -9.84321 -208.15122 -249.15380 -235.25383     (-48.618,-191.445) (-121.312,-9.843) (-151.918,-8.353) 19.8297
6     47.52513   7.09856 -11.37818 -207.85574 -246.52630 -232.90672     (-47.525,-193.659) (-123.659,-11.378) (-151.476,-7.099) 23.7957
7     46.43260   5.84399 -12.91315 -207.56027 -243.89880 -230.55962     (-46.433,-195.872) (-126.006,-12.913) (-151.034,-5.844) 27.7616
8     45.34007   4.58941 -14.44813 -207.26479 -241.27129 -228.21251     (-45.340,-198.086) (-128.354,-14.448) (-150.591,-4.589) 31.7276
9     44.24754   3.33484 -15.98310 -206.96932 -238.64379 -225.86541     (-44.248,-200.300) (-130.701,-15.983) (-150.149,-3.335) 35.6935
10     43.15501   2.08027 -17.51807 -206.67384 -236.01628 -223.51830     (-43.155,-202.513) (-133.048,-17.518) (-149.706,-2.080) 39.6594
11     42.06247   0.82570 -19.05304 -206.37837 -233.38878 -221.17120     (-42.062,-204.727) (-135.395,-19.053) (-149.264,-0.826) 43.6254
12     40.96994  -0.42888 -20.58802 -206.08289 -230.76127 -218.82409     (-137.313,-206.512) (-40.541,-20.159) (-149.250,-0.429) 46.7409
13     39.87741  -1.68345 -22.12299 -205.78742 -228.13377 -216.47699     (-138.406,-207.471) (-38.194,-20.440) (-150.062,-1.683) 48.3268
14     38.78488  -2.93802 -23.65796 -205.49194 -225.50626 -214.12988     (-139.498,-208.430) (-35.847,-20.720) (-150.875,-2.938) 50.0611
15     37.69235  -4.19260 -25.19294 -205.19647 -222.87876 -211.78278     (-140.591,-209.389) (-33.500,-21.000) (-151.687,-4.193) 51.929
16     36.59982  -5.44717 -26.72791 -204.90100 -220.25125 -209.43568     (-141.683,-210.348) (-31.153,-21.281) (-152.499,-5.447) 53.9166
17     35.50728  -6.70174 -28.26288 -204.60552 -217.62375 -207.08857     (-142.776,-211.307) (-28.806,-21.561) (-153.311,-6.702) 56.0111
18     34.41475  -7.95631 -29.79786 -204.31005 -214.99624 -204.74147     (-143.868,-212.266) (-26.458,-21.842) (-154.123,-7.956) 58.201
19     33.32222  -9.21089 -31.33283 -204.01457 -212.36874 -202.39436     (-144.961,-213.225) (-24.111,-22.122) (-154.935,-9.211) 60.4759
20     32.22969 -10.46546 -32.86780 -203.71910 -209.74123 -200.04726     (-146.053,-214.185) (-21.764,-22.402) (-155.747,-10.465) 62.8267
21     31.13716 -11.72003 -34.40278 -203.42362 -207.11373 -197.70015     (-147.146,-215.144) (-19.417,-22.683) (-156.559,-11.720) 65.245
22     30.04462 -12.97461 -35.93775 -203.12815 -204.48622 -195.35305     (-148.238,-216.103) (-17.070,-22.963) (-157.372,-12.975) 67.7237
23     28.95209 -14.22918 -37.47272 -202.83267 -201.85872 -193.00594     (-149.331,-217.062) (-14.723,-23.244) (-158.184,-14.229) 70.2564
24     27.85956 -15.48375 -39.00770 -202.53720 -199.23121 -190.65884     (-150.423,-218.021) (-12.376,-23.524) (-158.996,-15.484) 72.8374
25     26.76703 -16.73832 -40.54267 -202.24172 -196.60371 -188.31173     (-151.516,-218.980) (-10.029,-23.804) (-159.808,-16.738) 75.4618
26     25.67450 -17.99290 -42.07764 -201.94625 -193.97620 -185.96463     (-152.609,-219.939) (-7.682,-24.085) (-160.620,-17.993) 78.1252
27     24.58197 -19.24747 -43.61261 -201.65077 -191.34870 -183.61753     (-153.701,-220.898) (-5.334,-24.365) (-161.432,-19.247) 80.8238
28     23.48943 -20.50204 -45.14759 -201.35530 -188.72119 -181.27042     (-154.794,-221.857) (-2.987,-24.646) (-162.244,-20.502) 83.5541
29     22.39690 -21.75661 -46.68256 -201.05982 -186.09369 -178.92332     (-155.886,-222.816) (-0.640,-24.926) (-163.056,-21.757) 86.3132
