Fol_2018-05-14.17_23_58.1_41.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0      3.72438 -46.45952 -43.52949  -0.61898  -2.38182  -4.92025     (-2.382,-41.393) (-3.001,-38.463) (-1.343,-2.538) 0  0  
1      3.66270 -46.02055 -43.10336  -1.03083  -2.74628  -4.89619     (-2.746,-41.441) (-3.777,-38.524) (-0.916,-2.150) 1.03643  1.03643  
2      3.60102 -45.58157 -42.67723  -1.44269  -3.11073  -4.87213     (-3.111,-41.490) (-4.553,-38.586) (-0.490,-1.761) 2.07287  2.07287  
3      3.53934 -45.14259 -42.25110  -1.85454  -3.47518  -4.84807     (-3.475,-41.539) (-5.330,-38.648) (-0.064,-1.373) 3.1093  3.1093  
4      3.47766 -44.70361 -41.82497  -2.26640  -3.83963  -4.82401     (-3.478,-5.744) (-41.226,-38.347) (-0.362,-1.346) 3.61853  48.6725     glitch
5      3.41598 -44.26464 -41.39884  -2.67825  -4.20408  -4.79996     (-3.416,-6.094) (-40.849,-37.983) (-0.788,-1.384) 4.12762  48.1526  
6      3.35430 -43.82566 -40.97271  -3.09011  -4.56854  -4.77590     (-3.354,-6.444) (-40.471,-37.618) (-1.214,-1.422) 4.70637  47.6394  
7      3.29262 -43.38668 -40.54658  -3.50196  -4.93299  -4.75184     (-3.293,-6.795) (-40.094,-37.254) (-1.640,-1.459) 5.33214  47.133  
8      3.23095 -42.94771 -40.12045  -3.91382  -5.29744  -4.72778     (-3.231,-7.145) (-39.717,-36.890) (-2.066,-1.497) 5.99023  46.6336  
9      3.16927 -42.50873 -39.69432  -4.32567  -5.66189  -4.70372     (-3.169,-7.495) (-39.339,-36.525) (-2.493,-1.534) 6.51313  46.1415  
10      3.10759 -42.06975 -39.26819  -4.73753  -6.02634  -4.67966     (-3.108,-7.845) (-38.962,-36.161) (-2.919,-1.572) 7.05015  45.6569  
11      3.04591 -41.63078 -38.84206  -5.14938  -6.39080  -4.65560     (-3.046,-8.195) (-38.585,-35.796) (-3.345,-1.610) 7.62612  45.18  
12      2.98423 -41.19180 -38.41593  -5.56124  -6.75525  -4.63154     (-2.984,-8.545) (-38.208,-35.432) (-3.771,-1.647) 8.23286  44.7111  
13      2.92255 -40.75282 -37.98979  -5.97309  -7.11970  -4.60748     (-2.923,-8.896) (-37.830,-35.067) (-4.197,-1.685) 8.86405  44.2505  
14      2.86087 -40.31384 -37.56366  -6.38494  -7.48415  -4.58343     (-2.861,-9.246) (-37.453,-34.703) (-4.623,-1.723) 9.51483  43.7983  
15      2.79919 -39.87487 -37.13753  -6.79680  -7.84860  -4.55937     (-2.799,-9.596) (-37.076,-34.338) (-5.049,-1.760) 10.1814  43.355  
16      2.73752 -39.43589 -36.71140  -7.20865  -8.21306  -4.53531     (-2.738,-9.946) (-36.698,-33.974) (-5.476,-1.798) 10.861  42.9207  
17      2.67584 -38.99691 -36.28527  -7.62051  -8.57751  -4.51125     (-2.676,-10.296) (-36.321,-33.609) (-5.902,-1.835) 11.5512  42.4956  
18      2.61416 -38.55794 -35.85914  -8.03236  -8.94196  -4.48719     (-2.614,-10.647) (-35.944,-33.245) (-6.328,-1.873) 12.2502  42.0802  
19      2.55248 -38.11896 -35.43301  -8.44422  -9.30641  -4.46313     (-2.552,-10.997) (-35.566,-32.881) (-6.754,-1.911) 12.9566  41.6747  
20      2.49080 -37.67998 -35.00688  -8.85607  -9.67086  -4.43907     (-2.491,-11.347) (-35.189,-32.516) (-7.180,-1.948) 13.6693  41.2794  
21      2.42912 -37.24101 -34.58075  -9.26793 -10.03532  -4.41501     (-2.429,-11.697) (-34.812,-32.152) (-7.606,-1.986) 14.3873  40.8945  
22      2.36744 -36.80203 -34.15462  -9.67978 -10.39977  -4.39096     (-2.367,-12.047) (-34.435,-31.787) (-8.032,-2.024) 15.1099  40.5204  
23      2.30576 -36.36305 -33.72849 -10.09164 -10.76422  -4.36690     (-2.306,-12.397) (-34.057,-31.423) (-8.458,-2.061) 15.8364  40.1574  
24      2.24408 -35.92408 -33.30236 -10.50349 -11.12867  -4.34284     (-2.244,-12.748) (-33.680,-31.058) (-8.885,-2.099) 16.5664  39.8058  
25      2.18241 -35.48510 -32.87623 -10.91535 -11.49312  -4.31878     (-2.182,-13.098) (-33.303,-30.694) (-9.311,-2.136) 17.2766  39.4658  
26      2.12073 -35.04612 -32.45010 -11.32720 -11.85757  -4.29472     (-2.121,-13.448) (-32.925,-30.329) (-9.737,-2.174) 17.9898  39.1379  
27      2.05905 -34.60714 -32.02396 -11.73906 -12.22203  -4.27066     (-2.059,-13.798) (-32.548,-29.965) (-10.163,-2.212) 18.7071  38.8222  
28      1.99737 -34.16817 -31.59783 -12.15091 -12.58648  -4.24660     (-1.997,-14.148) (-32.171,-29.600) (-10.589,-2.249) 19.428  38.5191  
29      1.93569 -33.72919 -31.17170 -12.56277 -12.95093  -4.22254     (-1.936,-14.498) (-31.793,-29.236) (-11.015,-2.287) 20.1521  38.2289  
30      1.87401 -33.29021 -30.74557 -12.97462 -13.31538  -4.19848     (-1.874,-14.849) (-31.416,-28.872) (-11.441,-2.324) 20.8791  37.9519  
31      1.81233 -32.85124 -30.31944 -13.38647 -13.67983  -4.17443     (-1.812,-15.199) (-31.039,-28.507) (-11.868,-2.362) 21.6087  37.6884  
32      1.75065 -32.41226 -29.89331 -13.79833 -14.04429  -4.15037     (-1.751,-15.549) (-30.662,-28.143) (-12.294,-2.400) 22.3406  37.4386  
33      1.68898 -31.97328 -29.46718 -14.21018 -14.40874  -4.12631     (-1.689,-15.899) (-30.284,-27.778) (-12.720,-2.437) 23.0747  37.2029  
34      1.62730 -31.53431 -29.04105 -14.62204 -14.77319  -4.10225     (-1.627,-16.249) (-29.907,-27.414) (-13.146,-2.475) 23.8106  36.9815  
35      1.56562 -31.09533 -28.61492 -15.03389 -15.13764  -4.07819     (-1.566,-16.600) (-29.530,-27.049) (-13.572,-2.513) 24.5483  36.7746  
36      1.50394 -30.65635 -28.18879 -15.44575 -15.50209  -4.05413     (-1.504,-16.950) (-29.152,-26.685) (-13.998,-2.550) 25.2877  36.5826  
37      1.44226 -30.21737 -27.76266 -15.85760 -15.86655  -4.03007     (-1.442,-17.300) (-28.775,-26.320) (-14.424,-2.588) 26.0233  36.4056  
38      1.38058 -29.77840 -27.33653 -16.26946 -16.23100  -4.00601     (-1.381,-17.650) (-28.398,-25.956) (-14.850,-2.625) 26.7552  36.2439  
39      1.31890 -29.33942 -26.91040 -16.68131 -16.59545  -3.98195     (-1.319,-18.000) (-28.021,-25.591) (-15.277,-2.663) 27.4888  36.0977  
40      1.25722 -28.90044 -26.48426 -17.09317 -16.95990  -3.95790     (-1.257,-18.350) (-27.643,-25.227) (-15.703,-2.701) 28.2241  35.9671  
41      1.19555 -28.46147 -26.05813 -17.50502 -17.32435  -3.93384     (-1.196,-18.701) (-27.266,-24.863) (-16.129,-2.738) 28.9609  35.8523  
42      1.13387 -28.02249 -25.63200 -17.91688 -17.68881  -3.90978     (-1.134,-19.051) (-26.889,-24.498) (-16.555,-2.776) 29.6991  35.7536  
43      1.07219 -27.58351 -25.20587 -18.32873 -18.05326  -3.88572     (-1.072,-19.401) (-26.511,-24.134) (-16.981,-2.814) 30.4386  35.6709  
44      1.01051 -27.14454 -24.77974 -18.74059 -18.41771  -3.86166     (-1.011,-19.751) (-26.134,-23.769) (-17.407,-2.851) 31.1794  35.6045  
45      0.94883 -26.70556 -24.35361 -19.15244 -18.78216  -3.83760     (-0.949,-20.101) (-25.757,-23.405) (-17.833,-2.889) 31.9212  35.5544  
46      0.88715 -26.26658 -23.92748 -19.56430 -19.14661  -3.81354     (-0.887,-20.451) (-25.379,-23.040) (-18.259,-2.926) 32.6641  35.5207  
47      0.82547 -25.82761 -23.50135 -19.97615 -19.51107  -3.78948     (-0.825,-20.802) (-25.002,-22.676) (-18.686,-2.964) 33.408  35.4692  
48      0.76379 -25.38863 -23.07522 -20.38800 -19.87552  -3.76543     (-0.764,-21.152) (-24.625,-22.311) (-19.112,-3.002) 34.1528  35.4135  
49      0.70212 -24.94965 -22.64909 -20.79986 -20.23997  -3.74137     (-0.702,-21.502) (-24.248,-21.947) (-19.538,-3.039) 34.8985  35.3743  
50      0.64044 -24.51067 -22.22296 -21.21171 -20.60442  -3.71731     (-0.640,-21.852) (-23.870,-21.583) (-19.964,-3.077) 35.3516  35.3516  
51      0.57876 -24.07170 -21.79683 -21.62357 -20.96887  -3.69325     (-0.579,-22.202) (-23.493,-21.218) (-20.390,-3.114) 35.3454  35.3454  
52      0.51708 -23.63272 -21.37070 -22.03542 -21.33333  -3.66919     (-0.517,-22.553) (-23.116,-20.854) (-20.816,-3.152) 35.3558  35.3558  
53      0.45540 -23.19374 -20.94457 -22.44728 -21.69778  -3.64513     (-0.455,-22.903) (-22.738,-20.489) (-21.242,-3.190) 35.3827  35.3827  
54      0.39372 -22.75477 -20.51843 -22.85913 -22.06223  -3.62107     (-0.394,-23.253) (-22.361,-20.125) (-21.669,-3.227) 35.426  35.426  
55      0.33204 -22.31579 -20.09230 -23.27099 -22.42668  -3.59701     (-0.332,-23.603) (-21.984,-19.760) (-22.095,-3.265) 35.4858  35.4858  
