Fol_2018-05-14.13_03_36.51_50.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0    -62.94506   0.63837  -0.72707 -12.24109 -69.47975 -45.33070     (-44.692,-11.603) (-0.638,-70.118) (-0.089,-62.307) 67.5219  49.4874  
1    -62.92679   0.63709  -0.72643 -12.24045 -69.48039 -45.34769     (-44.711,-11.603) (-0.637,-70.117) (-0.089,-62.290) 67.5111  49.462  
2    -62.90852   0.63581  -0.72579 -12.23981 -69.48103 -45.36468     (-44.729,-11.604) (-0.636,-70.117) (-0.090,-62.273) 67.5004  49.4367  
3    -62.89024   0.63453  -0.72515 -12.23917 -69.48167 -45.38168     (-44.747,-11.605) (-0.635,-70.116) (-0.091,-62.256) 67.4898  49.4115  
4    -62.87197   0.63326  -0.72451 -12.23853 -69.48230 -45.39867     (-44.765,-11.605) (-0.633,-70.116) (-0.091,-62.239) 67.4792  49.3863  
5    -62.85370   0.63198  -0.72388 -12.23790 -69.48294 -45.41566     (-44.784,-11.606) (-0.632,-70.115) (-0.092,-62.222) 67.4687  49.3612  
6    -62.83543   0.63070  -0.72324 -12.23726 -69.48358 -45.43266     (-44.802,-11.607) (-0.631,-70.114) (-0.093,-62.205) 67.4583  49.3362  
7    -62.81716   0.62942  -0.72260 -12.23662 -69.48422 -45.44965     (-44.820,-11.607) (-0.629,-70.114) (-0.093,-62.188) 67.448  49.3113  
8    -62.79889   0.62814  -0.72196 -12.23598 -69.48486 -45.46664     (-44.838,-11.608) (-0.628,-70.113) (-0.094,-62.171) 67.4377  49.2865  
9    -62.78062   0.62687  -0.72132 -12.23534 -69.48550 -45.48364     (-44.857,-11.608) (-0.627,-70.112) (-0.094,-62.154) 67.4275  49.2618  
10    -62.76235   0.62559  -0.72068 -12.23470 -69.48614 -45.50063     (-44.875,-11.609) (-0.626,-70.112) (-0.095,-62.137) 67.4173  49.2371  
11    -62.74408   0.62431  -0.72004 -12.23406 -69.48678 -45.51762     (-44.893,-11.610) (-0.624,-70.111) (-0.096,-62.120) 67.4072  49.2126  
12    -62.72581   0.62303  -0.71940 -12.23342 -69.48742 -45.53461     (-44.912,-11.610) (-0.623,-70.110) (-0.096,-62.103) 67.3972  49.1881  
13    -62.70753   0.62175  -0.71876 -12.23278 -69.48806 -45.55161     (-44.930,-11.611) (-0.622,-70.110) (-0.097,-62.086) 67.3873  49.1637  
14    -62.68926   0.62048  -0.71812 -12.23214 -69.48869 -45.56860     (-44.948,-11.612) (-0.620,-70.109) (-0.098,-62.069) 67.3774  49.1394  
15    -62.67099   0.61920  -0.71749 -12.23151 -69.48933 -45.58559     (-44.966,-11.612) (-0.619,-70.109) (-0.098,-62.052) 67.3676  49.1152  
16    -62.65272   0.61792  -0.71685 -12.23087 -69.48997 -45.60259     (-44.985,-11.613) (-0.618,-70.108) (-0.099,-62.035) 67.3579  49.091  
17    -62.63445   0.61664  -0.71621 -12.23023 -69.49061 -45.61958     (-45.003,-11.614) (-0.617,-70.107) (-0.100,-62.018) 67.3483  49.067  
18    -62.61618   0.61536  -0.71557 -12.22959 -69.49125 -45.63657     (-45.021,-11.614) (-0.615,-70.107) (-0.100,-62.001) 67.3387  49.043  
19    -62.59791   0.61409  -0.71493 -12.22895 -69.49189 -45.65356     (-45.039,-11.615) (-0.614,-70.106) (-0.101,-61.984) 67.3292  49.0192  
20    -62.57964   0.61281  -0.71429 -12.22831 -69.49253 -45.67056     (-45.058,-11.616) (-0.613,-70.105) (-0.101,-61.967) 67.3197  48.9954  
21    -62.56137   0.61153  -0.71365 -12.22767 -69.49317 -45.68755     (-45.076,-11.616) (-0.612,-70.105) (-0.102,-61.950) 67.3103  48.9717  
22    -62.54310   0.61025  -0.71301 -12.22703 -69.49381 -45.70454     (-45.094,-11.617) (-0.610,-70.104) (-0.103,-61.933) 67.301  48.9481  
23    -62.52482   0.60897  -0.71237 -12.22639 -69.49445 -45.72154     (-45.113,-11.617) (-0.609,-70.103) (-0.103,-61.916) 67.2918  48.9245  
24    -62.50655   0.60770  -0.71173 -12.22575 -69.49508 -45.73853     (-45.131,-11.618) (-0.608,-70.103) (-0.104,-61.899) 67.2826  48.9011  
25    -62.48828   0.60642  -0.71110 -12.22512 -69.49572 -45.75552     (-45.149,-11.619) (-0.606,-70.102) (-0.105,-61.882) 67.2735  48.8777  
26    -62.47001   0.60514  -0.71046 -12.22448 -69.49636 -45.77252     (-45.167,-11.619) (-0.605,-70.102) (-0.105,-61.865) 67.2612  48.8545  
27    -62.45174   0.60386  -0.70982 -12.22384 -69.49700 -45.78951     (-45.186,-11.620) (-0.604,-70.101) (-0.106,-61.848) 67.2448  48.8313  
28    -62.43347   0.60258  -0.70918 -12.22320 -69.49764 -45.80650     (-45.204,-11.621) (-0.603,-70.100) (-0.107,-61.831) 67.2285  48.8082  
29    -62.41520   0.60131  -0.70854 -12.22256 -69.49828 -45.82349     (-45.222,-11.621) (-0.601,-70.100) (-0.107,-61.814) 67.2123  48.7852  
30    -62.39693   0.60003  -0.70790 -12.22192 -69.49892 -45.84049     (-45.240,-11.622) (-0.600,-70.099) (-0.108,-61.797) 67.1961  48.7623  
31    -62.37866   0.59875  -0.70726 -12.22128 -69.49956 -45.85748     (-45.259,-11.623) (-0.599,-70.098) (-0.109,-61.780) 67.1801  48.7395  
32    -62.36039   0.59747  -0.70662 -12.22064 -69.50020 -45.87447     (-45.277,-11.623) (-0.597,-70.098) (-0.109,-61.763) 67.164  48.7167  
33    -62.34211   0.59619  -0.70598 -12.22000 -69.50084 -45.89147     (-45.295,-11.624) (-0.596,-70.097) (-0.110,-61.746) 67.1481  48.6941  
34    -62.32384   0.59492  -0.70534 -12.21936 -69.50147 -45.90846     (-45.314,-11.624) (-0.595,-70.096) (-0.110,-61.729) 67.1322  48.6715  
35    -62.30557   0.59364  -0.70471 -12.21873 -69.50211 -45.92545     (-45.332,-11.625) (-0.594,-70.096) (-0.111,-61.712) 67.1164  48.6491  
36    -62.28730   0.59236  -0.70407 -12.21809 -69.50275 -45.94245     (-45.350,-11.626) (-0.592,-70.095) (-0.112,-61.695) 67.1006  48.6267  
37    -62.26903   0.59108  -0.70343 -12.21745 -69.50339 -45.95944     (-45.368,-11.626) (-0.591,-70.094) (-0.112,-61.678) 67.0849  48.6044  
38    -62.25076   0.58980  -0.70279 -12.21681 -69.50403 -45.97643     (-45.387,-11.627) (-0.590,-70.094) (-0.113,-61.661) 67.0693  48.5822  
39    -62.23249   0.58853  -0.70215 -12.21617 -69.50467 -45.99342     (-45.405,-11.628) (-0.589,-70.093) (-0.114,-61.644) 67.0538  48.5601  
40    -62.21422   0.58725  -0.70151 -12.21553 -69.50531 -46.01042     (-45.423,-11.628) (-0.587,-70.093) (-0.114,-61.627) 67.0383  48.538  
41    -62.19595   0.58597  -0.70087 -12.21489 -69.50595 -46.02741     (-45.441,-11.629) (-0.586,-70.092) (-0.115,-61.610) 67.0229  48.5161  
42    -62.17768   0.58469  -0.70023 -12.21425 -69.50659 -46.04440     (-45.460,-11.630) (-0.585,-70.091) (-0.116,-61.593) 67.0076  48.4943  
43    -62.15940   0.58341  -0.69959 -12.21361 -69.50723 -46.06140     (-45.478,-11.630) (-0.583,-70.091) (-0.116,-61.576) 66.9923  48.4725  
44    -62.14113   0.58214  -0.69895 -12.21297 -69.50786 -46.07839     (-45.496,-11.631) (-0.582,-70.090) (-0.117,-61.559) 66.9771  48.4508  
45    -62.12286   0.58086  -0.69832 -12.21234 -69.50850 -46.09538     (-45.515,-11.631) (-0.581,-70.089) (-0.117,-61.542) 66.962  48.4292  
46    -62.10459   0.57958  -0.69768 -12.21170 -69.50914 -46.11238     (-45.533,-11.632) (-0.580,-70.089) (-0.118,-61.525) 66.9469  48.4078  
47    -62.08632   0.57830  -0.69704 -12.21106 -69.50978 -46.12937     (-45.551,-11.633) (-0.578,-70.088) (-0.119,-61.508) 66.9319  48.3864  
48    -62.06805   0.57702  -0.69640 -12.21042 -69.51042 -46.14636     (-45.569,-11.633) (-0.577,-70.087) (-0.119,-61.491) 66.917  48.365  
49    -62.04978   0.57575  -0.69576 -12.20978 -69.51106 -46.16335     (-45.588,-11.634) (-0.576,-70.087) (-0.120,-61.474) 66.9021  48.3438  
