Fol_2018-05-05.11_44_30.1_14.txt     Output is probe cell, reduced cell, NCDist distance between
0     13.13510 -50.61168 -52.60286   5.71965  -6.86051 -12.04932     (-6.861,-31.202) (-1.141,-33.193) (-6.275,-5.189) 0
1     12.93312 -50.11198 -52.13489   5.34671  -7.12649 -11.98002     (-7.126,-31.372) (-1.780,-33.395) (-5.807,-4.854) 0.938169
2     12.73115 -49.61227 -51.66693   4.97376  -7.39248 -11.91072     (-7.392,-31.542) (-2.419,-33.597) (-5.339,-4.518) 1.87634
3     12.52917 -49.11257 -51.19897   4.60082  -7.65847 -11.84143     (-7.658,-31.713) (-3.058,-33.799) (-4.871,-4.183) 2.81451
4     12.32720 -48.61286 -50.73101   4.22787  -7.92445 -11.77213     (-7.924,-31.883) (-3.697,-34.001) (-4.403,-3.848) 3.75268
5     12.12522 -48.11316 -50.26304   3.85492  -8.19044 -11.70283     (-8.190,-32.053) (-4.336,-34.203) (-3.935,-3.512) 4.69085
6     11.92324 -47.61345 -49.79508   3.48198  -8.45643 -11.63353     (-8.456,-32.223) (-4.974,-34.405) (-3.467,-3.177) 5.62901
7     11.72127 -47.11375 -49.32712   3.10903  -8.72241 -11.56423     (-8.722,-32.394) (-5.613,-34.607) (-2.999,-2.842) 6.56718
8     11.51929 -46.61404 -48.85916   2.73609  -8.98840 -11.49494     (-8.988,-32.564) (-6.252,-34.809) (-2.531,-2.507) 7.50535
9     11.31732 -46.11434 -48.39119   2.36314  -9.25438 -11.42564     (-9.254,-32.734) (-6.891,-35.011) (-2.063,-2.171) 8.44352
10     11.11534 -45.61463 -47.92323   1.99019  -9.52037 -11.35634     (-9.520,-32.904) (-7.530,-35.213) (-1.595,-1.836) 9.38169
11     10.91336 -45.11492 -47.45527   1.61725  -9.78636 -11.28704     (-9.786,-33.075) (-8.169,-35.415) (-1.127,-1.501) 10.3199
12     10.71139 -44.61522 -46.98731   1.24430 -10.05234 -11.21774     (-10.052,-33.245) (-8.808,-35.617) (-0.659,-1.165) 11.258
13     10.50941 -44.11551 -46.51935   0.87136 -10.31833 -11.14844     (-10.318,-33.415) (-9.447,-35.819) (-0.191,-0.830) 12.1962
14     10.30744 -43.61581 -46.05138   0.49841 -10.58432 -11.07915     (-10.307,-9.809) (-33.308,-35.744) (-0.277,-0.772) 12.5727
15     10.10546 -43.11610 -45.58342   0.12547 -10.85030 -11.00985     (-10.105,-9.980) (-33.011,-35.478) (-0.745,-0.904) 12.1316
16      9.90349 -42.61640 -45.11546  -0.24748 -11.11629 -10.94055     (-9.903,-10.151) (-32.713,-35.212) (-1.213,-1.037) 11.7137
