Fol_2018-05-14.12_58_00.30_29.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
38     -1.79192 -29.10463   8.24118 -57.09202 -22.26690 -35.99280     (-6.449,-27.313) (-42.402,-1.792) (-7.576,-37.785) 20.6224  20.6224  
39     -1.79761 -29.11822   8.22534 -57.06072 -22.24537 -35.99438     (-6.428,-27.321) (-42.408,-1.798) (-7.592,-37.792) 20.5938  20.5938  
40     -1.80331 -29.13182   8.20951 -57.02942 -22.22384 -35.99596     (-6.406,-27.329) (-42.414,-1.803) (-7.608,-37.799) 20.5653  20.5653  
41     -1.80901 -29.14542   8.19367 -56.99812 -22.20231 -35.99753     (-6.385,-27.336) (-42.420,-1.809) (-7.624,-37.807) 20.5369  20.5369  
42     -1.81471 -29.15901   8.17784 -56.96682 -22.18078 -35.99911     (-6.363,-27.344) (-42.426,-1.815) (-7.640,-37.814) 20.5087  20.5087  
43     -1.82041 -29.17261   8.16201 -56.93552 -22.15925 -36.00069     (-6.342,-27.352) (-42.432,-1.820) (-7.656,-37.821) 20.4806  20.4806  
44     -1.82610 -29.18621   8.14617 -56.90421 -22.13771 -36.00226     (-6.320,-27.360) (-42.438,-1.826) (-7.671,-37.828) 20.4526  20.4526  
45     -1.83180 -29.19980   8.13034 -56.87291 -22.11618 -36.00384     (-6.299,-27.368) (-42.444,-1.832) (-7.687,-37.836) 20.4248  20.4248  
46     -1.83750 -29.21340   8.11451 -56.84161 -22.09465 -36.00542     (-6.277,-27.376) (-42.450,-1.837) (-7.703,-37.843) 20.3971  20.3971  
47     -1.84320 -29.22700   8.09867 -56.81031 -22.07312 -36.00700     (-6.255,-27.384) (-42.456,-1.843) (-7.719,-37.850) 20.3696  20.3696  
48     -1.84889 -29.24060   8.08284 -56.77901 -22.05159 -36.00857     (-6.234,-27.392) (-42.462,-1.849) (-7.735,-37.857) 20.3421  20.3421  
49     -1.85459 -29.25419   8.06701 -56.74771 -22.03006 -36.01015     (-6.212,-27.400) (-42.468,-1.855) (-7.751,-37.865) 20.3148  20.3148  
50     -1.86029 -29.26779   8.05117 -56.71641 -22.00853 -36.01173     (-6.191,-27.407) (-42.474,-1.860) (-7.766,-37.872) 20.2877  20.2877  
51     -1.86599 -29.28139   8.03534 -56.68511 -21.98700 -36.01330     (-6.169,-27.415) (-42.480,-1.866) (-7.782,-37.879) 20.2607  20.2607  
52     -1.87169 -29.29498   8.01951 -56.65381 -21.96546 -36.01488     (-6.148,-27.423) (-42.486,-1.872) (-7.798,-37.887) 20.2338  20.2338  
53     -1.87738 -29.30858   8.00367 -56.62251 -21.94393 -36.01646     (-6.126,-27.431) (-42.493,-1.877) (-7.814,-37.894) 20.207  20.207  
54     -1.88308 -29.32218   7.98784 -56.59121 -21.92240 -36.01803     (-6.105,-27.439) (-42.499,-1.883) (-7.830,-37.901) 20.1804  20.1804  
55     -1.88878 -29.33577   7.97201 -56.55991 -21.90087 -36.01961     (-6.083,-27.447) (-42.505,-1.889) (-7.846,-37.908) 20.154  20.154  
56     -1.89448 -29.34937   7.95617 -56.52861 -21.87934 -36.02119     (-6.062,-27.455) (-42.511,-1.894) (-7.861,-37.916) 20.1276  20.1276  
57     -1.90017 -29.36297   7.94034 -56.49731 -21.85781 -36.02277     (-6.040,-27.463) (-42.517,-1.900) (-7.877,-37.923) 20.1015  20.1015  
58     -1.90587 -29.37656   7.92451 -56.46601 -21.83628 -36.02434     (-6.019,-27.471) (-42.523,-1.906) (-7.893,-37.930) 20.0754  20.0754  
59     -1.91157 -29.39016   7.90867 -56.43471 -21.81475 -36.02592     (-5.997,-27.479) (-42.529,-1.912) (-7.909,-37.937) 20.0495  20.0495  
60     -1.91727 -29.40376   7.89284 -56.40341 -21.79321 -36.02750     (-5.976,-27.486) (-42.535,-1.917) (-7.925,-37.945) 20.0237  20.0237  
61     -1.92296 -29.41735   7.87701 -56.37211 -21.77168 -36.02907     (-5.954,-27.494) (-42.541,-1.923) (-7.941,-37.952) 19.9981  19.9981  
62     -1.92866 -29.43095   7.86117 -56.34081 -21.75015 -36.03065     (-5.933,-27.502) (-42.547,-1.929) (-7.956,-37.959) 19.9726  19.9726  
63     -1.93436 -29.44455   7.84534 -56.30951 -21.72862 -36.03223     (-5.911,-27.510) (-42.553,-1.934) (-7.972,-37.967) 19.9473  19.9473  
64     -1.94006 -29.45814   7.82951 -56.27821 -21.70709 -36.03380     (-5.889,-27.518) (-42.559,-1.940) (-7.988,-37.974) 19.9221  19.9221  
65     -1.94576 -29.47174   7.81367 -56.24691 -21.68556 -36.03538     (-5.868,-27.526) (-42.565,-1.946) (-8.004,-37.981) 19.8971  19.8971  
66     -1.95145 -29.48534   7.79784 -56.21561 -21.66403 -36.03696     (-5.846,-27.534) (-42.571,-1.951) (-8.020,-37.988) 19.8722  19.8722  
67     -1.95715 -29.49893   7.78200 -56.18431 -21.64250 -36.03854     (-5.825,-27.542) (-42.577,-1.957) (-8.036,-37.996) 19.8474  19.8474  
68     -1.96285 -29.51253   7.76617 -56.15301 -21.62096 -36.04011     (-5.803,-27.550) (-42.584,-1.963) (-8.051,-38.003) 19.8228  19.8228  
69     -1.96855 -29.52613   7.75034 -56.12171 -21.59943 -36.04169     (-5.782,-27.558) (-42.590,-1.969) (-8.067,-38.010) 19.7984  19.7984  
70     -1.97424 -29.53972   7.73450 -56.09041 -21.57790 -36.04327     (-5.760,-27.565) (-42.596,-1.974) (-8.083,-38.018) 19.774  19.774  
71     -1.97994 -29.55332   7.71867 -56.05911 -21.55637 -36.04484     (-5.739,-27.573) (-42.602,-1.980) (-8.099,-38.025) 19.7499  19.7499  
72     -1.98564 -29.56692   7.70284 -56.02781 -21.53484 -36.04642     (-5.717,-27.581) (-42.608,-1.986) (-8.115,-38.032) 19.7259  19.7259  
73     -1.99134 -29.58051   7.68700 -55.99651 -21.51331 -36.04800     (-5.696,-27.589) (-42.614,-1.991) (-8.131,-38.039) 19.702  19.702  
74     -1.99704 -29.59411   7.67117 -55.96521 -21.49178 -36.04957     (-5.674,-27.597) (-42.620,-1.997) (-8.146,-38.047) 19.6783  19.6783  
75     -2.00273 -29.60771   7.65534 -55.93391 -21.47025 -36.05115     (-5.653,-27.605) (-42.626,-2.003) (-8.162,-38.054) 19.6547  19.6547  
76     -2.00843 -29.62130   7.63950 -55.90261 -21.44872 -36.05273     (-5.631,-27.613) (-42.632,-2.008) (-8.178,-38.061) 19.6313  19.6313  
77     -2.01413 -29.63490   7.62367 -55.87131 -21.42718 -36.05431     (-5.610,-27.621) (-42.638,-2.014) (-8.194,-38.068) 19.608  19.608  
78     -2.01983 -29.64850   7.60784 -55.84001 -21.40565 -36.05588     (-5.588,-27.629) (-42.644,-2.020) (-8.210,-38.076) 19.5849  19.5849  
