Fol_2018-05-06.16_51_13.1_6.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0     12.45026 -51.42103 -51.83303   7.89898  -4.26201 -10.15855     (-2.260,-27.146) (-3.637,-34.831) (-4.551,-0.625) 0  0  2.6974e-06  0  
1     12.30168 -50.93837 -51.35543   7.54500  -4.57079 -10.06225     (-2.517,-27.932) (-2.974,-34.297) (-4.757,-1.597) 1.54765  1.91729  2.62405  1.54765  
2     12.15309 -50.45570 -50.87784   7.19101  -4.87957  -9.96595     (-2.775,-28.718) (-2.311,-33.763) (-4.962,-2.568) 2.88168  3.30222  5.24809  3.09531  
3     12.00451 -49.97303 -50.40025   6.83703  -5.18836  -9.86965     (-3.033,-29.504) (-1.649,-33.228) (-5.167,-3.540) 4.21243  4.80521  7.87214  4.64296  
4     11.85593 -49.49037 -49.92265   6.48304  -5.49714  -9.77335     (-3.290,-30.290) (-0.986,-32.694) (-5.373,-4.511) 5.65469  6.14931  10.4962  6.19062  
5     11.70734 -49.00770 -49.44506   6.12906  -5.80592  -9.67705     (-3.548,-31.076) (-0.323,-32.159) (-5.578,-5.483) 6.50097  7.68926  13.0917  7.73827  
6     11.55876 -48.52503 -48.96747   5.77507  -6.11470  -9.58076     (-6.115,-31.522) (-0.340,-31.965) (-5.444,-3.466) 6.78732  7.67121  13.1549  7.27109  
7     11.41017 -48.04236 -48.48987   5.42109  -6.42349  -9.48446     (-6.423,-31.646) (-1.002,-32.093) (-4.987,-3.061) 6.57399  7.42841  13.2717  7.07788  
8     11.26159 -47.55970 -48.01228   5.06710  -6.73227  -9.38816     (-6.732,-31.769) (-1.665,-32.221) (-4.529,-2.656) 6.4997  7.53432  13.5463  7.01449  
9     11.11301 -47.07703 -47.53469   4.71312  -7.04105  -9.29186     (-7.041,-31.892) (-2.328,-32.350) (-4.072,-2.251) 6.56917  7.97505  13.9418  7.08442  
10     10.96442 -46.59436 -47.05709   4.35913  -7.34983  -9.19556     (-7.350,-32.015) (-2.991,-32.478) (-3.615,-1.846) 6.77797  8.69988  14.4161  7.28381  
11     10.81584 -46.11169 -46.57950   4.00515  -7.65862  -9.09927     (-7.659,-32.139) (-3.653,-32.606) (-3.157,-1.441) 7.11386  9.64495  15.0194  7.6025  
12     10.66725 -45.62903 -46.10191   3.65116  -7.96740  -9.00297     (-7.967,-32.262) (-4.316,-32.735) (-2.700,-1.036) 7.55991  10.7524  15.7378  8.02628  
13     10.51867 -45.14636 -45.62431   3.29717  -8.27618  -8.90667     (-8.276,-32.385) (-4.979,-32.863) (-2.242,-0.630) 8.09793  11.9771  16.5599  8.53953  
14     10.37009 -44.66369 -45.14672   2.94319  -8.58496  -8.81037     (-8.585,-32.508) (-5.642,-32.992) (-1.785,-0.225) 8.71091  13.2869  17.5  9.12715  
15     10.22150 -44.18103 -44.66913   2.58920  -8.89375  -8.71407     (-32.452,-6.125) (-8.714,-32.940) (-0.180,-1.507) 9.05082  14.6589  17.9202  9.05082  
16     10.07292 -43.69836 -44.19153   2.23522  -9.20253  -8.61778     (-32.170,-6.383) (-8.618,-32.663) (-0.585,-1.455) 9.01907  16.0771  17.8443  9.01907  
17      9.92433 -43.21569 -43.71394   1.88123  -9.51131  -8.52148     (-31.889,-6.640) (-8.521,-32.387) (-0.990,-1.403) 9.03143  17.4735  17.813  9.03143  
18      9.77575 -42.73302 -43.23635   1.52725  -9.82009  -8.42518     (-31.607,-6.898) (-8.425,-32.110) (-1.395,-1.351) 9.08773  18.8625  17.8267  9.08773  
19      9.62716 -42.25036 -42.75875   1.17326 -10.12888  -8.32888     (-31.325,-7.156) (-8.329,-31.833) (-1.800,-1.298) 9.18717  19.5575  17.8852  9.18717  
20      9.47858 -41.76769 -42.28116   0.81928 -10.43766  -8.23258     (-31.043,-7.413) (-8.233,-31.557) (-2.205,-1.246) 9.32835  20.1326  17.988  9.32835  
21      9.33000 -41.28502 -41.80357   0.46529 -10.74644  -8.13629     (-30.761,-7.671) (-8.136,-31.280) (-2.610,-1.194) 9.50943  20.5346  18.1346  9.50943  
22      9.18141 -40.80235 -41.32597   0.11131 -11.05522  -8.03999     (-30.480,-7.929) (-8.040,-31.003) (-3.015,-1.141) 9.72817  21.053  18.3237  9.72817  
23      9.03283 -40.31969 -40.84838  -0.24268 -11.36401  -7.94369     (-30.198,-8.186) (-7.944,-30.726) (-3.420,-1.089) 9.94855  21.6044  18.554  9.98209  
24      8.88424 -39.83702 -40.37078  -0.59666 -11.67279  -7.84739     (-29.916,-8.444) (-7.847,-30.450) (-3.825,-1.037) 10.1883  22.0725  18.8242  10.2686  
25      8.73566 -39.35435 -39.89319  -0.95065 -11.98157  -7.75109     (-29.634,-8.702) (-7.751,-30.173) (-4.230,-0.985) 10.4606  22.5117  19.1324  10.585  
26      8.58708 -38.87169 -39.41560  -1.30463 -12.29035  -7.65479     (-29.352,-8.959) (-7.655,-29.896) (-4.636,-0.932) 10.7631  22.9819  19.477  10.9288  
27      8.43849 -38.38902 -38.93800  -1.65862 -12.59914  -7.55850     (-29.071,-9.217) (-7.558,-29.620) (-5.041,-0.880) 11.0934  23.481  19.8559  11.2974  
28      8.28991 -37.90635 -38.46041  -2.01260 -12.90792  -7.46220     (-28.789,-9.475) (-7.462,-29.343) (-5.446,-0.828) 11.4489  24.0074  20.2672  11.6885  
29      8.14132 -37.42368 -37.98282  -2.36659 -13.21670  -7.36590     (-28.507,-9.732) (-7.366,-29.066) (-5.851,-0.775) 11.8275  24.5593  20.7091  12.0999  
30      7.99274 -36.94102 -37.50522  -2.72057 -13.52548  -7.26960     (-28.225,-9.990) (-7.270,-28.789) (-6.256,-0.723) 12.2269  25.1349  21.1796  12.5297  
31      7.84416 -36.45835 -37.02763  -3.07456 -13.83427  -7.17330     (-27.943,-10.248) (-7.173,-28.513) (-6.661,-0.671) 12.6453  25.7327  21.6769  12.9759  
32      7.69557 -35.97568 -36.55004  -3.42854 -14.14305  -7.07701     (-27.662,-10.506) (-7.077,-28.236) (-7.066,-0.619) 13.0807  26.3513  22.1713  13.414  
33      7.54699 -35.49301 -36.07244  -3.78253 -14.45183  -6.98071     (-27.380,-10.763) (-6.981,-27.959) (-7.471,-0.566) 13.5316  26.989  22.6779  13.8569  
34      7.39840 -35.01035 -35.59485  -4.13651 -14.76061  -6.88441     (-27.098,-11.021) (-6.884,-27.682) (-7.876,-0.514) 13.9965  27.6447  23.2079  14.3139  
35      7.24982 -34.52768 -35.11726  -4.49050 -15.06940  -6.78811     (-26.816,-11.279) (-6.788,-27.406) (-8.281,-0.462) 14.474  28.3171  23.7599  14.7837  
36      7.10123 -34.04501 -34.63966  -4.84448 -15.37818  -6.69181     (-26.534,-11.536) (-6.692,-27.129) (-8.686,-0.409) 14.9628  29.005  24.3322  15.2652  
37      6.95265 -33.56235 -34.16207  -5.19847 -15.68696  -6.59552     (-26.253,-11.794) (-6.596,-26.852) (-9.091,-0.357) 15.462  29.7074  24.9236  15.7573  
38      6.80407 -33.07968 -33.68448  -5.55245 -15.99575  -6.49922     (-25.971,-12.052) (-6.499,-26.576) (-9.497,-0.305) 15.9705  30.4232  25.5326  16.259  
39      6.65548 -32.59701 -33.20688  -5.90644 -16.30453  -6.40292     (-25.689,-12.309) (-6.403,-26.299) (-9.902,-0.253) 16.4875  30.0975  26.1581  16.7694  
40      6.50690 -32.11434 -32.72929  -6.26042 -16.61331  -6.30662     (-25.407,-12.567) (-6.307,-26.022) (-10.307,-0.200) 17.0123  29.7602  26.7988  17.2879  
41      6.35831 -31.63168 -32.25170  -6.61441 -16.92209  -6.21032     (-25.125,-12.825) (-6.210,-25.745) (-10.712,-0.148) 17.544  29.447  27.4538  17.8136  
42      6.20973 -31.14901 -31.77410  -6.96839 -17.23088  -6.11403     (-24.844,-13.082) (-6.114,-25.469) (-11.117,-0.096) 18.0822  29.1587  28.122  18.3459  
