PointDistanceFollower   May  5 2020   mode =  LINE3 
Fol_2020-05-05.13_43_53.10_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  57   CS6Dist 10   LMDist  20685
PointDistanceFollower  May  5 2020  mode = LINE3
Fol_2020-05-05.13_43_53.10_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
34    -29.82511 -17.55433 -35.13118   1.14972  -8.52621  -7.39777     (-30.975,-1.150) (-33.981,-7.376) (-16.405,-6.248)      18.2482  13.8359  17.1967  
35    -29.71798 -17.92918 -35.04122   1.28731  -8.33312  -7.69899     (-31.005,-1.287) (-33.754,-7.046) (-16.642,-6.412)      18.6646  14.1512  17.2185  
36    -29.61086 -18.30403 -34.95127   1.42490  -8.14002  -8.00022     (-31.036,-1.425) (-33.526,-6.715) (-16.879,-6.575)      19.0857  14.4732  17.2557  
37    -29.50373 -18.67887 -34.86131   1.56249  -7.94693  -8.30144     (-31.066,-1.562) (-33.299,-6.384) (-17.116,-6.739)      19.5113  14.8015  17.308  
38    -29.39660 -19.05372 -34.77136   1.70008  -7.75383  -8.60267     (-31.097,-1.700) (-33.071,-6.054) (-17.354,-6.903)      19.8754  15.1357  17.3754  
39    -29.28947 -19.42857 -34.68140   1.83767  -7.56074  -8.90389     (-31.127,-1.838) (-32.844,-5.723) (-17.591,-7.066)      20.0323  15.4754  17.4576  
40    -29.18235 -19.80341 -34.59145   1.97527  -7.36765  -9.20512     (-31.158,-1.975) (-32.616,-5.392) (-17.828,-7.230)      20.2011  15.8201  17.5545  
41    -29.07522 -20.17826 -34.50149   2.11286  -7.17455  -9.50634     (-31.188,-2.113) (-32.389,-5.062) (-18.065,-7.393)      20.3815  16.1697  17.6659  
42    -28.96809 -20.55311 -34.41154   2.25045  -6.98146  -9.80757     (-31.219,-2.250) (-32.161,-4.731) (-18.303,-7.557)      20.5731  16.5236  17.7913  
43    -28.86097 -20.92796 -34.32158   2.38804  -6.78836 -10.10879     (-31.249,-2.388) (-31.934,-4.400) (-18.540,-7.721)      20.7756  16.8817  17.9307  
