Fol_2018-05-06.16_51_45.1_7.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      4.54795 -42.17240 -49.03860   1.23740   2.74184 -10.87512     (-2.742,-22.376) (-0.175,-7.290) (-31.717,-3.979) 0  0  0  0  
1      4.47432 -41.74818 -48.86363   0.99888   2.64051 -10.80546     (-2.641,-22.880) (-0.886,-7.115) (-31.993,-3.639) 0.996428  1.67035  1.87593  0.996428  
2      4.40068 -41.32396 -48.68867   0.76036   2.53918 -10.73581     (-2.539,-23.384) (-1.598,-6.940) (-32.270,-3.300) 1.99286  2.09659  3.75186  1.99286  
3      4.32705 -40.89975 -48.51371   0.52184   2.43785 -10.66615     (-2.438,-23.888) (-2.309,-6.765) (-32.546,-2.960) 2.98928  2.64495  5.62779  2.98928  
4      4.25342 -40.47553 -48.33874   0.28332   2.33652 -10.59650     (-2.337,-24.393) (-3.020,-6.590) (-32.822,-2.620) 3.51785  3.31559  7.50372  3.98571  
5      4.17978 -40.05131 -48.16378   0.04480   2.23519 -10.52684     (-2.235,-24.897) (-3.732,-6.415) (-33.099,-2.280) 3.88701  4.04818  9.37965  4.98214  
6      4.10615 -39.62709 -47.98882  -0.19373   2.13386 -10.45719     (-2.134,-25.401) (-4.443,-6.240) (-33.375,-1.940) 4.38013  4.81452  11.2556  5.97857  
7      4.03251 -39.20287 -47.81385  -0.43225   2.03253 -10.38753     (-2.033,-25.905) (-5.154,-6.065) (-33.651,-1.600) 5.02473  5.58954  13.1315  6.975  
8      3.95888 -38.77866 -47.63889  -0.67077   1.93120 -10.31788     (-1.931,-26.409) (-5.866,-5.890) (-33.928,-1.260) 5.77027  6.31676  14.6462  7.97143  
9      3.88524 -38.35444 -47.46392  -0.90929   1.82987 -10.24822     (-1.830,-26.913) (-6.577,-5.715) (-34.204,-0.921) 6.58255  7.06805  15.7539  8.96785  
10      3.81161 -37.93022 -47.28896  -1.14781   1.72854 -10.17857     (-1.729,-27.417) (-7.289,-5.540) (-34.480,-0.581) 7.43973  7.83648  17.0081  9.96428  
11      3.73798 -37.50600 -47.11400  -1.38633   1.62721 -10.10891     (-1.627,-27.921) (-8.000,-5.365) (-34.756,-0.241) 8.32796  8.61747  18.3768  10.9607  
