Fol_2018-05-05.09_44_10.1_5.txt     Output is probe cell, reduced cell, NCDist distance between
0    -96.43391  34.56374 -83.47880 -284.24940 -144.62722 -298.88607     (-264.322,-249.686) (-34.564,-179.191) (-48.915,-61.870) 0
1    -98.12975  33.86548 -83.12968 -283.90027 -144.97635 -296.49197     (-262.626,-250.035) (-33.865,-178.842) (-49.264,-64.264) 3.07585
2    -99.82560  33.16722 -82.78055 -283.55114 -145.32547 -294.09787     (-260.931,-250.384) (-33.167,-178.493) (-49.613,-66.658) 6.15169
3    -101.52144  32.46897 -82.43142 -283.20201 -145.67460 -291.70377     (-259.235,-250.733) (-32.469,-178.144) (-49.962,-69.052) 9.22754
4    -103.21728  31.77071 -82.08229 -282.85288 -146.02373 -289.30967     (-257.539,-251.082) (-31.771,-177.794) (-50.312,-71.447) 12.3034
5    -104.91313  31.07245 -81.73316 -282.50375 -146.37286 -286.91557     (-255.843,-251.431) (-31.072,-177.445) (-50.661,-73.841) 15.3792
6    -106.60897  30.37419 -81.38403 -282.15463 -146.72199 -284.52147     (-254.147,-251.780) (-30.374,-177.096) (-51.010,-76.235) 18.4551
7    -108.30481  29.67594 -81.03490 -281.80550 -147.07112 -282.12737     (-252.451,-252.130) (-29.676,-176.747) (-51.359,-78.629) 21.5309
8    -110.00065  28.97768 -80.68578 -281.45637 -147.42025 -279.73327     (-250.756,-252.479) (-28.978,-176.398) (-51.708,-81.023) 24.6068
9    -111.69650  28.27942 -80.33665 -281.10724 -147.76937 -277.33917     (-249.060,-252.828) (-28.279,-176.049) (-52.057,-83.417) 27.6826
10    -113.39234  27.58116 -79.98752 -280.75811 -148.11850 -274.94507     (-247.364,-253.177) (-27.581,-175.700) (-52.406,-85.811) 30.7585
11    -115.08818  26.88291 -79.63839 -280.40898 -148.46763 -272.55097     (-245.668,-253.526) (-26.883,-175.351) (-52.755,-88.205) 33.8343
12    -116.78402  26.18465 -79.28926 -280.05985 -148.81676 -270.15687     (-243.972,-253.875) (-26.185,-175.001) (-53.105,-90.599) 36.9102
13    -118.47987  25.48639 -78.94013 -279.71072 -149.16589 -267.76277     (-242.276,-254.224) (-25.486,-174.652) (-53.454,-92.993) 39.986
14    -120.17571  24.78814 -78.59100 -279.36160 -149.51502 -265.36867     (-240.581,-254.573) (-24.788,-174.303) (-53.803,-95.388) 43.0619
15    -121.87155  24.08988 -78.24187 -279.01247 -149.86415 -262.97457     (-238.885,-254.923) (-24.090,-173.954) (-54.152,-97.782) 46.1377
16    -123.56739  23.39162 -77.89275 -278.66334 -150.21328 -260.58047     (-237.189,-255.272) (-23.392,-173.605) (-54.501,-100.176) 49.2135
17    -125.26324  22.69336 -77.54362 -278.31421 -150.56240 -258.18637     (-235.493,-255.621) (-22.693,-173.256) (-54.850,-102.570) 52.2894
18    -126.95908  21.99511 -77.19449 -277.96508 -150.91153 -255.79227     (-233.797,-255.970) (-21.995,-172.907) (-55.199,-104.964) 55.3652
19    -128.65492  21.29685 -76.84536 -277.61595 -151.26066 -253.39817     (-232.101,-256.319) (-21.297,-172.558) (-55.549,-107.358) 58.4411
20    -130.35077  20.59859 -76.49623 -277.26682 -151.60979 -251.00407     (-230.405,-256.668) (-20.599,-172.208) (-55.898,-109.752) 61.5169
21    -132.04661  19.90033 -76.14710 -276.91770 -151.95892 -248.60997     (-228.710,-257.017) (-19.900,-171.859) (-56.247,-112.146) 64.5928
22    -133.74245  19.20208 -75.79797 -276.56857 -152.30805 -246.21587     (-227.014,-257.366) (-19.202,-171.510) (-56.596,-114.540) 67.6686
23    -135.43829  18.50382 -75.44885 -276.21944 -152.65718 -243.82177     (-225.318,-257.716) (-18.504,-171.161) (-56.945,-116.934) 70.7445
24    -137.13414  17.80556 -75.09972 -275.87031 -153.00630 -241.42767     (-223.622,-258.065) (-17.806,-170.812) (-57.294,-119.329) 73.8203
25    -138.82998  17.10730 -74.75059 -275.52118 -153.35543 -239.03357     (-221.926,-258.414) (-17.107,-170.463) (-57.643,-121.723) 76.8962
26    -140.52582  16.40905 -74.40146 -275.17205 -153.70456 -236.63947     (-220.230,-258.763) (-16.409,-170.114) (-57.992,-124.117) 79.972
27    -142.22166  15.71079 -74.05233 -274.82292 -154.05369 -234.24537     (-218.535,-259.112) (-15.711,-169.764) (-58.342,-126.511) 83.0479
28    -143.91751  15.01253 -73.70320 -274.47379 -154.40282 -231.85127     (-216.839,-259.461) (-15.013,-169.415) (-58.691,-128.905) 86.1237
29    -145.61335  14.31428 -73.35407 -274.12467 -154.75195 -229.45717     (-215.143,-259.810) (-14.314,-169.066) (-59.040,-131.299) 89.1996
30    -147.30919  13.61602 -73.00494 -273.77554 -155.10108 -227.06307     (-213.447,-260.160) (-13.616,-168.717) (-59.389,-133.693) 92.2754
31    -149.00503  12.91776 -72.65582 -273.42641 -155.45021 -224.66897     (-211.751,-260.509) (-12.918,-168.368) (-59.738,-136.087) 95.3512
32    -150.70088  12.21950 -72.30669 -273.07728 -155.79933 -222.27487     (-210.055,-260.858) (-12.220,-168.019) (-60.087,-138.481) 98.4271
33    -152.39672  11.52125 -71.95756 -272.72815 -156.14846 -219.88077     (-208.360,-261.207) (-11.521,-167.670) (-60.436,-140.875) 101.503
34    -154.09256  10.82299 -71.60843 -272.37902 -156.49759 -217.48667     (-206.664,-261.556) (-10.823,-167.321) (-60.785,-143.270) 104.579
35    -155.78841  10.12473 -71.25930 -272.02989 -156.84672 -215.09257     (-204.968,-261.905) (-10.125,-166.971) (-61.135,-145.664) 107.655
36    -157.48425   9.42647 -70.91017 -271.68077 -157.19585 -212.69847     (-203.272,-262.254) (-9.426,-166.622) (-61.484,-148.058) 110.73
37    -159.18009   8.72822 -70.56104 -271.33164 -157.54498 -210.30437     (-201.576,-262.603) (-8.728,-166.273) (-61.833,-150.452) 113.806
38    -160.87593   8.02996 -70.21192 -270.98251 -157.89411 -207.91027     (-199.880,-262.953) (-8.030,-165.924) (-62.182,-152.846) 116.882
39    -162.57178   7.33170 -69.86279 -270.63338 -158.24323 -205.51617     (-198.184,-263.302) (-7.332,-165.575) (-62.531,-155.240) 119.958
40    -164.26762   6.63344 -69.51366 -270.28425 -158.59236 -203.12207     (-196.489,-263.651) (-6.633,-165.226) (-62.880,-157.634) 123.034
41    -165.96346   5.93519 -69.16453 -269.93512 -158.94149 -200.72797     (-194.793,-264.000) (-5.935,-164.877) (-63.229,-160.028) 126.11
42    -167.65930   5.23693 -68.81540 -269.58599 -159.29062 -198.33387     (-193.097,-264.349) (-5.237,-164.528) (-63.578,-162.422) 129.186
43    -169.35515   4.53867 -68.46627 -269.23686 -159.63975 -195.93977     (-191.401,-264.698) (-4.539,-164.178) (-63.928,-164.816) 132.261
44    -171.05099   3.84042 -68.11714 -268.88774 -159.98888 -193.54567     (-189.705,-265.047) (-3.840,-163.829) (-64.277,-167.211) 135.337
45    -172.74683   3.14216 -67.76801 -268.53861 -160.33801 -191.15157     (-188.009,-265.396) (-3.142,-163.480) (-64.626,-169.605) 138.413
46    -174.44267   2.44390 -67.41889 -268.18948 -160.68714 -188.75747     (-186.314,-265.746) (-2.444,-163.131) (-64.975,-171.999) 140.475
47    -176.13852   1.74564 -67.06976 -267.84035 -161.03626 -186.36337     (-184.618,-266.095) (-1.746,-162.782) (-65.324,-174.393) 141.419
48    -177.83436   1.04739 -66.72063 -267.49122 -161.38539 -183.96927     (-182.922,-266.444) (-1.047,-162.433) (-65.673,-176.787) 142.424
49    -179.53020   0.34913 -66.37150 -267.14209 -161.73452 -181.57517     (-181.226,-266.793) (-0.349,-162.084) (-66.022,-179.181) 143.488
50    -181.22605  -0.34913 -66.02237 -266.79296 -162.08365 -179.18107     (-181.226,-266.793) (-0.349,-162.084) (-66.022,-179.181) 143.488
51    -182.92189  -1.04739 -65.67324 -266.44384 -162.43278 -176.78697     (-182.922,-266.444) (-1.047,-162.433) (-65.673,-176.787) 142.424
52    -184.61773  -1.74564 -65.32411 -266.09471 -162.78191 -174.39287     (-184.618,-266.095) (-1.746,-162.782) (-65.324,-174.393) 141.419
53    -186.31357  -2.44390 -64.97499 -265.74558 -163.13104 -171.99877     (-186.314,-265.746) (-2.444,-163.131) (-64.975,-171.999) 140.475
54    -188.00942  -3.14216 -64.62586 -265.39645 -163.48016 -169.60467     (-188.009,-265.396) (-3.142,-163.480) (-64.626,-169.605) 138.413
55    -189.70526  -3.84042 -64.27673 -265.04732 -163.82929 -167.21057     (-189.705,-265.047) (-3.840,-163.829) (-64.277,-167.211) 135.337
56    -191.40110  -4.53867 -63.92760 -264.69819 -164.17842 -164.81647     (-191.401,-264.698) (-4.539,-164.178) (-63.928,-164.816) 132.261
57    -193.09694  -5.23693 -63.57847 -264.34906 -164.52755 -162.42237     (-193.097,-264.349) (-5.237,-164.528) (-63.578,-162.422) 129.186
58    -194.79279  -5.93519 -63.22934 -263.99993 -164.87668 -160.02827     (-194.793,-264.000) (-5.935,-164.877) (-63.229,-160.028) 126.11
59    -196.48863  -6.63344 -62.88021 -263.65081 -165.22581 -157.63417     (-196.489,-263.651) (-6.633,-165.226) (-62.880,-157.634) 123.034
60    -198.18447  -7.33170 -62.53108 -263.30168 -165.57494 -155.24007     (-198.184,-263.302) (-7.332,-165.575) (-62.531,-155.240) 119.958
61    -199.88032  -8.02996 -62.18196 -262.95255 -165.92407 -152.84597     (-199.880,-262.953) (-8.030,-165.924) (-62.182,-152.846) 116.882
62    -201.57616  -8.72822 -61.83283 -262.60342 -166.27319 -150.45187     (-201.576,-262.603) (-8.728,-166.273) (-61.833,-150.452) 113.806
63    -203.27200  -9.42647 -61.48370 -262.25429 -166.62232 -148.05777     (-203.272,-262.254) (-9.426,-166.622) (-61.484,-148.058) 110.73
64    -204.96784 -10.12473 -61.13457 -261.90516 -166.97145 -145.66367     (-204.968,-261.905) (-10.125,-166.971) (-61.135,-145.664) 107.655
65    -206.66369 -10.82299 -60.78544 -261.55603 -167.32058 -143.26957     (-206.664,-261.556) (-10.823,-167.321) (-60.785,-143.270) 104.579
66    -208.35953 -11.52125 -60.43631 -261.20691 -167.66971 -140.87547     (-208.360,-261.207) (-11.521,-167.670) (-60.436,-140.875) 101.503
67    -210.05537 -12.21950 -60.08718 -260.85778 -168.01884 -138.48137     (-210.055,-260.858) (-12.220,-168.019) (-60.087,-138.481) 98.4271
68    -211.75121 -12.91776 -59.73806 -260.50865 -168.36797 -136.08727     (-211.751,-260.509) (-12.918,-168.368) (-59.738,-136.087) 95.3512
69    -213.44706 -13.61602 -59.38893 -260.15952 -168.71709 -133.69317     (-213.447,-260.160) (-13.616,-168.717) (-59.389,-133.693) 92.2754
70    -215.14290 -14.31428 -59.03980 -259.81039 -169.06622 -131.29907     (-215.143,-259.810) (-14.314,-169.066) (-59.040,-131.299) 89.1996
71    -216.83874 -15.01253 -58.69067 -259.46126 -169.41535 -128.90497     (-216.839,-259.461) (-15.013,-169.415) (-58.691,-128.905) 86.1237
72    -218.53458 -15.71079 -58.34154 -259.11213 -169.76448 -126.51087     (-218.535,-259.112) (-15.711,-169.764) (-58.342,-126.511) 83.0479
73    -220.23043 -16.40905 -57.99241 -258.76300 -170.11361 -124.11677     (-220.230,-258.763) (-16.409,-170.114) (-57.992,-124.117) 79.972
74    -221.92627 -17.10730 -57.64328 -258.41388 -170.46274 -121.72267     (-221.926,-258.414) (-17.107,-170.463) (-57.643,-121.723) 76.8962
75    -223.62211 -17.80556 -57.29415 -258.06475 -170.81187 -119.32857     (-223.622,-258.065) (-17.806,-170.812) (-57.294,-119.329) 73.8203
76    -225.31796 -18.50382 -56.94503 -257.71562 -171.16100 -116.93447     (-225.318,-257.716) (-18.504,-171.161) (-56.945,-116.934) 70.7445
77    -227.01380 -19.20208 -56.59590 -257.36649 -171.51012 -114.54037     (-227.014,-257.366) (-19.202,-171.510) (-56.596,-114.540) 67.6686
