Fol_2018-05-05.09_42_32.1_2.txt     Output is probe cell, reduced cell, NCDist distance between
0    -103.25175 129.74792 -37.04489 -345.15519 -132.11158 -287.64306     (-65.192,-37.045) (-122.704,-169.156) (-92.703,-66.207) 0
1    -102.86731 127.19790 -37.60710 -342.04296 -132.48577 -285.40633     (-68.618,-37.607) (-125.254,-170.093) (-89.591,-65.260) 5.4783
2    -102.48287 124.64787 -38.16930 -338.93074 -132.85996 -283.16960     (-72.043,-38.169) (-127.804,-171.029) (-86.479,-64.314) 10.9566
3    -102.09842 122.09785 -38.73150 -335.81851 -133.23415 -280.93287     (-75.469,-38.732) (-130.354,-171.966) (-83.366,-63.367) 16.4349
4    -101.71398 119.54783 -39.29371 -332.70629 -133.60834 -278.69614     (-78.894,-39.294) (-132.904,-172.902) (-80.254,-62.420) 21.9132
5    -101.32954 116.99781 -39.85591 -329.59406 -133.98253 -276.45941     (-82.320,-39.856) (-135.454,-173.838) (-77.142,-61.474) 27.3915
6    -100.94510 114.44779 -40.41811 -326.48184 -134.35672 -274.22268     (-85.745,-40.418) (-138.004,-174.775) (-74.030,-60.527) 32.8698
7    -100.56066 111.89776 -40.98032 -323.36961 -134.73091 -271.98595     (-89.171,-40.980) (-140.554,-175.711) (-70.917,-59.580) 38.3481
8    -100.17622 109.34774 -41.54252 -320.25739 -135.10510 -269.74922     (-92.596,-41.543) (-143.104,-176.648) (-67.805,-58.634) 39.4148
9    -99.79178 106.79772 -42.10472 -317.14516 -135.47929 -267.51249     (-96.022,-42.105) (-145.654,-177.584) (-64.693,-57.687) 40.1996
10    -99.40734 104.24770 -42.66693 -314.03293 -135.85348 -265.27576     (-99.447,-42.667) (-148.204,-178.520) (-61.581,-56.740) 41.6955
11    -99.02290 101.69768 -43.22913 -310.92071 -136.22767 -263.03903     (-102.873,-43.229) (-150.754,-179.457) (-58.469,-55.794) 43.8297
12    -98.63846  99.14766 -43.79133 -307.80848 -136.60187 -260.80230     (-106.298,-43.791) (-153.305,-180.393) (-55.356,-54.847) 46.5144
13    -98.25402  96.59763 -44.35354 -304.69626 -136.97606 -258.56557     (-109.724,-44.354) (-155.855,-181.330) (-52.244,-53.900) 49.6605
14    -97.86958  94.04761 -44.91574 -301.58403 -137.35025 -256.32885     (-113.149,-44.916) (-158.405,-182.266) (-49.132,-52.954) 53.1861
15    -97.48514  91.49759 -45.47794 -298.47181 -137.72444 -254.09212     (-116.575,-45.478) (-160.955,-183.202) (-46.020,-52.007) 57.0209
16    -97.10070  88.94757 -46.04015 -295.35958 -138.09863 -251.85539     (-120.000,-46.040) (-163.505,-184.139) (-42.907,-51.061) 61.1067
17    -96.71625  86.39755 -46.60235 -292.24736 -138.47282 -249.61866     (-123.426,-46.602) (-166.055,-185.075) (-39.795,-50.114) 65.3964
18    -96.33181  83.84752 -47.16455 -289.13513 -138.84701 -247.38193     (-126.851,-47.165) (-168.605,-186.012) (-36.683,-49.167) 69.8526
