Fol_2018-05-06.16_56_41.2_16.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      9.53905 -57.07478   1.26247 -18.29509 -62.85627  -8.56512     (-9.539,-4.283) (-31.714,-0.974) (-45.588,-10.802) 0  0  2.6974e-06  0  
1      9.34635 -56.81861   0.78924 -18.15355 -62.23119  -8.58771     (-9.346,-5.711) (-32.614,-0.759) (-45.955,-10.136) 1.87371  3.27453  3.50378  1.87371  
2      9.15364 -56.56244   0.31600 -18.01202 -61.60612  -8.61030     (-9.154,-7.140) (-33.513,-0.543) (-46.322,-9.470) 3.74741  6.54906  7.00757  3.74741  
3      8.96093 -56.30627  -0.15724 -17.87048 -60.98105  -8.63289     (-8.961,-8.568) (-34.413,-0.328) (-46.689,-8.804) 5.62112  9.44264  10.5114  5.62112  
4      8.76822 -56.05011  -0.63047 -17.72895 -60.35597  -8.65548     (-8.768,-9.996) (-35.312,-0.113) (-47.056,-8.138) 5.69069  9.35336  12.3077  7.49482  
5      8.57551 -55.79394  -1.10371 -17.58742 -59.73090  -8.67807     (-47.321,-11.322) (-36.314,-0.103) (-8.473,-7.369) 5.98794  8.8454  14.1344  5.98794  
6      8.38280 -55.53777  -1.57694 -17.44588 -59.10582  -8.70066     (-47.473,-12.535) (-37.429,-0.318) (-8.065,-6.488) 6.83249  8.59171  16.4433  6.83249  
7      8.19010 -55.28160  -2.05018 -17.30435 -58.48075  -8.72325     (-47.625,-13.748) (-38.544,-0.533) (-7.657,-5.607) 8.05999  8.61481  19.0733  8.05999  
8      7.99739 -55.02543  -2.52341 -17.16281 -57.85567  -8.74584     (-47.776,-14.961) (-39.659,-0.748) (-7.249,-4.726) 9.5235  8.91253  21.9091  9.5235  
9      7.80468 -54.76927  -2.99665 -17.02128 -57.23060  -8.76843     (-47.928,-16.174) (-40.774,-0.964) (-6.841,-3.844) 11.1303  9.45898  24.8805  11.1303  
10      7.61197 -54.51310  -3.46988 -16.87975 -56.60553  -8.79102     (-48.080,-17.387) (-41.888,-1.179) (-6.433,-2.963) 12.8267  10.2143  27.9441  12.8267  
11      7.41926 -54.25693  -3.94312 -16.73821 -55.98045  -8.81361     (-48.232,-18.600) (-43.003,-1.394) (-6.025,-2.082) 14.5814  11.1361  31.0729  14.5814  
12      7.22656 -54.00076  -4.41636 -16.59668 -55.35538  -8.83620     (-48.384,-19.812) (-44.118,-1.610) (-5.617,-1.201) 16.2928  12.1867  34.2488  16.3756  
13      7.03385 -53.74460  -4.88959 -16.45514 -54.73030  -8.85879     (-48.536,-21.025) (-45.233,-1.825) (-5.209,-0.319) 17.9219  13.3356  37.4599  18.1978  
14      6.84114 -53.48843  -5.36283 -16.31361 -54.10523  -8.88138     (-45.786,-21.676) (-48.126,-1.478) (-5.363,-0.562) 18.7185  14.5596  39.5322  20.4739  
15      6.64843 -53.23226  -5.83606 -16.17208 -53.48016  -8.90397     (-46.019,-22.008) (-47.396,-0.812) (-5.836,-1.443) 18.8494  15.8413  40.46  19.837  
