PointDistanceFollower   Mar 19 2020   mode =  Single Point 
Fol_2020-03-20.09_52_10.0_3.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  57   CS6Dist 2   LMDist  855
PointDistanceFollower  Mar 19 2020  mode = Single Point
Fol_2020-03-20.09_52_10.0_3.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
0     -3.85947   2.32724  -5.37639 -102.70287 -97.66961 -106.77700     (-104.450,-100.376) (-2.327,-99.997) (-3.049,-1.532)      0  0  0  
1     -4.87553   2.28023  -5.35289 -102.67936 -97.69311 -105.71392     (-103.434,-100.399) (-2.280,-99.973) (-3.073,-2.595)      1.47187  1.47187  1.47187  
2     -5.89160   2.23321  -5.32938 -102.65586 -97.71662 -104.65084     (-102.418,-100.423) (-2.233,-99.950) (-3.096,-3.658)      2.94373  2.94373  2.94373  
3     -6.90766   2.18620  -5.30587 -102.63235 -97.74013 -103.58777     (-101.402,-100.446) (-2.186,-99.926) (-3.120,-4.721)      4.4156  4.4156  4.4156  
4     -7.92373   2.13918  -5.28236 -102.60884 -97.76364 -102.52469     (-100.386,-100.470) (-2.139,-99.903) (-3.143,-5.785)      5.09539  5.09539  5.09539     glitch
5     -8.93979   2.09217  -5.25886 -102.58533 -97.78714 -101.46161     (-99.369,-100.493) (-2.092,-99.879) (-3.167,-6.848)      5.81687  5.81687  5.81687  
6     -9.95585   2.04515  -5.23535 -102.56183 -97.81065 -100.39853     (-98.353,-100.517) (-2.045,-99.856) (-3.190,-7.911)      6.7854  6.7854  6.60507  
7    -10.97192   1.99814  -5.21184 -102.53832 -97.83416 -99.33545     (-97.337,-100.540) (-1.998,-99.832) (-3.214,-8.974)      7.91076  7.91076  6.79089  
8    -11.98798   1.95112  -5.18833 -102.51481 -97.85767 -98.27237     (-96.321,-100.564) (-1.951,-99.809) (-3.237,-10.037)      9.13517  9.13517  7.26249  
9    -13.00404   1.90411  -5.16483 -102.49130 -97.88117 -97.20929     (-95.305,-100.587) (-1.904,-99.785) (-3.261,-11.100)      10.4238  10.4238  7.96929  
10    -14.02011   1.85709  -5.14132 -102.46780 -97.90468 -96.14622     (-94.289,-100.611) (-1.857,-99.762) (-3.284,-12.163)      11.7555  11.7555  8.85517  
11    -15.03617   1.81008  -5.11781 -102.44429 -97.92819 -95.08314     (-93.273,-100.634) (-1.810,-99.738) (-3.308,-13.226)      13.1172  13.1172  9.87202  
12    -16.05223   1.76306  -5.09430 -102.42078 -97.95170 -94.02006     (-92.257,-100.658) (-1.763,-99.715) (-3.331,-14.289)      14.5005  14.5005  10.9835  
13    -17.06830   1.71605  -5.07080 -102.39727 -97.97520 -92.95698     (-91.241,-100.681) (-1.716,-99.691) (-3.355,-15.352)      15.8997  15.8997  12.1638  
14    -18.08436   1.66903  -5.04729 -102.37377 -97.99871 -91.89390     (-90.225,-100.705) (-1.669,-99.668) (-3.378,-16.415)      17.3109  17.3109  13.3946  
15    -19.10042   1.62202  -5.02378 -102.35026 -98.02222 -90.83082     (-89.209,-100.728) (-1.622,-99.644) (-3.402,-17.478)      18.7315  18.7315  14.6633  
16    -20.11649   1.57500  -5.00027 -102.32675 -98.04573 -89.76775     (-88.193,-100.752) (-1.575,-99.621) (-3.425,-18.541)      20.1594  20.1594  15.9608  
17    -21.13255   1.52799  -4.97677 -102.30324 -98.06923 -88.70467     (-87.177,-100.775) (-1.528,-99.597) (-3.449,-19.605)      21.5932  21.5932  17.2806  
18    -22.14861   1.48097  -4.95326 -102.27974 -98.09274 -87.64159     (-86.161,-100.799) (-1.481,-99.574) (-3.472,-20.668)      23.0319  23.0319  18.618  
19    -23.16468   1.43396  -4.92975 -102.25623 -98.11625 -86.57851     (-85.145,-100.822) (-1.434,-99.550) (-3.496,-21.731)      24.4744  24.4744  19.9695  
20    -24.18074   1.38694  -4.90624 -102.23272 -98.13976 -85.51543     (-84.128,-100.846) (-1.387,-99.527) (-3.519,-22.794)      25.9203  25.9203  21.3323  
21    -25.19681   1.33993  -4.88274 -102.20921 -98.16326 -84.45235     (-83.112,-100.869) (-1.340,-99.503) (-3.543,-23.857)      27.369  27.369  22.7045  
22    -26.21287   1.29291  -4.85923 -102.18571 -98.18677 -83.38927     (-82.096,-100.893) (-1.293,-99.480) (-3.566,-24.920)      28.82  28.82  24.0844  
23    -27.22893   1.24590  -4.83572 -102.16220 -98.21028 -82.32620     (-81.080,-100.916) (-1.246,-99.456) (-3.590,-25.983)      30.273  30.273  25.4708  
24    -28.24500   1.19888  -4.81221 -102.13869 -98.23379 -81.26312     (-80.064,-100.940) (-1.199,-99.433) (-3.613,-27.046)      31.7277  31.7277  26.8627  
25    -29.26106   1.15187  -4.78871 -102.11518 -98.25729 -80.20004     (-79.048,-100.963) (-1.152,-99.409) (-3.637,-28.109)      33.184  33.184  28.2592  
26    -30.27712   1.10485  -4.76520 -102.09168 -98.28080 -79.13696     (-78.032,-100.987) (-1.105,-99.386) (-3.660,-29.172)      34.6416  34.6416  29.6598  
27    -31.29319   1.05784  -4.74169 -102.06817 -98.30431 -78.07388     (-77.016,-101.010) (-1.058,-99.362) (-3.684,-30.235)      36.1003  36.1003  31.0638  
28    -32.30925   1.01082  -4.71818 -102.04466 -98.32782 -77.01080     (-76.000,-101.034) (-1.011,-99.339) (-3.707,-31.298)      37.5601  37.5601  32.4708  
29    -33.32531   0.96381  -4.69468 -102.02115 -98.35132 -75.94772     (-74.984,-101.057) (-0.964,-99.315) (-3.731,-32.362)      39.0208  39.0208  33.8805  
30    -34.34138   0.91679  -4.67117 -101.99765 -98.37483 -74.88465     (-73.968,-101.081) (-0.917,-99.292) (-3.754,-33.425)      40.4822  40.4822  35.2925  
31    -35.35744   0.86978  -4.64766 -101.97414 -98.39834 -73.82157     (-72.952,-101.104) (-0.870,-99.268) (-3.778,-34.488)      41.9444  41.9444  36.7066  
32    -36.37350   0.82276  -4.62415 -101.95063 -98.42185 -72.75849     (-71.936,-101.128) (-0.823,-99.245) (-3.801,-35.551)      43.4073  43.4073  38.1224  
33    -37.38957   0.77575  -4.60065 -101.92712 -98.44535 -71.69541     (-70.920,-101.151) (-0.776,-99.221) (-3.825,-36.614)      44.8708  44.8708  39.5399  
34    -38.40563   0.72873  -4.57714 -101.90362 -98.46886 -70.63233     (-69.904,-101.175) (-0.729,-99.198) (-3.848,-37.677)      46.3347  46.3347  40.9589  
35    -39.42169   0.68172  -4.55363 -101.88011 -98.49237 -69.56925     (-68.888,-101.198) (-0.682,-99.174) (-3.872,-38.740)      47.7992  47.7992  42.3792  
36    -40.43776   0.63470  -4.53012 -101.85660 -98.51588 -68.50618     (-67.871,-101.222) (-0.635,-99.151) (-3.895,-39.803)      49.2641  49.2641  43.8007  
