Fol_2018-05-05.09_51_23.1_18.txt     Output is probe cell, reduced cell, NCDist distance between
0     29.09177  -4.24055 -24.54146 -295.24827 -296.38966 -199.84436     (-145.901,-299.489) (-24.851,-20.301) (-242.447,-4.241) 0
1     27.32416  -4.44874 -26.74252 -295.29110 -293.60089 -197.86856     (-147.669,-299.740) (-22.875,-22.294) (-243.401,-4.449) 3.46662
2     25.55655  -4.65692 -28.94358 -295.33394 -290.81211 -195.89276     (-149.437,-299.991) (-20.900,-24.287) (-244.356,-4.657) 6.93323
3     23.78895  -4.86511 -31.14465 -295.37677 -288.02333 -193.91697     (-151.204,-300.242) (-18.924,-26.280) (-245.311,-4.865) 10.3998
4     22.02134  -5.07330 -33.34571 -295.41960 -285.23456 -191.94117     (-152.972,-300.493) (-16.948,-28.272) (-246.265,-5.073) 13.8665
5     20.25373  -5.28149 -35.54677 -295.46244 -282.44578 -189.96538     (-154.739,-300.744) (-14.972,-30.265) (-247.220,-5.281) 17.3331
6     18.48612  -5.48968 -37.74784 -295.50527 -279.65701 -187.98958     (-156.507,-300.995) (-12.996,-32.258) (-248.174,-5.490) 20.7997
7     16.71852  -5.69787 -39.94890 -295.54810 -276.86823 -186.01378     (-158.275,-301.246) (-11.021,-34.251) (-249.129,-5.698) 24.2663
8     14.95091  -5.90606 -42.14996 -295.59094 -274.07946 -184.03799     (-160.042,-301.497) (-9.045,-36.244) (-250.084,-5.906) 27.7329
9     13.18330  -6.11424 -44.35102 -295.63377 -271.29068 -182.06219     (-161.810,-301.748) (-7.069,-38.237) (-251.038,-6.114) 31.1995
10     11.41570  -6.32243 -46.55209 -295.67661 -268.50191 -180.08640     (-163.577,-301.999) (-5.093,-40.230) (-251.993,-6.322) 34.6662
11      9.64809  -6.53062 -48.75315 -295.71944 -265.71313 -178.11060     (-165.345,-302.250) (-3.117,-42.223) (-252.948,-6.531) 38.1328
12      7.88048  -6.73881 -50.95421 -295.76227 -262.92436 -176.13480     (-167.113,-302.501) (-1.142,-44.215) (-253.902,-6.739) 41.5994
13      6.11287  -6.94700 -53.15527 -295.80511 -260.13558 -174.15901     (-6.113,-301.918) (-0.834,-47.042) (-254.023,-168.046) 44.8179
14      4.34527  -7.15519 -55.35634 -295.84794 -257.34681 -172.18321     (-4.345,-300.193) (-2.810,-51.011) (-253.002,-167.838) 47.9727
15      2.57766  -7.36338 -57.55740 -295.89078 -254.55803 -170.20741     (-2.578,-298.468) (-4.786,-54.980) (-251.980,-167.630) 50.1928
16      0.81005  -7.57157 -59.75846 -295.93361 -251.76926 -168.23162     (-0.810,-296.744) (-6.762,-58.948) (-250.959,-167.422) 51.977
17     -0.95756  -7.77975 -61.95953 -295.97644 -248.98048 -166.25582     (-0.958,-295.976) (-7.780,-248.980) (-61.960,-166.256) 50.2317
18     -2.72516  -7.98794 -64.16059 -296.01928 -246.19171 -164.28003     (-2.725,-296.019) (-7.988,-246.192) (-64.161,-164.280) 51.1899
19     -4.49277  -8.19613 -66.36165 -296.06211 -243.40293 -162.30423     (-4.493,-296.062) (-8.196,-243.403) (-66.362,-162.304) 52.5068
20     -6.26038  -8.40432 -68.56271 -296.10494 -240.61416 -160.32843     (-6.260,-296.105) (-8.404,-240.614) (-68.563,-160.328) 53.9917
21     -8.02799  -8.61251 -70.76378 -296.14778 -237.82538 -158.35264     (-8.028,-296.148) (-8.613,-237.825) (-70.764,-158.353) 55.1016
22     -9.79559  -8.82070 -72.96484 -296.19061 -235.03661 -156.37684     (-9.796,-296.191) (-8.821,-235.037) (-72.965,-156.377) 56.539
