Fol_2018-05-05.12_22_56.1_7.txt     Output is probe cell, reduced cell, NCDist distance between
0    -544.66646 -2531.92553 -826.92432 232.44904 -2010.36269 -1016.21729     (-777.116,-232.449) (-594.475,-1777.914) (-2299.476,-783.768) 0
1    -547.01443 -2512.35532 -841.79858 227.75310 -2008.01472 -1013.86932     (-774.768,-227.753) (-614.045,-1780.262) (-2284.602,-786.116) 25.354
2    -549.36240 -2492.78512 -856.67285 223.05716 -2005.66675 -1011.52135     (-772.420,-223.057) (-633.616,-1782.610) (-2269.728,-788.464) 50.7081
3    -551.71037 -2473.21491 -871.54711 218.36122 -2003.31878 -1009.17338     (-770.072,-218.361) (-653.186,-1784.958) (-2254.854,-790.812) 76.0621
4    -554.05834 -2453.64471 -886.42138 213.66528 -2000.97081 -1006.82541     (-767.724,-213.665) (-672.756,-1787.306) (-2239.979,-793.160) 101.416
5    -556.40631 -2434.07450 -901.29564 208.96934 -1998.62284 -1004.47743     (-765.376,-208.969) (-692.326,-1789.653) (-2225.105,-795.508) 126.77
6    -558.75428 -2414.50430 -916.16990 204.27340 -1996.27487 -1002.12946     (-763.028,-204.273) (-711.897,-1792.001) (-2210.231,-797.856) 152.124
7    -561.10225 -2394.93409 -931.04417 199.57746 -1993.92690 -999.78149     (-760.680,-199.577) (-731.467,-1794.349) (-2195.357,-800.204) 177.478
8    -563.45022 -2375.36389 -945.91843 194.88152 -1991.57893 -997.43352     (-758.332,-194.882) (-751.037,-1796.697) (-2180.482,-802.552) 202.832
9    -565.79819 -2355.79369 -960.79270 190.18558 -1989.23096 -995.08555     (-755.984,-190.186) (-770.607,-1799.045) (-2165.608,-804.900) 216.165
10    -568.14616 -2336.22348 -975.66696 185.48964 -1986.88299 -992.73758     (-753.636,-185.490) (-790.177,-1801.393) (-2150.734,-807.248) 225.687
11    -570.49413 -2316.65328 -990.54123 180.79370 -1984.53502 -990.38961     (-751.288,-180.794) (-809.748,-1803.741) (-2135.860,-809.596) 237.546
12    -572.84210 -2297.08307 -1005.41549 176.09776 -1982.18705 -988.04164     (-748.940,-176.098) (-829.318,-1806.089) (-2120.985,-811.944) 251.409
13    -575.19007 -2277.51287 -1020.28975 171.40182 -1979.83908 -985.69367     (-746.592,-171.402) (-848.888,-1808.437) (-2106.111,-814.292) 266.966
14    -577.53804 -2257.94266 -1035.16402 166.70588 -1977.49111 -983.34570     (-744.244,-166.706) (-868.458,-1810.785) (-2091.237,-816.640) 283.939
15    -579.88601 -2238.37246 -1050.03828 162.00994 -1975.14314 -980.99773     (-741.896,-162.010) (-888.028,-1813.133) (-2076.363,-818.988) 302.087
16    -582.23398 -2218.80225 -1064.91255 157.31400 -1972.79517 -978.64976     (-739.548,-157.314) (-907.599,-1815.481) (-2061.488,-821.336) 321.214
17    -584.58195 -2199.23205 -1079.78681 152.61806 -1970.44720 -976.30179     (-737.200,-152.618) (-927.169,-1817.829) (-2046.614,-823.684) 341.153
18    -586.92992 -2179.66184 -1094.66108 147.92212 -1968.09923 -973.95382     (-734.852,-147.922) (-946.739,-1820.177) (-2031.740,-826.032) 361.771
