PointDistanceFollower   Jun  5 2018   mode =  Single Point 
15_53.495_0_2018-06-05.09_50_12.0_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   350   CS6Dist  1
PointDistanceFollower  Jun  5 2018  mode = Single Point
15_53.495_0_2018-06-05.09_50_12.0_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
35    -580.43034 213.51752 -1496.24210 -1995.31033 113.86953 -638.55626     (-425.039,-1781.793) (-213.518,-99.648) (-1282.725,-366.913)      675.979  692.33  
36    -575.07201 198.79217 -1488.87943 -1987.94766 106.50686 -629.18924     (-430.397,-1789.155) (-198.792,-92.285) (-1290.087,-376.280)      688.391  704.617  
37    -569.71368 184.06683 -1481.51676 -1980.58499  99.14419 -619.82223     (-435.755,-1796.518) (-184.067,-84.923) (-1297.450,-385.647)      701.291  717.412  
38    -564.35535 169.34148 -1474.15408 -1973.22231  91.78151 -610.45521     (-441.114,-1803.881) (-169.341,-77.560) (-1304.813,-395.014)      714.653  730.687  
39    -558.99701 154.61613 -1466.79141 -1965.85964  84.41884 -601.08820     (-446.472,-1811.244) (-154.616,-70.197) (-1312.175,-404.381)      728.45  744.416  
40    -553.63868 139.89079 -1459.42874 -1958.49697  77.05617 -591.72118     (-451.830,-1818.606) (-139.891,-62.835) (-1319.538,-413.748)      742.659  758.572  
41    -548.28035 125.16544 -1452.06607 -1951.13430  69.69350 -582.35417     (-457.189,-1825.969) (-125.165,-55.472) (-1326.901,-423.115)      757.256  773.131  
42    -542.92202 110.44010 -1444.70339 -1943.77162  62.33082 -572.98715     (-462.547,-1833.332) (-110.440,-48.109) (-1334.263,-432.482)      772.219  788.069  
43    -537.56369  95.71475 -1437.34072 -1936.40895  54.96815 -563.62014     (-467.905,-1840.694) (-95.715,-40.747) (-1341.626,-441.849)      787.528  803.365  
44    -532.20536  80.98940 -1429.97805 -1929.04628  47.60548 -554.25312     (-473.264,-1848.057) (-80.989,-33.384) (-1348.989,-451.216)      803.163  818.996  
45    -526.84703  66.26406 -1422.61537 -1921.68360  40.24280 -544.88611     (-478.622,-1855.420) (-66.264,-26.021) (-1356.351,-460.583)      819.104  834.943  
46    -521.48870  51.53871 -1415.25270 -1914.32093  32.88013 -535.51909     (-483.980,-1862.782) (-51.539,-18.659) (-1363.714,-469.950)      835.336  851.188  
47    -516.13037  36.81337 -1407.89003 -1906.95826  25.51746 -526.15208     (-489.339,-1870.145) (-36.813,-11.296) (-1371.077,-479.317)      851.84  867.713  
48    -510.77204  22.08802 -1400.52735 -1899.59558  18.15478 -516.78506     (-494.697,-1877.508) (-22.088,-3.933) (-1378.439,-488.684)      868.601  884.501  
49    -505.41371   7.36267 -1393.16468 -1892.23291  10.79211 -507.41805     (-1382.373,-1881.441) (-3.429,-10.792) (-494.622,-496.626)      1043  1086.68     glitch
50    -500.05537  -7.36267 -1385.80201 -1884.87024   3.42944 -498.05103     (-1382.373,-1881.441) (-10.792,-3.429) (-496.626,-494.622)      1043  1086.68  
51    -494.69704 -22.08802 -1378.43934 -1877.50757  -3.93323 -488.68402     (-494.697,-1877.508) (-22.088,-3.933) (-1378.439,-488.684)      868.601  884.501     glitch
52    -489.33871 -36.81337 -1371.07666 -1870.14489 -11.29591 -479.31700     (-489.339,-1870.145) (-36.813,-11.296) (-1371.077,-479.317)      851.84  867.713  
53    -483.98038 -51.53871 -1363.71399 -1862.78222 -18.65858 -469.94999     (-483.980,-1862.782) (-51.539,-18.659) (-1363.714,-469.950)      835.336  851.188  
54    -478.62205 -66.26406 -1356.35132 -1855.41955 -26.02125 -460.58297     (-478.622,-1855.420) (-66.264,-26.021) (-1356.351,-460.583)      819.104  834.943  
55    -473.26372 -80.98940 -1348.98864 -1848.05687 -33.38393 -451.21596     (-473.264,-1848.057) (-80.989,-33.384) (-1348.989,-451.216)      803.163  818.996  
56    -467.90539 -95.71475 -1341.62597 -1840.69420 -40.74660 -441.84894     (-467.905,-1840.694) (-95.715,-40.747) (-1341.626,-441.849)      787.528  803.365  
57    -462.54706 -110.44010 -1334.26330 -1833.33153 -48.10927 -432.48193     (-462.547,-1833.332) (-110.440,-48.109) (-1334.263,-432.482)      772.219  788.069  
58    -457.18873 -125.16544 -1326.90062 -1825.96885 -55.47195 -423.11491     (-457.189,-1825.969) (-125.165,-55.472) (-1326.901,-423.115)      757.256  773.131  
59    -451.83040 -139.89079 -1319.53795 -1818.60618 -62.83462 -413.74790     (-451.830,-1818.606) (-139.891,-62.835) (-1319.538,-413.748)      742.659  758.572  
60    -446.47207 -154.61613 -1312.17528 -1811.24351 -70.19729 -404.38088     (-446.472,-1811.244) (-154.616,-70.197) (-1312.175,-404.381)      728.45  744.416  
61    -441.11373 -169.34148 -1304.81261 -1803.88084 -77.55996 -395.01387     (-441.114,-1803.881) (-169.341,-77.560) (-1304.813,-395.014)      714.653  730.687  
62    -435.75540 -184.06683 -1297.44993 -1796.51816 -84.92264 -385.64685     (-435.755,-1796.518) (-184.067,-84.923) (-1297.450,-385.647)      701.291  717.412  
63    -430.39707 -198.79217 -1290.08726 -1789.15549 -92.28531 -376.27984     (-430.397,-1789.155) (-198.792,-92.285) (-1290.087,-376.280)      688.391  704.617  
64    -425.03874 -213.51752 -1282.72459 -1781.79282 -99.64798 -366.91282     (-425.039,-1781.793) (-213.518,-99.648) (-1282.725,-366.913)      675.979  692.33  
65    -419.68041 -228.24286 -1275.36191 -1774.43014 -107.01066 -357.54581     (-419.680,-1774.430) (-228.243,-107.011) (-1275.362,-357.546)      664.081  680.582  
66    -414.32208 -242.96821 -1267.99924 -1767.06747 -114.37333 -348.17879     (-414.322,-1767.067) (-242.968,-114.373) (-1267.999,-348.179)      652.727  669.402  
67    -408.96375 -257.69356 -1260.63657 -1759.70480 -121.73600 -338.81177     (-408.964,-1759.705) (-257.694,-121.736) (-1260.637,-338.812)      641.944  658.82  
68    -403.60542 -272.41890 -1253.27389 -1752.34212 -129.09868 -329.44476     (-403.605,-1752.342) (-272.419,-129.099) (-1253.274,-329.445)      631.763  648.868  
69    -398.24709 -287.14425 -1245.91122 -1744.97945 -136.46135 -320.07774     (-398.247,-1744.979) (-287.144,-136.461) (-1245.911,-320.078)      622.213  639.578  
70    -392.88876 -301.86959 -1238.54855 -1737.61678 -143.82402 -310.71073     (-392.889,-1737.617) (-301.870,-143.824) (-1238.549,-310.711)      613.322  630.98  
71    -387.53043 -316.59494 -1231.18587 -1730.25410 -151.18670 -301.34371     (-387.530,-1730.254) (-316.595,-151.187) (-1231.186,-301.344)      605.121  623.105  
72    -382.17209 -331.32029 -1223.82320 -1722.89143 -158.54937 -291.97670     (-382.172,-1722.891) (-331.320,-158.549) (-1223.823,-291.977)      597.638  601.267  
73    -376.81376 -346.04563 -1216.46053 -1715.52876 -165.91204 -282.60968     (-376.814,-1715.529) (-346.046,-165.912) (-1216.461,-282.610)      578.998  578.998  
74    -371.45543 -360.77098 -1209.09786 -1708.16609 -173.27471 -273.24267     (-371.455,-1708.166) (-360.771,-173.275) (-1209.098,-273.243)      556.729  556.729  
75    -366.09710 -375.49632 -1201.73518 -1700.80341 -180.63739 -263.87565     (-366.097,-1700.803) (-375.496,-180.637) (-1201.735,-263.876)      534.46  534.46  
76    -360.73877 -390.22167 -1194.37251 -1693.44074 -188.00006 -254.50864     (-360.739,-1693.441) (-390.222,-188.000) (-1194.373,-254.509)      512.191  512.191  
77    -355.38044 -404.94702 -1187.00984 -1686.07807 -195.36273 -245.14162     (-355.380,-1686.078) (-404.947,-195.363) (-1187.010,-245.142)      489.921  489.921  
78    -350.02211 -419.67236 -1179.64716 -1678.71539 -202.72541 -235.77461     (-350.022,-1678.715) (-419.672,-202.725) (-1179.647,-235.775)      467.652  467.652  
79    -344.66378 -434.39771 -1172.28449 -1671.35272 -210.08808 -226.40759     (-344.664,-1671.353) (-434.398,-210.088) (-1172.284,-226.408)      445.383  445.383  
80    -339.30545 -449.12305 -1164.92182 -1663.99005 -217.45075 -217.04058     (-339.305,-1663.990) (-449.123,-217.451) (-1164.922,-217.041)      423.114  423.114  
81    -333.94712 -463.84840 -1157.55914 -1656.62737 -224.81343 -207.67356     (-333.947,-1656.627) (-463.848,-224.813) (-1157.559,-207.674)      400.845  400.845  
82    -328.58879 -478.57375 -1150.19647 -1649.26470 -232.17610 -198.30655     (-328.589,-1649.265) (-478.574,-232.176) (-1150.196,-198.307)      378.576  378.576  
83    -323.23045 -493.29909 -1142.83380 -1641.90203 -239.53877 -188.93953     (-323.230,-1641.902) (-493.299,-239.539) (-1142.834,-188.940)      356.307  356.307  
84    -317.87212 -508.02444 -1135.47113 -1634.53936 -246.90144 -179.57252     (-317.872,-1634.539) (-508.024,-246.901) (-1135.471,-179.573)      334.037  334.037  
85    -312.51379 -522.74979 -1128.10845 -1627.17668 -254.26412 -170.20550     (-312.514,-1627.177) (-522.750,-254.264) (-1128.108,-170.206)      311.768  311.768  
86    -307.15546 -537.47513 -1120.74578 -1619.81401 -261.62679 -160.83849     (-307.155,-1619.814) (-537.475,-261.627) (-1120.746,-160.838)      289.499  289.499  
87    -301.79713 -552.20048 -1113.38311 -1612.45134 -268.98946 -151.47147     (-301.797,-1612.451) (-552.200,-268.989) (-1113.383,-151.471)      267.23  267.23  
88    -296.43880 -566.92582 -1106.02043 -1605.08866 -276.35214 -142.10446     (-296.439,-1605.089) (-566.926,-276.352) (-1106.020,-142.104)      244.961  244.961  
89    -291.08047 -581.65117 -1098.65776 -1597.72599 -283.71481 -132.73744     (-291.080,-1597.726) (-581.651,-283.715) (-1098.658,-132.737)      222.692  222.692  
90    -285.72214 -596.37652 -1091.29509 -1590.36332 -291.07748 -123.37043     (-285.722,-1590.363) (-596.377,-291.077) (-1091.295,-123.370)      200.422  200.422  
91    -280.36381 -611.10186 -1083.93241 -1583.00064 -298.44016 -114.00341     (-280.364,-1583.001) (-611.102,-298.440) (-1083.932,-114.003)      178.153  178.153  
92    -275.00548 -625.82721 -1076.56974 -1575.63797 -305.80283 -104.63640     (-275.005,-1575.638) (-625.827,-305.803) (-1076.570,-104.636)      155.884  155.884  
93    -269.64715 -640.55255 -1069.20707 -1568.27530 -313.16550 -95.26938     (-269.647,-1568.275) (-640.553,-313.166) (-1069.207,-95.269)      133.615  133.615  
94    -264.28881 -655.27790 -1061.84440 -1560.91263 -320.52817 -85.90237     (-264.289,-1560.913) (-655.278,-320.528) (-1061.844,-85.902)      111.346  111.346  
95    -258.93048 -670.00325 -1054.48172 -1553.54995 -327.89085 -76.53535     (-258.930,-1553.550) (-670.003,-327.891) (-1054.482,-76.535)      89.0766  89.0766  
96    -253.57215 -684.72859 -1047.11905 -1546.18728 -335.25352 -67.16834     (-253.572,-1546.187) (-684.729,-335.254) (-1047.119,-67.168)      66.8075  66.8075  
97    -248.21382 -699.45394 -1039.75638 -1538.82461 -342.61619 -57.80132     (-248.214,-1538.825) (-699.454,-342.616) (-1039.756,-57.801)      44.5383  44.5383  
98    -242.85549 -714.17928 -1032.39370 -1531.46193 -349.97887 -48.43431     (-242.855,-1531.462) (-714.179,-349.979) (-1032.394,-48.434)      22.2692  22.2692  
99    -237.49716 -728.90463 -1025.03103 -1524.09926 -357.34154 -39.06729     (-237.497,-1524.099) (-728.905,-357.342) (-1025.031,-39.067)      0  0  
