Fol_2018-05-06.16_55_38.2_14.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      9.40386 -57.12055   0.07133 -11.51067 -60.69739 -15.22258     (-53.535,-7.783) (-38.162,-5.819) (-3.585,-3.656) 0  0  0  1.3487e-06  
1      8.76811 -56.92905   0.03440 -11.47301 -60.14306 -15.10575     (-54.499,-8.974) (-40.108,-6.338) (-2.430,-2.465) 3.02558  3.32962  5.35126  3.02558  
2      8.13236 -56.73755  -0.00253 -11.43536 -59.58873 -14.98892     (-55.462,-10.165) (-42.053,-6.857) (-1.276,-1.273) 6.05117  4.83405  10.7025  6.05117  
3      7.49661 -56.54605  -0.03947 -11.39770 -59.03440 -14.87209     (-56.425,-11.356) (-43.999,-7.375) (-0.121,-0.082) 9.07675  6.74069  16.0538  9.07675  
4      6.86086 -56.35455  -0.07640 -11.36005 -58.48007 -14.75526     (-44.835,-11.436) (-56.278,-6.784) (-0.076,-1.110) 9.22644  8.79164  18.2799  10.1687  
5      6.22511 -56.16305  -0.11334 -11.32240 -57.92574 -14.63843     (-45.589,-11.436) (-56.050,-6.112) (-0.113,-2.302) 9.42339  10.9058  19.5861  10.4745  
6      5.58935 -55.97154  -0.15027 -11.28474 -57.37141 -14.52160     (-46.343,-11.435) (-55.821,-5.439) (-0.150,-3.493) 9.87232  12.4649  21.1595  11.0007  
7      4.95360 -55.78004  -0.18720 -11.24709 -56.81708 -14.40477     (-47.097,-11.434) (-55.593,-4.766) (-0.187,-4.685) 10.5411  13.5062  22.9453  11.7178  
8      4.31785 -55.58854  -0.22414 -11.20943 -56.26275 -14.28794     (-47.851,-11.434) (-55.364,-4.094) (-0.224,-5.876) 11.391  14.6977  24.8978  12.5932  
9      3.68210 -55.39704  -0.26107 -11.17178 -55.70842 -14.17111     (-48.605,-11.433) (-55.136,-3.421) (-0.261,-7.068) 12.3849  16.0061  26.9808  13.5963  
10      3.04635 -55.20554  -0.29801 -11.13412 -55.15409 -14.05428     (-49.359,-11.432) (-54.908,-2.748) (-0.298,-8.260) 13.4909  17.4049  29.1664  14.7009  
11      2.41060 -55.01403  -0.33494 -11.09647 -54.59976 -13.93745     (-50.113,-11.431) (-54.679,-2.076) (-0.335,-9.451) 14.6838  18.7698  31.4332  15.886  
12      1.77485 -54.82253  -0.37187 -11.05881 -54.04543 -13.82063     (-50.868,-11.431) (-54.451,-1.403) (-0.372,-10.643) 15.944  19.7339  33.7648  17.1349  
13      1.13910 -54.63103  -0.40881 -11.02116 -53.49110 -13.70380     (-51.622,-11.430) (-54.222,-0.730) (-0.409,-11.834) 17.2569  20.7562  36.1487  18.4345  
14      0.50335 -54.43953  -0.44574 -10.98350 -52.93677 -13.58697     (-52.376,-11.429) (-53.994,-0.058) (-0.446,-13.026) 18.2904  21.8285  38.4142  19.7749  
15     -0.13240 -54.24803  -0.48268 -10.94585 -52.38244 -13.47014     (-0.132,-10.946) (-54.248,-52.382) (-0.483,-13.470) 18.1798  21.8521  38.7433  51.9075  
16     -0.76815 -54.05653  -0.51961 -10.90820 -51.82811 -13.35331     (-0.768,-10.908) (-54.057,-51.828) (-0.520,-13.353) 17.8238  21.2148  38.559  51.437  
17     -1.40390 -53.86502  -0.55654 -10.87054 -51.27378 -13.23648     (-1.404,-10.871) (-53.865,-51.274) (-0.557,-13.236) 17.4302  20.6614  37.6774  50.9773  
18     -2.03965 -53.67352  -0.59348 -10.83289 -50.71945 -13.11965     (-2.040,-10.833) (-53.674,-50.719) (-0.593,-13.120) 16.7805  20.1988  36.8187  50.5285  
19     -2.67540 -53.48202  -0.63041 -10.79523 -50.16512 -13.00282     (-2.675,-10.795) (-53.482,-50.165) (-0.630,-13.003) 16.1519  19.8332  35.9846  50.0909  
20     -3.31115 -53.29052  -0.66735 -10.75758 -49.61079 -12.88599     (-3.311,-10.758) (-53.291,-49.611) (-0.667,-12.886) 15.5472  19.5702  35.1768  49.6649  
21     -3.94690 -53.09902  -0.70428 -10.71992 -49.05646 -12.76916     (-3.947,-10.720) (-53.099,-49.056) (-0.704,-12.769) 14.9691  19.4138  34.3974  49.2508  
22     -4.58265 -52.90751  -0.74121 -10.68227 -48.50213 -12.65233     (-4.583,-10.682) (-52.908,-48.502) (-0.741,-12.652) 14.4209  19.3668  33.6484  48.8487  
23     -5.21840 -52.71601  -0.77815 -10.64461 -47.94780 -12.53550     (-5.218,-10.645) (-52.716,-47.948) (-0.778,-12.536) 13.9061  19.4298  32.9321  48.4591  
24     -5.85415 -52.52451  -0.81508 -10.60696 -47.39347 -12.41867     (-5.854,-10.607) (-52.525,-47.393) (-0.815,-12.419) 13.4285  19.6018  32.2508  48.0823  
25     -6.48990 -52.33301  -0.85202 -10.56930 -46.83914 -12.30184     (-6.490,-10.569) (-52.333,-46.839) (-0.852,-12.302) 12.9924  19.8763  31.6068  47.7185  
26     -7.12565 -52.14151  -0.88895 -10.53165 -46.28481 -12.18501     (-7.126,-10.532) (-52.142,-46.285) (-0.889,-12.185) 12.6018  20.1789  31.0028  47.368  
27     -7.76140 -51.95000  -0.92588 -10.49399 -45.73048 -12.06818     (-7.761,-10.494) (-51.950,-45.730) (-0.926,-12.068) 12.2613  20.5829  30.4413  47.0312  
28     -8.39715 -51.75850  -0.96282 -10.45634 -45.17615 -11.95136     (-8.397,-10.456) (-51.759,-45.176) (-0.963,-11.951) 11.9751  21.0827  29.9249  46.7084  
29     -9.03290 -51.56700  -0.99975 -10.41869 -44.62182 -11.83453     (-9.033,-10.419) (-51.567,-44.622) (-1.000,-11.835) 11.7471  21.672  29.4563  46.3998  
30     -9.66865 -51.37550  -1.03669 -10.38103 -44.06749 -11.71770     (-9.669,-10.381) (-51.375,-44.067) (-1.037,-11.718) 11.5808  22.3439  29.0381  46.1057  
31    -10.30440 -51.18400  -1.07362 -10.34338 -43.51316 -11.60087     (-10.304,-10.343) (-51.184,-43.513) (-1.074,-11.601) 11.4789  23.0916  28.6727  45.8264  
32    -10.94015 -50.99250  -1.11055 -10.30572 -42.95883 -11.48404     (-10.940,-10.306) (-50.992,-42.959) (-1.111,-11.484) 11.4431  23.9086  28.3625  45.5232  
33    -11.57590 -50.80099  -1.14749 -10.26807 -42.40450 -11.36721     (-11.576,-10.268) (-50.801,-42.404) (-1.147,-11.367) 11.4741  24.7885  28.1095  44.7006  
34    -12.21165 -50.60949  -1.18442 -10.23041 -41.85017 -11.25038     (-12.212,-10.230) (-50.609,-41.850) (-1.184,-11.250) 11.5712  25.7258  27.9157  43.88  
35    -12.84740 -50.41799  -1.22136 -10.19276 -41.29584 -11.13355     (-12.847,-10.193) (-50.418,-41.296) (-1.221,-11.134) 11.7328  26.7155  27.7824  43.0614  
36    -13.48315 -50.22649  -1.25829 -10.15510 -40.74151 -11.01672     (-13.483,-10.155) (-50.226,-40.742) (-1.258,-11.017) 11.9563  27.7534  27.7108  42.2451  
37    -14.11890 -50.03499  -1.29523 -10.11745 -40.18718 -10.89989     (-14.119,-10.117) (-50.035,-40.187) (-1.295,-10.900) 12.2384  28.8365  27.7016  41.4312  
38    -14.75465 -49.84348  -1.33216 -10.07979 -39.63285 -10.78306     (-14.755,-10.080) (-49.843,-39.633) (-1.332,-10.783) 12.5509  30.4399  27.755  40.6198  
39    -15.39040 -49.65198  -1.36909 -10.04214 -39.07852 -10.66623     (-15.390,-10.042) (-49.652,-39.079) (-1.369,-10.666) 12.8575  31.1323  27.8708  39.8111  
40    -16.02615 -49.46048  -1.40603 -10.00449 -38.52419 -10.54940     (-16.026,-10.004) (-49.460,-38.524) (-1.406,-10.549) 13.2149  32.348  28.0482  39.0052  
41    -16.66190 -49.26898  -1.44296  -9.96683 -37.96986 -10.43257     (-16.662,-9.967) (-49.269,-37.970) (-1.443,-10.433) 13.6191  33.6181  28.2862  38.2023  
