Fol_2018-05-09.10_17_59.1_19.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      2.36618 -41.99692 -49.03707  -1.47173   4.35413 -13.35307     (-3.234,-6.720) (-27.146,-4.354) (-2.882,-31.242) 0  0  1.90735e-06  0  
1      2.30962 -41.84691 -48.57086  -1.52474   4.26617 -13.53377     (-3.785,-6.576) (-27.479,-4.266) (-2.741,-31.153) 0.685969  0.634995  1.13824  0.685969  
2      2.25305 -41.69689 -48.10466  -1.57776   4.17821 -13.71447     (-4.335,-6.431) (-27.812,-4.178) (-2.600,-31.064) 1.37194  1.26999  2.27649  1.37194  
3      2.19648 -41.54688 -47.63845  -1.63078   4.09024 -13.89517     (-4.886,-6.287) (-28.145,-4.090) (-2.459,-30.975) 2.05791  1.90498  3.41473  2.05791  
4      2.13991 -41.39687 -47.17224  -1.68379   4.00228 -14.07587     (-5.437,-6.142) (-28.478,-4.002) (-2.318,-30.886) 2.74388  2.53998  4.55297  2.74388  
5      2.08334 -41.24685 -46.70603  -1.73681   3.91432 -14.25657     (-5.987,-5.998) (-28.811,-3.914) (-2.178,-30.796) 3.42985  3.17497  5.69122  3.42985  
6      2.02677 -41.09684 -46.23982  -1.78982   3.82636 -14.43727     (-6.538,-5.853) (-29.144,-3.826) (-2.037,-30.707) 4.11581  3.80997  6.82946  4.11581  
7      1.97020 -40.94683 -45.77361  -1.84284   3.73839 -14.61797     (-7.088,-5.709) (-29.477,-3.738) (-1.896,-30.618) 4.80178  4.44496  7.9677  4.80178  
8      1.91363 -40.79681 -45.30740  -1.89586   3.65043 -14.79867     (-7.639,-5.564) (-29.810,-3.650) (-1.755,-30.529) 5.48775  5.07996  9.10595  5.48775  
9      1.85706 -40.64680 -44.84119  -1.94887   3.56247 -14.97936     (-8.190,-5.420) (-30.143,-3.562) (-1.614,-30.440) 6.17372  5.71495  10.2442  6.17372  
10      1.80050 -40.49679 -44.37498  -2.00189   3.47451 -15.16006     (-8.740,-5.275) (-30.476,-3.475) (-1.473,-30.350) 6.85969  6.34995  11.3824  6.85969  
11      1.74393 -40.34677 -43.90878  -2.05490   3.38655 -15.34076     (-9.291,-5.130) (-30.809,-3.387) (-1.332,-30.261) 7.54566  6.98494  12.5207  7.54566  
12      1.68736 -40.19676 -43.44257  -2.10792   3.29858 -15.52146     (-9.842,-4.986) (-31.142,-3.299) (-1.191,-30.172) 8.12505  7.61994  13.5307  8.12505  
13      1.63079 -40.04675 -42.97636  -2.16094   3.21062 -15.70216     (-10.392,-4.841) (-31.475,-3.211) (-1.050,-30.083) 8.63  8.25493  14.4521  8.63  
14      1.57422 -39.89673 -42.51015  -2.21395   3.12266 -15.88286     (-10.943,-4.697) (-31.808,-3.123) (-0.909,-29.994) 9.15851  8.88993  15.4025  9.15851  
15      1.51765 -39.74672 -42.04394  -2.26697   3.03470 -16.06356     (-11.493,-4.552) (-32.141,-3.035) (-0.768,-29.905) 9.70675  9.52492  16.3769  9.70675  
16      1.46108 -39.59671 -41.57773  -2.31998   2.94673 -16.24426     (-12.044,-4.408) (-32.474,-2.947) (-0.627,-29.815) 10.2715  10.1599  17.3712  10.2715  
17      1.40451 -39.44669 -41.11152  -2.37300   2.85877 -16.42496     (-12.595,-4.263) (-32.807,-2.859) (-0.486,-29.726) 10.8503  10.7949  18.3822  10.8503  
18      1.34794 -39.29668 -40.64531  -2.42602   2.77081 -16.60566     (-13.145,-4.119) (-33.140,-2.771) (-0.345,-29.637) 11.441  11.4299  19.4074  11.441  
19      1.29138 -39.14667 -40.17911  -2.47903   2.68285 -16.78636     (-13.696,-3.974) (-33.473,-2.683) (-0.204,-29.548) 12.0417  12.0649  20.4445  12.0417  
20      1.23481 -38.99666 -39.71290  -2.53205   2.59489 -16.96706     (-14.246,-3.830) (-33.806,-2.595) (-0.063,-29.459) 12.5777  12.6999  21.4918  12.6511  
21      1.17824 -38.84664 -39.24669  -2.58506   2.50692 -17.14776     (-14.719,-34.061) (-3.607,-2.429) (-0.078,-29.448) 13.05  13.3349  22.4371  13.2923  
22      1.12167 -38.69663 -38.78048  -2.63808   2.41896 -17.32846     (-15.129,-34.253) (-3.322,-2.200) (-0.219,-29.499) 13.3742  13.9699  23.1212  13.7609  
23      1.06510 -38.54662 -38.31427  -2.69110   2.33100 -17.50916     (-15.538,-34.446) (-3.036,-1.971) (-0.360,-29.551) 13.7172  14.5749  23.7081  14.2396  
24      1.00853 -38.39660 -37.84806  -2.74411   2.24304 -17.68986     (-15.948,-34.638) (-2.750,-1.742) (-0.501,-29.603) 14.0774  15.0961  24.3171  14.7272  
25      0.95196 -38.24659 -37.38185  -2.79713   2.15507 -17.87056     (-16.358,-34.830) (-2.465,-1.513) (-0.642,-29.655) 14.4537  15.6257  24.9465  15.2229  
26      0.89539 -38.09658 -36.91564  -2.85014   2.06711 -18.05126     (-16.767,-35.022) (-2.179,-1.284) (-0.783,-29.707) 14.8448  16.1629  25.5948  15.7259  
27      0.83882 -37.94656 -36.44944  -2.90316   1.97915 -18.23195     (-17.177,-35.214) (-1.894,-1.055) (-0.924,-29.758) 15.2495  16.7069  26.2605  16.2356  
28      0.78226 -37.79655 -35.98323  -2.95618   1.89119 -18.41265     (-17.586,-35.406) (-1.608,-0.826) (-1.065,-29.810) 15.6668  17.2572  26.9423  16.7514  
29      0.72569 -37.64654 -35.51702  -3.00919   1.80323 -18.59335     (-17.996,-35.598) (-1.323,-0.597) (-1.206,-29.862) 16.0958  17.7892  27.6391  17.2727  
30      0.66912 -37.49652 -35.05081  -3.06221   1.71526 -18.77405     (-18.406,-35.790) (-1.037,-0.368) (-1.347,-29.914) 16.5355  17.9688  28.3497  17.799  
31      0.61255 -37.34651 -34.58460  -3.11522   1.62730 -18.95475     (-18.815,-35.982) (-0.752,-0.139) (-1.488,-29.966) 16.985  18.1689  29.0732  18.3299  
32      0.55598 -37.19650 -34.11839  -3.16824   1.53934 -19.13545     (-1.539,-36.085) (-0.090,-0.556) (-29.928,-19.135) 17.3022  18.3887  29.5809  17.3022  
33      0.49941 -37.04648 -33.65218  -3.22126   1.45138 -19.31615     (-1.451,-36.048) (-0.319,-0.499) (-29.751,-19.316) 17.4065  18.6277  29.7436  17.4065  
34      0.44284 -36.89647 -33.18597  -3.27427   1.36341 -19.49685     (-1.363,-36.011) (-0.547,-0.443) (-29.573,-19.497) 17.5176  18.8849  29.9142  17.5176  
35      0.38627 -36.74646 -32.71977  -3.32729   1.27545 -19.67755     (-1.275,-35.974) (-0.776,-0.386) (-29.396,-19.678) 17.6353  19.1597  30.0925  17.6353  
36      0.32971 -36.59644 -32.25356  -3.38030   1.18749 -19.85825     (-1.187,-35.937) (-1.005,-0.330) (-29.219,-19.858) 17.7594  19.4514  30.2785  17.7594  
37      0.27314 -36.44643 -31.78735  -3.43332   1.09953 -20.03895     (-1.100,-35.900) (-1.234,-0.273) (-29.042,-20.039) 17.8899  19.7592  30.4719  17.8899  
38      0.21657 -36.29642 -31.32114  -3.48634   1.01157 -20.21965     (-1.012,-35.863) (-1.463,-0.217) (-28.865,-20.220) 18.0266  20.0824  30.6727  18.0266  
