Fol_2018-05-05.11_43_23.1_12.txt     Output is probe cell, reduced cell, NCDist distance between
0     10.65288 -49.61510 -49.04104   4.05350  -1.77719  -9.94080     (-1.777,-27.311) (-5.388,-31.290) (-7.098,-0.499) 0
1     10.52732 -49.16837 -48.61738   3.73668  -2.07530  -9.84543     (-6.109,-28.528) (-1.661,-31.299) (-6.791,-0.414) 1.45419
2     10.40176 -48.72163 -48.19372   3.41987  -2.37340  -9.75005     (-6.330,-29.245) (-1.046,-30.810) (-6.982,-1.327) 2.46785
3     10.27621 -48.27489 -47.77005   3.10305  -2.67151  -9.65468     (-6.552,-29.962) (-0.432,-30.321) (-7.173,-2.240) 3.76416
4     10.15065 -47.82816 -47.34639   2.78624  -2.96961  -9.55931     (-2.970,-30.496) (-0.183,-30.015) (-7.181,-6.590) 4.39729
5     10.02509 -47.38142 -46.92273   2.46942  -3.26772  -9.46394     (-3.268,-30.599) (-0.798,-30.140) (-6.757,-6.196) 4.8527
6      9.89954 -46.93468 -46.49907   2.15261  -3.56583  -9.36857     (-3.566,-30.701) (-1.413,-30.266) (-6.334,-5.803) 5.42369
7      9.77398 -46.48795 -46.07541   1.83580  -3.86393  -9.27320     (-3.864,-30.804) (-2.028,-30.391) (-5.910,-5.409) 6.07777
8      9.64843 -46.04121 -45.65174   1.51898  -4.16204  -9.17783     (-4.162,-30.906) (-2.643,-30.517) (-5.486,-5.016) 5.97298
9      9.52287 -45.59447 -45.22808   1.20217  -4.46014  -9.08246     (-4.460,-31.009) (-3.258,-30.642) (-5.063,-4.622) 5.94777
10      9.39731 -45.14774 -44.80442   0.88535  -4.75825  -8.98709     (-4.758,-31.111) (-3.873,-30.768) (-4.639,-4.229) 6.06057
11      9.27176 -44.70100 -44.38076   0.56854  -5.05636  -8.89172     (-5.056,-31.214) (-4.488,-30.894) (-4.215,-3.835) 6.30399
12      9.14620 -44.25426 -43.95710   0.25172  -5.35446  -8.79635     (-5.354,-31.316) (-5.103,-31.019) (-3.792,-3.442) 6.66372
13      9.02064 -43.80753 -43.53343  -0.06509  -5.65257  -8.70098     (-5.653,-31.419) (-5.718,-31.145) (-3.368,-3.048) 7.12216
14      8.89509 -43.36079 -43.10977  -0.38190  -5.95067  -8.60561     (-5.951,-31.521) (-6.333,-31.270) (-2.944,-2.655) 7.61181
15      8.76953 -42.91405 -42.68611  -0.69872  -6.24878  -8.51024     (-6.249,-31.624) (-6.947,-31.396) (-2.521,-2.261) 8.06835
16      8.64398 -42.46732 -42.26245  -1.01553  -6.54688  -8.41487     (-6.547,-31.726) (-7.562,-31.521) (-2.097,-1.868) 8.59722
17      8.51842 -42.02058 -41.83878  -1.33235  -6.84499  -8.31950     (-6.845,-31.829) (-8.177,-31.647) (-1.673,-1.475) 9.18592
18      8.39286 -41.57384 -41.41512  -1.64916  -7.14310  -8.22413     (-7.143,-31.931) (-8.792,-31.772) (-1.250,-1.081) 9.82371
19      8.26731 -41.12711 -40.99146  -1.96598  -7.44120  -8.12876     (-7.441,-32.034) (-9.407,-31.898) (-0.826,-0.688) 10.5016
20      8.14175 -40.68037 -40.56780  -2.28279  -7.73931  -8.03339     (-7.739,-32.136) (-10.022,-32.024) (-0.402,-0.294) 11.1987
21      8.01619 -40.23363 -40.14414  -2.59960  -8.03741  -7.93801     (-32.139,-10.538) (-7.938,-32.050) (-0.099,-0.078) 11.7087
22      7.89064 -39.78690 -39.72047  -2.91642  -8.33552  -7.84264     (-31.848,-10.759) (-7.843,-31.782) (-0.493,-0.048) 11.6467
23      7.76508 -39.34016 -39.29681  -3.23323  -8.63363  -7.74727     (-31.557,-10.981) (-7.747,-31.514) (-0.886,-0.018) 11.6162
24      7.63953 -38.89342 -38.87315  -3.55005  -8.93173  -7.65190     (-7.640,-11.190) (-31.254,-31.234) (-1.292,-0.012) 11.5867
25      7.51397 -38.44669 -38.44949  -3.86686  -9.22984  -7.55653     (-7.514,-11.381) (-30.933,-30.936) (-1.716,-0.043) 11.5478
26      7.38841 -37.99995 -38.02583  -4.18368  -9.52794  -7.46116     (-7.388,-11.572) (-30.612,-30.637) (-2.140,-0.073) 11.5457
27      7.26286 -37.55322 -37.60216  -4.50049  -9.82605  -7.36579     (-7.263,-11.763) (-30.290,-30.339) (-2.563,-0.103) 11.5802
28      7.13730 -37.10648 -37.17850  -4.81730 -10.12415  -7.27042     (-7.137,-11.955) (-29.969,-30.041) (-2.987,-0.133) 11.6512
29      7.01174 -36.65974 -36.75484  -5.13412 -10.42226  -7.17505     (-7.012,-12.146) (-29.648,-29.743) (-3.411,-0.163) 11.758
30      6.88619 -36.21301 -36.33118  -5.45093 -10.72037  -7.07968     (-6.886,-12.337) (-29.327,-29.445) (-3.834,-0.193) 11.8995
31      6.76063 -35.76627 -35.90752  -5.76775 -11.01847  -6.98431     (-6.761,-12.528) (-29.006,-29.147) (-4.258,-0.224) 12.0746
32      6.63508 -35.31953 -35.48385  -6.08456 -11.31658  -6.88894     (-6.635,-12.720) (-28.684,-28.849) (-4.682,-0.254) 12.2818
33      6.50952 -34.87280 -35.06019  -6.40138 -11.61468  -6.79357     (-6.510,-12.911) (-28.363,-28.551) (-5.105,-0.284) 12.5195
34      6.38396 -34.42606 -34.63653  -6.71819 -11.91279  -6.69820     (-6.384,-13.102) (-28.042,-28.253) (-5.529,-0.314) 12.7861
35      6.25841 -33.97932 -34.21287  -7.03501 -12.21090  -6.60283     (-6.258,-13.293) (-27.721,-27.954) (-5.952,-0.344) 13.0798
36      6.13285 -33.53259 -33.78921  -7.35182 -12.50900  -6.50746     (-6.133,-13.485) (-27.400,-27.656) (-6.376,-0.375) 13.3987
37      6.00730 -33.08585 -33.36554  -7.66863 -12.80711  -6.41209     (-6.007,-13.676) (-27.079,-27.358) (-6.800,-0.405) 13.7412
38      5.88174 -32.63911 -32.94188  -7.98545 -13.10521  -6.31672     (-5.882,-13.867) (-26.757,-27.060) (-7.223,-0.435) 14.1055
39      5.75618 -32.19238 -32.51822  -8.30226 -13.40332  -6.22135     (-5.756,-14.058) (-26.436,-26.762) (-7.647,-0.465) 14.49
40      5.63063 -31.74564 -32.09456  -8.61908 -13.70143  -6.12597     (-5.631,-14.250) (-26.115,-26.464) (-8.071,-0.495) 14.893
41      5.50507 -31.29890 -31.67089  -8.93589 -13.99953  -6.03060     (-5.505,-14.441) (-25.794,-26.166) (-8.494,-0.526) 15.3132
42      5.37951 -30.85217 -31.24723  -9.25271 -14.29764  -5.93523     (-5.380,-14.632) (-25.473,-25.868) (-8.918,-0.556) 15.7492
43      5.25396 -30.40543 -30.82357  -9.56952 -14.59574  -5.83986     (-5.254,-14.823) (-25.151,-25.570) (-9.342,-0.586) 16.1997
44      5.12840 -29.95869 -30.39991  -9.88633 -14.89385  -5.74449     (-5.128,-15.015) (-24.830,-25.272) (-9.765,-0.616) 16.6635
45      5.00285 -29.51196 -29.97625 -10.20315 -15.19195  -5.64912     (-5.003,-15.206) (-24.509,-24.973) (-10.189,-0.646) 17.1395
46      4.87729 -29.06522 -29.55258 -10.51996 -15.49006  -5.55375     (-4.877,-15.397) (-24.188,-24.675) (-10.613,-0.676) 17.6268
47      4.75173 -28.61848 -29.12892 -10.83678 -15.78817  -5.45838     (-4.752,-15.589) (-23.867,-24.377) (-11.036,-0.707) 18.1244
48      4.62618 -28.17175 -28.70526 -11.15359 -16.08627  -5.36301     (-4.626,-15.780) (-23.546,-24.079) (-11.460,-0.737) 18.6315
49      4.50062 -27.72501 -28.28160 -11.47041 -16.38438  -5.26764     (-4.501,-15.971) (-23.224,-23.781) (-11.884,-0.767) 19.1474
50      4.37506 -27.27828 -27.85794 -11.78722 -16.68248  -5.17227     (-4.375,-16.162) (-22.903,-23.483) (-12.307,-0.797) 19.6713
51      4.24951 -26.83154 -27.43427 -12.10403 -16.98059  -5.07690     (-4.250,-16.354) (-22.582,-23.185) (-12.731,-0.827) 20.2027
52      4.12395 -26.38480 -27.01061 -12.42085 -17.27870  -4.98153     (-4.124,-16.545) (-22.261,-22.887) (-13.155,-0.858) 20.7409
53      3.99840 -25.93807 -26.58695 -12.73766 -17.57680  -4.88616     (-3.998,-16.736) (-21.940,-22.589) (-13.578,-0.888) 21.2855
54      3.87284 -25.49133 -26.16329 -13.05448 -17.87491  -4.79079     (-3.873,-16.927) (-21.618,-22.290) (-14.002,-0.918) 21.836
55      3.74728 -25.04459 -25.73963 -13.37129 -18.17301  -4.69542     (-3.747,-17.119) (-21.297,-21.992) (-14.426,-0.948) 22.3875
56      3.62173 -24.59786 -25.31596 -13.68811 -18.47112  -4.60005     (-3.622,-17.310) (-20.976,-21.694) (-14.849,-0.978) 22.3336
57      3.49617 -24.15112 -24.89230 -14.00492 -18.76922  -4.50468     (-3.496,-17.501) (-20.655,-21.396) (-15.273,-1.009) 22.2987
58      3.37061 -23.70438 -24.46864 -14.32173 -19.06733  -4.40931     (-3.371,-17.692) (-20.334,-21.098) (-15.697,-1.039) 22.2827
59      3.24506 -23.25765 -24.04498 -14.63855 -19.36544  -4.31394     (-3.245,-17.884) (-20.013,-20.800) (-16.120,-1.069) 22.2859
60      3.11950 -22.81091 -23.62131 -14.95536 -19.66354  -4.21856     (-3.120,-18.075) (-19.691,-20.502) (-16.544,-1.099) 22.308
61      2.99395 -22.36417 -23.19765 -15.27218 -19.96165  -4.12319     (-2.994,-18.266) (-19.370,-20.204) (-16.968,-1.129) 22.3492
62      2.86839 -21.91744 -22.77399 -15.58899 -20.25975  -4.02782     (-2.868,-18.457) (-19.049,-19.906) (-17.391,-1.159) 22.4093
63      2.74283 -21.47070 -22.35033 -15.90581 -20.55786  -3.93245     (-2.743,-18.649) (-18.728,-19.607) (-17.815,-1.190) 22.488
64      2.61728 -21.02396 -21.92667 -16.22262 -20.85597  -3.83708     (-2.617,-18.840) (-18.407,-19.309) (-18.239,-1.220) 22.5854
65      2.49172 -20.57723 -21.50300 -16.53943 -21.15407  -3.74171     (-2.492,-19.031) (-18.086,-19.011) (-18.662,-1.250) 22.701
66      2.36616 -20.13049 -21.07934 -16.85625 -21.45218  -3.64634     (-2.366,-19.222) (-17.764,-18.713) (-19.086,-1.280) 22.4738
67      2.24061 -19.68375 -20.65568 -17.17306 -21.75028  -3.55097     (-2.241,-19.414) (-17.443,-18.415) (-19.510,-1.310) 21.8755
68      2.11505 -19.23702 -20.23202 -17.48988 -22.04839  -3.45560     (-2.115,-19.605) (-17.122,-18.117) (-19.933,-1.341) 21.2804
