PointDistanceFollower  May 27 2018  mode = Single Point
POINT_2018-05-27.16_57_52.0_4.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
33    -13.75721 -32.96331 -28.55438  -1.28663 -16.49682  -1.19234     (-13.757,-1.287) (-32.963,-16.497) (-28.554,-1.192)      23.5588  29.2767  33.7447  24.6517  
34    -14.24117 -32.48452 -28.19241  -1.30040 -16.81407  -1.18716     (-14.241,-1.300) (-32.485,-16.814) (-28.192,-1.187)      24.3779  30.2274  34.885  25.4696  
35    -14.72514 -32.00573 -27.83044  -1.31417 -17.13131  -1.18198     (-14.725,-1.314) (-32.006,-17.131) (-27.830,-1.182)      25.1981  31.1815  36.0278  26.2882  
36    -15.20911 -31.52694 -27.46847  -1.32794 -17.44856  -1.17680     (-15.209,-1.328) (-31.527,-17.449) (-27.468,-1.177)      26.0191  32.1386  37.1728  27.1075  
37    -15.69308 -31.04815 -27.10650  -1.34171 -17.76581  -1.17162     (-15.693,-1.342) (-31.048,-17.766) (-27.106,-1.172)      26.8409  33.0985  38.32  27.9273  
38    -16.17705 -30.56937 -26.74453  -1.35548 -18.08305  -1.16644     (-16.177,-1.355) (-30.569,-18.083) (-26.745,-1.166)      27.6635  34.061  39.469  28.7477  
39    -16.66101 -30.09058 -26.38256  -1.36926 -18.40030  -1.16126     (-16.661,-1.369) (-30.091,-18.400) (-26.383,-1.161)      28.4867  35.0257  40.6198  29.5686  
40    -17.14498 -29.61179 -26.02059  -1.38303 -18.71755  -1.15608     (-17.145,-1.383) (-29.612,-18.718) (-26.021,-1.156)      29.3105  35.9927  41.7722  30.3899  
41    -17.62895 -29.13300 -25.65862  -1.39680 -19.03480  -1.15090     (-17.629,-1.397) (-29.133,-19.035) (-25.659,-1.151)      30.1348  36.9616  42.9261  31.2116  
42    -18.11292 -28.65421 -25.29665  -1.41057 -19.35204  -1.14572     (-18.113,-1.411) (-28.654,-19.352) (-25.297,-1.146)      30.9597  37.9323  44.0813  32.0337  
43    -18.59689 -28.17542 -24.93468  -1.42434 -19.66929  -1.14054     (-18.597,-1.424) (-28.175,-19.669) (-24.935,-1.141)      31.785  38.9047  45.2378  32.8561  
44    -19.08085 -27.69663 -24.57271  -1.43811 -19.98654  -1.13536     (-19.081,-1.438) (-27.697,-19.987) (-24.573,-1.135)      32.6108  39.8786  46.3955  33.6788  
45    -19.56482 -27.21785 -24.21074  -1.45188 -20.30379  -1.13018     (-19.565,-1.452) (-27.218,-20.304) (-24.211,-1.130)      33.4369  40.8541  47.5542  34.5019  
46    -20.04879 -26.73906 -23.84877  -1.46565 -20.62103  -1.12500     (-20.049,-1.466) (-26.739,-20.621) (-23.849,-1.125)      34.2635  41.8308  48.714  35.3252  
