Fol_2018-05-06.17_15_54.1_14.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0     13.13510 -50.61168 -52.60286   5.71965  -6.86051 -12.04932     (-6.861,-31.202) (-1.141,-33.193) (-6.275,-5.189) 0  0  2.6974e-06  0  
1     12.93312 -50.11198 -52.13489   5.34671  -7.12649 -11.98002     (-7.126,-31.372) (-1.780,-33.395) (-5.807,-4.854) 0.938169  1.60031  1.48642  0.938169  
2     12.73115 -49.61227 -51.66693   4.97376  -7.39248 -11.91072     (-7.392,-31.542) (-2.419,-33.597) (-5.339,-4.518) 1.87634  3.20062  2.97284  1.87634  
3     12.52917 -49.11257 -51.19897   4.60082  -7.65847 -11.84143     (-7.658,-31.713) (-3.058,-33.799) (-4.871,-4.183) 2.81451  4.80093  4.45926  2.81451  
4     12.32720 -48.61286 -50.73101   4.22787  -7.92445 -11.77213     (-7.924,-31.883) (-3.697,-34.001) (-4.403,-3.848) 3.75268  6.40124  5.94568  3.75268  
5     12.12522 -48.11316 -50.26304   3.85492  -8.19044 -11.70283     (-8.190,-32.053) (-4.336,-34.203) (-3.935,-3.512) 4.69085  8.00155  7.43211  4.69085  
6     11.92324 -47.61345 -49.79508   3.48198  -8.45643 -11.63353     (-8.456,-32.223) (-4.974,-34.405) (-3.467,-3.177) 5.62901  9.60186  8.91853  5.62901  
7     11.72127 -47.11375 -49.32712   3.10903  -8.72241 -11.56423     (-8.722,-32.394) (-5.613,-34.607) (-2.999,-2.842) 6.56718  11.2022  10.4049  6.56718  
8     11.51929 -46.61404 -48.85916   2.73609  -8.98840 -11.49494     (-8.988,-32.564) (-6.252,-34.809) (-2.531,-2.507) 7.50535  12.8025  11.8914  7.50535  
9     11.31732 -46.11434 -48.39119   2.36314  -9.25438 -11.42564     (-9.254,-32.734) (-6.891,-35.011) (-2.063,-2.171) 8.44352  14.4028  13.3778  8.44352  
10     11.11534 -45.61463 -47.92323   1.99019  -9.52037 -11.35634     (-9.520,-32.904) (-7.530,-35.213) (-1.595,-1.836) 9.38169  16.0031  14.8642  9.38169  
11     10.91336 -45.11492 -47.45527   1.61725  -9.78636 -11.28704     (-9.786,-33.075) (-8.169,-35.415) (-1.127,-1.501) 10.3199  17.6034  16.3506  10.3199  
12     10.71139 -44.61522 -46.98731   1.24430 -10.05234 -11.21774     (-10.052,-33.245) (-8.808,-35.617) (-0.659,-1.165) 11.258  19.2037  17.8371  11.258  
13     10.50941 -44.11551 -46.51935   0.87136 -10.31833 -11.14844     (-10.318,-33.415) (-9.447,-35.819) (-0.191,-0.830) 12.1962  20.804  19.3235  12.1962  
14     10.30744 -43.61581 -46.05138   0.49841 -10.58432 -11.07915     (-10.307,-9.809) (-33.308,-35.744) (-0.277,-0.772) 12.5727  22.4043  20.296  37.0597  
15     10.10546 -43.11610 -45.58342   0.12547 -10.85030 -11.00985     (-10.105,-9.980) (-33.011,-35.478) (-0.745,-0.904) 12.1316  23.8638  20.9305  36.9036  
16      9.90349 -42.61640 -45.11546  -0.24748 -11.11629 -10.94055     (-9.903,-10.151) (-32.713,-35.212) (-1.213,-1.037) 11.7137  24.6831  21.0976  36.5378  
17      9.70151 -42.11669 -44.64750  -0.62043 -11.38228 -10.87125     (-9.702,-10.322) (-32.415,-34.946) (-1.681,-1.170) 11.3215  24.8516  20.9123  36.0651  
18      9.49953 -41.61699 -44.17953  -0.99337 -11.64826 -10.80195     (-9.500,-10.493) (-32.117,-34.680) (-2.149,-1.302) 10.9579  25.0558  20.7666  35.5992  
19      9.29756 -41.11728 -43.71157  -1.36632 -11.91425 -10.73266     (-9.298,-10.664) (-31.820,-34.414) (-2.617,-1.435) 10.6257  25.295  20.6627  35.1404  
20      9.09558 -40.61758 -43.24361  -1.73926 -12.18024 -10.66336     (-9.096,-10.835) (-31.522,-34.148) (-3.085,-1.568) 10.3281  25.5681  20.6027  34.689  
21      8.89361 -40.11787 -42.77565  -2.11221 -12.44622 -10.59406     (-8.894,-11.006) (-31.224,-33.882) (-3.553,-1.700) 10.068  25.874  20.5884  34.2452  
22      8.69163 -39.61817 -42.30769  -2.48516 -12.71221 -10.52476     (-8.692,-11.177) (-30.927,-33.616) (-4.021,-1.833) 9.84838  26.2117  20.6214  33.8094  
23      8.48965 -39.11846 -41.83972  -2.85810 -12.97819 -10.45546     (-8.490,-11.348) (-30.629,-33.350) (-4.489,-1.966) 9.6721  26.58  20.703  33.3819  
24      8.28768 -38.61875 -41.37176  -3.23105 -13.24418 -10.38617     (-8.288,-11.519) (-30.331,-33.084) (-4.957,-2.098) 9.54151  26.9774  20.8341  32.9629  
25      8.08570 -38.11905 -40.90380  -3.60399 -13.51017 -10.31687     (-8.086,-11.690) (-30.033,-32.818) (-5.424,-2.231) 9.4585  27.4029  21.0153  32.5529  
26      7.88373 -37.61934 -40.43584  -3.97694 -13.77615 -10.24757     (-7.884,-11.861) (-29.736,-32.552) (-5.892,-2.364) 9.42434  27.8551  21.2466  32.1522  
27      7.68175 -37.11964 -39.96787  -4.34989 -14.04214 -10.17827     (-7.682,-12.032) (-29.438,-32.286) (-6.360,-2.497) 9.43955  28.3327  21.5277  31.761  
28      7.47978 -36.61993 -39.49991  -4.72283 -14.30813 -10.10897     (-7.480,-12.203) (-29.140,-32.020) (-6.828,-2.629) 9.5039  28.8344  21.858  31.3799  
29      7.27780 -36.12023 -39.03195  -5.09578 -14.57411 -10.03968     (-7.278,-12.374) (-28.842,-31.754) (-7.296,-2.762) 9.6164  29.3591  22.2362  31.009  
30      7.07582 -35.62052 -38.56399  -5.46872 -14.84010  -9.97038     (-7.076,-12.545) (-28.545,-31.488) (-7.764,-2.895) 9.77538  29.9055  22.6611  30.6489  
31      6.87385 -35.12082 -38.09603  -5.84167 -15.10609  -9.90108     (-6.874,-12.716) (-28.247,-31.222) (-8.232,-3.027) 9.97864  30.4725  22.7186  30.3  
32      6.67187 -34.62111 -37.62806  -6.21462 -15.37207  -9.83178     (-6.672,-12.886) (-27.949,-30.956) (-8.700,-3.160) 10.2235  31.0589  22.7662  29.9624  
33      6.46990 -34.12141 -37.16010  -6.58756 -15.63806  -9.76248     (-6.470,-13.057) (-27.652,-30.690) (-9.168,-3.293) 10.5071  31.0661  22.9529  29.6368  
34      6.26792 -33.62170 -36.69214  -6.96051 -15.90405  -9.69319     (-6.268,-13.228) (-27.354,-30.424) (-9.636,-3.425) 10.8264  30.5684  23.3857  29.3235  
35      6.06595 -33.12200 -36.22418  -7.33345 -16.17003  -9.62389     (-6.066,-13.399) (-27.056,-30.158) (-10.104,-3.558) 11.1783  30.0991  24.1077  29.0228  
36      5.86397 -32.62229 -35.75621  -7.70640 -16.43602  -9.55459     (-5.864,-13.570) (-26.758,-29.892) (-10.572,-3.691) 11.5598  29.6596  25.0883  28.7352  
37      5.66199 -32.12259 -35.28825  -8.07935 -16.70201  -9.48529     (-5.662,-13.741) (-26.461,-29.626) (-11.040,-3.823) 11.9681  29.2512  26.2859  28.4611  
38      5.46002 -31.62288 -34.82029  -8.45229 -16.96799  -9.41599     (-5.460,-13.912) (-26.163,-29.360) (-11.508,-3.956) 12.4006  28.8753  27.4963  28.2008  
39      5.25804 -31.12317 -34.35233  -8.82524 -17.23398  -9.34670     (-5.258,-14.083) (-25.865,-29.094) (-11.976,-4.089) 12.8548  28.5331  28.2473  27.9548  
40      5.05607 -30.62347 -33.88437  -9.19818 -17.49996  -9.27740     (-5.056,-14.254) (-25.567,-28.828) (-12.444,-4.221) 13.3285  28.2259  28.8395  27.7235  
41      4.85409 -30.12376 -33.41640  -9.57113 -17.76595  -9.20810     (-4.854,-14.425) (-25.270,-28.562) (-12.912,-4.354) 13.8197  27.9549  29.1516  27.5071  
42      4.65211 -29.62406 -32.94844  -9.94408 -18.03194  -9.13880     (-4.652,-14.596) (-24.972,-28.296) (-13.380,-4.487) 14.3266  27.7211  29.5043  27.3061  
43      4.45014 -29.12435 -32.48048 -10.31702 -18.29792  -9.06950     (-4.450,-14.767) (-24.674,-28.030) (-13.848,-4.619) 14.8476  27.5255  29.9075  27.1207  
44      4.24816 -28.62465 -32.01252 -10.68997 -18.56391  -9.00021     (-4.248,-14.938) (-24.376,-27.764) (-14.316,-4.752) 15.3812  27.369  30.3579  26.9514  
45      4.04619 -28.12494 -31.54455 -11.06291 -18.82990  -8.93091     (-4.046,-15.109) (-24.079,-27.498) (-14.784,-4.885) 15.9262  27.2522  30.8343  26.7984  
46      3.84421 -27.62524 -31.07659 -11.43586 -19.09588  -8.86161     (-3.844,-15.280) (-23.781,-27.232) (-15.252,-5.017) 16.4815  27.1756  31.3384  26.6621  
47      3.64224 -27.12553 -30.60863 -11.80880 -19.36187  -8.79231     (-3.642,-15.451) (-23.483,-26.966) (-15.720,-5.150) 17.0461  27.1396  31.8752  26.5001  
48      3.44026 -26.62583 -30.14067 -12.18175 -19.62786  -8.72301     (-3.440,-15.622) (-23.186,-26.700) (-16.188,-5.283) 17.6189  27.1444  32.4421  26.1448  
49      3.23828 -26.12612 -29.67270 -12.55470 -19.89384  -8.65372     (-3.238,-15.793) (-22.888,-26.434) (-16.656,-5.415) 18.1994  27.1899  33.0365  25.8026  
50      3.03631 -25.62642 -29.20474 -12.92764 -20.15983  -8.58442     (-3.036,-15.964) (-22.590,-26.168) (-17.124,-5.548) 18.7867  27.2759  33.6561  25.4741  
