Fol_2018-05-06.16_58_25.2_19.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0     10.18681 -62.22005   1.02687  -9.98764 -62.28649 -14.42894     (-56.275,-1.989) (-33.914,-4.242) (-5.945,-6.972) 0  0  2.6974e-06  0  
1      9.51547 -61.93413   0.95645  -9.90685 -61.70018 -14.35362     (-57.257,-3.317) (-36.079,-4.838) (-4.677,-5.634) 3.34087  4.50348  5.87095  3.34087  
2      8.84414 -61.64822   0.88603  -9.82606 -61.11387 -14.27829     (-58.238,-4.644) (-38.244,-5.434) (-3.410,-4.296) 6.68174  9.00696  11.7419  6.68174  
3      8.17280 -61.36230   0.81561  -9.74527 -60.52757 -14.20296     (-59.220,-5.971) (-40.408,-6.030) (-2.143,-2.958) 10.0226  13.5104  17.6128  10.0226  
4      7.50147 -61.07639   0.74519  -9.66447 -59.94126 -14.12763     (-60.201,-7.299) (-42.573,-6.626) (-0.875,-1.620) 13.3635  16.4156  23.4838  13.3635  
5      6.83013 -60.79047   0.67477  -9.58368 -59.35495 -14.05231     (-44.345,-60.790) (-8.234,-6.830) (-0.675,-0.392) 15.6641  17.0005  28.4485  50.5081  
6      6.15880 -60.50456   0.60435  -9.50289 -58.76865 -13.97698     (-45.242,-60.505) (-8.294,-6.159) (-0.604,-1.659) 15.7651  16.8549  29.4919  51.0656  
7      5.48746 -60.21864   0.53393  -9.42210 -58.18234 -13.90165     (-46.140,-60.219) (-8.354,-5.487) (-0.534,-2.927) 15.8897  17.0569  30.5836  51.6742  
8      4.81613 -59.93273   0.46351  -9.34131 -57.59603 -13.82633     (-47.037,-59.933) (-8.414,-4.816) (-0.464,-4.194) 16.1167  17.581  31.9178  52.3322  
9      4.14479 -59.64681   0.39309  -9.26051 -57.00973 -13.75100     (-47.934,-59.647) (-8.474,-4.145) (-0.393,-5.461) 16.5203  18.3282  33.4635  53.0378  
10      3.47346 -59.36089   0.32267  -9.17972 -56.42342 -13.67567     (-48.831,-59.361) (-8.534,-3.473) (-0.323,-6.729) 17.0878  19.3044  35.1913  53.7889  
11      2.80212 -59.07498   0.25225  -9.09893 -55.83711 -13.60034     (-49.728,-59.075) (-8.594,-2.802) (-0.252,-7.996) 17.8037  20.153  37.0747  54.5839  
12      2.13079 -58.78906   0.18183  -9.01814 -55.25081 -13.52502     (-50.626,-58.789) (-8.654,-2.131) (-0.182,-9.263) 18.5285  20.2165  39.0903  55.0159  
13      1.45945 -58.50315   0.11141  -8.93735 -54.66450 -13.44969     (-51.523,-58.503) (-8.715,-1.459) (-0.111,-10.531) 19.368  20.4112  41.2184  55.3213  
14      0.78812 -58.21723   0.04099  -8.85655 -54.07819 -13.37436     (-52.420,-58.217) (-8.775,-0.788) (-0.041,-11.798) 20.3184  20.7337  43.442  55.6781  
15      0.11678 -57.93132  -0.02943  -8.77576 -53.49189 -13.29903     (-53.288,-8.805) (-57.902,-0.087) (-0.029,-13.095) 21.7921  21.1779  45.7084  21.7921  
16     -0.55455 -57.64540  -0.09985  -8.69497 -52.90558 -13.22371     (-0.555,-8.695) (-57.645,-52.906) (-0.100,-13.224) 21.0967  21.4742  45.3462  55.573  
17     -1.22589 -57.35949  -0.17026  -8.61418 -52.31927 -13.14838     (-1.226,-8.614) (-57.359,-52.319) (-0.170,-13.148) 20.6812  21.7613  44.5264  54.9749  
18     -1.89722 -57.07357  -0.24068  -8.53339 -51.73297 -13.07305     (-1.897,-8.533) (-57.074,-51.733) (-0.241,-13.073) 20.2989  22.1657  43.7359  54.3866  
19     -2.56856 -56.78766  -0.31110  -8.45259 -51.14666 -12.99773     (-2.569,-8.453) (-56.788,-51.147) (-0.311,-12.998) 19.7668  22.6811  42.9764  53.8085  
20     -3.23989 -56.50174  -0.38152  -8.37180 -50.56036 -12.92240     (-3.240,-8.372) (-56.502,-50.560) (-0.382,-12.922) 19.2663  23.3002  42.2498  53.2409  
21     -3.91123 -56.21583  -0.45194  -8.29101 -49.97405 -12.84707     (-3.911,-8.291) (-56.216,-49.974) (-0.452,-12.847) 18.8  24.015  41.5579  52.6841  
22     -4.58256 -55.92991  -0.52236  -8.21022 -49.38774 -12.77174     (-4.583,-8.210) (-55.930,-49.388) (-0.522,-12.772) 18.3706  24.8172  40.9027  52.1386  
23     -5.25390 -55.64400  -0.59278  -8.12943 -48.80144 -12.69642     (-5.254,-8.129) (-55.644,-48.801) (-0.593,-12.696) 17.9806  25.6985  40.2862  51.6045  
