Fol_2018-05-05.11_53_11.5_4.txt     Output is probe cell, reduced cell, NCDist distance between
0    -18.44590  -1.27473 -27.83565 -32.00543 -35.78649  14.45212     (-3.915,-0.423) (-12.530,-1.287) (-0.066,-0.160) 0
1    -18.29913  -1.38841 -27.55516 -31.68642 -35.43801  14.30452     (-3.233,-1.514) (-5.713,-1.845) (-0.306,-12.081) 3.56167
2    -18.15235  -1.50210 -27.27466 -31.36741 -35.08953  14.15692     (-3.162,-8.720) (-3.800,-1.660) (-0.676,-10.701) 6.76042
3    -18.00558  -1.61579 -26.99416 -31.04839 -34.74105  14.00932     (-2.785,-11.421) (-5.780,-1.169) (-1.657,-9.626) 7.99766
4    -17.85880  -1.72948 -26.71366 -30.72938 -34.39257  13.86172     (-2.409,-14.121) (-7.760,-0.679) (-2.639,-8.551) 8.75149
5    -17.71202  -1.84316 -26.43317 -30.41037 -34.04409  13.71412     (-2.032,-16.822) (-9.740,-0.189) (-3.620,-7.476) 10.2608
6    -17.56525  -1.95685 -26.15267 -30.09136 -33.69561  13.56651     (-4.300,-19.221) (-12.022,-0.302) (-1.354,-6.099) 12.394
7    -17.41847  -2.07054 -25.87217 -29.77235 -33.34713  13.41891     (-4.791,-21.432) (-14.492,-0.792) (-0.487,-4.534) 14.9537
8    -17.27170  -2.18423 -25.59167 -29.45334 -32.99865  13.27131     (-4.902,-16.583) (-23.262,-0.902) (-0.380,-3.349) 17.3143
9    -17.12492  -2.29792 -25.31118 -29.13433 -32.65017  13.12371     (-4.527,-18.186) (-24.606,-0.525) (-1.247,-2.651) 19.1798
10    -16.97815  -2.41160 -25.03068 -28.81532 -32.30169  12.97611     (-4.151,-19.790) (-25.949,-0.149) (-2.114,-1.952) 21.16
11    -16.83137  -2.52529 -24.75018 -28.49631 -31.95321  12.82851     (-2.753,-21.166) (-27.521,-0.228) (-3.547,-1.026) 23.1406
12    -16.68459  -2.63898 -24.46968 -28.17730 -31.60473  12.68091     (-29.192,-22.344) (-3.195,-0.556) (-2.844,-0.049) 25.0622
13    -16.53782  -2.75267 -24.18919 -27.85828 -31.25625  12.53330     (-3.023,-22.353) (-2.753,-0.143) (-29.695,-0.981) 25.3896
14    -16.39104  -2.86635 -23.90869 -27.53927 -30.90777  12.38570     (-2.648,-21.807) (-2.866,-0.841) (-29.641,-1.358) 24.9711
15    -16.24427  -2.98004 -23.62819 -27.22026 -30.55929  12.23810     (-2.272,-21.260) (-2.980,-1.539) (-29.588,-1.734) 24.5869
16    -16.09749  -3.09373 -23.34769 -26.90125 -30.21081  12.09050     (-1.896,-20.714) (-3.094,-2.238) (-29.535,-2.111) 24.2164
17    -15.95072  -3.20742 -23.06720 -26.58224 -29.86233  11.94290     (-1.520,-20.167) (-3.207,-2.936) (-29.482,-2.488) 23.8856
18    -15.80394  -3.32110 -22.78670 -26.26323 -29.51385  11.79530     (-1.144,-19.621) (-3.321,-3.634) (-29.429,-2.864) 23.5963
19    -15.65716  -3.43479 -22.50620 -25.94422 -29.16538  11.64769     (-0.769,-19.075) (-3.435,-4.333) (-29.376,-3.241) 23.3464
20    -15.51039  -3.54848 -22.22570 -25.62521 -28.81690  11.50009     (-0.393,-18.528) (-3.548,-5.031) (-29.323,-3.617) 23.1396
21    -15.36361  -3.66217 -21.94521 -25.30620 -28.46842  11.35249     (-0.017,-17.982) (-3.662,-5.729) (-29.270,-3.994) 22.9783
22    -15.21684  -3.77585 -21.66471 -24.98718 -28.11994  11.20489     (-0.359,-17.794) (-3.417,-28.858) (-6.069,-4.012) 22.6694
23    -15.07006  -3.88954 -21.38421 -24.66817 -27.77146  11.05729     (-0.735,-17.624) (-3.155,-28.429) (-6.391,-4.013) 22.3259
