Fol_2018-05-14.17_25_16.1_90.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
0     11.29970 -49.69849 -47.33355   7.38015  -3.69885 -12.24971     (-4.870,-27.117) (-3.681,-32.114) (-3.920,-0.018) 0  0  
1     11.13638 -49.23367 -46.89503   7.03170  -3.98587 -12.12615     (-5.094,-27.901) (-3.046,-31.654) (-4.105,-0.940) 1.472  1.472  
2     10.97305 -48.76885 -46.45650   6.68325  -4.27290 -12.00259     (-5.319,-28.685) (-2.410,-31.194) (-4.290,-1.863) 2.94399  2.94399  
3     10.80972 -48.30403 -46.01798   6.33480  -4.55992 -11.87904     (-5.544,-29.470) (-1.775,-30.733) (-4.475,-2.785) 4.41599  4.41599  
4     10.64640 -47.83921 -45.57945   5.98635  -4.84695 -11.75548     (-5.769,-30.254) (-1.139,-30.273) (-4.660,-3.708) 5.88798  5.88798  
5     10.48307 -47.37439 -45.14093   5.63789  -5.13397 -11.63192     (-5.994,-31.038) (-0.504,-29.813) (-4.845,-4.630) 6.49951  7.35998  
6     10.31975 -46.90957 -44.70240   5.28944  -5.42100 -11.50837     (-5.421,-31.691) (-0.132,-29.484) (-4.899,-6.087) 7.54431  8.31023     glitch
7     10.15642 -46.44475 -44.26387   4.94099  -5.70802 -11.38481     (-5.708,-31.840) (-0.767,-29.659) (-4.448,-5.677) 6.9599  7.73202  
8      9.99309 -45.97993 -43.82535   4.59254  -5.99505 -11.26125     (-5.995,-31.989) (-1.403,-29.834) (-3.998,-5.266) 6.46411  7.2339  
9      9.82977 -45.51511 -43.38682   4.24408  -6.28207 -11.13769     (-6.282,-32.138) (-2.038,-30.009) (-3.548,-4.856) 6.07866  6.83341  
10      9.66644 -45.05029 -42.94830   3.89563  -6.56910 -11.01414     (-6.569,-32.287) (-2.673,-30.185) (-3.097,-4.445) 5.82549  6.54847  
11      9.50312 -44.58547 -42.50977   3.54718  -6.85612 -10.89058     (-6.856,-32.435) (-3.309,-30.360) (-2.647,-4.034) 5.7222  6.39455  
12      9.33979 -44.12065 -42.07125   3.19873  -7.14315 -10.76702     (-7.143,-32.584) (-3.944,-30.535) (-2.197,-3.624) 5.77681  6.38114  
13      9.17647 -43.65583 -41.63272   2.85027  -7.43017 -10.64346     (-7.430,-32.733) (-4.580,-30.710) (-1.746,-3.213) 5.98502  6.50912  
14      9.01314 -43.19101 -41.19420   2.50182  -7.71720 -10.51991     (-7.717,-32.882) (-5.215,-30.885) (-1.296,-2.803) 6.33169  6.77046  
15      8.84981 -42.72619 -40.75567   2.15337  -8.00422 -10.39635     (-8.004,-33.031) (-5.851,-31.060) (-0.846,-2.392) 6.79566  7.15056  
16      8.68649 -42.26137 -40.31715   1.80492  -8.29125 -10.27279     (-8.291,-33.180) (-6.486,-31.235) (-0.395,-1.982) 7.35476  7.6317  
17      8.52316 -41.79655 -39.87862   1.45646  -8.57827 -10.14924     (-8.523,-7.067) (-33.273,-31.355) (-0.055,-1.626) 8.12203  33.6937     glitch
18      8.35984 -41.33173 -39.44010   1.10801  -8.86530 -10.02568     (-8.360,-7.252) (-32.972,-31.080) (-0.505,-1.666) 8.14293  33.5157  
19      8.19651 -40.86691 -39.00157   0.75956  -9.15232  -9.90212     (-8.197,-7.437) (-32.670,-30.805) (-0.956,-1.706) 8.21651  33.3497  
20      8.03318 -40.40209 -38.56305   0.41111  -9.43935  -9.77856     (-8.033,-7.622) (-32.369,-30.530) (-1.406,-1.745) 8.34139  33.1959  
21      7.86986 -39.93727 -38.12452   0.06265  -9.72637  -9.65501     (-7.870,-7.807) (-32.067,-30.255) (-1.857,-1.785) 8.47347  33.0544  
22      7.70653 -39.47245 -37.68599  -0.28580 -10.01339  -9.53145     (-7.707,-7.992) (-31.766,-29.979) (-2.307,-1.825) 8.55514  32.7892  
23      7.54321 -39.00763 -37.24747  -0.63425 -10.30042  -9.40789     (-7.543,-8.177) (-31.464,-29.704) (-2.757,-1.865) 8.68591  32.4836  
24      7.37988 -38.54281 -36.80894  -0.98270 -10.58744  -9.28434     (-7.380,-8.363) (-31.163,-29.429) (-3.208,-1.904) 8.86362  32.1886  
25      7.21656 -38.07799 -36.37042  -1.33116 -10.87447  -9.16078     (-7.217,-8.548) (-30.861,-29.154) (-3.658,-1.944) 9.0855  31.9044  
26      7.05323 -37.61317 -35.93189  -1.67961 -11.16149  -9.03722     (-7.053,-8.733) (-30.560,-28.879) (-4.108,-1.984) 9.34842  31.6312  
27      6.88990 -37.14835 -35.49337  -2.02806 -11.44852  -8.91366     (-6.890,-8.918) (-30.258,-28.603) (-4.559,-2.024) 9.64902  31.3695  
28      6.72658 -36.68353 -35.05484  -2.37651 -11.73554  -8.79011     (-6.727,-9.103) (-29.957,-28.328) (-5.009,-2.064) 9.98389  31.1195  
29      6.56325 -36.21871 -34.61632  -2.72496 -12.02257  -8.66655     (-6.563,-9.288) (-29.655,-28.053) (-5.459,-2.103) 10.3497  30.8814  
30      6.39993 -35.75389 -34.17779  -3.07342 -12.30959  -8.54299     (-6.400,-9.473) (-29.354,-27.778) (-5.910,-2.143) 10.7433  30.6556  
31      6.23660 -35.28907 -33.73927  -3.42187 -12.59662  -8.41943     (-6.237,-9.658) (-29.052,-27.503) (-6.360,-2.183) 11.1618  30.4423  
32      6.07328 -34.82425 -33.30074  -3.77032 -12.88364  -8.29588     (-6.073,-9.844) (-28.751,-27.227) (-6.810,-2.223) 11.6024  30.2417  
33      5.90995 -34.35943 -32.86222  -4.11877 -13.17067  -8.17232     (-5.910,-10.029) (-28.449,-26.952) (-7.261,-2.262) 12.0627  30.0542  
34      5.74662 -33.89461 -32.42369  -4.46723 -13.45769  -8.04876     (-5.747,-10.214) (-28.148,-26.677) (-7.711,-2.302) 12.5407  29.88  
35      5.58330 -33.42979 -31.98517  -4.81568 -13.74472  -7.92521     (-5.583,-10.399) (-27.846,-26.402) (-8.161,-2.342) 13.0342  29.7193  
36      5.41997 -32.96497 -31.54664  -5.16413 -14.03174  -7.80165     (-5.420,-10.584) (-27.545,-26.127) (-8.612,-2.382) 13.5417  29.5724  
37      5.25665 -32.50015 -31.10812  -5.51258 -14.31877  -7.67809     (-5.257,-10.769) (-27.244,-25.851) (-9.062,-2.421) 14.0615  29.4394  
38      5.09332 -32.03533 -30.66959  -5.86104 -14.60579  -7.55453     (-5.093,-10.954) (-26.942,-25.576) (-9.512,-2.461) 14.583  29.3205  
39      4.92999 -31.57051 -30.23106  -6.20949 -14.89282  -7.43098     (-4.930,-11.139) (-26.641,-25.301) (-9.963,-2.501) 15.0881  29.2159  
40      4.76667 -31.10569 -29.79254  -6.55794 -15.17984  -7.30742     (-4.767,-11.325) (-26.339,-25.026) (-10.413,-2.541) 15.6045  29.1258  
41      4.60334 -30.64087 -29.35401  -6.90639 -15.46687  -7.18386     (-4.603,-11.510) (-26.038,-24.751) (-10.864,-2.581) 16.1312  29.0503  
42      4.44002 -30.17605 -28.91549  -7.25485 -15.75389  -7.06031     (-4.440,-11.695) (-25.736,-24.475) (-11.314,-2.620) 16.6672  28.9895  
43      4.27669 -29.71123 -28.47696  -7.60330 -16.04092  -6.93675     (-4.277,-11.880) (-25.435,-24.200) (-11.764,-2.660) 17.2116  28.9286  
44      4.11337 -29.24641 -28.03844  -7.95175 -16.32794  -6.81319     (-4.113,-12.065) (-25.133,-23.925) (-12.215,-2.700) 17.7636  28.816  
45      3.95004 -28.78159 -27.59991  -8.30020 -16.61497  -6.68963     (-3.950,-12.250) (-24.832,-23.650) (-12.665,-2.740) 18.3225  28.5449  
46      3.78671 -28.31677 -27.16139  -8.64866 -16.90199  -6.56608     (-3.787,-12.435) (-24.530,-23.375) (-13.115,-2.779) 18.8878  28.2522  
47      3.62339 -27.85195 -26.72286  -8.99711 -17.18901  -6.44252     (-3.623,-12.620) (-24.229,-23.099) (-13.566,-2.819) 19.4589  27.9285  
48      3.46006 -27.38713 -26.28434  -9.34556 -17.47604  -6.31896     (-3.460,-12.806) (-23.927,-22.824) (-14.016,-2.859) 19.9701  27.6166  
49      3.29674 -26.92231 -25.84581  -9.69401 -17.76306  -6.19540     (-3.297,-12.991) (-23.626,-22.549) (-14.466,-2.899) 20.415  27.3171  
50      3.13341 -26.45749 -25.40729 -10.04246 -18.05009  -6.07185     (-3.133,-13.176) (-23.324,-22.274) (-14.917,-2.938) 20.871  27.0301  
51      2.97008 -25.99267 -24.96876 -10.39092 -18.33711  -5.94829     (-2.970,-13.361) (-23.023,-21.999) (-15.367,-2.978) 21.3376  26.7563  
52      2.80676 -25.52785 -24.53024 -10.73937 -18.62414  -5.82473     (-2.807,-13.546) (-22.721,-21.723) (-15.817,-3.018) 21.814  26.4959  
53      2.64343 -25.06303 -24.09171 -11.08782 -18.91116  -5.70118     (-2.643,-13.731) (-22.420,-21.448) (-16.268,-3.058) 22.2996  26.2495  
54      2.48011 -24.59821 -23.65319 -11.43627 -19.19819  -5.57762     (-2.480,-13.916) (-22.118,-21.173) (-16.718,-3.098) 22.7938  26.0043  
55      2.31678 -24.13339 -23.21466 -11.78473 -19.48521  -5.45406     (-2.317,-14.102) (-21.817,-20.898) (-17.168,-3.137) 23.2961  25.6614  
56      2.15346 -23.66857 -22.77613 -12.13318 -19.77224  -5.33050     (-2.153,-14.287) (-21.515,-20.623) (-17.619,-3.177) 23.8059  25.331  
57      1.99013 -23.20375 -22.33761 -12.48163 -20.05926  -5.20695     (-1.990,-14.472) (-21.214,-20.347) (-18.069,-3.217) 24.3228  25.0135  
58      1.82680 -22.73893 -21.89908 -12.83008 -20.34629  -5.08339     (-1.827,-14.657) (-20.912,-20.072) (-18.519,-3.257) 24.3959  24.7093  
59      1.66348 -22.27411 -21.46056 -13.17854 -20.63331  -4.95983     (-1.663,-14.842) (-20.611,-19.797) (-18.970,-3.296) 24.2516  24.4191  
60      1.50015 -21.80929 -21.02203 -13.52699 -20.92034  -4.83628     (-1.500,-15.027) (-20.309,-19.522) (-19.420,-3.336) 24.1244  24.1433  
61      1.33683 -21.34447 -20.58351 -13.87544 -21.20736  -4.71272     (-1.337,-15.212) (-20.008,-19.247) (-19.871,-3.376) 23.8824  23.8824  
62      1.17350 -20.87965 -20.14498 -14.22389 -21.49439  -4.58916     (-1.174,-15.397) (-19.706,-18.971) (-20.321,-3.416) 23.6368  23.6368  
63      1.01017 -20.41483 -19.70646 -14.57235 -21.78141  -4.46560     (-1.010,-15.583) (-19.405,-18.696) (-20.771,-3.455) 23.4072  23.4072  
64      0.84685 -19.95001 -19.26793 -14.92080 -22.06844  -4.34205     (-0.847,-15.768) (-19.103,-18.421) (-21.222,-3.495) 23.1939  23.1939  
65      0.68352 -19.48519 -18.82941 -15.26925 -22.35546  -4.21849     (-0.684,-15.953) (-18.802,-18.146) (-21.672,-3.535) 22.9975  22.9975  
66      0.52020 -19.02037 -18.39088 -15.61770 -22.64249  -4.09493     (-0.520,-16.138) (-18.500,-17.871) (-22.122,-3.575) 22.8183  22.8183  
67      0.35687 -18.55555 -17.95236 -15.96616 -22.92951  -3.97137     (-0.357,-16.323) (-18.199,-17.595) (-22.573,-3.615) 22.6567  22.6567  
68      0.19355 -18.09073 -17.51383 -16.31461 -23.21654  -3.84782     (-0.194,-16.508) (-17.897,-17.320) (-23.023,-3.654) 22.5132  22.5132  
69      0.03022 -17.62591 -17.07531 -16.66306 -23.50356  -3.72426     (-0.030,-16.693) (-17.596,-17.045) (-23.473,-3.694) 22.3881  22.3881  
70     -0.13311 -17.16109 -16.63678 -17.01151 -23.79059  -3.60070     (-0.133,-17.012) (-17.161,-23.791) (-16.637,-3.601) 22.3969  23.105  
71     -0.29643 -16.69627 -16.19825 -17.35996 -24.07761  -3.47715     (-0.296,-17.360) (-16.696,-24.078) (-16.198,-3.477) 21.7736  22.6455  
72     -0.45976 -16.23145 -15.75973 -17.70842 -24.36463  -3.35359     (-0.460,-17.708) (-16.231,-24.365) (-15.760,-3.354) 20.9666  21.8367  
73     -0.62308 -15.76663 -15.32120 -18.05687 -24.65166  -3.23003     (-0.623,-18.057) (-15.767,-24.652) (-15.321,-3.230) 20.1597  21.028  
74     -0.78641 -15.30181 -14.88268 -18.40532 -24.93868  -3.10647     (-0.786,-18.405) (-15.302,-24.939) (-14.883,-3.106) 19.353  20.2192  
75     -0.94973 -14.83699 -14.44415 -18.75377 -25.22571  -2.98292     (-0.950,-18.754) (-14.837,-25.226) (-14.444,-2.983) 18.5465  19.4104  
76     -1.11306 -14.37217 -14.00563 -19.10223 -25.51273  -2.85936     (-1.113,-19.102) (-14.372,-25.513) (-14.006,-2.859) 17.7401  18.6017  
77     -1.27639 -13.90735 -13.56710 -19.45068 -25.79976  -2.73580     (-1.276,-19.451) (-13.907,-25.800) (-13.567,-2.736) 16.934  17.7929  
78     -1.43971 -13.44253 -13.12858 -19.79913 -26.08678  -2.61225     (-1.440,-19.799) (-13.443,-26.087) (-13.129,-2.612) 16.1282  16.9841  
79     -1.60304 -12.97771 -12.69005 -20.14758 -26.37381  -2.48869     (-1.603,-20.148) (-12.978,-26.374) (-12.690,-2.489) 15.3227  16.1754  
80     -1.76636 -12.51289 -12.25153 -20.49604 -26.66083  -2.36513     (-1.766,-20.496) (-12.513,-26.661) (-12.252,-2.365) 14.5175  15.3666  
81     -1.92969 -12.04807 -11.81300 -20.84449 -26.94786  -2.24157     (-1.930,-20.844) (-12.048,-26.948) (-11.813,-2.242) 13.7128  14.5578  
82     -2.09302 -11.58325 -11.37448 -21.19294 -27.23488  -2.11802     (-2.093,-21.193) (-11.583,-27.235) (-11.374,-2.118) 12.9086  13.7491  
83     -2.25634 -11.11843 -10.93595 -21.54139 -27.52191  -1.99446     (-2.256,-21.541) (-11.118,-27.522) (-10.936,-1.994) 12.105  12.9403  
84     -2.41967 -10.65361 -10.49743 -21.88985 -27.80893  -1.87090     (-2.420,-21.890) (-10.654,-27.809) (-10.497,-1.871) 11.3021  12.1315  
85     -2.58299 -10.18879 -10.05890 -22.23830 -28.09596  -1.74734     (-2.583,-22.238) (-10.189,-28.096) (-10.059,-1.747) 10.5001  11.3228  
86     -2.74632  -9.72397  -9.62038 -22.58675 -28.38298  -1.62379     (-2.746,-22.587) (-9.724,-28.383) (-9.620,-1.624) 9.69925  10.514  
87     -2.90964  -9.25915  -9.18185 -22.93520 -28.67001  -1.50023     (-2.910,-22.935) (-9.259,-28.670) (-9.182,-1.500) 8.89983  9.70522  
88     -3.07297  -8.79433  -8.74332 -23.28366 -28.95703  -1.37667     (-3.073,-23.284) (-8.794,-28.957) (-8.743,-1.377) 8.10226  8.89645  
89     -3.23630  -8.32951  -8.30480 -23.63211 -29.24406  -1.25312     (-3.236,-23.632) (-8.330,-29.244) (-8.305,-1.253) 7.30716  8.08768  
90     -3.39962  -7.86469  -7.86627 -23.98056 -29.53108  -1.12956     (-3.400,-23.981) (-7.865,-29.531) (-7.866,-1.130) 6.51542  7.27891  
91     -3.56295  -7.39987  -7.42775 -24.32901 -29.81811  -1.00600     (-3.563,-24.329) (-7.400,-29.818) (-7.428,-1.006) 5.72843  6.47015  
92     -3.72627  -6.93505  -6.98922 -24.67746 -30.10513  -0.88244     (-3.726,-24.677) (-6.935,-30.105) (-6.989,-0.882) 4.94848  5.66138  
93     -3.88960  -6.47023  -6.55070 -25.02592 -30.39216  -0.75889     (-3.890,-25.026) (-6.470,-30.392) (-6.551,-0.759) 4.1795  4.85261  
94     -4.05293  -6.00541  -6.11217 -25.37437 -30.67918  -0.63533     (-4.053,-25.374) (-6.005,-30.679) (-6.112,-0.635) 3.42887  4.04384  
95     -4.21625  -5.54059  -5.67365 -25.72282 -30.96621  -0.51177     (-4.216,-25.723) (-5.541,-30.966) (-5.674,-0.512) 2.71189  3.23507  
96     -4.37958  -5.07577  -5.23512 -26.07127 -31.25323  -0.38822     (-4.380,-26.071) (-5.076,-31.253) (-5.235,-0.388) 2.06391  2.4263  
97     -4.54290  -4.61095  -4.79660 -26.41973 -31.54026  -0.26466     (-4.543,-26.420) (-4.611,-31.540) (-4.797,-0.265) 1.57267  1.61754  
98     -4.70623  -4.14613  -4.35807 -26.76818 -31.82728  -0.14110     (-4.706,-26.768) (-4.146,-31.827) (-4.358,-0.141) 0.808768  0.808768  
99     -4.86955  -3.68131  -3.91955 -27.11663 -32.11430  -0.01754     (-4.870,-27.117) (-3.681,-32.114) (-3.920,-0.018) 0  0  
