PointDistanceFollower   Apr 16 2020   mode =  LINE3 
Fol_.0_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  39   CS6Dist 7   LMDist  33179
PointDistanceFollower  Apr 16 2020  mode = LINE3
Fol_.0_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
34    -45.45547 -47.50183 -12.76598  -2.51363  -6.48699  -2.00191     (-45.455,-2.514) (-47.502,-6.487) (-12.766,-2.002)      26.9755  26.9561  27.2699  
35    -45.63430 -47.63890 -13.34728  -2.54443  -6.34042  -2.12849     (-45.634,-2.544) (-47.639,-6.340) (-13.347,-2.128)      27.3949  27.3917  27.6714  
36    -45.81314 -47.77596 -13.92858  -2.57522  -6.19384  -2.25508     (-45.813,-2.575) (-47.776,-6.194) (-13.929,-2.255)      27.8233  27.8361  28.0823  
37    -45.99197 -47.91303 -14.50988  -2.60602  -6.04727  -2.38167     (-45.992,-2.606) (-47.913,-6.047) (-14.510,-2.382)      28.2604  28.2887  28.5022  
38    -46.17081 -48.05009 -15.09118  -2.63682  -5.90070  -2.50825     (-46.171,-2.637) (-48.050,-5.901) (-15.091,-2.508)      28.7057  28.7493  28.9308  
39    -46.34964 -48.18715 -15.67249  -2.66761  -5.75413  -2.63484     (-46.350,-2.668) (-48.187,-5.754) (-15.672,-2.635)      29.1588  29.2174  29.3678  
40    -46.52847 -48.32422 -16.25379  -2.69841  -5.60755  -2.76143     (-46.528,-2.698) (-48.324,-5.608) (-16.254,-2.761)      29.6194  29.6926  29.8126  
41    -46.70731 -48.46128 -16.83509  -2.72920  -5.46098  -2.88801     (-46.707,-2.729) (-48.461,-5.461) (-16.835,-2.888)      30.0872  30.1746  30.265  
42    -46.88614 -48.59834 -17.41639  -2.76000  -5.31441  -3.01460     (-46.886,-2.760) (-48.598,-5.314) (-17.416,-3.015)      30.5618  30.6632  30.7247  
43    -47.06497 -48.73541 -17.99769  -2.79080  -5.16784  -3.14119     (-47.065,-2.791) (-48.735,-5.168) (-17.998,-3.141)      31.0429  31.1579  31.1913  
44    -47.24381 -48.87247 -18.57900  -2.82159  -5.02127  -3.26777     (-47.244,-2.822) (-48.872,-5.021) (-18.579,-3.268)      31.5302  31.6585  31.6645  
45    -47.42264 -49.00953 -19.16030  -2.85239  -4.87469  -3.39436     (-47.423,-2.852) (-49.010,-4.875) (-19.160,-3.394)      32.0234  32.144  32.144  
46    -47.60148 -49.14660 -19.74160  -2.88319  -4.72812  -3.52094     (-47.601,-2.883) (-49.147,-4.728) (-19.742,-3.521)      32.5223  32.6296  32.6296  
47    -47.78031 -49.28366 -20.32290  -2.91398  -4.58155  -3.64753     (-47.780,-2.914) (-49.284,-4.582) (-20.323,-3.648)      33.0266  33.1209  33.1209  
48    -47.95914 -49.42073 -20.90420  -2.94478  -4.43498  -3.77412     (-47.959,-2.945) (-49.421,-4.435) (-20.904,-3.774)      33.536  33.6178  33.6178  
49    -48.13798 -49.55779 -21.48550  -2.97557  -4.28840  -3.90070     (-48.138,-2.976) (-49.558,-4.288) (-21.486,-3.901)      34.0504  34.1199  34.1199  
50    -48.31681 -49.69485 -22.06681  -3.00637  -4.14183  -4.02729     (-48.317,-3.006) (-49.695,-4.142) (-22.067,-4.027)      34.5694  34.6271  34.6271  
51    -48.49565 -49.83192 -22.64811  -3.03717  -3.99526  -4.15388     (-48.496,-3.037) (-49.832,-3.995) (-22.648,-4.154)      35.0896  35.1392  35.1392  
52    -48.67448 -49.96898 -23.22941  -3.06796  -3.84869  -4.28046     (-48.674,-3.068) (-49.969,-3.849) (-23.229,-4.280)      35.5416  35.6518  35.6518  
53    -48.85331 -50.10604 -23.81071  -3.09876  -3.70212  -4.40705     (-48.853,-3.099) (-50.106,-3.702) (-23.811,-4.407)      35.9998  36.138  36.138  
54    -49.03215 -50.24311 -24.39201  -3.12956  -3.55554  -4.53364     (-49.032,-3.130) (-50.243,-3.556) (-24.392,-4.534)      36.464  36.6294  36.6294  
55    -49.21098 -50.38017 -24.97332  -3.16035  -3.40897  -4.66022     (-49.211,-3.160) (-50.380,-3.409) (-24.973,-4.660)      36.9338  37.1258  37.1258  
56    -49.38981 -50.51723 -25.55462  -3.19115  -3.26240  -4.78681     (-49.390,-3.191) (-50.517,-3.262) (-25.555,-4.787)      37.4092  37.627  37.627  
57    -49.56865 -50.65430 -26.13592  -3.22194  -3.11583  -4.91340     (-49.569,-3.222) (-50.654,-3.116) (-26.136,-4.913)      37.8899  38.1329  38.1329  
58    -49.74748 -50.79136 -26.71722  -3.25274  -2.96926  -5.03998     (-49.747,-3.253) (-50.791,-2.969) (-26.717,-5.040)      38.3757  38.6431  38.6431  
59    -49.92632 -50.92843 -27.29852  -3.28354  -2.82268  -5.16657     (-49.926,-3.284) (-50.928,-2.823) (-27.299,-5.167)      38.8665  39.1577  39.1577  
60    -50.10515 -51.06549 -27.87983  -3.31433  -2.67611  -5.29316     (-50.105,-3.314) (-51.065,-2.676) (-27.880,-5.293)      39.3619  39.6763  39.6763  
61    -50.28398 -51.20255 -28.46113  -3.34513  -2.52954  -5.41974     (-50.284,-3.345) (-51.203,-2.530) (-28.461,-5.420)      39.862  40.1988  40.1988  
62    -50.46282 -51.33962 -29.04243  -3.37593  -2.38297  -5.54633     (-50.463,-3.376) (-51.340,-2.383) (-29.042,-5.546)      40.3664  40.7252  40.7252  
63    -50.64165 -51.47668 -29.62373  -3.40672  -2.23639  -5.67291     (-50.642,-3.407) (-51.477,-2.236) (-29.624,-5.673)      40.875  41.2551  41.2551  
64    -50.82048 -51.61374 -30.20503  -3.43752  -2.08982  -5.79950     (-50.820,-3.438) (-51.614,-2.090) (-30.205,-5.800)      41.3877  41.7886  41.7886  
65    -50.99932 -51.75081 -30.78634  -3.46831  -1.94325  -5.92609     (-50.999,-3.468) (-51.751,-1.943) (-30.786,-5.926)      41.9043  42.3255  42.3255  
66    -51.17815 -51.88787 -31.36764  -3.49911  -1.79668  -6.05267     (-51.178,-3.499) (-51.888,-1.797) (-31.368,-6.053)      42.4247  42.8655  42.8655  
67    -51.35699 -52.02494 -31.94894  -3.52991  -1.65011  -6.17926     (-51.357,-3.530) (-52.025,-1.650) (-31.949,-6.179)      42.9488  43.4087  43.4087  
68    -51.53582 -52.16200 -32.53024  -3.56070  -1.50353  -6.30585     (-51.536,-3.561) (-52.162,-1.504) (-32.530,-6.306)      43.4763  43.955  43.955  
69    -51.71465 -52.29906 -33.11154  -3.59150  -1.35696  -6.43243     (-51.715,-3.591) (-52.299,-1.357) (-33.112,-6.432)      44.0072  44.5041  44.5041  
