PointDistanceFollower  May 27 2018  mode = Single Point
POINT_2018-05-27.17_37_21.2_20.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0    -15.43772  -8.61741   9.32863 -18.72741 -27.40075 -14.12166     (-6.820,-0.711) (-8.617,-17.361) (-8.688,-22.739)      0  0  1.90735e-06  0  
1    -15.35068  -8.61741   9.14664 -18.54543 -27.29934 -14.20870     (-6.733,-0.529) (-8.617,-17.623) (-8.870,-22.826)      0.387713  0.539049  0.6622  0.387713  
2    -15.26363  -8.61741   8.96466 -18.36345 -27.19792 -14.29574     (-6.646,-0.347) (-8.617,-17.886) (-9.052,-22.913)      0.775426  0.966565  1.3244  0.775426  
3    -15.17659  -8.61741   8.78268 -18.18146 -27.09651 -14.38279     (-6.559,-0.165) (-8.617,-18.149) (-9.234,-23.000)      1.16314  1.12845  1.9866  1.16314  
4    -15.08954  -8.61741   8.60070 -17.99948 -26.99510 -14.46983     (-6.489,-0.017) (-9.399,-18.394) (-8.601,-23.071)      1.52441  1.39218  2.60771  1.52448     glitch
5    -15.00250  -8.61741   8.41872 -17.81750 -26.89369 -14.55688     (-6.584,-0.199) (-9.399,-18.475) (-8.419,-22.976)      1.51609  1.45068  2.6607  1.51609  
6    -14.91545  -8.61741   8.23674 -17.63552 -26.79227 -14.64392     (-6.679,-0.381) (-9.399,-18.556) (-8.237,-22.881)      1.54605  1.57383  2.76312  1.54605     glitch
7    -14.82841  -8.61741   8.05475 -17.45354 -26.69086 -14.73097     (-6.774,-0.563) (-9.399,-18.636) (-8.055,-22.786)      1.63204  1.78508  2.92906  1.63204  
8    -14.74136  -8.61741   7.87277 -17.27155 -26.58945 -14.81801     (-6.869,-0.745) (-9.399,-18.717) (-7.873,-22.691)      1.76588  2.05748  3.14847  1.76588  
9    -14.65432  -8.61741   7.69079 -17.08957 -26.48804 -14.90506     (-6.964,-0.927) (-9.399,-18.797) (-7.691,-22.596)      1.93768  2.37003  3.41106  1.93768  
10    -14.56728  -8.61741   7.50881 -16.90759 -26.38662 -14.99210     (-7.058,-1.109) (-9.399,-18.878) (-7.509,-22.501)      2.13831  2.70887  3.70766  2.13831  
11    -14.48023  -8.61741   7.32683 -16.72561 -26.28521 -15.07915     (-7.153,-1.291) (-9.399,-18.958) (-7.327,-22.406)      2.36044  3.0653  4.03078  2.36044  
12    -14.39319  -8.61741   7.14484 -16.54363 -26.18380 -15.16619     (-7.248,-1.473) (-9.399,-19.039) (-7.145,-22.311)      2.59855  3.43384  4.37454  2.59855  
13    -14.30614  -8.61741   6.96286 -16.36165 -26.08239 -15.25323     (-7.343,-1.655) (-9.399,-19.120) (-6.963,-22.216)      2.84864  3.81099  4.73444  2.84864  
14    -14.21910  -8.61741   6.78088 -16.17966 -25.98097 -15.34028     (-7.438,-1.837) (-9.399,-19.200) (-6.781,-22.121)      3.10782  4.19441  5.10708  3.10782  
15    -14.13205  -8.61741   6.59890 -15.99768 -25.87956 -15.42732     (-7.533,-2.019) (-9.399,-19.281) (-6.599,-22.026)      3.374  4.58254  5.48986  3.374  
16    -14.04501  -8.61741   6.41692 -15.81570 -25.77815 -15.51437     (-7.628,-2.200) (-9.399,-19.361) (-6.417,-21.931)      3.64564  4.97427  5.88081  3.64564  
17    -13.95796  -8.61741   6.23494 -15.63372 -25.67674 -15.60141     (-7.723,-2.382) (-9.399,-19.442) (-6.235,-21.836)      3.9216  5.36882  6.27839  3.9216  
18    -13.87092  -8.61741   6.05295 -15.45174 -25.57532 -15.68846     (-7.818,-2.564) (-9.399,-19.522) (-6.053,-21.741)      4.20105  5.76561  6.68142  4.20105  
19    -13.78387  -8.61741   5.87097 -15.26976 -25.47391 -15.77550     (-7.913,-2.746) (-9.399,-19.603) (-5.871,-21.646)      4.48331  6.1642  7.08898  4.48331  
20    -13.69683  -8.61741   5.68899 -15.08777 -25.37250 -15.86255     (-8.008,-2.928) (-9.399,-19.684) (-5.689,-21.552)      4.76791  6.56426  7.50032  4.76791  
21    -13.60979  -8.61741   5.50701 -14.90579 -25.27109 -15.94959     (-8.103,-3.110) (-9.399,-19.764) (-5.507,-21.457)      5.05443  6.96555  7.91486  5.05443  
22    -13.52274  -8.61741   5.32503 -14.72381 -25.16967 -16.03664     (-8.198,-3.292) (-9.399,-19.845) (-5.325,-21.362)      5.34257  7.36786  8.33211  5.34257  
23    -13.43570  -8.61741   5.14305 -14.54183 -25.06826 -16.12368     (-8.293,-3.474) (-9.399,-19.925) (-5.143,-21.267)      5.63209  7.77104  8.7517  5.63209  
24    -13.34865  -8.61741   4.96106 -14.35985 -24.96685 -16.21073     (-8.388,-3.656) (-9.399,-20.006) (-4.961,-21.172)      5.92278  8.17495  9.17329  5.92278  
25    -13.26161  -8.61741   4.77908 -14.17786 -24.86544 -16.29777     (-8.483,-3.838) (-9.399,-20.086) (-4.779,-21.077)      6.21447  8.57949  9.59663  6.21447  
26    -13.17456  -8.61741   4.59710 -13.99588 -24.76402 -16.38481     (-8.577,-4.020) (-9.399,-20.167) (-4.597,-20.982)      6.50703  8.98458  10.0215  6.50703  
27    -13.08752  -8.61741   4.41512 -13.81390 -24.66261 -16.47186     (-8.672,-4.202) (-9.399,-20.247) (-4.415,-20.887)      6.80036  9.39014  10.4477  6.80036  
28    -13.00047  -8.61741   4.23314 -13.63192 -24.56120 -16.55890     (-8.767,-4.384) (-9.399,-20.328) (-4.233,-20.792)      7.09434  9.79612  10.8751  7.09434  
29    -12.91343  -8.61741   4.05115 -13.44994 -24.45979 -16.64595     (-8.862,-4.566) (-9.399,-20.409) (-4.051,-20.697)      7.38892  10.2025  11.3035  7.38892  
30    -12.82638  -8.61741   3.86917 -13.26796 -24.35837 -16.73299     (-8.957,-4.748) (-9.399,-20.489) (-3.869,-20.602)      7.68401  10.6091  11.7329  7.68401  
31    -12.73934  -8.61741   3.68719 -13.08597 -24.25696 -16.82004     (-9.052,-4.930) (-9.399,-20.570) (-3.687,-20.507)      7.88665  11.0161  12.0413  7.88665  
32    -12.65229  -8.61741   3.50521 -12.90399 -24.15555 -16.90708     (-9.147,-5.112) (-9.399,-20.650) (-3.505,-20.412)      8.06825  11.4233  12.3221  8.06825  
33    -12.56525  -8.61741   3.32323 -12.72201 -24.05414 -16.99413     (-9.242,-5.294) (-9.399,-20.731) (-3.323,-20.317)      8.25686  11.8308  12.6121  8.25686  
34    -12.47821  -8.61741   3.14125 -12.54003 -23.95272 -17.08117     (-9.337,-5.476) (-9.399,-20.811) (-3.141,-20.222)      8.452  12.2384  12.9107  8.452  
35    -12.39116  -8.61741   2.95926 -12.35805 -23.85131 -17.16822     (-9.432,-5.658) (-9.399,-20.892) (-2.959,-20.127)      8.65323  12.6463  13.2172  8.65323  
36    -12.30412  -8.61741   2.77728 -12.17607 -23.74990 -17.25526     (-9.527,-5.840) (-9.399,-20.973) (-2.777,-20.033)      8.86013  13.0543  13.5312  8.86013  
