Fol_2018-05-05.09_48_32.1_13.txt     Output is probe cell, reduced cell, NCDist distance between
0    -135.68072 143.87188 -69.59593 -350.66378 -178.46004 -373.65337     (-155.506,-69.596) (-132.516,-248.056) (-74.276,-66.085) 0
1    -135.88097 141.08009 -69.64321 -347.82471 -179.16303 -370.54662     (-158.030,-69.643) (-135.308,-248.806) (-71.437,-66.238) 4.77641
2    -136.08122 138.28829 -69.69048 -344.98564 -179.86601 -367.43986     (-160.554,-69.690) (-138.100,-249.556) (-68.598,-66.391) 9.55282
3    -136.28147 135.49649 -69.73775 -342.14657 -180.56900 -364.33311     (-163.078,-69.738) (-140.891,-250.307) (-65.759,-66.544) 14.3292
4    -136.48172 132.70470 -69.78503 -339.30750 -181.27199 -361.22636     (-165.602,-69.785) (-143.683,-251.057) (-62.920,-66.697) 19.1056
5    -136.68197 129.91290 -69.83230 -336.46843 -181.97498 -358.11960     (-168.126,-69.832) (-146.475,-251.807) (-60.081,-66.850) 23.8821
6    -136.88222 127.12111 -69.87957 -333.62936 -182.67797 -355.01285     (-170.650,-69.880) (-149.267,-252.558) (-57.242,-67.003) 28.6585
7    -137.08247 124.32931 -69.92684 -330.79029 -183.38096 -351.90610     (-173.174,-69.927) (-152.059,-253.308) (-54.402,-67.156) 33.4349
8    -137.28272 121.53751 -69.97412 -327.95122 -184.08395 -348.79934     (-175.698,-69.974) (-154.850,-254.058) (-51.563,-67.309) 38.2113
9    -137.48297 118.74572 -70.02139 -325.11216 -184.78694 -345.69259     (-178.223,-70.021) (-157.642,-254.808) (-48.724,-67.462) 42.9877
10    -137.68322 115.95392 -70.06866 -322.27309 -185.48993 -342.58584     (-180.747,-70.069) (-160.434,-255.559) (-45.885,-67.615) 47.7641
11    -137.88347 113.16212 -70.11594 -319.43402 -186.19292 -339.47908     (-183.271,-70.116) (-163.226,-256.309) (-43.046,-67.768) 52.5405
12    -138.08372 110.37033 -70.16321 -316.59495 -186.89591 -336.37233     (-185.795,-70.163) (-166.018,-257.059) (-40.207,-67.921) 57.3169
13    -138.28398 107.57853 -70.21048 -313.75588 -187.59890 -333.26558     (-188.319,-70.210) (-168.809,-257.809) (-37.368,-68.073) 62.0934
14    -138.48423 104.78674 -70.25776 -310.91681 -188.30189 -330.15882     (-190.843,-70.258) (-171.601,-258.560) (-34.529,-68.226) 66.8698
15    -138.68448 101.99494 -70.30503 -308.07774 -189.00487 -327.05207     (-193.367,-70.305) (-174.393,-259.310) (-31.690,-68.379) 71.6462
16    -138.88473  99.20314 -70.35230 -305.23867 -189.70786 -323.94532     (-195.891,-70.352) (-177.185,-260.060) (-28.851,-68.532) 76.4226
17    -139.08498  96.41135 -70.39957 -302.39960 -190.41085 -320.83856     (-198.415,-70.400) (-179.976,-260.810) (-26.012,-68.685) 81.199
18    -139.28523  93.61955 -70.44685 -299.56053 -191.11384 -317.73181     (-200.940,-70.447) (-182.768,-261.561) (-23.173,-68.838) 85.9754
