Fol_2018-05-06.16_54_32.2_12.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0     10.78848 -56.13145   2.38113 -14.01410 -61.15135 -10.92237     (-21.486,-0.134) (-10.521,-1.269) (-45.611,-10.364) 0  0  2.6974e-06  9.53674e-07  
1     10.46248 -55.67074   1.89636 -13.87390 -60.54648 -10.91673     (-45.663,-0.073) (-25.821,-0.454) (-10.008,-11.905) 4.70467  4.09902  9.54275  15.4332  
2     10.13647 -55.21002   1.41159 -13.73369 -59.94160 -10.91109     (-45.848,-1.549) (-27.484,-0.775) (-9.362,-10.773) 6.20022  6.06351  12.7884  14.3468  
3      9.81047 -54.74931   0.92683 -13.59349 -59.33673 -10.90545     (-46.034,-3.024) (-29.147,-1.095) (-8.715,-9.642) 8.19984  9.57406  16.6531  13.6761  
4      9.48446 -54.28859   0.44206 -13.45328 -58.73186 -10.89981     (-46.219,-4.500) (-30.810,-1.415) (-8.069,-8.511) 10.4684  13.4719  20.7422  13.4831  
5      9.15846 -53.82788  -0.04270 -13.31308 -58.12698 -10.89417     (-46.405,-5.976) (-32.473,-1.736) (-7.423,-7.380) 12.8644  17.5001  24.9039  13.788  
6      8.83246 -53.36716  -0.52747 -13.17288 -57.52211 -10.88853     (-46.591,-7.451) (-34.136,-2.056) (-6.776,-6.249) 14.5595  20.7354  28.4428  14.5595  
7      8.50645 -52.90645  -1.01224 -13.03267 -56.91724 -10.88289     (-46.776,-8.927) (-35.799,-2.376) (-6.130,-5.118) 15.7291  21.5885  31.4714  15.7291  
8      8.18045 -52.44573  -1.49700 -12.89247 -56.31236 -10.87726     (-46.962,-10.403) (-37.462,-2.697) (-5.484,-3.987) 17.2158  21.3292  34.8276  17.2158  
9      7.85444 -51.98502  -1.98177 -12.75226 -55.70749 -10.87162     (-47.148,-11.879) (-39.125,-3.017) (-4.837,-2.856) 18.9355  21.2542  38.4257  18.9452  
10      7.52844 -51.52430  -2.46654 -12.61206 -55.10261 -10.86598     (-47.333,-13.354) (-40.788,-3.338) (-4.191,-1.724) 20.769  21.3655  42.2039  20.8569  
11      7.20244 -51.06359  -2.95130 -12.47186 -54.49774 -10.86034     (-47.519,-14.830) (-42.451,-3.658) (-3.545,-0.593) 22.7531  21.6603  46.1178  22.9054  
12      6.87643 -50.60288  -3.43607 -12.33165 -53.89287 -10.85470     (-43.576,-15.768) (-47.167,-3.440) (-3.436,-0.538) 23.9782  22.1313  49.0429  27.4683  
13      6.55043 -50.14216  -3.92083 -12.19145 -53.28799 -10.84906     (-44.108,-16.112) (-46.221,-2.630) (-3.921,-1.669) 24.3687  22.7674  49.9869  26.4024  
14      6.22442 -49.68145  -4.40560 -12.05124 -52.68312 -10.84342     (-44.640,-16.457) (-45.276,-1.819) (-4.406,-2.800) 24.8177  23.5554  51.1753  25.4284  
15      5.89842 -49.22073  -4.89037 -11.91104 -52.07825 -10.83778     (-45.172,-16.801) (-44.330,-1.008) (-4.890,-3.931) 24.5571  24.4805  51.353  24.5571  
16      5.57242 -48.76002  -5.37513 -11.77083 -51.47337 -10.83214     (-45.704,-17.146) (-43.385,-0.197) (-5.375,-5.062) 23.8  25.5278  51.4174  23.8  
17      5.24641 -48.29930  -5.85990 -11.63063 -50.86850 -10.82650     (-5.246,-16.877) (-43.053,-0.613) (-45.622,-5.580) 23.5482  26.649  51.5048  27.5624  
18      4.92041 -47.83859  -6.34467 -11.49043 -50.26363 -10.82087     (-4.920,-16.411) (-42.918,-1.424) (-45.343,-5.900) 23.4781  27.5847  51.3256  27.2332  
19      4.59440 -47.37787  -6.82943 -11.35022 -49.65875 -10.81523     (-4.594,-15.945) (-42.783,-2.235) (-45.064,-6.221) 23.4581  28.6286  51.1979  26.9437  
20      4.26840 -46.91716  -7.31420 -11.21002 -49.05388 -10.80959     (-4.268,-15.478) (-42.649,-3.046) (-44.785,-6.541) 23.4883  29.7694  51.1213  26.6954  
21      3.94240 -46.45644  -7.79897 -11.06981 -48.44900 -10.80395     (-3.942,-15.012) (-42.514,-3.857) (-44.507,-6.862) 23.5687  30.9964  51.0952  26.4893  
22      3.61639 -45.99573  -8.28373 -10.92961 -47.84413 -10.79831     (-3.616,-14.546) (-42.379,-4.667) (-44.228,-7.182) 23.6985  32.2926  51.1193  26.3264  
23      3.29039 -45.53502  -8.76850 -10.78941 -47.23926 -10.79267     (-3.290,-14.080) (-42.245,-5.478) (-43.949,-7.502) 23.8772  33.5179  51.1922  26.2075  
24      2.96438 -45.07430  -9.25326 -10.64920 -46.63438 -10.78703     (-2.964,-13.614) (-42.110,-6.289) (-43.670,-7.823) 24.1035  34.4435  51.3134  26.1333  
25      2.63838 -44.61359  -9.73803 -10.50900 -46.02951 -10.78139     (-2.638,-13.147) (-41.975,-7.100) (-43.391,-8.143) 24.3761  35.4484  51.4842  26.1041  
26      2.31237 -44.15287 -10.22280 -10.36879 -45.42464 -10.77575     (-2.312,-12.681) (-41.840,-7.910) (-43.112,-8.463) 24.6935  36.5485  51.703  26.12  
27      1.98637 -43.69216 -10.70756 -10.22859 -44.81976 -10.77012     (-1.986,-12.215) (-41.706,-8.721) (-42.833,-8.784) 25.054  37.7355  51.9684  26.1811  
28      1.66037 -43.23144 -11.19233 -10.08838 -44.21489 -10.76448     (-1.660,-11.749) (-41.571,-9.532) (-42.555,-9.104) 25.4558  39.0013  52.2791  26.2869  
29      1.33436 -42.77073 -11.67710  -9.94818 -43.61002 -10.75884     (-1.334,-11.283) (-41.436,-10.343) (-42.276,-9.424) 25.8969  40.3387  52.6343  26.4369  
30      1.00836 -42.31001 -12.16186  -9.80798 -43.00514 -10.75320     (-1.008,-10.816) (-41.302,-11.154) (-41.997,-9.745) 26.2408  41.5992  53.0325  26.6304  
31      0.68235 -41.84930 -12.64663  -9.66777 -42.40027 -10.74756     (-0.682,-10.350) (-41.167,-11.964) (-41.718,-10.065) 26.2515  42.7237  53.1997  26.6371  
32      0.35635 -41.38858 -13.13140  -9.52757 -41.79540 -10.74192     (-0.356,-9.884) (-41.032,-12.775) (-41.439,-10.386) 26.307  43.9002  53.0875  26.5995  
33      0.03035 -40.92787 -13.61616  -9.38736 -41.19052 -10.73628     (-0.030,-9.418) (-40.898,-13.586) (-41.160,-10.706) 26.4071  44.4112  53.0198  26.6062  
34     -0.29566 -40.46716 -14.10093  -9.24716 -40.58565 -10.73064     (-0.296,-9.247) (-40.467,-40.586) (-14.101,-10.731) 21.6587  44.8034  52.5416  33.179  
35     -0.62166 -40.00644 -14.58569  -9.10695 -39.98077 -10.72500     (-0.622,-9.107) (-40.006,-39.981) (-14.586,-10.725) 21.2917  45.28  52.0538  32.7501  
36     -0.94767 -39.54573 -15.07046  -8.96675 -39.37590 -10.71936     (-0.948,-8.967) (-39.546,-39.376) (-15.070,-10.719) 20.9631  45.8383  51.6041  32.3445  
37     -1.27367 -39.08501 -15.55523  -8.82655 -38.77103 -10.71373     (-1.274,-8.827) (-39.085,-38.771) (-15.555,-10.714) 20.6747  46.4753  51.1936  31.9632  
38     -1.59967 -38.62430 -16.03999  -8.68634 -38.16615 -10.70809     (-1.600,-8.686) (-38.624,-38.166) (-16.040,-10.708) 20.4283  47.1879  50.8232  31.6071  
39     -1.92568 -38.16358 -16.52476  -8.54614 -37.56128 -10.70245     (-1.926,-8.546) (-38.164,-37.561) (-16.525,-10.702) 20.2253  47.9727  50.494  31.2769  
40     -2.25168 -37.70287 -17.00953  -8.40593 -36.95641 -10.69681     (-2.252,-8.406) (-37.703,-36.956) (-17.010,-10.697) 20.0672  48.708  50.2071  30.9735  
41     -2.57769 -37.24215 -17.49429  -8.26573 -36.35153 -10.69117     (-2.578,-8.266) (-37.242,-36.352) (-17.494,-10.691) 19.9549  49.4671  49.9632  30.6977  
