Fol_2018-05-09.10_19_44.1_22.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      5.80638 -44.01053 -46.53898  -0.50582  -2.19911  -9.33638     (-2.199,-34.597) (-2.705,-37.125) (-3.607,-7.137) 0  0  0  0  
1      5.72552 -43.59330 -46.10533  -0.85017  -2.55190  -9.31416     (-2.552,-34.694) (-3.402,-37.206) (-3.174,-6.762) 0.977322  1.94417  1.50405  0.977322  
2      5.64466 -43.17607 -45.67167  -1.19452  -2.90469  -9.29195     (-2.905,-34.791) (-4.099,-37.287) (-2.740,-6.387) 1.95464  3.88834  3.00809  1.95464  
3      5.56379 -42.75885 -45.23802  -1.53888  -3.25748  -9.26974     (-3.257,-34.889) (-4.796,-37.368) (-2.306,-6.012) 2.93197  5.83251  4.51214  2.93197  
4      5.48293 -42.34162 -44.80437  -1.88323  -3.61027  -9.24752     (-3.610,-34.986) (-5.494,-37.449) (-1.873,-5.637) 3.90929  7.77668  6.01619  3.90929  
5      5.40207 -41.92439 -44.37071  -2.22759  -3.96306  -9.22531     (-3.963,-35.083) (-6.191,-37.530) (-1.439,-5.262) 4.88661  9.72085  7.52024  4.88661  
6      5.32120 -41.50716 -43.93706  -2.57194  -4.31585  -9.20310     (-4.316,-35.181) (-6.888,-37.611) (-1.005,-4.887) 5.86393  11.665  9.02428  5.86393  
7      5.24034 -41.08993 -43.50340  -2.91630  -4.66864  -9.18088     (-4.669,-35.278) (-7.585,-37.691) (-0.572,-4.512) 6.84125  13.6092  10.5283  6.84125  
8      5.15948 -40.67270 -43.06975  -3.26065  -5.02143  -9.15867     (-5.021,-35.375) (-8.282,-37.772) (-0.138,-4.137) 7.81857  14.7926  12.0324  7.81857  
9      5.07861 -40.25548 -42.63610  -3.60500  -5.37422  -9.13646     (-5.079,-8.684) (-35.177,-37.557) (-0.296,-4.058) 8.32314  15.8713  13.0419  41.891  
10      4.99775 -39.83825 -42.20244  -3.94936  -5.72701  -9.11424     (-4.998,-8.947) (-34.840,-37.205) (-0.729,-4.116) 8.64832  17.1465  13.8568  41.4228  
