Fol_2018-05-09.10_13_44.1_12.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0     10.65288 -49.61510 -49.04104   4.05350  -1.77719  -9.94080     (-1.777,-27.311) (-5.388,-31.290) (-7.098,-0.499) 0  0  1.90735e-06  0  
1     10.52732 -49.16837 -48.61738   3.73668  -2.07530  -9.84543     (-6.109,-28.528) (-1.661,-31.299) (-6.791,-0.414) 1.71494  1.71527  3.49721  4.9163  
2     10.40176 -48.72163 -48.19372   3.41987  -2.37340  -9.75005     (-6.330,-29.245) (-1.046,-30.810) (-6.982,-1.327) 2.95626  3.43054  5.67873  4.30619  
3     10.27621 -48.27489 -47.77005   3.10305  -2.67151  -9.65468     (-6.552,-29.962) (-0.432,-30.321) (-7.173,-2.240) 4.12548  5.14581  7.48507  4.12548  
4     10.15065 -47.82816 -47.34639   2.78624  -2.96961  -9.55931     (-2.970,-30.496) (-0.183,-30.015) (-7.181,-6.590) 4.39729  6.86108  8.63995  7.3096  
5     10.02509 -47.38142 -46.92273   2.46942  -3.26772  -9.46394     (-3.268,-30.599) (-0.798,-30.140) (-6.757,-6.196) 4.8527  7.56737  9.94184  6.81976  
6      9.89954 -46.93468 -46.49907   2.15261  -3.56583  -9.36857     (-3.566,-30.701) (-1.413,-30.266) (-6.334,-5.803) 5.42369  7.67382  10.9696  6.42208  
7      9.77398 -46.48795 -46.07541   1.83580  -3.86393  -9.27320     (-3.864,-30.804) (-2.028,-30.391) (-5.910,-5.409) 6.07777  8.14827  11.2306  6.13451  
8      9.64843 -46.04121 -45.65174   1.51898  -4.16204  -9.17783     (-4.162,-30.906) (-2.643,-30.517) (-5.486,-5.016) 5.97298  8.77826  11.356  5.97298  
9      9.52287 -45.59447 -45.22808   1.20217  -4.46014  -9.08246     (-4.460,-31.009) (-3.258,-30.642) (-5.063,-4.622) 5.94777  9.53139  11.6414  5.94777  
10      9.39731 -45.14774 -44.80442   0.88535  -4.75825  -8.98709     (-4.758,-31.111) (-3.873,-30.768) (-4.639,-4.229) 6.06057  10.4285  12.0753  6.06057  
11      9.27176 -44.70100 -44.38076   0.56854  -5.05636  -8.89172     (-5.056,-31.214) (-4.488,-30.894) (-4.215,-3.835) 6.30399  11.3421  12.6426  6.30399  
