Fol_2018-05-09.12_32_42.1_7.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      5.12903 -41.33696 -50.58360   0.16284   2.37241 -12.47292     (-2.372,-23.636) (-5.030,-7.501) (-33.208,-2.535) 0  0  1.90735e-06  6.7435e-07  
1      5.12152 -41.30061 -50.56621   0.13902   2.36253 -12.46297     (-2.363,-23.692) (-5.097,-7.484) (-33.236,-2.502) 0.0997444  0.0820577  0.189629  0.0997444  
2      5.11401 -41.26427 -50.54881   0.11520   2.35264 -12.45302     (-2.353,-23.748) (-5.165,-7.467) (-33.263,-2.468) 0.199489  0.164115  0.379258  0.199489  
3      5.10650 -41.22793 -50.53142   0.09138   2.34276 -12.44307     (-2.343,-23.804) (-5.232,-7.449) (-33.290,-2.434) 0.299233  0.246173  0.568886  0.299233  
4      5.09899 -41.19158 -50.51403   0.06755   2.33288 -12.43313     (-2.333,-23.860) (-5.299,-7.432) (-33.317,-2.400) 0.398978  0.328231  0.758515  0.398978  
5      5.09148 -41.15524 -50.49663   0.04373   2.32299 -12.42318     (-2.323,-23.916) (-5.367,-7.414) (-33.345,-2.367) 0.498722  0.410289  0.948144  0.498722  
6      5.08397 -41.11890 -50.47924   0.01991   2.31311 -12.41323     (-2.313,-23.972) (-5.434,-7.397) (-33.372,-2.333) 0.598467  0.492346  1.13777  0.598467  
7      5.07646 -41.08255 -50.46185  -0.00391   2.30322 -12.40328     (-2.303,-24.028) (-5.501,-7.380) (-33.399,-2.299) 0.698211  0.574404  1.3274  0.698211  
8      5.06895 -41.04621 -50.44446  -0.02774   2.29334 -12.39334     (-2.293,-24.084) (-5.569,-7.362) (-33.427,-2.266) 0.797955  0.656462  1.51703  0.797955  
9      5.06144 -41.00987 -50.42706  -0.05156   2.28346 -12.38339     (-2.283,-24.140) (-5.636,-7.345) (-33.454,-2.232) 0.8977  0.73852  1.70666  0.8977  
10      5.05394 -40.97352 -50.40967  -0.07538   2.27357 -12.37344     (-2.274,-24.196) (-5.703,-7.328) (-33.481,-2.198) 0.997444  0.820577  1.89629  0.997444  
11      5.04643 -40.93718 -50.39228  -0.09921   2.26369 -12.36349     (-2.264,-24.252) (-5.771,-7.310) (-33.508,-2.164) 1.09719  0.902635  2.08592  1.09719  
12      5.03892 -40.90084 -50.37489  -0.12303   2.25381 -12.35355     (-2.254,-24.308) (-5.838,-7.293) (-33.536,-2.131) 1.19693  0.984693  2.27555  1.19693  
13      5.03141 -40.86449 -50.35749  -0.14685   2.24392 -12.34360     (-2.244,-24.364) (-5.906,-7.275) (-33.563,-2.097) 1.29668  1.06675  2.46517  1.29668  
14      5.02390 -40.82815 -50.34010  -0.17067   2.23404 -12.33365     (-2.234,-24.420) (-5.973,-7.258) (-33.590,-2.063) 1.39642  1.14881  2.6548  1.39642  
15      5.01639 -40.79181 -50.32271  -0.19450   2.22415 -12.32370     (-2.224,-24.476) (-6.040,-7.241) (-33.617,-2.030) 1.49617  1.23087  2.84443  1.49617  
16      5.00888 -40.75546 -50.30532  -0.21832   2.21427 -12.31375     (-2.214,-24.532) (-6.108,-7.223) (-33.645,-1.996) 1.59591  1.31292  3.03406  1.59591  
17      5.00137 -40.71912 -50.28792  -0.24214   2.20439 -12.30381     (-2.204,-24.587) (-6.175,-7.206) (-33.672,-1.962) 1.69566  1.39498  3.22369  1.69566  
18      4.99386 -40.68278 -50.27053  -0.26596   2.19450 -12.29386     (-2.195,-24.643) (-6.242,-7.188) (-33.699,-1.929) 1.7954  1.47704  3.41332  1.7954  
19      4.98636 -40.64643 -50.25314  -0.28979   2.18462 -12.28391     (-2.185,-24.699) (-6.310,-7.171) (-33.727,-1.895) 1.89514  1.5591  3.60295  1.89514  
20      4.97885 -40.61009 -50.23574  -0.31361   2.17474 -12.27396     (-2.175,-24.755) (-6.377,-7.154) (-33.754,-1.861) 1.99489  1.64115  3.79258  1.99489  
21      4.97134 -40.57375 -50.21835  -0.33743   2.16485 -12.26402     (-2.165,-24.811) (-6.444,-7.136) (-33.781,-1.827) 2.09463  1.72321  3.98221  2.09463  
22      4.96383 -40.53740 -50.20096  -0.36125   2.15497 -12.25407     (-2.155,-24.867) (-6.512,-7.119) (-33.808,-1.794) 2.19438  1.80527  4.17183  2.19438  
23      4.95632 -40.50106 -50.18357  -0.38508   2.14509 -12.24412     (-2.145,-24.923) (-6.579,-7.101) (-33.836,-1.760) 2.29412  1.88733  4.36146  2.29412  
24      4.94881 -40.46472 -50.16617  -0.40890   2.13520 -12.23417     (-2.135,-24.979) (-6.646,-7.084) (-33.863,-1.726) 2.39387  1.96939  4.55109  2.39387  
25      4.94130 -40.42837 -50.14878  -0.43272   2.12532 -12.22423     (-2.125,-25.035) (-6.714,-7.067) (-33.890,-1.693) 2.49361  2.05144  4.74072  2.49361  
26      4.93379 -40.39203 -50.13139  -0.45654   2.11543 -12.21428     (-2.115,-25.091) (-6.781,-7.049) (-33.918,-1.659) 2.59336  2.1335  4.93035  2.59336  
27      4.92628 -40.35569 -50.11400  -0.48037   2.10555 -12.20433     (-2.106,-25.147) (-6.848,-7.032) (-33.945,-1.625) 2.6931  2.21556  5.11998  2.6931  
28      4.91877 -40.31934 -50.09660  -0.50419   2.09567 -12.19438     (-2.096,-25.203) (-6.916,-7.014) (-33.972,-1.591) 2.79284  2.29762  5.30961  2.79284  
29      4.91127 -40.28300 -50.07921  -0.52801   2.08578 -12.18444     (-2.086,-25.259) (-6.983,-6.997) (-33.999,-1.558) 2.89259  2.37967  5.49924  2.89259  
30      4.90376 -40.24666 -50.06182  -0.55184   2.07590 -12.17449     (-2.076,-25.315) (-7.050,-6.980) (-34.027,-1.524) 2.99233  2.46173  5.68886  2.99233  
31      4.89625 -40.21031 -50.04443  -0.57566   2.06602 -12.16454     (-2.066,-25.371) (-7.118,-6.962) (-34.054,-1.490) 3.09208  2.54379  5.87849  3.09208  
32      4.88874 -40.17397 -50.02703  -0.59948   2.05613 -12.15459     (-2.056,-25.427) (-7.185,-6.945) (-34.081,-1.457) 3.19182  2.62585  6.06812  3.19182  
33      4.88123 -40.13763 -50.00964  -0.62330   2.04625 -12.14465     (-2.046,-25.483) (-7.253,-6.927) (-34.108,-1.423) 3.29157  2.7079  6.25775  3.29157  
34      4.87372 -40.10128 -49.99225  -0.64713   2.03636 -12.13470     (-2.036,-25.539) (-7.320,-6.910) (-34.136,-1.389) 3.39131  2.78996  6.44738  3.39131  
35      4.86621 -40.06494 -49.97485  -0.67095   2.02648 -12.12475     (-2.026,-25.595) (-7.387,-6.893) (-34.163,-1.356) 3.49105  2.87202  6.63701  3.49105  
36      4.85870 -40.02860 -49.95746  -0.69477   2.01660 -12.11480     (-2.017,-25.651) (-7.455,-6.875) (-34.190,-1.322) 3.5908  2.95408  6.82664  3.5908  
