Fol_2018-05-05.11_59_14.15_14.txt     Output is probe cell, reduced cell, NCDist distance between
0     -9.64287 -12.83723 -43.64388 -28.26035  23.56733 -16.06004     (-11.803,-1.043) (-0.100,-1.406) (-0.682,-1.150) 0
1     -9.66469 -12.70857 -43.20992 -27.98542  23.31508 -15.90944     (-15.856,-1.547) (-1.210,-0.774) (-1.988,-1.188) 4.22962
2     -9.68651 -12.57991 -42.77596 -27.71050  23.06282 -15.75883     (-4.346,-1.024) (-1.008,-0.343) (-16.742,-2.313) 5.90279
3     -9.70833 -12.45125 -42.34201 -27.43557  22.81057 -15.60823     (-17.126,-0.774) (-0.530,-0.501) (-6.980,-2.577) 7.87053
4     -9.73015 -12.32260 -41.90805 -27.16065  22.55832 -15.45762     (-17.167,-0.179) (-0.394,-1.345) (-9.271,-2.498) 9.68909
5     -9.75197 -12.19394 -41.47409 -26.88573  22.30607 -15.30702     (-17.467,-10.991) (-0.259,-1.620) (-0.155,-2.160) 11.208
6     -9.77379 -12.06528 -41.04013 -26.61080  22.05381 -15.15641     (-17.373,-11.959) (-0.124,-1.141) (-0.885,-2.217) 12.0289
7     -9.79561 -11.93662 -40.60617 -26.33588  21.80156 -15.00580     (-2.261,-12.915) (-0.673,-0.011) (-17.267,-1.603) 12.8275
8     -9.81743 -11.80797 -40.17221 -26.06095  21.54931 -14.85520     (-2.182,-13.747) (-0.329,-0.147) (-17.038,-2.197) 13.5511
9     -9.83925 -11.67931 -39.73825 -25.78603  21.29706 -14.70459     (-2.776,-14.564) (-0.015,-0.297) (-16.794,-2.089) 14.2752
10     -9.86107 -11.55065 -39.30429 -25.51110  21.04480 -14.55399     (-3.027,-15.053) (-0.358,-0.776) (-16.220,-1.666) 14.526
11     -9.88289 -11.42199 -38.87033 -25.23618  20.79255 -14.40338     (-3.277,-15.541) (-0.702,-1.255) (-15.647,-1.243) 14.8506
12     -9.90471 -11.29333 -38.43637 -24.96125  20.54030 -14.25278     (-3.527,-16.029) (-1.046,-1.734) (-15.073,-0.821) 14.5546
13     -9.92653 -11.16468 -38.00241 -24.68633  20.28805 -14.10217     (-3.778,-16.518) (-1.390,-2.213) (-14.500,-0.398) 14.2439
14     -9.94835 -11.03602 -37.56845 -24.41141  20.03579 -13.95157     (-1.709,-16.981) (-4.003,-2.667) (-13.952,-0.025) 14.012
15     -9.97017 -10.90736 -37.13450 -24.13648  19.78354 -13.80096     (-1.630,-17.047) (-3.831,-2.723) (-13.801,-0.448) 13.871
16     -9.99199 -10.77870 -36.70054 -23.86156  19.53129 -13.65036     (-1.551,-17.112) (-3.658,-2.780) (-13.650,-0.870) 13.7464
17    -10.01381 -10.65004 -36.26658 -23.58663  19.27904 -13.49975     (-1.472,-17.178) (-3.486,-2.836) (-13.500,-1.293) 13.6387
18    -10.03563 -10.52139 -35.83262 -23.31171  19.02678 -13.34915     (-1.393,-17.243) (-3.314,-2.892) (-13.349,-1.716) 13.5481
19    -10.05745 -10.39273 -35.39866 -23.03678  18.77453 -13.19854     (-1.314,-17.309) (-3.141,-2.949) (-13.199,-2.138) 13.4751
20    -10.07927 -10.26407 -34.96470 -22.76186  18.52228 -13.04794     (-1.235,-17.375) (-2.969,-3.005) (-13.048,-2.561) 13.42
21    -10.10109 -10.13541 -34.53074 -22.48693  18.27003 -12.89733     (-1.156,-17.440) (-2.796,-3.061) (-12.897,-2.984) 13.383
22    -10.12291 -10.00675 -34.09678 -22.21201  18.01777 -12.74673     (-1.077,-17.506) (-2.624,-3.117) (-12.747,-3.407) 13.3642
23    -10.14473  -9.87810 -33.66282 -21.93709  17.76552 -12.59612     (-0.998,-17.571) (-2.451,-3.174) (-12.596,-3.829) 13.3597
24    -10.16655  -9.74944 -33.22886 -21.66216  17.51327 -12.44552     (-0.919,-17.637) (-2.279,-3.230) (-12.446,-4.252) 13.336
25    -10.18837  -9.62078 -32.79490 -21.38724  17.26102 -12.29491     (-0.840,-17.703) (-2.107,-3.286) (-12.295,-4.675) 13.3221
26    -10.21019  -9.49212 -32.36095 -21.11231  17.00876 -12.14431     (-0.761,-17.768) (-1.934,-3.343) (-12.144,-5.098) 13.3265
27    -10.23201  -9.36346 -31.92699 -20.83739  16.75651 -11.99370     (-0.682,-17.834) (-1.762,-3.399) (-11.994,-5.520) 13.3493
28    -10.25383  -9.23481 -31.49303 -20.56246  16.50426 -11.84310     (-0.603,-17.899) (-1.589,-3.455) (-11.843,-5.943) 13.3903
29    -10.27565  -9.10615 -31.05907 -20.28754  16.25201 -11.69249     (-0.524,-17.965) (-1.417,-3.512) (-11.692,-6.366) 13.4494
30    -10.29747  -8.97749 -30.62511 -20.01261  15.99975 -11.54189     (-0.445,-18.031) (-1.244,-3.568) (-11.542,-6.789) 13.5264
