Fol_2018-05-05.09_43_37.1_4.txt     Output is probe cell, reduced cell, NCDist distance between
0    -117.91589  81.83691 -80.00580 -336.53066 -108.62453 -378.40815     (-294.740,-80.006) (-252.863,-188.630) (-1.831,-37.910) 0
1    -119.70199  78.45611 -79.21616 -333.93950 -109.43267 -374.96878     (-296.513,-255.483) (-78.456,-187.889) (-0.760,-41.246) 5.55008
2    -121.48810  75.07530 -78.42651 -331.34834 -110.24081 -371.52941     (-296.454,-256.273) (-75.075,-185.316) (-3.351,-46.413) 12.2072
3    -123.27420  71.69450 -77.63687 -328.75718 -111.04895 -368.09003     (-296.396,-257.063) (-71.694,-182.743) (-5.942,-51.580) 19.2717
4    -125.06030  68.31370 -76.84723 -326.16602 -111.85709 -364.65066     (-296.337,-257.852) (-68.314,-180.171) (-8.534,-56.747) 26.4189
5    -126.84641  64.93289 -76.05758 -323.57485 -112.66523 -361.21128     (-296.278,-258.642) (-64.933,-177.598) (-11.125,-61.914) 33.5959
6    -128.63251  61.55209 -75.26794 -320.98369 -113.47337 -357.77191     (-296.220,-259.432) (-61.552,-175.025) (-13.716,-67.080) 40.7871
7    -130.41862  58.17128 -74.47830 -318.39253 -114.28151 -354.33253     (-296.161,-260.221) (-58.171,-172.453) (-16.307,-72.247) 47.9861
8    -132.20472  54.79048 -73.68865 -315.80137 -115.08965 -350.89316     (-296.103,-261.011) (-54.790,-169.880) (-18.898,-77.414) 55.1898
9    -133.99082  51.40968 -72.89901 -313.21021 -115.89779 -347.45379     (-296.044,-261.801) (-51.410,-167.307) (-21.489,-82.581) 62.3966
10    -135.77693  48.02887 -72.10937 -310.61905 -116.70592 -344.01441     (-295.986,-262.590) (-48.029,-164.735) (-24.080,-87.748) 69.6055
11    -137.56303  44.64807 -71.31972 -308.02789 -117.51406 -340.57504     (-295.927,-263.380) (-44.648,-162.162) (-26.672,-92.915) 76.816
12    -139.34913  41.26727 -70.53008 -305.43673 -118.32220 -337.13566     (-295.868,-264.169) (-41.267,-159.589) (-29.263,-98.082) 84.0276
13    -141.13524  37.88646 -69.74044 -302.84557 -119.13034 -333.69629     (-295.810,-264.959) (-37.886,-157.017) (-31.854,-103.249) 91.2401
14    -142.92134  34.50566 -68.95079 -300.25441 -119.93848 -330.25691     (-295.751,-265.749) (-34.506,-154.444) (-34.445,-108.416) 98.4532
15    -144.70744  31.12486 -68.16115 -297.66325 -120.74662 -326.81754     (-295.693,-266.538) (-31.125,-151.871) (-37.036,-113.583) 105.667
16    -146.49355  27.74405 -67.37151 -295.07209 -121.55476 -323.37816     (-295.634,-267.328) (-27.744,-149.299) (-39.627,-118.749) 112.881
17    -148.27965  24.36325 -66.58186 -292.48093 -122.36290 -319.93879     (-295.576,-268.118) (-24.363,-146.726) (-42.219,-123.916) 120.096
18    -150.06575  20.98245 -65.79222 -289.88977 -123.17104 -316.49942     (-295.517,-268.907) (-20.982,-144.153) (-44.810,-129.083) 127.31
19    -151.85186  17.60164 -65.00258 -287.29861 -123.97918 -313.06004     (-295.458,-269.697) (-17.602,-141.581) (-47.401,-134.250) 124.215
20    -153.63796  14.22084 -64.21293 -284.70745 -124.78732 -309.62067     (-295.400,-270.487) (-14.221,-139.008) (-49.992,-139.417) 118.795
21    -155.42406  10.84004 -63.42329 -282.11629 -125.59546 -306.18129     (-295.341,-271.276) (-10.840,-136.435) (-52.583,-144.584) 113.575
22    -157.21017   7.45923 -62.63365 -279.52513 -126.40360 -302.74192     (-295.283,-272.066) (-7.459,-133.863) (-55.174,-149.751) 108.584
23    -158.99627   4.07843 -61.84400 -276.93397 -127.21174 -299.30254     (-295.224,-272.856) (-4.078,-131.290) (-57.766,-154.918) 103.855
24    -160.78237   0.69763 -61.05436 -274.34281 -128.01988 -295.86317     (-295.166,-273.645) (-0.698,-128.718) (-60.357,-160.085) 99.4254
25    -162.56848  -2.68318 -60.26472 -271.75165 -128.82802 -292.42380     (-162.568,-271.752) (-2.683,-128.828) (-60.265,-292.424) 98.4778
26    -164.35458  -6.06398 -59.47507 -269.16049 -129.63615 -288.98442     (-164.355,-269.160) (-6.064,-129.636) (-59.475,-288.984) 98.6973
27    -166.14068  -9.44479 -58.68543 -266.56933 -130.44429 -285.54505     (-166.141,-266.569) (-9.445,-130.444) (-58.685,-285.545) 99.2638
28    -167.92679 -12.82559 -57.89579 -263.97817 -131.25243 -282.10567     (-167.927,-263.978) (-12.826,-131.252) (-57.896,-282.106) 100.172
29    -169.71289 -16.20639 -57.10614 -261.38701 -132.06057 -278.66630     (-169.713,-261.387) (-16.206,-132.061) (-57.106,-278.666) 101.411
30    -171.49900 -19.58720 -56.31650 -258.79585 -132.86871 -275.22692     (-171.499,-258.796) (-19.587,-132.869) (-56.316,-275.227) 102.971
31    -173.28510 -22.96800 -55.52686 -256.20469 -133.67685 -271.78755     (-173.285,-256.205) (-22.968,-133.677) (-55.527,-271.788) 104.837
32    -175.07120 -26.34880 -54.73721 -253.61353 -134.48499 -268.34817     (-175.071,-253.614) (-26.349,-134.485) (-54.737,-268.348) 106.992
33    -176.85731 -29.72961 -53.94757 -251.02237 -135.29313 -264.90880     (-176.857,-251.022) (-29.730,-135.293) (-53.948,-264.909) 109.42
34    -178.64341 -33.11041 -53.15793 -248.43121 -136.10127 -261.46943     (-178.643,-248.431) (-33.110,-136.101) (-53.158,-261.469) 112.103
35    -180.42951 -36.49121 -52.36828 -245.84005 -136.90941 -258.03005     (-180.430,-245.840) (-36.491,-136.909) (-52.368,-258.030) 115.023
36    -182.21562 -39.87202 -51.57864 -243.24889 -137.71755 -254.59068     (-182.216,-243.249) (-39.872,-137.718) (-51.579,-254.591) 118.162
37    -184.00172 -43.25282 -50.78900 -240.65773 -138.52569 -251.15130     (-184.002,-240.658) (-43.253,-138.526) (-50.789,-251.151) 121.504
38    -185.78782 -46.63362 -49.99935 -238.06657 -139.33383 -247.71193     (-185.788,-238.067) (-46.634,-139.334) (-49.999,-247.712) 125.032
39    -187.57393 -50.01443 -49.20971 -235.47541 -140.14197 -244.27255     (-187.574,-235.475) (-50.014,-140.142) (-49.210,-244.273) 128.731
40    -189.36003 -53.39523 -48.42007 -232.88425 -140.95011 -240.83318     (-189.360,-232.884) (-53.395,-140.950) (-48.420,-240.833) 132.587
41    -191.14613 -56.77603 -47.63042 -230.29309 -141.75825 -237.39381     (-191.146,-230.293) (-56.776,-141.758) (-47.630,-237.394) 136.586
42    -192.93224 -60.15684 -46.84078 -227.70193 -142.56638 -233.95443     (-192.932,-227.702) (-60.157,-142.566) (-46.841,-233.954) 140.717
43    -194.71834 -63.53764 -46.05114 -225.11077 -143.37452 -230.51506     (-194.718,-225.111) (-63.538,-143.375) (-46.051,-230.515) 144.967
44    -196.50444 -66.91844 -45.26149 -222.51961 -144.18266 -227.07568     (-196.504,-222.520) (-66.918,-144.183) (-45.261,-227.076) 149.327
45    -198.29055 -70.29925 -44.47185 -219.92845 -144.99080 -223.63631     (-198.291,-219.928) (-70.299,-144.991) (-44.472,-223.636) 153.787
46    -200.07665 -73.68005 -43.68221 -217.33729 -145.79894 -220.19693     (-200.077,-217.337) (-73.680,-145.799) (-43.682,-220.197) 158.34
47    -201.86275 -77.06085 -42.89256 -214.74613 -146.60708 -216.75756     (-201.863,-214.746) (-77.061,-146.607) (-42.893,-216.758) 162.976
48    -203.64886 -80.44166 -42.10292 -212.15497 -147.41522 -213.31819     (-203.649,-212.155) (-80.442,-147.415) (-42.103,-213.318) 167.69
49    -205.43496 -83.82246 -41.31328 -209.56381 -148.22336 -209.87881     (-205.435,-209.564) (-83.822,-148.223) (-41.313,-209.879) 172.474
50    -207.22106 -87.20327 -40.52363 -206.97265 -149.03150 -206.43944     (-207.221,-206.973) (-87.203,-149.031) (-40.524,-206.439) 177.198
51    -209.00717 -90.58407 -39.73399 -204.38149 -149.83964 -203.00006     (-209.007,-204.381) (-90.584,-149.840) (-39.734,-203.000) 180.548
52    -210.79327 -93.96487 -38.94435 -201.79033 -150.64778 -199.56069     (-210.793,-201.790) (-93.965,-150.648) (-38.944,-199.561) 182.613
53    -212.57938 -97.34568 -38.15470 -199.19917 -151.45592 -196.12131     (-212.579,-199.199) (-97.346,-151.456) (-38.155,-196.121) 184.842
