PointDistanceFollower   Sep  9 2018   mode =  Single Point 
Fol_2018-09-13.17_19_40.0_7.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist NCDist  distance between 
Compute times (msec)     S6Dist   258   NCDist   988
PointDistanceFollower  Sep  9 2018  mode = Single Point
Fol_2018-09-13.17_19_40.0_7.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist distance between
37      0.47962  -9.72616   0.33479 -12.94169 -21.44324 -14.81494     (-19.814,-9.726) (-12.272,-0.480) (-0.335,-13.856)      12.1019  15.2765  
38      0.28464  -9.78836   0.30800 -12.85271 -21.22147 -14.65950     (-20.036,-9.788) (-12.237,-0.285) (-0.308,-14.090)      12.271  15.6211  
39      0.08966  -9.85056   0.28122 -12.76372 -20.99971 -14.50407     (-20.258,-9.851) (-12.201,-0.090) (-0.281,-14.325)      12.3747  15.7832  
40     -0.10532  -9.91276   0.25444 -12.67474 -20.77795 -14.34864     (-0.149,-9.807) (-12.271,-0.105) (-20.374,-14.454)      12.3432  15.955  
41     -0.30030  -9.97496   0.22766 -12.58576 -20.55618 -14.19321     (-0.073,-9.747) (-12.358,-20.329) (-0.228,-14.421)      12.2236  16.1362  
42     -0.49528 -10.03716   0.20087 -12.49678 -20.33442 -14.03778     (-0.294,-9.836) (-12.296,-20.134) (-0.201,-14.239)      12.0812  16.0586  
43     -0.69026 -10.09936   0.17409 -12.40779 -20.11266 -13.88234     (-0.516,-9.925) (-12.234,-19.939) (-0.174,-14.056)      11.9483  15.7281  
44     -0.88524 -10.16156   0.14731 -12.31881 -19.89089 -13.72691     (-0.738,-10.014) (-12.172,-19.744) (-0.147,-13.874)      11.8251  15.4043  
45     -1.08022 -10.22376   0.12052 -12.22983 -19.66913 -13.57148     (-0.960,-10.103) (-12.109,-19.549) (-0.121,-13.692)      11.712  15.0875  
46     -1.27520 -10.28596   0.09374 -12.14085 -19.44737 -13.41605     (-1.181,-10.192) (-12.047,-19.354) (-0.094,-13.510)      11.6092  14.7782  
47     -1.47018 -10.34815   0.06696 -12.05187 -19.22560 -13.26061     (-1.403,-10.281) (-11.985,-19.159) (-0.067,-13.328)      11.5171  14.4768  
48     -1.66516 -10.41035   0.04017 -11.96288 -19.00384 -13.10518     (-1.625,-10.370) (-11.923,-18.964) (-0.040,-13.145)      11.4359  14.1836  
49     -1.86014 -10.47255   0.01339 -11.87390 -18.78208 -12.94975     (-1.847,-10.459) (-11.861,-18.769) (-0.013,-12.963)      11.319  13.8991  
50     -2.05512 -10.53475  -0.01339 -11.78492 -18.56031 -12.79432     (-2.055,-11.785) (-10.535,-18.560) (-0.013,-12.794)      11.0201  13.6453  
51     -2.25010 -10.59695  -0.04017 -11.69594 -18.33855 -12.63888     (-2.250,-11.696) (-10.597,-18.339) (-0.040,-12.639)      10.7307  13.4226  
52     -2.44508 -10.65915  -0.06696 -11.60695 -18.11678 -12.48345     (-2.445,-11.607) (-10.659,-18.117) (-0.067,-12.483)      10.4452  13.2099  
53     -2.64006 -10.72135  -0.09374 -11.51797 -17.89502 -12.32802     (-2.640,-11.518) (-10.721,-17.895) (-0.094,-12.328)      10.1638  13.0076  
54     -2.83504 -10.78355  -0.12052 -11.42899 -17.67326 -12.17259     (-2.835,-11.429) (-10.784,-17.673) (-0.121,-12.173)      9.88703  12.8162  
55     -3.03002 -10.84575  -0.14731 -11.34001 -17.45149 -12.01715     (-3.030,-11.340) (-10.846,-17.451) (-0.147,-12.017)      9.61512  12.6362  
56     -3.22500 -10.90795  -0.17409 -11.25102 -17.22973 -11.86172     (-3.225,-11.251) (-10.908,-17.230) (-0.174,-11.862)      9.34855  12.4681  
57     -3.41999 -10.97015  -0.20087 -11.16204 -17.00797 -11.70629     (-3.420,-11.162) (-10.970,-17.008) (-0.201,-11.706)      9.0878  12.3124  
58     -3.61497 -11.03235  -0.22766 -11.07306 -16.78620 -11.55086     (-3.615,-11.073) (-11.032,-16.786) (-0.228,-11.551)      8.83337  12.1695  
59     -3.80995 -11.09455  -0.25444 -10.98408 -16.56444 -11.39542     (-3.810,-10.984) (-11.095,-16.564) (-0.254,-11.395)      8.58583  12.04  
60     -4.00493 -11.15675  -0.28122 -10.89510 -16.34268 -11.23999     (-4.005,-10.895) (-11.157,-16.343) (-0.281,-11.240)      8.31233  11.9243  
61     -4.19991 -11.21895  -0.30800 -10.80611 -16.12091 -11.08456     (-4.200,-10.806) (-11.219,-16.121) (-0.308,-11.085)      8.01477  11.7411  
62     -4.39489 -11.28114  -0.33479 -10.71713 -15.89915 -10.92913     (-4.395,-10.717) (-11.281,-15.899) (-0.335,-10.929)      7.72178  11.5504  
63     -4.58987 -11.34334  -0.36157 -10.62815 -15.67739 -10.77370     (-4.590,-10.628) (-11.343,-15.677) (-0.362,-10.774)      7.43392  11.3674  
64     -4.78485 -11.40554  -0.38835 -10.53917 -15.45562 -10.61826     (-4.785,-10.539) (-11.406,-15.456) (-0.388,-10.618)      7.15178  11.139  
65     -4.97983 -11.46774  -0.41514 -10.45018 -15.23386 -10.46283     (-4.980,-10.450) (-11.468,-15.234) (-0.415,-10.463)      6.87609  10.9185  
66     -5.17481 -11.52994  -0.44192 -10.36120 -15.01210 -10.30740     (-5.175,-10.361) (-11.530,-15.012) (-0.442,-10.307)      6.60764  10.7097  
67     -5.36979 -11.59214  -0.46870 -10.27222 -14.79033 -10.15197     (-5.370,-10.272) (-11.592,-14.790) (-0.469,-10.152)      6.34736  10.5133  
68     -5.56477 -11.65434  -0.49548 -10.18324 -14.56857  -9.99653     (-5.565,-10.183) (-11.654,-14.569) (-0.495,-9.997)      6.09629  10.33  
69     -5.75975 -11.71654  -0.52227 -10.09425 -14.34681  -9.84110     (-5.760,-10.094) (-11.717,-14.347) (-0.522,-9.841)      5.85561  10.1605  
70     -5.95473 -11.77874  -0.54905 -10.00527 -14.12504  -9.68567     (-5.955,-10.005) (-11.779,-14.125) (-0.549,-9.686)      5.62667  10.0056  
71     -6.14971 -11.84094  -0.57583  -9.91629 -13.90328  -9.53024     (-6.150,-9.916) (-11.841,-13.903) (-0.576,-9.530)      5.41094  9.86603  
72     -6.34469 -11.90314  -0.60262  -9.82731 -13.68152  -9.37480     (-6.345,-9.827) (-11.903,-13.682) (-0.603,-9.375)      5.21008  9.74235  
73     -6.53967 -11.96534  -0.62940  -9.73833 -13.45975  -9.21937     (-6.540,-9.738) (-11.965,-13.460) (-0.629,-9.219)      5.02586  9.63524  
74     -6.73465 -12.02754  -0.65618  -9.64934 -13.23799  -9.06394     (-6.735,-9.649) (-12.028,-13.238) (-0.656,-9.064)      4.86018  9.54528  
75     -6.92963 -12.08974  -0.68297  -9.56036 -13.01623  -8.90851     (-6.930,-9.560) (-12.090,-13.016) (-0.683,-8.909)      4.71499  9.47296  
76     -7.12461 -12.15194  -0.70975  -9.47138 -12.79446  -8.75307     (-7.125,-9.471) (-12.152,-12.794) (-0.710,-8.753)      4.59224  9.41869  
77     -7.31959 -12.21413  -0.73653  -9.38240 -12.57270  -8.59764     (-7.320,-9.382) (-12.214,-12.573) (-0.737,-8.598)      4.49376  9.38281  
78     -7.51458 -12.27633  -0.76331  -9.29341 -12.35094  -8.44221     (-7.515,-9.293) (-12.276,-12.351) (-0.763,-8.442)      4.42118  9.26988  
79     -7.70956 -12.33853  -0.79010  -9.20443 -12.12917  -8.28678     (-7.710,-9.204) (-12.339,-12.129) (-0.790,-8.287)      4.37331  9.03029  
80     -7.90454 -12.40073  -0.81688  -9.11545 -11.90741  -8.13134     (-7.905,-9.115) (-12.401,-11.907) (-0.817,-8.131)      4.20721  8.80916  
81     -8.09952 -12.46293  -0.84366  -9.02647 -11.68564  -7.97591     (-8.100,-9.026) (-12.463,-11.686) (-0.844,-7.976)      4.06487  8.60796  
82     -8.29450 -12.52513  -0.87045  -8.93748 -11.46388  -7.82048     (-8.294,-8.937) (-12.525,-11.464) (-0.870,-7.820)      3.94886  8.42816  
83     -8.48948 -12.58733  -0.89723  -8.84850 -11.24212  -7.66505     (-8.489,-8.849) (-12.587,-11.242) (-0.897,-7.665)      3.86154  8.2712  
84     -8.68446 -12.64953  -0.92401  -8.75952 -11.02035  -7.50962     (-8.684,-8.760) (-12.650,-11.020) (-0.924,-7.510)      3.80489  8.13843  
85     -8.87944 -12.71173  -0.95080  -8.67054 -10.79859  -7.35418     (-8.879,-8.671) (-12.712,-10.799) (-0.951,-7.354)      3.78029  8.03109  
86     -9.07442 -12.77393  -0.97758  -8.58156 -10.57683  -7.19875     (-9.074,-8.582) (-12.774,-10.577) (-0.978,-7.199)      3.78837  7.95024  
87     -9.26940 -12.83613  -1.00436  -8.49257 -10.35506  -7.04332     (-9.269,-8.493) (-12.836,-10.355) (-1.004,-7.043)      3.82892  7.89673  
88     -9.46438 -12.89833  -1.03114  -8.40359 -10.13330  -6.88789     (-9.464,-8.404) (-12.898,-10.133) (-1.031,-6.888)      3.87131  7.36736  
89     -9.65936 -12.96053  -1.05793  -8.31461  -9.91154  -6.73245     (-9.659,-8.315) (-12.961,-9.912) (-1.058,-6.732)      3.51937  6.6976  
90     -9.85434 -13.02273  -1.08471  -8.22563  -9.68977  -6.57702     (-9.854,-8.226) (-13.023,-9.690) (-1.085,-6.577)      3.16743  6.02784  
91    -10.04932 -13.08493  -1.11149  -8.13664  -9.46801  -6.42159     (-10.049,-8.137) (-13.085,-9.468) (-1.111,-6.422)      2.8155  5.35808  
92    -10.24430 -13.14712  -1.13828  -8.04766  -9.24625  -6.26616     (-10.244,-8.048) (-13.147,-9.246) (-1.138,-6.266)      2.46356  4.68832  
93    -10.43928 -13.20932  -1.16506  -7.95868  -9.02448  -6.11072     (-10.439,-7.959) (-13.209,-9.024) (-1.165,-6.111)      2.11162  4.01856  
94    -10.63426 -13.27152  -1.19184  -7.86970  -8.80272  -5.95529     (-10.634,-7.870) (-13.272,-8.803) (-1.192,-5.955)      1.75968  3.3488  
95    -10.82924 -13.33372  -1.21862  -7.78071  -8.58096  -5.79986     (-10.829,-7.781) (-13.334,-8.581) (-1.219,-5.800)      1.40775  2.67904  
96    -11.02422 -13.39592  -1.24541  -7.69173  -8.35919  -5.64443     (-11.024,-7.692) (-13.396,-8.359) (-1.245,-5.644)      1.05581  2.00928  
97    -11.21920 -13.45812  -1.27219  -7.60275  -8.13743  -5.48899     (-11.219,-7.603) (-13.458,-8.137) (-1.272,-5.489)      0.703874  1.33952  
98    -11.41419 -13.52032  -1.29897  -7.51377  -7.91567  -5.33356     (-11.414,-7.514) (-13.520,-7.916) (-1.299,-5.334)      0.351937  0.66976  
99    -11.60917 -13.58252  -1.32576  -7.42479  -7.69390  -5.17813     (-11.609,-7.425) (-13.583,-7.694) (-1.326,-5.178)      0  0  
