Fol_2018-05-06.16_56_09.2_15.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0     13.43276 -59.76987  -0.18227 -13.69335 -61.29845 -15.83417     (-48.739,-3.027) (-23.766,-2.401) (-11.031,-10.849) 0  0  2.6974e-06  9.53674e-07  
1     12.80476 -59.40619  -0.29186 -13.58561 -60.70353 -15.78381     (-49.580,-4.344) (-25.852,-2.979) (-9.826,-9.534) 3.21114  4.39285  5.58733  3.21114  
2     12.17677 -59.04252  -0.40145 -13.47786 -60.10861 -15.73346     (-50.422,-5.661) (-27.938,-3.557) (-8.620,-8.219) 6.42227  8.7857  11.1747  6.42227  
3     11.54878 -58.67884  -0.51103 -13.37012 -59.51369 -15.68311     (-51.264,-6.978) (-30.024,-4.134) (-7.414,-6.903) 9.63341  13.1785  16.762  9.63341  
4     10.92079 -58.31517  -0.62062 -13.26237 -58.91877 -15.63275     (-52.106,-8.295) (-32.110,-4.712) (-6.209,-5.588) 12.8445  17.5257  22.3493  12.8445  
5     10.29279 -57.95150  -0.73021 -13.15463 -58.32385 -15.58240     (-52.948,-9.612) (-34.195,-5.290) (-5.003,-4.273) 15.0023  19.3353  27.9366  16.0557  
6      9.66480 -57.58782  -0.83979 -13.04688 -57.72893 -15.53204     (-53.790,-10.929) (-36.281,-5.867) (-3.798,-2.958) 17.4029  20.4658  33.2879  19.2668  
7      9.03681 -57.22415  -0.94938 -12.93913 -57.13401 -15.48169     (-54.632,-12.246) (-38.367,-6.445) (-2.592,-1.643) 20.0318  21.7904  38.8371  22.478  
8      8.40882 -56.86047  -1.05897 -12.83139 -56.53909 -15.43133     (-55.474,-13.563) (-40.453,-7.023) (-1.386,-0.327) 22.8104  23.2761  43.2909  25.6891  
9      7.78082 -56.49680  -1.16855 -12.72364 -55.94417 -15.38098     (-41.551,-13.892) (-55.328,-6.612) (-1.169,-0.988) 23.4876  24.894  45.272  26.4413  
10      7.15283 -56.13313  -1.27814 -12.61590 -55.34925 -15.33062     (-42.322,-13.894) (-54.855,-5.875) (-1.278,-2.303) 23.5613  25.7236  46.7994  26.2692  
11      6.52484 -55.76945  -1.38773 -12.50815 -54.75433 -15.28027     (-43.092,-13.896) (-54.382,-5.137) (-1.388,-3.618) 23.7658  26.3545  47.5558  26.2147  
12      5.89685 -55.40578  -1.49731 -12.40041 -54.15941 -15.22991     (-43.863,-13.898) (-53.908,-4.400) (-1.497,-4.934) 24.0976  26.7515  48.5556  26.2784  
13      5.26885 -55.04210  -1.60690 -12.29266 -53.56450 -15.17956     (-44.634,-13.900) (-53.435,-3.662) (-1.607,-6.249) 24.5517  27.3442  49.7815  26.4596  
14      4.64086 -54.67843  -1.71649 -12.18492 -52.96958 -15.12921     (-45.404,-13.901) (-52.962,-2.924) (-1.716,-7.564) 25.1214  28.1202  51.2145  26.7557  
15      4.01287 -54.31476  -1.82607 -12.07717 -52.37466 -15.07885     (-46.175,-13.903) (-52.489,-2.187) (-1.826,-8.879) 25.799  29.0649  52.8309  27.1631  
16      3.38487 -53.95108  -1.93566 -11.96943 -51.77974 -15.02850     (-46.946,-13.905) (-52.015,-1.449) (-1.936,-10.194) 26.5764  30.1625  54.3193  27.6769  
17      2.75688 -53.58741  -2.04525 -11.86168 -51.18482 -14.97814     (-47.716,-13.907) (-51.542,-0.712) (-2.045,-11.510) 27.4449  31.3968  55.9141  28.2912  
18      2.12889 -53.22373  -2.15483 -11.75393 -50.58990 -14.92779     (-2.129,-13.883) (-51.095,-0.026) (-48.461,-12.799) 28.3723  32.7524  57.2318  28.6524  
19      1.50090 -52.86006  -2.26442 -11.64619 -49.99498 -14.87743     (-1.501,-13.147) (-51.359,-0.764) (-48.494,-13.377) 28.7098  34.215  57.8116  28.9832  
20      0.87290 -52.49639  -2.37401 -11.53844 -49.40006 -14.82708     (-0.873,-12.411) (-51.623,-1.501) (-48.527,-13.954) 28.9408  35.144  58.4523  29.3745  
21      0.24491 -52.13271  -2.48359 -11.43070 -48.80514 -14.77672     (-0.245,-11.676) (-51.888,-2.239) (-48.560,-14.532) 29.1704  35.6539  59.152  29.8239  
22     -0.38308 -51.76904  -2.59318 -11.32295 -48.21022 -14.72637     (-0.383,-11.323) (-51.769,-48.210) (-2.593,-14.726) 25.0702  36.2316  59.1873  47.3511  
23     -1.01107 -51.40536  -2.70277 -11.21521 -47.61530 -14.67601     (-1.011,-11.215) (-51.405,-47.615) (-2.703,-14.676) 24.5166  36.8738  58.8007  46.6349  
24     -1.63907 -51.04169  -2.81235 -11.10746 -47.02038 -14.62566     (-1.639,-11.107) (-51.042,-47.020) (-2.812,-14.626) 23.9879  37.5772  58.4278  45.9272  
25     -2.26706 -50.67802  -2.92194 -10.99972 -46.42546 -14.57531     (-2.267,-11.000) (-50.678,-46.425) (-2.922,-14.575) 23.486  38.3385  57.6044  45.2285  
