Fol_2018-05-06.16_55_06.2_13.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      7.83017 -57.63906   2.90025 -14.60952 -57.97971  -8.82605     (-50.805,-1.975) (-29.685,-0.996) (-6.834,-9.735) 0  0  0  0  
1      7.23790 -57.35670   2.80192 -14.48189 -57.40412  -8.83523     (-51.716,-3.237) (-31.684,-1.597) (-5.641,-8.442) 3.14301  4.26993  5.49883  3.14301  
2      6.64563 -57.07433   2.70359 -14.35427 -56.82853  -8.84440     (-52.627,-4.500) (-33.683,-2.199) (-4.447,-7.150) 6.28603  8.53987  10.9977  6.28603  
3      6.05335 -56.79196   2.60526 -14.22665 -56.25293  -8.85358     (-53.539,-5.763) (-35.683,-2.800) (-3.253,-5.858) 9.42904  12.8098  16.4965  9.42904  
4      5.46108 -56.50959   2.50693 -14.09902 -55.67734  -8.86276     (-54.450,-7.026) (-37.682,-3.402) (-2.059,-4.566) 11.5515  15.8576  21.1047  12.5721  
5      4.86881 -56.22722   2.40860 -13.97140 -55.10174  -8.87193     (-55.362,-8.289) (-39.681,-4.003) (-0.866,-3.274) 13.6048  17.2981  25.7104  15.7151  
6      4.27654 -55.94485   2.31028 -13.84377 -54.52615  -8.88111     (-41.353,-55.945) (-9.223,-4.277) (-2.310,-0.328) 15.2665  18.4766  30.9975  45.8684  
7      3.68426 -55.66249   2.21195 -13.71615 -53.95055  -8.89029     (-42.158,-55.662) (-9.292,-3.684) (-2.212,-1.522) 15.1514  19.1701  33.4911  46.327  
8      3.09199 -55.38012   2.11362 -13.58853 -53.37496  -8.89946     (-42.964,-55.380) (-9.361,-3.092) (-2.114,-2.715) 15.2021  20.0998  34.5905  46.8349  
9      2.49972 -55.09775   2.01529 -13.46090 -52.79937  -8.90864     (-43.769,-55.098) (-9.430,-2.500) (-2.015,-3.909) 15.4169  21.2347  35.8072  47.3905  
10      1.90745 -54.81538   1.91696 -13.33328 -52.22377  -8.91782     (-44.575,-54.815) (-9.499,-1.907) (-1.917,-5.103) 15.789  22.5438  37.0896  47.9922  
11      1.31518 -54.53301   1.81863 -13.20565 -51.64818  -8.92699     (-45.381,-54.533) (-9.568,-1.315) (-1.819,-6.297) 16.3078  23.53  38.4881  48.6383  
12      0.72290 -54.25064   1.72030 -13.07803 -51.07258  -8.93617     (-46.186,-54.251) (-9.637,-0.723) (-1.720,-7.490) 16.9598  24.5024  39.9902  49.3269  
13      0.13063 -53.96828   1.62198 -12.95040 -50.49699  -8.94535     (-46.992,-53.968) (-9.706,-0.131) (-1.622,-8.684) 17.7303  24.8271  41.5842  50.0565  
14     -0.46164 -53.68591   1.52365 -12.82278 -49.92139  -8.95452     (-1.062,-53.224) (-10.237,-0.462) (-47.336,-9.416) 20.3386  25.3169  42.456  20.7368  
