Fol_2018-05-05.09_52_30.1_20.txt     Output is probe cell, reduced cell, NCDist distance between
0    -45.41917 114.61989 -53.93689 -299.02951 -166.02374 -308.48720     (-45.419,-115.209) (-124.667,-211.443) (-8.518,-69.201) 0
1    -45.41917 112.20286 -53.47811 -297.17274 -166.48252 -306.07016     (-45.419,-118.186) (-127.084,-211.902) (-8.059,-66.784) 4.57923
2    -45.41917 109.78582 -53.01933 -295.31596 -166.94130 -303.65313     (-45.419,-121.163) (-129.501,-212.360) (-7.600,-64.367) 9.15846
3    -45.41917 107.36879 -52.56055 -293.45919 -167.40008 -301.23609     (-45.419,-124.141) (-131.918,-212.819) (-7.141,-61.950) 13.7377
4    -45.41917 104.95175 -52.10177 -291.60242 -167.85886 -298.81906     (-45.419,-127.118) (-134.335,-213.278) (-6.683,-59.533) 18.3169
5    -45.41917 102.53472 -51.64299 -289.74564 -168.31764 -296.40202     (-45.419,-130.095) (-136.752,-213.737) (-6.224,-57.116) 22.8962
6    -45.41917 100.11768 -51.18421 -287.88887 -168.77642 -293.98499     (-45.419,-133.073) (-139.169,-214.196) (-5.765,-54.699) 27.4754
7    -45.41917  97.70065 -50.72543 -286.03209 -169.23520 -291.56795     (-45.419,-136.050) (-141.586,-214.654) (-5.306,-52.281) 32.0546
8    -45.41917  95.28361 -50.26665 -284.17532 -169.69398 -289.15092     (-45.419,-139.027) (-144.003,-215.113) (-4.847,-49.864) 36.6339
9    -45.41917  92.86658 -49.80787 -282.31855 -170.15276 -286.73388     (-45.419,-142.005) (-146.420,-215.572) (-4.389,-47.447) 41.2131
10    -45.41917  90.44954 -49.34909 -280.46177 -170.61154 -284.31685     (-45.419,-144.982) (-148.837,-216.031) (-3.930,-45.030) 45.7923
11    -45.41917  88.03251 -48.89031 -278.60500 -171.07032 -281.89981     (-45.419,-147.959) (-151.254,-216.489) (-3.471,-42.613) 50.3716
12    -45.41917  85.61547 -48.43153 -276.74823 -171.52910 -279.48278     (-45.419,-150.936) (-153.671,-216.948) (-3.012,-40.196) 54.9508
13    -45.41917  83.19844 -47.97275 -274.89145 -171.98788 -277.06574     (-45.419,-153.914) (-156.088,-217.407) (-2.554,-37.779) 59.53
14    -45.41917  80.78140 -47.51397 -273.03468 -172.44666 -274.64871     (-45.419,-156.891) (-158.505,-217.866) (-2.095,-35.362) 64.1093
15    -45.41917  78.36437 -47.05520 -271.17790 -172.90544 -272.23167     (-45.419,-159.868) (-160.922,-218.325) (-1.636,-32.945) 68.6885
16    -45.41917  75.94733 -46.59642 -269.32113 -173.36422 -269.81464     (-45.419,-162.846) (-163.339,-218.783) (-1.177,-30.528) 73.2677
17    -45.41917  73.53029 -46.13764 -267.46436 -173.82300 -267.39760     (-45.419,-165.823) (-165.756,-219.242) (-0.718,-28.111) 77.8469
18    -45.41917  71.11326 -45.67886 -265.60758 -174.28177 -264.98057     (-45.419,-168.800) (-168.173,-219.701) (-0.260,-25.694) 82.4079
19    -45.41917  68.69622 -45.22008 -263.75081 -174.74055 -262.56353     (-170.391,-45.220) (-171.578,-219.961) (-23.476,-0.199) 86.4773
20    -45.41917  66.27919 -44.76130 -261.89403 -175.19933 -260.14649     (-172.349,-44.761) (-174.097,-219.961) (-21.518,-0.658) 90.0934
21    -45.41917  63.86215 -44.30252 -260.03726 -175.65811 -257.72946     (-174.308,-44.303) (-176.615,-219.961) (-19.560,-1.117) 93.7239
22    -45.41917  61.44512 -43.84374 -258.18049 -176.11689 -255.31242     (-176.266,-43.844) (-179.134,-219.961) (-17.601,-1.575) 97.3672
23    -45.41917  59.02808 -43.38496 -256.32371 -176.57567 -252.89539     (-178.224,-43.385) (-181.653,-219.961) (-15.643,-2.034) 101.022
24    -45.41917  56.61105 -42.92618 -254.46694 -177.03445 -250.47835     (-180.182,-42.926) (-184.171,-219.961) (-13.685,-2.493) 104.687
25    -45.41917  54.19401 -42.46740 -252.61016 -177.49323 -248.06132     (-182.141,-42.467) (-186.690,-219.961) (-11.727,-2.952) 108.362
26    -45.41917  51.77698 -42.00862 -250.75339 -177.95201 -245.64428     (-184.099,-42.009) (-189.208,-219.961) (-9.768,-3.411) 112.044
27    -45.41917  49.35994 -41.54984 -248.89662 -178.41079 -243.22725     (-186.057,-41.550) (-191.727,-219.961) (-7.810,-3.869) 115.734
28    -45.41917  46.94291 -41.09106 -247.03984 -178.86957 -240.81021     (-188.015,-41.091) (-194.245,-219.961) (-5.852,-4.328) 119.431
29    -45.41917  44.52587 -40.63228 -245.18307 -179.32835 -238.39318     (-189.974,-40.632) (-196.764,-219.961) (-3.894,-4.787) 123.135
30    -45.41917  42.10884 -40.17350 -243.32630 -179.78713 -235.97614     (-191.932,-40.174) (-199.282,-219.961) (-1.935,-5.246) 125.513
31    -45.41917  39.69180 -39.71472 -241.46952 -180.24591 -233.55911     (-193.867,-201.778) (-39.692,-219.938) (-0.023,-5.727) 127.828
32    -45.41917  37.27477 -39.25594 -239.61275 -180.70469 -231.14207     (-193.867,-202.338) (-37.275,-217.979) (-1.981,-8.144) 127.15
33    -45.41917  34.85773 -38.79716 -237.75597 -181.16347 -228.72504     (-193.867,-202.898) (-34.858,-216.021) (-3.939,-10.561) 126.624
34    -45.41917  32.44070 -38.33838 -235.89920 -181.62225 -226.30800     (-193.867,-203.459) (-32.441,-214.063) (-5.898,-12.978) 126.174
35    -45.41917  30.02366 -37.87960 -234.04243 -182.08103 -223.89097     (-193.867,-204.019) (-30.024,-212.105) (-7.856,-15.396) 125.733
36    -45.41917  27.60663 -37.42083 -232.18565 -182.53981 -221.47393     (-193.867,-204.579) (-27.607,-210.146) (-9.814,-17.813) 125.448
37    -45.41917  25.18959 -36.96205 -230.32888 -182.99859 -219.05690     (-193.867,-205.139) (-25.190,-208.188) (-11.772,-20.230) 125.319
38    -45.41917  22.77256 -36.50327 -228.47210 -183.45736 -216.63986     (-193.867,-205.700) (-22.773,-206.230) (-13.731,-22.647) 125.347
39    -45.41917  20.35552 -36.04449 -226.61533 -183.91614 -214.22283     (-193.867,-206.260) (-20.356,-204.272) (-15.689,-25.064) 123.998
40    -45.41917  17.93849 -35.58571 -224.75856 -184.37492 -211.80579     (-193.867,-206.820) (-17.938,-202.313) (-17.647,-27.481) 122.378
41    -45.41917  15.52145 -35.12693 -222.90178 -184.83370 -209.38876     (-193.867,-207.380) (-15.521,-200.355) (-19.605,-29.898) 120.899
