Fol_2018-05-05.12_02_06.20_19.txt     Output is probe cell, reduced cell, NCDist distance between
0    -36.24808  -7.38592   6.81802  -0.58279 -18.15353 -11.76291     (-6.296,-0.114) (-0.092,-0.386) (-0.076,-0.142) 0
1    -35.94553  -7.31225   6.74838  -0.57805 -17.97405 -11.64553     (-0.094,-0.348) (-0.009,-0.691) (-0.589,-7.197) 1.10166
2    -35.64299  -7.23857   6.67874  -0.57332 -17.79458 -11.52815     (-6.948,-0.320) (-0.339,-0.693) (-0.953,-0.120) 1.08689
3    -35.34044  -7.16490   6.60910  -0.56858 -17.61511 -11.41077     (-6.689,-0.282) (-0.688,-0.706) (-1.307,-0.137) 1.30237
4    -35.03789  -7.09123   6.53947  -0.56384 -17.43563 -11.29339     (-6.431,-0.244) (-1.037,-0.718) (-1.661,-0.154) 1.68598
5    -34.73535  -7.01755   6.46983  -0.55910 -17.25616 -11.17601     (-6.172,-0.206) (-1.386,-0.730) (-2.015,-0.171) 2.1495
6    -34.43280  -6.94388   6.40019  -0.55436 -17.07669 -11.05863     (-5.914,-0.167) (-1.735,-0.742) (-2.369,-0.188) 2.65136
7    -34.13025  -6.87021   6.33055  -0.54962 -16.89721 -10.94125     (-5.655,-0.129) (-2.084,-0.755) (-2.723,-0.205) 3.17341
8    -33.82771  -6.79653   6.26091  -0.54488 -16.71774 -10.82387     (-5.397,-0.091) (-2.433,-0.767) (-3.077,-0.222) 3.70714
9    -33.52516  -6.72286   6.19127  -0.54014 -16.53827 -10.70649     (-5.138,-0.053) (-2.781,-0.779) (-3.431,-0.239) 4.24814
10    -33.22261  -6.64919   6.12163  -0.53540 -16.35879 -10.58911     (-4.880,-0.015) (-3.130,-0.791) (-3.785,-0.256) 4.79396
11    -32.92007  -6.57551   6.05199  -0.53066 -16.17932 -10.47173     (-4.644,-0.023) (-4.117,-0.781) (-3.457,-0.250) 5.30246
12    -32.61752  -6.50184   5.98236  -0.52592 -15.99985 -10.35435     (-4.424,-0.061) (-4.433,-0.755) (-3.767,-0.229) 5.77538
13    -32.31498  -6.42816   5.91272  -0.52118 -15.82037 -10.23697     (-4.203,-0.099) (-4.749,-0.730) (-4.078,-0.208) 5.73207
14    -32.01243  -6.35449   5.84308  -0.51644 -15.64090 -10.11958     (-3.983,-0.137) (-5.065,-0.704) (-4.389,-0.187) 5.71438
15    -31.70988  -6.28082   5.77344  -0.51170 -15.46143 -10.00220     (-3.762,-0.175) (-5.381,-0.678) (-4.700,-0.166) 5.73494
16    -31.40734  -6.20714   5.70380  -0.50696 -15.28196  -9.88482     (-3.542,-0.213) (-5.697,-0.652) (-5.011,-0.145) 5.7983
17    -31.10479  -6.13347   5.63416  -0.50222 -15.10248  -9.76744     (-3.322,-0.251) (-6.013,-0.627) (-5.322,-0.124) 5.90308
18    -30.80224  -6.05980   5.56452  -0.49748 -14.92301  -9.65006     (-3.101,-0.289) (-6.329,-0.601) (-5.632,-0.103) 6.04713
19    -30.49970  -5.98612   5.49488  -0.49274 -14.74354  -9.53268     (-2.881,-0.327) (-6.645,-0.575) (-5.943,-0.082) 6.22771
