Fol_2018-05-09.10_06_46.1_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      8.50742 -44.39964 -43.56220   3.94027   0.41144  -5.09812     (-5.070,-0.158) (-0.127,-12.703) (-0.462,-0.993) 0  0  6.7435e-07  0  
1      8.37027 -43.95244 -43.12685   3.89888   0.27897  -5.05665     (-0.600,-1.552) (-0.063,-9.828) (-24.371,-0.216) 12.6138  13.3309  30.0687  12.6138  
2      8.23312 -43.50524 -42.69149   3.85748   0.14650  -5.01519     (-0.865,-6.450) (-0.106,-8.925) (-25.241,-0.041) 14.2123  22.6359  37.1749  13.7263  
3      8.09597 -43.05804 -42.25613   3.81608   0.01402  -4.97373     (-0.014,-9.893) (-0.730,-8.152) (-25.980,-0.399) 15.841  27.0499  42.6406  13.7243  
4      7.95882 -42.61084 -41.82077   3.77468  -0.11845  -4.93226     (-0.118,-12.886) (-0.172,-26.377) (-7.485,-0.986) 17.043  27.6314  46.9744  13.7321  
5      7.82167 -42.16363 -41.38541   3.73329  -0.25092  -4.89080     (-0.251,-15.080) (-0.743,-26.746) (-6.818,-0.415) 18.2111  27.601  50.286  13.7422  
6      7.68452 -41.71643 -40.95005   3.69189  -0.38340  -4.84934     (-1.157,-17.118) (-0.227,-26.958) (-6.308,-0.157) 19.4216  28.2132  53.4424  13.735  
7      7.54737 -41.26923 -40.51469   3.65049  -0.51587  -4.80787     (-0.516,-18.530) (-0.212,-26.968) (-6.000,-0.946) 20.25  28.5482  55.5494  13.7392  
8      7.41022 -40.82203 -40.07933   3.60909  -0.64834  -4.76641     (-0.648,-19.715) (-0.651,-27.204) (-5.465,-0.507) 21.1007  28.9001  57.4052  13.7623  
9      7.27307 -40.37483 -39.64397   3.56770  -0.78082  -4.72494     (-0.781,-20.900) (-1.089,-27.440) (-4.931,-0.068) 22.0119  29.1264  59.3104  13.7283  
10      7.13592 -39.92763 -39.20861   3.52630  -0.91329  -4.68348     (-1.157,-21.714) (-0.543,-27.306) (-4.767,-0.371) 22.4822  29.075  60.4401  13.7515  
11      6.99877 -39.48042 -38.77325   3.48490  -1.04576  -4.64202     (-1.157,-22.460) (-0.236,-27.104) (-4.671,-0.809) 22.898  29.0609  61.4455  13.7411  
12      6.86162 -39.03322 -38.33790   3.44351  -1.17824  -4.60055     (-1.178,-23.136) (-0.070,-26.971) (-4.505,-1.087) 23.3169  29.088  62.3699  13.7285  
13      6.72447 -38.58602 -37.90254   3.40211  -1.31071  -4.55909     (-1.311,-23.576) (-0.376,-27.075) (-4.103,-0.781) 23.6647  29.1537  62.961  13.752  
14      6.58732 -38.13882 -37.46718   3.36071  -1.44318  -4.51762     (-1.443,-24.015) (-0.683,-27.179) (-3.701,-0.474) 24.0313  29.2172  63.5669  13.7597  
15      6.45017 -37.69162 -37.03182   3.31931  -1.57566  -4.47616     (-1.576,-24.455) (-0.989,-27.283) (-3.299,-0.168) 24.4158  29.2982  64.1873  13.7359  
16      6.31302 -37.24442 -36.59646   3.27792  -1.70813  -4.43470     (-1.157,-24.757) (-1.570,-27.248) (-3.035,-0.138) 24.6217  29.3669  64.5038  13.7336  
17      6.17587 -36.79722 -36.16110   3.23652  -1.84060  -4.39323     (-1.157,-24.890) (-1.396,-27.046) (-2.939,-0.445) 24.5952  29.3277  64.4415  13.7573  
18      6.03872 -36.35001 -35.72574   3.19512  -1.97308  -4.35177     (-1.157,-25.024) (-1.222,-26.843) (-2.844,-0.751) 24.5718  29.0026  64.3851  13.7821  
19      5.90157 -35.90281 -35.29038   3.15372  -2.10555  -4.31031     (-1.157,-25.157) (-1.048,-26.641) (-2.748,-1.057) 24.5562  28.6836  64.3347  13.8073  
20      5.76441 -35.45561 -34.85502   3.11233  -2.23802  -4.26884     (-1.157,-25.290) (-0.874,-26.439) (-2.652,-1.364) 24.5484  28.371  64.2902  13.7924  
21      5.62726 -35.00841 -34.41966   3.07093  -2.37050  -4.22738     (-1.156,-25.424) (-0.700,-26.236) (-2.556,-1.670) 24.5484  28.065  64.2517  13.778  
22      5.49011 -34.56121 -33.98430   3.02953  -2.50297  -4.18591     (-1.156,-25.557) (-0.527,-26.034) (-2.461,-1.976) 24.5563  27.7659  64.2193  13.7639  
23      5.35296 -34.11401 -33.54894   2.98814  -2.63544  -4.14445     (-1.156,-25.691) (-0.353,-25.831) (-2.365,-2.283) 24.572  27.4737  64.1928  13.7501  
24      5.21581 -33.66681 -33.11359   2.94674  -2.76792  -4.10299     (-1.156,-25.824) (-0.179,-25.629) (-2.269,-2.589) 24.5359  27.1888  64.1267  13.7367  
25      5.07866 -33.21960 -32.67823   2.90534  -2.90039  -4.06152     (-1.156,-25.958) (-0.005,-25.426) (-2.173,-2.895) 24.4629  26.8923  64.0323  13.7236  
26      4.94151 -32.77240 -32.24287   2.86394  -3.03286  -4.02006     (-3.033,-25.922) (-0.169,-25.393) (-1.909,-0.987) 24.4137  26.6187  63.7593  13.7359  
27      4.80436 -32.32520 -31.80751   2.82255  -3.16534  -3.97860     (-3.165,-25.882) (-0.343,-25.364) (-1.639,-0.813) 24.3711  26.3571  63.4858  13.7493  
28      4.66721 -31.87800 -31.37215   2.78115  -3.29781  -3.93713     (-3.298,-25.841) (-0.517,-25.336) (-1.369,-0.639) 24.3348  26.0915  63.2174  13.7631  
29      4.53006 -31.43080 -30.93679   2.73975  -3.43028  -3.89567     (-3.430,-25.801) (-0.691,-25.307) (-1.100,-0.465) 24.3047  25.8432  62.9507  13.759  
30      4.39291 -30.98360 -30.50143   2.69836  -3.56276  -3.85420     (-3.563,-25.761) (-0.864,-25.278) (-0.830,-0.291) 24.2809  25.5651  62.6894  13.7453  
31      4.25576 -30.53640 -30.06607   2.65696  -3.69523  -3.81274     (-3.695,-25.720) (-1.038,-25.250) (-0.561,-0.118) 24.2634  25.3052  62.4316  13.732  
32      4.11861 -30.08919 -29.63071   2.61556  -3.82770  -3.77128     (-25.623,-1.156) (-3.771,-25.165) (-0.056,-0.347) 24.1605  25.0277  62.0406  13.7274  
33      3.98146 -29.64199 -29.19535   2.57416  -3.96018  -3.72981     (-25.409,-1.156) (-3.730,-24.962) (-0.230,-0.252) 23.8745  24.7574  61.3683  13.7406  
34      3.84431 -29.19479 -28.75999   2.53277  -4.09265  -3.68835     (-25.195,-1.156) (-3.688,-24.760) (-0.404,-0.156) 23.5905  24.4957  60.6975  13.7349  
35      3.70716 -28.74759 -28.32464   2.49137  -4.22512  -3.64688     (-24.980,-1.156) (-3.647,-24.557) (-0.578,-0.060) 23.3085  24.2429  60.0284  13.7277  
36      3.57001 -28.30039 -27.88928   2.44997  -4.35760  -3.60542     (-3.570,-1.120) (-24.730,-24.319) (-0.788,-0.035) 22.9991  23.9991  59.2903  13.7259  
37      3.43286 -27.85319 -27.45392   2.40857  -4.49007  -3.56396     (-3.433,-1.024) (-24.420,-24.021) (-1.057,-0.131) 22.5734  23.7648  58.4098  13.7331  
38      3.29571 -27.40598 -27.01856   2.36718  -4.62254  -3.52249     (-3.296,-0.929) (-24.110,-23.723) (-1.327,-0.227) 22.1529  23.5401  57.534  13.7404  
39      3.15856 -26.95878 -26.58320   2.32578  -4.75502  -3.48103     (-3.159,-0.833) (-23.800,-23.425) (-1.596,-0.322) 21.7379  23.3254  56.6629  13.7477  
40      3.02141 -26.51158 -26.14784   2.28438  -4.88749  -3.43957     (-3.021,-0.737) (-23.490,-23.126) (-1.866,-0.418) 21.3286  23.1209  55.7969  13.7552  
41      2.88425 -26.06438 -25.71248   2.24299  -5.01996  -3.39810     (-2.884,-0.641) (-23.180,-22.828) (-2.136,-0.514) 20.9213  22.927  54.9362  13.7628  
42      2.74710 -25.61718 -25.27712   2.20159  -5.15244  -3.35664     (-2.747,-0.546) (-22.870,-22.530) (-2.405,-0.610) 20.52  22.7438  54.0657  13.7654  
43      2.60995 -25.16998 -24.84176   2.16019  -5.28491  -3.31517     (-2.610,-0.450) (-22.560,-22.232) (-2.675,-0.705) 20.1254  22.5716  53.1788  13.7577  
44      2.47280 -24.72278 -24.40640   2.11879  -5.41738  -3.27371     (-2.473,-0.354) (-22.250,-21.934) (-2.945,-0.801) 19.7378  22.3415  52.3121  13.7502  
45      2.33565 -24.27557 -23.97104   2.07740  -5.54986  -3.23225     (-2.336,-0.258) (-21.940,-21.635) (-3.214,-0.897) 19.3577  21.9449  51.4433  13.7428  
46      2.19850 -23.82837 -23.53569   2.03600  -5.68233  -3.19078     (-2.199,-0.163) (-21.630,-21.337) (-3.484,-0.992) 18.9855  21.5538  50.5801  13.7354  
47      2.06135 -23.38117 -23.10033   1.99460  -5.81480  -3.14932     (-2.061,-0.067) (-21.320,-21.039) (-3.753,-1.088) 18.6217  21.1684  49.723  13.7282  
48      1.92420 -22.93397 -22.66497   1.95320  -5.94728  -3.10785     (-0.029,-1.953) (-20.712,-3.994) (-20.981,-1.155) 18.2054  20.7889  48.8062  13.7254  
49      1.78705 -22.48677 -22.22961   1.91181  -6.07975  -3.06639     (-0.125,-1.912) (-20.318,-4.168) (-20.575,-1.155) 17.7102  20.4159  47.7513  13.7326  
50      1.64990 -22.03957 -21.79425   1.87041  -6.21222  -3.02493     (-0.221,-1.870) (-19.924,-4.342) (-20.169,-1.155) 17.2217  20.0495  46.7021  13.7399  
51      1.51275 -21.59237 -21.35889   1.82901  -6.34470  -2.98346     (-0.316,-1.829) (-19.530,-4.516) (-19.763,-1.154) 16.7405  19.6902  45.6589  13.7473  
52      1.37560 -21.14516 -20.92353   1.78762  -6.47717  -2.94200     (-0.412,-1.788) (-19.136,-4.690) (-19.358,-1.154) 16.2673  19.3384  44.6222  13.7548  
53      1.23845 -20.69796 -20.48817   1.74622  -6.60964  -2.90054     (-0.508,-1.746) (-18.742,-4.863) (-18.952,-1.154) 15.8027  18.9883  43.5924  13.7624  
54      1.10130 -20.25076 -20.05281   1.70482  -6.74212  -2.85907     (-0.604,-1.705) (-18.348,-5.037) (-18.546,-1.154) 15.3476  18.6315  42.5701  13.7701  
55      0.96415 -19.80356 -19.61745   1.66342  -6.87459  -2.81761     (-0.699,-1.663) (-17.954,-5.211) (-18.140,-1.154) 14.9029  18.2827  41.5557  13.7779  
56      0.82700 -19.35636 -19.18209   1.62203  -7.00706  -2.77614     (-0.795,-1.622) (-17.560,-5.385) (-17.734,-1.154) 14.4694  17.9423  40.5499  13.7858  
57      0.68985 -18.90916 -18.74673   1.58063  -7.13954  -2.73468     (-0.891,-1.581) (-17.166,-5.559) (-17.329,-1.154) 14.0482  17.611  39.5533  13.7938  
58      0.55270 -18.46196 -18.31138   1.53923  -7.27201  -2.69322     (-0.987,-1.539) (-16.772,-5.733) (-16.923,-1.154) 13.6405  17.2891  38.5666  13.7122  
59      0.41555 -18.01475 -17.87602   1.49783  -7.40448  -2.65175     (-1.082,-1.498) (-16.378,-5.907) (-16.517,-1.154) 13.2476  16.9772  37.5906  13.3263  
60      0.27840 -17.56755 -17.44066   1.45644  -7.53696  -2.61029     (-1.178,-1.456) (-15.984,-6.081) (-16.111,-1.154) 12.8707  16.6758  36.6262  12.9567  
61      0.14125 -17.12035 -17.00530   1.41504  -7.66943  -2.56882     (-1.274,-1.415) (-15.590,-6.254) (-15.705,-1.154) 12.5113  16.3857  35.6743  12.605  
62      0.00410 -16.67315 -16.56994   1.37364  -7.80190  -2.52736     (-1.370,-1.374) (-15.196,-6.428) (-15.300,-1.154) 12.1709  16.1073  34.7359  12.2726  
63     -0.13306 -16.22595 -16.13458   1.33225  -7.93438  -2.48590     (-1.465,-1.332) (-14.802,-6.602) (-14.894,-1.154) 11.8513  15.8413  33.8121  11.9611  
64     -0.27021 -15.77875 -15.69922   1.29085  -8.06685  -2.44443     (-1.561,-1.291) (-14.408,-6.776) (-14.488,-1.154) 11.5541  15.5883  32.9043  11.6723  
65     -0.40736 -15.33154 -15.26386   1.24945  -8.19932  -2.40297     (-1.657,-1.249) (-14.014,-6.950) (-14.082,-1.154) 11.2811  15.349  32.0136  11.4078  
66     -0.54451 -14.88434 -14.82850   1.20805  -8.33180  -2.36151     (-1.753,-1.208) (-13.620,-7.124) (-13.676,-1.153) 11.034  15.124  31.1417  11.1695  
67     -0.68166 -14.43714 -14.39314   1.16666  -8.46427  -2.32004     (-1.848,-1.167) (-13.226,-7.298) (-13.270,-1.153) 10.8148  14.9139  30.2902  10.9589  
68     -0.81881 -13.98994 -13.95778   1.12526  -8.59674  -2.27858     (-1.944,-1.125) (-12.833,-7.471) (-12.865,-1.153) 10.625  14.6982  29.4607  10.7778  
69     -0.95596 -13.54274 -13.52243   1.08386  -8.72922  -2.23711     (-2.040,-1.084) (-12.439,-7.645) (-12.459,-1.153) 10.4664  14.4875  28.6552  10.6275  
70     -1.09311 -13.09554 -13.08707   1.04246  -8.86169  -2.19565     (-2.136,-1.042) (-12.045,-7.819) (-12.053,-1.153) 10.3402  14.2955  27.8758  10.5096  
71     -1.23026 -12.64834 -12.65171   1.00107  -8.99416  -2.15419     (-2.231,-1.001) (-11.651,-7.993) (-11.647,-1.153) 10.2478  14.123  27.1247  10.4249  
72     -1.36741 -12.20113 -12.21635   0.95967  -9.12664  -2.11272     (-2.327,-0.960) (-11.257,-8.167) (-11.241,-1.153) 10.1852  13.9707  26.4021  10.3745  
73     -1.50456 -11.75393 -11.78099   0.91827  -9.25911  -2.07126     (-2.423,-0.918) (-10.863,-8.341) (-10.836,-1.153) 10.1536  13.8393  25.7055  10.3587  
74     -1.64171 -11.30673 -11.34563   0.87688  -9.39158  -2.02980     (-2.519,-0.877) (-10.469,-8.515) (-10.430,-1.153) 10.1576  13.7295  25.0445  10.3713  
75     -1.77886 -10.85953 -10.91027   0.83548  -9.52406  -1.98833     (-2.614,-0.835) (-10.075,-8.689) (-10.024,-1.153) 10.197  13.6416  24.4219  10.4169  
76     -1.91601 -10.41233 -10.47491   0.79408  -9.65653  -1.94687     (-2.710,-0.794) (-9.681,-8.862) (-9.618,-1.153) 10.2715  13.5762  23.8407  10.4966  
